# -----------------------------------------------------------------------------------------------------------
# Origine : DRIAS-CLIMAT - http://www.drias-climat.fr/commande  (produit par 'nc2txt_drias2020 1.2 du 12.07.2021')
# Date d'extraction : 20/05/2024 10:27:57 UTC
# -----------------------------------------------------------------------------------------------------------
# Production : eurocordex2020
# Modele : CNRM-ALADIN63 - CNRM-CERFACS-CNRM-CM5 (RCM - GCM)
# Scenario : periode de reference
# Donnees CORRIGEES
# -----------------------------------------------------------------------------------------------------------
# Periode : 01/01/1951 - 31/12/2005
# -----------------------------------------------------------------------------------------------------------
# Parametre 1 : Precipitations totales
# Mnemonique 1 : prtotAdjust
# Unite origine 1 : kg/m2/s
# Unite restituee 1 : mm
# Valeur du parametre manquant 1 : -999.9999999
# -----------------------------------------------------------------------------------------------------------
# Point de grille SAFRAN
# Numero = 11079
# Latitude = 47.096901 degres (WGS84)
# Longitude = 2.389890 degres (Ouest negatif)
# E = 604000 m (Lambert II Etendu)
# N = 2233000 m
# altitude = 142 m
# -----------------------------------------------------------------------------------------------------------
# Format de la ligne :
#   "Date  prtotAdjust"
# avec :
#   - Date : Date du jour sous la forme 'AAAAMMJJ'
#   - prtotAdjust : Precipitations totales [mm]
# -----------------------------------------------------------------------------------------------------------
# Informations complementaires extraites de l'entete du fichier Netcdf original :
#	:creation_date = "2018-10-19T08:41:38Z" ;
#	:institute_id = "CNRM" ;
#	:institution = "CNRM (Centre National de Recherches Meteorologiques, Toulouse 31057, France)" ;
#	:model_id = "CNRM-ALADIN63" ;
#	:experiment_id = "historical" ;
#	:driving_experiment_name = "historical" ;
#	:references = "http://www.umr-cnrm.fr/spip.php?article125&lang=en" ;
#	:comment = "CORDEX Europe EUR-11 CNRM-ALADIN 6.3 L91 CNRM-CERFACS-CNRM-CM5: EUC12v63-2.02. Reference : Daniel M., Lemonsu A., Déqué M., Somot S., Alias A., Masson V. (2018) Benefits of explicit urban parametrization in regional climate modelling to study climate and city interactions. Climate Dynamics, 1-20, doi:10.1007/s00382-018-4289-x" ;
#	:project_id = "DRIAS-EUROCORDEX-2019" ;
#	:experiment = "Historical" ;
# -----------------------------------------------------------------------------------------------------------
# -----------------------------------------------------------------------------------------------------------
# Conditions d'utilisation :
# http://www.drias-climat.fr/accompagnement/conditionsEDC
# -----------------------------------------------------------------------------------------------------------
Date mm
19510101 0.000
19510102 0.000
19510103 0.000
19510104 0.000
19510105 0.000
19510106 0.000
19510107 0.000
19510108 0.302
19510109 8.292
19510110 5.655
19510111 3.636
19510112 0.407
19510113 1.463
19510114 0.368
19510115 0.000
19510116 0.000
19510117 2.835
19510118 1.250
19510119 5.069
19510120 0.000
19510121 2.149
19510122 6.737
19510123 0.258
19510124 5.163
19510125 0.283
19510126 4.558
19510127 0.148
19510128 0.000
19510129 0.000
19510130 0.000
19510131 0.000
19510201 0.000
19510202 0.000
19510203 0.000
19510204 0.000
19510205 0.000
19510206 0.000
19510207 0.000
19510208 0.000
19510209 0.000
19510210 0.000
19510211 0.000
19510212 3.481
19510213 0.000
19510214 0.834
19510215 0.801
19510216 1.201
19510217 3.837
19510218 1.295
19510219 2.281
19510220 0.000
19510221 0.368
19510222 4.291
19510223 6.085
19510224 0.557
19510225 0.000
19510226 10.280
19510227 1.351
19510228 0.000
19510301 0.000
19510302 4.643
19510303 3.323
19510304 3.137
19510305 2.005
19510306 0.253
19510307 4.347
19510308 0.000
19510309 5.316
19510310 0.000
19510311 0.000
19510312 0.083
19510313 0.000
19510314 3.435
19510315 3.242
19510316 12.171
19510317 4.783
19510318 18.867
19510319 1.904
19510320 0.000
19510321 0.000
19510322 0.000
19510323 0.133
19510324 2.811
19510325 1.234
19510326 0.419
19510327 1.171
19510328 0.526
19510329 4.223
19510330 0.000
19510331 0.817
19510401 2.852
19510402 0.734
19510403 0.000
19510404 0.000
19510405 0.680
19510406 8.366
19510407 2.373
19510408 0.722
19510409 4.367
19510410 8.042
19510411 0.000
19510412 0.000
19510413 0.000
19510414 0.000
19510415 0.000
19510416 0.415
19510417 0.267
19510418 4.042
19510419 0.000
19510420 0.000
19510421 6.286
19510422 1.180
19510423 2.452
19510424 0.000
19510425 0.628
19510426 0.000
19510427 0.000
19510428 0.000
19510429 0.000
19510430 0.000
19510501 2.154
19510502 0.000
19510503 0.000
19510504 10.189
19510505 0.000
19510506 0.000
19510507 0.000
19510508 12.747
19510509 3.226
19510510 5.204
19510511 0.000
19510512 0.000
19510513 0.000
19510514 0.557
19510515 0.000
19510516 0.000
19510517 0.000
19510518 0.000
19510519 0.000
19510520 0.000
19510521 0.000
19510522 0.110
19510523 0.000
19510524 0.486
19510525 3.780
19510526 0.357
19510527 1.668
19510528 1.964
19510529 1.286
19510530 7.228
19510531 4.043
19510601 0.798
19510602 5.488
19510603 4.475
19510604 0.000
19510605 1.198
19510606 2.237
19510607 1.961
19510608 0.000
19510609 0.000
19510610 0.000
19510611 0.000
19510612 0.000
19510613 0.000
19510614 0.000
19510615 0.000
19510616 0.000
19510617 0.000
19510618 0.000
19510619 0.000
19510620 0.000
19510621 0.000
19510622 0.000
19510623 0.542
19510624 0.000
19510625 0.000
19510626 0.000
19510627 0.000
19510628 0.000
19510629 0.000
19510630 0.000
19510701 0.000
19510702 0.000
19510703 0.000
19510704 0.000
19510705 0.000
19510706 24.970
19510707 0.997
19510708 1.845
19510709 25.886
19510710 8.935
19510711 6.152
19510712 0.000
19510713 0.000
19510714 0.000
19510715 1.825
19510716 1.426
19510717 0.000
19510718 0.000
19510719 0.000
19510720 0.000
19510721 0.000
19510722 0.380
19510723 0.000
19510724 0.000
19510725 0.000
19510726 0.000
19510727 5.073
19510728 17.296
19510729 0.000
19510730 0.000
19510731 0.000
19510801 0.000
19510802 0.000
19510803 0.000
19510804 0.000
19510805 0.000
19510806 0.000
19510807 0.000
19510808 0.476
19510809 0.000
19510810 0.000
19510811 0.000
19510812 0.226
19510813 0.114
19510814 0.000
19510815 0.389
19510816 0.000
19510817 5.727
19510818 0.000
19510819 0.000
19510820 15.368
19510821 0.485
19510822 0.000
19510823 1.237
19510824 0.000
19510825 28.794
19510826 0.000
19510827 2.293
19510828 0.000
19510829 0.000
19510830 2.022
19510831 15.168
19510901 0.427
19510902 0.000
19510903 0.000
19510904 0.000
19510905 0.000
19510906 0.000
19510907 0.000
19510908 0.000
19510909 0.000
19510910 9.300
19510911 0.538
19510912 0.000
19510913 13.124
19510914 0.000
19510915 1.928
19510916 0.000
19510917 0.000
19510918 0.000
19510919 10.450
19510920 0.993
19510921 0.000
19510922 0.000
19510923 0.000
19510924 8.240
19510925 13.862
19510926 0.000
19510927 0.000
19510928 1.579
19510929 1.510
19510930 2.368
19511001 53.237
19511002 0.432
19511003 0.000
19511004 0.000
19511005 0.000
19511006 0.000
19511007 0.000
19511008 0.000
19511009 0.000
19511010 0.000
19511011 0.000
19511012 0.000
19511013 1.328
19511014 0.000
19511015 0.000
19511016 0.000
19511017 0.000
19511018 0.148
19511019 0.591
19511020 0.000
19511021 0.000
19511022 0.314
19511023 0.000
19511024 0.000
19511025 0.194
19511026 0.526
19511027 1.200
19511028 0.000
19511029 2.169
19511030 0.000
19511031 0.000
19511101 0.000
19511102 0.000
19511103 0.000
19511104 0.512
19511105 4.576
19511106 0.000
19511107 3.888
19511108 0.305
19511109 0.000
19511110 0.000
19511111 0.000
19511112 2.230
19511113 1.098
19511114 0.000
19511115 0.000
19511116 0.000
19511117 5.728
19511118 0.000
19511119 0.000
19511120 4.061
19511121 4.126
19511122 0.976
19511123 1.543
19511124 4.396
19511125 2.747
19511126 0.298
19511127 0.100
19511128 0.000
19511129 0.000
19511130 0.000
19511201 0.000
19511202 0.000
19511203 0.000
19511204 0.000
19511205 0.000
19511206 0.000
19511207 0.000
19511208 0.000
19511209 0.053
19511210 0.000
19511211 0.000
19511212 0.000
19511213 0.000
19511214 0.131
19511215 0.119
19511216 0.000
19511217 1.002
19511218 1.593
19511219 3.490
19511220 0.000
19511221 0.392
19511222 0.000
19511223 0.000
19511224 0.724
19511225 0.000
19511226 0.000
19511227 0.288
19511228 0.246
19511229 0.000
19511230 0.000
19511231 0.000
19520101 0.000
19520102 0.000
19520103 2.884
19520104 18.555
19520105 0.000
19520106 0.000
19520107 1.360
19520108 0.927
19520109 6.822
19520110 0.000
19520111 0.585
19520112 5.873
19520113 4.469
19520114 2.478
19520115 0.662
19520116 0.053
19520117 0.263
19520118 0.000
19520119 0.053
19520120 0.240
19520121 10.672
19520122 6.372
19520123 8.933
19520124 0.832
19520125 4.982
19520126 2.424
19520127 3.251
19520128 6.228
19520129 2.198
19520130 2.059
19520131 0.000
19520201 0.305
19520202 2.254
19520203 4.022
19520204 0.000
19520205 1.062
19520206 0.511
19520207 1.152
19520208 1.031
19520209 0.000
19520210 0.000
19520211 0.000
19520212 0.000
19520213 0.000
19520214 1.084
19520215 15.416
19520216 0.000
19520217 0.000
19520218 0.000
19520219 0.382
19520220 0.000
19520221 0.000
19520222 1.581
19520223 4.150
19520224 0.630
19520225 0.198
19520226 0.000
19520227 0.000
19520228 0.000
19520229 0.000
19520301 1.664
19520302 0.778
19520303 0.000
19520304 3.059
19520305 1.375
19520306 2.335
19520307 0.000
19520308 0.000
19520309 0.206
19520310 0.000
19520311 8.794
19520312 0.226
19520313 0.424
19520314 0.000
19520315 0.000
19520316 0.000
19520317 0.000
19520318 2.726
19520319 0.565
19520320 0.192
19520321 4.033
19520322 2.061
19520323 2.305
19520324 0.000
19520325 0.188
19520326 0.000
19520327 0.000
19520328 0.000
19520329 0.000
19520330 0.000
19520331 0.000
19520401 0.000
19520402 0.000
19520403 0.000
19520404 0.000
19520405 7.942
19520406 1.719
19520407 0.000
19520408 1.021
19520409 0.000
19520410 0.000
19520411 0.000
19520412 0.000
19520413 0.834
19520414 0.000
19520415 0.000
19520416 5.930
19520417 8.210
19520418 26.641
19520419 0.000
19520420 4.251
19520421 0.000
19520422 0.000
19520423 0.000
19520424 0.000
19520425 0.000
19520426 0.000
19520427 0.000
19520428 0.000
19520429 0.000
19520430 0.000
19520501 0.000
19520502 0.000
19520503 0.354
19520504 0.000
19520505 0.000
19520506 0.000
19520507 0.113
19520508 0.000
19520509 0.000
19520510 11.101
19520511 0.000
19520512 0.000
19520513 0.000
19520514 0.181
19520515 4.827
19520516 0.000
19520517 0.000
19520518 0.000
