# -----------------------------------------------------------------------------------------------------------
# Origine : DRIAS-CLIMAT - http://www.drias-climat.fr/commande  (produit par 'nc2txt_drias2020 1.2 du 12.07.2021')
# Date d'extraction : 20/05/2024 10:27:57 UTC
# -----------------------------------------------------------------------------------------------------------
# Production : eurocordex2020
# Modele : CNRM-ALADIN63 - CNRM-CERFACS-CNRM-CM5 (RCM - GCM)
# Scenario : periode de reference
# Donnees CORRIGEES
# -----------------------------------------------------------------------------------------------------------
# Periode : 01/01/1951 - 31/12/2005
# -----------------------------------------------------------------------------------------------------------
# Parametre 1 : Precipitations totales
# Mnemonique 1 : prtotAdjust
# Unite origine 1 : kg/m2/s
# Unite restituee 1 : mm
# Valeur du parametre manquant 1 : -999.9999999
# -----------------------------------------------------------------------------------------------------------
# Point de grille SAFRAN
# Numero = 4230
# Latitude = 43.632000 degres (WGS84)
# Longitude = 3.871670 degres (Ouest negatif)
# E = 724000 m (Lambert II Etendu)
# N = 1849000 m
# altitude = 57 m
# -----------------------------------------------------------------------------------------------------------
# Format de la ligne :
#   "Date  prtotAdjust"
# avec :
#   - Date : Date du jour sous la forme 'AAAAMMJJ'
#   - prtotAdjust : Precipitations totales [mm]
# -----------------------------------------------------------------------------------------------------------
# Informations complementaires extraites de l'entete du fichier Netcdf original :
#	:creation_date = "2018-10-19T08:41:38Z" ;
#	:institute_id = "CNRM" ;
#	:institution = "CNRM (Centre National de Recherches Meteorologiques, Toulouse 31057, France)" ;
#	:model_id = "CNRM-ALADIN63" ;
#	:experiment_id = "historical" ;
#	:driving_experiment_name = "historical" ;
#	:references = "http://www.umr-cnrm.fr/spip.php?article125&lang=en" ;
#	:comment = "CORDEX Europe EUR-11 CNRM-ALADIN 6.3 L91 CNRM-CERFACS-CNRM-CM5: EUC12v63-2.02. Reference : Daniel M., Lemonsu A., Déqué M., Somot S., Alias A., Masson V. (2018) Benefits of explicit urban parametrization in regional climate modelling to study climate and city interactions. Climate Dynamics, 1-20, doi:10.1007/s00382-018-4289-x" ;
#	:project_id = "DRIAS-EUROCORDEX-2019" ;
#	:experiment = "Historical" ;
# -----------------------------------------------------------------------------------------------------------
# -----------------------------------------------------------------------------------------------------------
# Conditions d'utilisation :
# http://www.drias-climat.fr/accompagnement/conditionsEDC
# -----------------------------------------------------------------------------------------------------------
Date mm
19510101 0.000
19510102 0.000
19510103 0.000
19510104 0.000
19510105 0.000
19510106 0.000
19510107 0.000
19510108 0.000
19510109 9.616
19510110 0.000
19510111 0.000
19510112 0.131
19510113 0.000
19510114 0.000
19510115 0.000
19510116 0.576
19510117 1.969
19510118 0.000
19510119 0.000
19510120 0.000
19510121 0.000
19510122 0.000
19510123 0.000
19510124 0.000
19510125 0.000
19510126 0.000
19510127 0.000
19510128 0.000
19510129 0.000
19510130 0.000
19510131 0.000
19510201 0.000
19510202 0.000
19510203 0.000
19510204 0.000
19510205 0.000
19510206 0.000
19510207 0.000
19510208 0.000
19510209 0.000
19510210 0.000
19510211 0.122
19510212 0.000
19510213 0.000
19510214 0.000
19510215 0.000
19510216 0.000
19510217 0.000
19510218 0.000
19510219 0.000
19510220 0.000
19510221 0.000
19510222 0.000
19510223 0.000
19510224 0.000
19510225 0.000
19510226 0.759
19510227 0.000
19510228 0.000
19510301 0.000
19510302 5.015
19510303 3.189
19510304 0.000
19510305 0.000
19510306 0.000
19510307 0.725
19510308 0.000
19510309 0.000
19510310 0.000
19510311 0.000
19510312 0.000
19510313 0.000
19510314 9.051
19510315 0.000
19510316 0.000
19510317 0.000
19510318 0.000
19510319 0.000
19510320 0.000
19510321 0.000
19510322 0.000
19510323 0.000
19510324 0.000
19510325 0.000
19510326 0.000
19510327 1.864
19510328 0.000
19510329 2.603
19510330 1.729
19510331 0.000
19510401 0.000
19510402 0.779
19510403 0.000
19510404 7.358
19510405 15.706
19510406 0.548
19510407 0.104
19510408 1.749
19510409 8.290
19510410 2.614
19510411 0.000
19510412 0.000
19510413 0.215
19510414 0.000
19510415 0.000
19510416 0.000
19510417 0.000
19510418 0.000
19510419 0.000
19510420 0.000
19510421 0.000
19510422 0.000
19510423 0.000
19510424 0.000
19510425 0.000
19510426 0.000
19510427 0.000
19510428 0.000
19510429 0.000
19510430 0.000
19510501 0.000
19510502 0.000
19510503 0.894
19510504 0.998
19510505 0.000
19510506 0.000
19510507 0.000
19510508 8.560
19510509 9.297
19510510 0.152
19510511 0.000
19510512 0.214
19510513 0.000
19510514 0.000
19510515 0.398
19510516 0.000
19510517 0.000
19510518 0.000
19510519 0.000
19510520 0.000
19510521 0.000
19510522 0.000
19510523 0.000
19510524 0.308
19510525 7.196
19510526 0.000
19510527 0.000
19510528 0.000
19510529 0.000
19510530 0.000
19510531 0.000
19510601 0.000
19510602 0.000
19510603 2.905
19510604 0.000
19510605 25.649
19510606 0.000
19510607 0.000
19510608 0.000
19510609 0.000
19510610 0.000
19510611 0.000
19510612 0.000
19510613 0.000
19510614 0.000
19510615 0.000
19510616 0.000
19510617 0.000
19510618 0.447
19510619 0.000
19510620 0.000
19510621 0.000
19510622 0.000
19510623 0.600
19510624 0.000
19510625 0.000
19510626 0.000
19510627 0.869
19510628 0.000
19510629 0.000
19510630 0.000
19510701 0.000
19510702 0.000
19510703 0.000
19510704 0.000
19510705 0.000
19510706 1.154
19510707 0.000
19510708 0.000
19510709 0.242
19510710 20.013
19510711 0.110
19510712 0.000
19510713 0.000
19510714 0.000
19510715 0.000
19510716 0.000
19510717 0.000
19510718 0.000
19510719 0.000
19510720 0.000
19510721 0.125
19510722 0.000
19510723 0.000
19510724 0.000
19510725 0.000
19510726 0.000
19510727 0.000
19510728 4.805
19510729 0.000
19510730 0.000
19510731 0.000
19510801 0.000
19510802 0.000
19510803 0.000
19510804 0.000
19510805 0.000
19510806 0.000
19510807 0.000
19510808 0.000
19510809 0.000
19510810 0.000
19510811 0.000
19510812 0.806
19510813 0.000
19510814 0.102
19510815 0.000
19510816 0.000
19510817 6.504
19510818 0.000
19510819 0.000
19510820 3.179
19510821 0.000
19510822 0.000
19510823 0.000
19510824 0.000
19510825 0.000
19510826 0.000
19510827 0.547
19510828 0.000
19510829 0.000
19510830 1.441
19510831 6.040
19510901 0.000
19510902 0.000
19510903 0.000
19510904 0.000
19510905 0.000
19510906 2.455
19510907 0.000
19510908 0.000
19510909 0.000
19510910 0.000
19510911 0.000
19510912 0.000
19510913 1.534
19510914 0.864
19510915 0.000
19510916 0.000
19510917 0.000
19510918 0.000
19510919 0.000
19510920 0.000
19510921 0.000
19510922 5.201
19510923 12.556
19510924 4.762
19510925 0.408
19510926 0.000
19510927 0.000
19510928 3.057
19510929 0.000
19510930 0.000
19511001 0.000
19511002 0.000
19511003 0.000
19511004 0.000
19511005 0.000
19511006 0.000
19511007 0.000
19511008 0.000
19511009 0.000
19511010 0.000
19511011 8.962
19511012 1.845
19511013 3.720
19511014 0.194
19511015 0.203
19511016 0.117
19511017 0.000
19511018 0.000
19511019 0.000
19511020 0.000
19511021 1.167
19511022 0.000
19511023 0.000
19511024 0.000
19511025 7.252
19511026 2.210
19511027 0.124
19511028 10.636
19511029 28.107
19511030 1.459
19511031 0.000
19511101 0.000
19511102 10.843
19511103 6.433
19511104 4.264
19511105 0.759
19511106 0.000
19511107 1.468
19511108 0.000
19511109 0.000
19511110 0.251
19511111 0.501
19511112 7.648
19511113 7.294
19511114 0.000
19511115 0.139
19511116 0.000
19511117 3.289
19511118 0.000
19511119 0.000
19511120 0.000
19511121 0.000
19511122 3.052
19511123 0.000
19511124 0.000
19511125 3.474
19511126 0.000
19511127 0.000
19511128 0.000
19511129 0.000
19511130 0.000
19511201 0.000
19511202 0.000
19511203 0.000
19511204 0.000
19511205 0.110
19511206 40.685
19511207 9.076
19511208 3.527
19511209 35.335
19511210 0.000
19511211 1.317
19511212 5.666
19511213 0.000
19511214 0.265
19511215 22.042
19511216 0.104
19511217 0.000
19511218 0.000
19511219 6.757
19511220 0.000
19511221 0.000
19511222 0.000
19511223 0.039
19511224 0.000
19511225 0.000
19511226 0.000
19511227 5.625
19511228 31.167
19511229 10.712
19511230 0.106
19511231 13.887
19520101 0.000
19520102 0.000
19520103 2.724
19520104 0.126
19520105 0.000
19520106 0.000
19520107 15.615
19520108 28.898
19520109 0.000
19520110 0.000
19520111 41.356
19520112 0.000
19520113 0.000
19520114 0.000
19520115 0.000
19520116 0.805
19520117 1.469
19520118 0.000
19520119 0.431
19520120 0.000
19520121 0.000
19520122 0.000
19520123 0.000
19520124 0.000
19520125 0.000
19520126 0.000
19520127 0.000
19520128 0.100
19520129 1.438
19520130 0.000
19520131 0.000
19520201 0.000
19520202 20.512
19520203 28.875
19520204 16.469
19520205 0.000
19520206 20.686
19520207 14.648
19520208 0.000
19520209 0.000
19520210 0.000
19520211 0.000
19520212 0.000
19520213 0.000
19520214 0.000
19520215 9.293
19520216 0.000
19520217 0.285
19520218 5.948
19520219 11.489
19520220 20.283
19520221 2.603
19520222 27.717
19520223 2.002
19520224 0.000
19520225 0.000
19520226 0.000
19520227 0.000
19520228 0.000
19520229 0.000
19520301 0.103
19520302 0.000
19520303 0.000
19520304 0.567
19520305 0.000
19520306 0.000
19520307 7.105
19520308 3.437
19520309 0.000
19520310 0.000
19520311 1.596
19520312 0.000
19520313 0.000
19520314 0.000
19520315 0.000
19520316 0.000
19520317 0.000
19520318 0.000
19520319 0.000
19520320 0.000
19520321 0.000
19520322 0.000
19520323 0.000
19520324 0.000
19520325 0.000
19520326 0.000
19520327 0.000
19520328 0.000
19520329 0.113
19520330 0.000
19520331 0.000
19520401 0.000
19520402 0.000
19520403 1.790
19520404 5.397
19520405 19.906
19520406 0.000
19520407 0.000
19520408 0.000
19520409 0.000
19520410 0.000
19520411 0.000
19520412 0.000
19520413 0.000
19520414 0.000
19520415 0.000
19520416 0.000
19520417 0.214
19520418 10.919
19520419 0.000
19520420 0.000
19520421 16.113
19520422 0.000
19520423 0.000
19520424 0.000
19520425 0.000
19520426 0.000
19520427 0.638
19520428 0.000
19520429 0.000
19520430 0.000
19520501 0.000
19520502 0.000
19520503 0.000
19520504 0.000
19520505 0.109
19520506 0.000
19520507 0.000
19520508 0.000
19520509 1.484
19520510 1.384
19520511 1.496
19520512 4.190
19520513 0.000
19520514 0.000
19520515 0.000
19520516 0.000
19520517 0.000
19520518 0.000
