# -----------------------------------------------------------------------------------------------------------
# Origine : DRIAS-CLIMAT - http://www.drias-climat.fr/commande  (produit par 'nc2txt_drias2020 1.2 du 12.07.2021')
# Date d'extraction : 20/05/2024 10:27:57 UTC
# -----------------------------------------------------------------------------------------------------------
# Production : eurocordex2020
# Modele : CNRM-ALADIN63 - CNRM-CERFACS-CNRM-CM5 (RCM - GCM)
# Scenario : periode de reference
# Donnees CORRIGEES
# -----------------------------------------------------------------------------------------------------------
# Periode : 01/01/1951 - 31/12/2005
# -----------------------------------------------------------------------------------------------------------
# Parametre 1 : Precipitations totales
# Mnemonique 1 : prtotAdjust
# Unite origine 1 : kg/m2/s
# Unite restituee 1 : mm
# Valeur du parametre manquant 1 : -999.9999999
# -----------------------------------------------------------------------------------------------------------
# Point de grille SAFRAN
# Numero = 14368
# Latitude = 48.751499 degres (WGS84)
# Longitude = 2.391570 degres (Ouest negatif)
# E = 604000 m (Lambert II Etendu)
# N = 2417000 m
# altitude = 66 m
# -----------------------------------------------------------------------------------------------------------
# Format de la ligne :
#   "Date  prtotAdjust"
# avec :
#   - Date : Date du jour sous la forme 'AAAAMMJJ'
#   - prtotAdjust : Precipitations totales [mm]
# -----------------------------------------------------------------------------------------------------------
# Informations complementaires extraites de l'entete du fichier Netcdf original :
#	:creation_date = "2018-10-19T08:41:38Z" ;
#	:institute_id = "CNRM" ;
#	:institution = "CNRM (Centre National de Recherches Meteorologiques, Toulouse 31057, France)" ;
#	:model_id = "CNRM-ALADIN63" ;
#	:experiment_id = "historical" ;
#	:driving_experiment_name = "historical" ;
#	:references = "http://www.umr-cnrm.fr/spip.php?article125&lang=en" ;
#	:comment = "CORDEX Europe EUR-11 CNRM-ALADIN 6.3 L91 CNRM-CERFACS-CNRM-CM5: EUC12v63-2.02. Reference : Daniel M., Lemonsu A., Déqué M., Somot S., Alias A., Masson V. (2018) Benefits of explicit urban parametrization in regional climate modelling to study climate and city interactions. Climate Dynamics, 1-20, doi:10.1007/s00382-018-4289-x" ;
#	:project_id = "DRIAS-EUROCORDEX-2019" ;
#	:experiment = "Historical" ;
# -----------------------------------------------------------------------------------------------------------
# -----------------------------------------------------------------------------------------------------------
# Conditions d'utilisation :
# http://www.drias-climat.fr/accompagnement/conditionsEDC
# -----------------------------------------------------------------------------------------------------------
Date mm
19510101 1.298
19510102 0.000
19510103 0.000
19510104 0.000
19510105 0.000
19510106 0.000
19510107 0.859
19510108 2.550
19510109 7.761
19510110 5.944
19510111 3.346
19510112 0.310
19510113 1.197
19510114 1.692
19510115 0.183
19510116 9.853
19510117 10.848
19510118 1.085
19510119 3.159
19510120 0.000
19510121 11.433
19510122 7.473
19510123 1.607
19510124 0.000
19510125 0.000
19510126 1.365
19510127 0.000
19510128 0.049
19510129 0.000
19510130 0.000
19510131 0.000
19510201 0.000
19510202 0.000
19510203 0.000
19510204 0.000
19510205 0.000
19510206 0.000
19510207 0.000
19510208 0.000
19510209 0.000
19510210 0.107
19510211 0.000
19510212 1.017
19510213 0.000
19510214 3.253
19510215 2.306
19510216 1.004
19510217 5.456
19510218 0.705
19510219 1.013
19510220 0.000
19510221 2.259
19510222 1.247
19510223 5.964
19510224 0.119
19510225 0.000
19510226 4.151
19510227 0.986
19510228 0.000
19510301 0.000
19510302 1.355
19510303 1.557
19510304 1.424
19510305 0.000
19510306 0.000
19510307 3.204
19510308 0.000
19510309 5.759
19510310 0.000
19510311 0.000
19510312 0.000
19510313 1.153
19510314 2.769
19510315 0.735
19510316 5.024
19510317 1.495
19510318 1.446
19510319 0.111
19510320 0.000
19510321 0.000
19510322 0.000
19510323 0.364
19510324 2.569
19510325 2.551
19510326 0.000
19510327 0.722
19510328 1.710
19510329 4.324
19510330 7.099
19510331 1.075
19510401 0.000
19510402 0.000
19510403 0.000
19510404 0.000
19510405 0.000
19510406 0.189
19510407 0.156
19510408 0.755
19510409 6.013
19510410 2.815
19510411 0.169
19510412 0.000
19510413 0.000
19510414 0.000
19510415 3.882
19510416 0.465
19510417 0.230
19510418 7.439
19510419 0.000
19510420 1.199
19510421 2.967
19510422 0.000
19510423 0.000
19510424 0.000
19510425 0.210
19510426 0.000
19510427 0.000
19510428 0.000
19510429 0.000
19510430 0.000
19510501 1.838
19510502 0.000
19510503 0.000
19510504 18.679
19510505 0.000
19510506 0.125
19510507 0.622
19510508 6.227
19510509 9.172
19510510 5.545
19510511 0.000
19510512 0.000
19510513 0.000
19510514 0.248
19510515 3.658
19510516 0.000
19510517 0.000
19510518 0.000
19510519 0.000
19510520 0.000
19510521 0.000
19510522 0.000
19510523 0.000
19510524 0.267
19510525 8.255
19510526 3.211
19510527 1.659
19510528 0.513
19510529 5.644
19510530 7.314
19510531 2.118
19510601 3.844
19510602 0.000
19510603 2.091
19510604 0.639
19510605 1.252
19510606 1.376
19510607 1.633
19510608 1.452
19510609 0.000
19510610 1.863
19510611 0.000
19510612 0.000
19510613 0.000
19510614 0.000
19510615 0.000
19510616 0.000
19510617 0.000
19510618 0.000
19510619 0.000
19510620 0.000
19510621 0.000
19510622 0.000
19510623 1.756
19510624 0.000
19510625 0.000
19510626 0.000
19510627 0.109
19510628 0.000
19510629 0.000
19510630 1.711
19510701 0.000
19510702 0.000
19510703 0.000
19510704 0.000
19510705 0.000
19510706 0.000
19510707 0.000
19510708 4.244
19510709 0.795
19510710 3.772
19510711 0.704
19510712 13.021
19510713 0.000
19510714 0.000
19510715 0.000
19510716 1.065
19510717 0.000
19510718 0.651
19510719 3.285
19510720 0.558
19510721 0.000
19510722 0.802
19510723 0.000
19510724 0.000
19510725 0.000
19510726 0.000
19510727 3.983
19510728 0.141
19510729 0.000
19510730 2.343
19510731 0.000
19510801 0.000
19510802 0.000
19510803 0.000
19510804 0.000
19510805 0.000
19510806 0.000
19510807 0.000
19510808 0.604
19510809 0.000
19510810 0.000
19510811 0.000
19510812 5.991
19510813 10.595
19510814 3.771
19510815 17.000
19510816 1.918
19510817 11.710
19510818 0.198
19510819 0.118
19510820 20.832
19510821 0.000
19510822 0.000
19510823 1.538
19510824 0.786
19510825 1.048
19510826 6.463
19510827 1.336
19510828 0.000
19510829 9.332
19510830 10.301
19510831 11.300
19510901 15.189
19510902 0.374
19510903 0.000
19510904 0.000
19510905 0.000
19510906 0.000
19510907 0.000
19510908 0.000
19510909 0.000
19510910 1.656
19510911 0.823
19510912 0.000
19510913 4.430
19510914 0.000
19510915 1.438
19510916 1.081
19510917 0.228
19510918 0.000
19510919 2.124
19510920 1.024
19510921 0.000
19510922 0.000
19510923 0.000
19510924 0.000
19510925 0.000
19510926 0.000
19510927 0.000
19510928 1.051
19510929 0.000
19510930 0.000
19511001 0.000
19511002 2.477
19511003 0.000
19511004 0.000
19511005 0.000
19511006 0.000
19511007 0.000
19511008 0.000
19511009 0.000
19511010 0.000
19511011 0.000
19511012 0.000
19511013 1.485
19511014 0.243
19511015 0.000
19511016 0.000
19511017 0.000
19511018 1.239
19511019 0.570
19511020 0.000
19511021 0.163
19511022 1.518
19511023 0.165
19511024 0.000
19511025 2.971
19511026 0.000
19511027 0.000
19511028 0.000
19511029 0.000
19511030 0.000
19511031 0.000
19511101 0.947
19511102 0.000
19511103 0.000
19511104 0.747
19511105 4.900
19511106 1.022
19511107 4.764
19511108 0.000
19511109 1.345
19511110 0.000
19511111 0.000
19511112 3.791
19511113 0.232
19511114 0.000
19511115 0.000
19511116 0.000
19511117 7.597
19511118 0.000
19511119 0.000
19511120 5.974
19511121 1.364
19511122 0.000
19511123 3.455
19511124 3.915
19511125 1.773
19511126 0.268
19511127 0.000
19511128 0.286
19511129 0.000
19511130 0.000
19511201 0.000
19511202 0.000
19511203 0.000
19511204 0.000
19511205 0.000
19511206 0.000
19511207 0.000
19511208 0.929
19511209 0.000
19511210 0.000
19511211 0.000
19511212 2.275
19511213 0.000
19511214 1.563
19511215 0.000
19511216 0.642
19511217 0.184
19511218 0.318
19511219 5.957
19511220 0.000
19511221 0.213
19511222 0.000
19511223 0.000
19511224 0.000
19511225 0.000
19511226 0.000
19511227 0.000
19511228 1.651
19511229 0.000
19511230 0.107
19511231 0.000
19520101 0.000
19520102 0.000
19520103 0.296
19520104 0.344
19520105 0.162
19520106 0.000
19520107 0.000
19520108 0.000
19520109 1.005
19520110 0.595
19520111 0.877
19520112 1.817
19520113 1.285
19520114 0.662
19520115 2.122
19520116 0.000
19520117 6.271
19520118 0.000
19520119 0.000
19520120 0.223
19520121 3.154
19520122 0.408
19520123 10.106
19520124 0.000
19520125 0.515
19520126 6.526
19520127 3.133
19520128 1.102
19520129 0.866
19520130 1.098
19520131 15.570
19520201 0.000
19520202 0.000
19520203 0.000
19520204 0.000
19520205 0.000
19520206 0.000
19520207 0.000
19520208 0.156
19520209 0.000
19520210 0.000
19520211 0.000
19520212 0.000
19520213 0.000
19520214 0.000
19520215 11.240
19520216 0.000
19520217 0.000
19520218 0.000
19520219 0.713
19520220 0.000
19520221 0.000
19520222 1.753
19520223 1.257
19520224 0.000
19520225 0.000
19520226 0.000
19520227 0.000
19520228 0.000
19520229 1.482
19520301 0.000
19520302 0.000
19520303 0.481
19520304 2.713
19520305 0.775
19520306 0.534
19520307 0.000
19520308 0.785
19520309 0.000
19520310 0.000
19520311 8.707
19520312 0.000
19520313 0.450
