# -----------------------------------------------------------------------------------------------------------
# Origine : DRIAS-CLIMAT - http://www.drias-climat.fr/commande  (produit par 'nc2txt_drias2020 1.2 du 12.07.2021')
# Date d'extraction : 20/05/2024 10:26:24 UTC
# -----------------------------------------------------------------------------------------------------------
# Production : eurocordex2020
# Modele : CNRM-ALADIN63 - CNRM-CERFACS-CNRM-CM5 (RCM - GCM)
# Scenario : periode de reference
# Donnees CORRIGEES
# -----------------------------------------------------------------------------------------------------------
# Periode : 01/01/1951 - 31/12/2005
# -----------------------------------------------------------------------------------------------------------
# Parametre 1 : Temperature minimale journaliere a 2 m
# Mnemonique 1 : tasminAdjust
# Unite origine 1 : K
# Unite restituee 1 : C
# Valeur du parametre manquant 1 : -999.99
# Parametre 2 : Temperature maximale journaliere a 2 m
# Mnemonique 2 : tasmaxAdjust
# Unite origine 2 : K
# Unite restituee 2 : C
# Valeur du parametre manquant 2 : -999.99
# Parametre 3 : Temperature moyenne a 2 m
# Mnemonique 3 : tasAdjust
# Unite origine 3 : K
# Unite restituee 3 : C
# Valeur du parametre manquant 3 : -999.99
# -----------------------------------------------------------------------------------------------------------
# Point de grille SAFRAN
# Numero = 11676
# Latitude = 47.353199 degres (WGS84)
# Longitude = 5.037890 degres (Ouest negatif)
# E = 804000 m (Lambert II Etendu)
# N = 2265000 m
# altitude = 285 m
# -----------------------------------------------------------------------------------------------------------
# Format de la ligne :
#   "Date  tasminAdjust tasmaxAdjust tasAdjust"
# avec :
#   - Date : Date du jour sous la forme 'AAAAMMJJ'
#   - tasminAdjust : Temperature minimale journaliere a 2 m [C]
#   - tasmaxAdjust : Temperature maximale journaliere a 2 m [C]
#   - tasAdjust : Temperature moyenne a 2 m [C]
# -----------------------------------------------------------------------------------------------------------
# Informations complementaires extraites de l'entete du fichier Netcdf original :
#	:creation_date = "2018-10-19T08:42:38Z" ;
#	:institute_id = "CNRM" ;
#	:institution = "CNRM (Centre National de Recherches Meteorologiques, Toulouse 31057, France)" ;
#	:model_id = "CNRM-ALADIN63" ;
#	:experiment_id = "historical" ;
#	:driving_experiment_name = "historical" ;
#	:references = "http://www.umr-cnrm.fr/spip.php?article125&lang=en" ;
#	:comment = "CORDEX Europe EUR-11 CNRM-ALADIN 6.3 L91 CNRM-CERFACS-CNRM-CM5: EUC12v63-2.02. Reference : Daniel M., Lemonsu A., Déqué M., Somot S., Alias A., Masson V. (2018) Benefits of explicit urban parametrization in regional climate modelling to study climate and city interactions. Climate Dynamics, 1-20, doi:10.1007/s00382-018-4289-x" ;
#	:project_id = "DRIAS-EUROCORDEX-2019" ;
#	:experiment = "Historical" ;
# -----------------------------------------------------------------------------------------------------------
# -----------------------------------------------------------------------------------------------------------
# Conditions d'utilisation :
# http://www.drias-climat.fr/accompagnement/conditionsEDC
# -----------------------------------------------------------------------------------------------------------
Date Tmin Tmax Tmoy
19510101 -3.64 -0.78 -2.16
19510102 -4.03 -1.16 -2.21
19510103 -5.57 -1.91 -3.49
19510104 -6.06 -2.63 -4.56
19510105 -6.94 -3.97 -5.34
19510106 -8.45 -4.06 -7.00
19510107 -8.35 -5.26 -6.54
19510108 -7.49 -2.77 -6.19
19510109 -1.83 -1.54 -1.64
19510110 2.26 5.57 4.24
19510111 -0.13 4.06 1.71
19510112 0.30 5.12 2.98
19510113 0.18 2.30 1.35
19510114 1.52 6.24 4.53
19510115 3.46 6.59 4.65
19510116 2.61 10.62 5.32
19510117 6.73 10.03 8.73
19510118 4.76 11.03 7.30
19510119 4.01 9.70 7.01
19510120 6.46 9.81 8.68
19510121 2.73 6.41 4.57
19510122 3.07 11.02 7.01
19510123 7.28 12.18 8.76
19510124 3.62 8.62 6.19
19510125 0.95 8.04 3.59
19510126 3.16 6.52 5.25
19510127 2.41 3.80 3.11
19510128 -0.99 1.85 0.51
19510129 -2.79 1.63 0.09
19510130 -4.06 0.31 -1.45
19510131 -4.46 2.86 -1.56
19510201 -3.10 5.00 0.04
19510202 -2.80 2.40 -0.10
19510203 -2.57 2.33 -0.73
19510204 -2.00 3.70 1.15
19510205 -0.33 6.44 3.92
19510206 -1.19 8.49 3.15
19510207 -0.01 6.74 3.08
19510208 -2.75 8.64 3.57
19510209 -1.65 7.33 3.54
19510210 1.03 7.78 4.58
19510211 0.87 8.09 3.98
19510212 0.08 4.35 2.35
19510213 -0.70 3.90 1.29
19510214 -1.25 2.04 0.90
19510215 -0.14 4.98 2.01
19510216 2.41 10.02 6.10
19510217 3.94 8.91 6.54
19510218 2.85 7.79 5.60
19510219 1.55 7.30 4.67
19510220 1.00 4.60 2.21
19510221 0.62 7.70 4.09
19510222 5.31 10.90 8.23
19510223 5.99 11.55 9.30
19510224 4.06 6.05 5.05
19510225 0.19 7.55 4.00
19510226 -0.47 8.20 3.92
19510227 1.77 8.12 4.46
19510228 0.02 11.87 5.11
19510301 4.58 15.63 10.07
19510302 3.55 12.99 7.18
19510303 1.52 11.02 6.74
19510304 0.40 7.54 3.65
19510305 0.87 6.83 3.88
19510306 2.55 6.56 4.34
19510307 -1.56 5.52 2.98
19510308 0.43 7.52 3.01
19510309 4.78 10.11 7.32
19510310 2.59 6.52 5.03
19510311 -0.35 5.76 3.16
19510312 -0.48 7.58 2.92
19510313 -1.90 9.12 2.91
19510314 -0.37 7.14 2.80
19510315 -1.35 10.30 3.93
19510316 4.17 8.83 6.74
19510317 -1.85 7.59 3.20
19510318 6.54 11.53 9.23
19510319 1.11 8.60 5.60
19510320 -0.26 10.27 4.96
19510321 3.84 9.98 7.13
19510322 6.01 17.02 11.56
19510323 6.16 20.61 13.54
19510324 6.92 8.61 7.91
19510325 4.07 7.84 5.28
19510326 3.03 6.24 4.60
19510327 1.46 8.69 4.42
