# -----------------------------------------------------------------------------------------------------------
# Origine : DRIAS-CLIMAT - http://www.drias-climat.fr/commande  (produit par 'nc2txt_drias2020 1.2 du 12.07.2021')
# Date d'extraction : 20/05/2024 10:26:24 UTC
# -----------------------------------------------------------------------------------------------------------
# Production : eurocordex2020
# Modele : CNRM-ALADIN63 - CNRM-CERFACS-CNRM-CM5 (RCM - GCM)
# Scenario : periode de reference
# Donnees CORRIGEES
# -----------------------------------------------------------------------------------------------------------
# Periode : 01/01/1951 - 31/12/2005
# -----------------------------------------------------------------------------------------------------------
# Parametre 1 : Temperature minimale journaliere a 2 m
# Mnemonique 1 : tasminAdjust
# Unite origine 1 : K
# Unite restituee 1 : C
# Valeur du parametre manquant 1 : -999.99
# Parametre 2 : Temperature maximale journaliere a 2 m
# Mnemonique 2 : tasmaxAdjust
# Unite origine 2 : K
# Unite restituee 2 : C
# Valeur du parametre manquant 2 : -999.99
# Parametre 3 : Temperature moyenne a 2 m
# Mnemonique 3 : tasAdjust
# Unite origine 3 : K
# Unite restituee 3 : C
# Valeur du parametre manquant 3 : -999.99
# -----------------------------------------------------------------------------------------------------------
# Point de grille SAFRAN
# Numero = 3815
# Latitude = 43.387901 degres (WGS84)
# Longitude = 5.245690 degres (Ouest negatif)
# E = 836000 m (Lambert II Etendu)
# N = 1825000 m
# altitude = 105 m
# -----------------------------------------------------------------------------------------------------------
# Format de la ligne :
#   "Date  tasminAdjust tasmaxAdjust tasAdjust"
# avec :
#   - Date : Date du jour sous la forme 'AAAAMMJJ'
#   - tasminAdjust : Temperature minimale journaliere a 2 m [C]
#   - tasmaxAdjust : Temperature maximale journaliere a 2 m [C]
#   - tasAdjust : Temperature moyenne a 2 m [C]
# -----------------------------------------------------------------------------------------------------------
# Informations complementaires extraites de l'entete du fichier Netcdf original :
#	:creation_date = "2018-10-19T08:42:38Z" ;
#	:institute_id = "CNRM" ;
#	:institution = "CNRM (Centre National de Recherches Meteorologiques, Toulouse 31057, France)" ;
#	:model_id = "CNRM-ALADIN63" ;
#	:experiment_id = "historical" ;
#	:driving_experiment_name = "historical" ;
#	:references = "http://www.umr-cnrm.fr/spip.php?article125&lang=en" ;
#	:comment = "CORDEX Europe EUR-11 CNRM-ALADIN 6.3 L91 CNRM-CERFACS-CNRM-CM5: EUC12v63-2.02. Reference : Daniel M., Lemonsu A., Déqué M., Somot S., Alias A., Masson V. (2018) Benefits of explicit urban parametrization in regional climate modelling to study climate and city interactions. Climate Dynamics, 1-20, doi:10.1007/s00382-018-4289-x" ;
#	:project_id = "DRIAS-EUROCORDEX-2019" ;
#	:experiment = "Historical" ;
# -----------------------------------------------------------------------------------------------------------
# -----------------------------------------------------------------------------------------------------------
# Conditions d'utilisation :
# http://www.drias-climat.fr/accompagnement/conditionsEDC
# -----------------------------------------------------------------------------------------------------------
Date Tmin Tmax Tmoy
19510101 0.84 5.18 2.89
19510102 -1.52 5.47 2.70
19510103 -1.44 5.05 1.91
19510104 -1.82 5.70 1.09
19510105 -3.20 4.60 -0.08
19510106 -3.88 4.19 -0.14
19510107 -3.52 4.82 -0.05
19510108 -2.29 6.19 1.67
19510109 1.71 8.01 4.17
19510110 4.31 11.53 7.24
19510111 2.26 8.25 4.95
19510112 1.83 8.66 5.10
19510113 0.53 7.50 4.19
19510114 -0.41 8.62 3.82
19510115 2.02 11.55 7.09
19510116 5.02 12.78 8.97
19510117 10.33 13.72 11.66
19510118 11.39 13.66 12.40
19510119 9.81 14.09 12.30
19510120 10.10 16.94 12.12
19510121 4.60 12.69 8.02
19510122 2.69 12.94 9.10
19510123 5.27 14.90 10.83
19510124 9.11 12.40 10.51
19510125 3.71 9.71 6.07
19510126 2.80 10.28 6.18
19510127 3.76 10.16 6.36
19510128 0.66 7.89 4.69
19510129 -1.81 9.04 3.41
19510130 -1.49 9.61 4.45
19510131 0.18 11.26 4.67
19510201 0.36 12.33 5.96
19510202 1.87 13.61 6.06
19510203 1.44 12.85 7.95
19510204 3.24 12.76 6.64
19510205 2.54 11.31 6.51
19510206 0.34 9.68 5.52
19510207 1.46 11.06 6.73
19510208 3.29 12.86 8.24
19510209 2.41 11.53 6.13
19510210 1.95 11.60 5.99
19510211 2.66 11.61 6.09
19510212 4.08 10.34 6.61
19510213 3.66 8.05 5.34
19510214 -0.13 10.88 6.14
19510215 4.25 11.13 7.40
19510216 3.90 12.46 7.68
19510217 3.40 12.76 8.05
19510218 6.72 14.48 10.88
19510219 7.23 11.43 9.08
19510220 2.48 13.21 7.74
19510221 4.69 12.99 8.74
19510222 4.02 14.85 9.18
19510223 5.17 14.83 10.29
19510224 4.66 11.99 7.75
19510225 0.36 11.47 5.38
19510226 5.97 9.27 7.71
19510227 4.85 12.67 9.05
19510228 3.26 14.79 8.09
19510301 10.16 15.77 12.97
19510302 8.48 15.66 12.12
19510303 8.07 13.45 10.53
19510304 6.58 10.99 8.40
19510305 4.80 12.32 8.09
19510306 4.27 10.79 7.01
19510307 2.26 7.97 5.65
19510308 3.74 11.45 6.55
19510309 2.97 15.55 8.94
19510310 6.41 12.62 9.20
19510311 4.21 11.54 8.20
19510312 4.39 11.75 7.56
19510313 1.06 13.74 6.87
19510314 3.38 12.40 7.37
19510315 4.42 13.26 8.76
19510316 2.94 14.04 8.87
19510317 5.93 13.36 8.74
19510318 11.43 18.11 14.08
19510319 10.63 18.79 14.11
19510320 7.94 15.74 11.51
19510321 5.36 20.83 11.16
19510322 5.48 22.70 14.36
19510323 8.26 21.70 14.87
19510324 8.64 15.73 12.23
19510325 4.92 15.01 9.64
19510326 3.83 13.45 8.76
19510327 3.23 13.61 7.78
19510328 7.26 15.53 10.61
19510329 10.11 14.25 12.07
19510330 12.08 20.74 15.47
