# -----------------------------------------------------------------------------------------------------------
# Origine : DRIAS-CLIMAT - http://www.drias-climat.fr/commande  (produit par 'nc2txt_drias2020 1.2 du 12.07.2021')
# Date d'extraction : 20/05/2024 10:26:24 UTC
# -----------------------------------------------------------------------------------------------------------
# Production : eurocordex2020
# Modele : CNRM-ALADIN63 - CNRM-CERFACS-CNRM-CM5 (RCM - GCM)
# Scenario : periode de reference
# Donnees CORRIGEES
# -----------------------------------------------------------------------------------------------------------
# Periode : 01/01/1951 - 31/12/2005
# -----------------------------------------------------------------------------------------------------------
# Parametre 1 : Temperature minimale journaliere a 2 m
# Mnemonique 1 : tasminAdjust
# Unite origine 1 : K
# Unite restituee 1 : C
# Valeur du parametre manquant 1 : -999.99
# Parametre 2 : Temperature maximale journaliere a 2 m
# Mnemonique 2 : tasmaxAdjust
# Unite origine 2 : K
# Unite restituee 2 : C
# Valeur du parametre manquant 2 : -999.99
# Parametre 3 : Temperature moyenne a 2 m
# Mnemonique 3 : tasAdjust
# Unite origine 3 : K
# Unite restituee 3 : C
# Valeur du parametre manquant 3 : -999.99
# -----------------------------------------------------------------------------------------------------------
# Point de grille SAFRAN
# Numero = 14018
# Latitude = 48.408100 degres (WGS84)
# Longitude = -4.530950 degres (Ouest negatif)
# E = 92000 m (Lambert II Etendu)
# N = 2401000 m
# altitude = 60 m
# -----------------------------------------------------------------------------------------------------------
# Format de la ligne :
#   "Date  tasminAdjust tasmaxAdjust tasAdjust"
# avec :
#   - Date : Date du jour sous la forme 'AAAAMMJJ'
#   - tasminAdjust : Temperature minimale journaliere a 2 m [C]
#   - tasmaxAdjust : Temperature maximale journaliere a 2 m [C]
#   - tasAdjust : Temperature moyenne a 2 m [C]
# -----------------------------------------------------------------------------------------------------------
# Informations complementaires extraites de l'entete du fichier Netcdf original :
#	:creation_date = "2018-10-19T08:42:38Z" ;
#	:institute_id = "CNRM" ;
#	:institution = "CNRM (Centre National de Recherches Meteorologiques, Toulouse 31057, France)" ;
#	:model_id = "CNRM-ALADIN63" ;
#	:experiment_id = "historical" ;
#	:driving_experiment_name = "historical" ;
#	:references = "http://www.umr-cnrm.fr/spip.php?article125&lang=en" ;
#	:comment = "CORDEX Europe EUR-11 CNRM-ALADIN 6.3 L91 CNRM-CERFACS-CNRM-CM5: EUC12v63-2.02. Reference : Daniel M., Lemonsu A., Déqué M., Somot S., Alias A., Masson V. (2018) Benefits of explicit urban parametrization in regional climate modelling to study climate and city interactions. Climate Dynamics, 1-20, doi:10.1007/s00382-018-4289-x" ;
#	:project_id = "DRIAS-EUROCORDEX-2019" ;
#	:experiment = "Historical" ;
# -----------------------------------------------------------------------------------------------------------
# -----------------------------------------------------------------------------------------------------------
# Conditions d'utilisation :
# http://www.drias-climat.fr/accompagnement/conditionsEDC
# -----------------------------------------------------------------------------------------------------------
Date Tmin Tmax Tmoy
19510101 -0.26 5.88 3.60
19510102 -2.10 2.08 -0.32
19510103 -3.14 5.54 1.24
19510104 0.90 9.37 4.95
19510105 2.21 8.33 4.19
19510106 0.75 7.67 5.01
19510107 2.17 9.40 6.62
19510108 5.71 11.45 8.47
19510109 6.57 10.95 9.14
19510110 8.41 9.32 8.80
19510111 7.93 11.25 9.80
19510112 6.32 9.78 8.39
19510113 7.02 10.48 7.99
19510114 7.20 10.12 9.32
19510115 6.32 11.55 7.86
19510116 7.75 10.41 9.00
19510117 3.42 9.29 7.06
19510118 7.15 9.85 8.83
19510119 9.24 11.53 10.64
19510120 6.16 10.90 8.62
19510121 7.28 12.28 9.29
19510122 11.09 12.10 11.72
19510123 8.58 11.34 10.14
19510124 7.91 10.27 9.39
19510125 9.15 11.39 10.60
19510126 8.96 10.75 9.77
19510127 6.56 10.47 9.15
19510128 2.06 10.10 8.20
19510129 3.17 7.26 5.11
19510130 5.08 11.27 9.00
19510131 4.74 11.96 7.56
19510201 2.40 8.59 4.89
19510202 0.99 8.02 4.94
19510203 1.35 8.55 4.45
19510204 1.72 12.87 6.84
19510205 5.01 12.11 8.07
19510206 7.96 11.75 9.52
19510207 7.80 10.27 9.40
19510208 3.19 10.82 6.56
19510209 2.98 9.68 5.94
19510210 7.29 12.16 9.49
19510211 6.03 12.38 8.19
19510212 4.48 7.12 6.02
19510213 5.03 9.75 7.49
19510214 3.93 7.32 5.50
19510215 4.71 9.89 8.27
19510216 7.64 11.99 9.28
19510217 7.03 11.13 9.06
19510218 6.82 7.37 7.10
19510219 4.84 8.97 6.97
19510220 3.06 8.49 5.13
19510221 3.67 10.98 7.92
19510222 8.36 11.47 9.60
19510223 6.91 11.49 9.49
19510224 3.62 10.30 7.97
19510225 3.85 9.80 6.62
19510226 7.09 10.84 9.17
19510227 6.49 10.13 8.95
19510228 7.18 11.93 10.01
19510301 7.68 8.20 7.92
19510302 6.93 7.58 7.20
19510303 6.69 7.30 7.03
19510304 7.68 9.65 8.42
19510305 7.69 9.84 8.80
19510306 3.45 10.38 7.85
19510307 7.43 9.10 8.24
19510308 9.08 12.50 10.51
19510309 8.68 11.62 10.56
19510310 7.78 10.43 9.43
19510311 2.84 11.29 9.08
19510312 0.64 10.45 5.88
19510313 5.89 8.66 7.50
19510314 5.30 9.70 7.19
19510315 6.93 7.76 7.43
19510316 6.65 7.28 7.00
19510317 7.08 9.60 8.61
19510318 8.99 10.23 9.58
19510319 5.61 11.01 7.67
19510320 3.52 10.82 6.37
19510321 4.82 12.20 8.81
19510322 3.33 18.52 12.30
19510323 10.35 13.07 11.68
19510324 7.52 10.64 9.27
19510325 8.21 8.91 8.48
19510326 5.51 9.24 8.22
19510327 5.32 8.33 6.85
19510328 4.10 10.00 7.89
19510329 3.28 10.91 6.93
19510330 5.58 7.22 6.65
19510331 6.86 8.88 7.65
19510401 5.64 9.62 8.22
19510402 4.00 10.83 7.33
19510403 4.48 10.21 7.68
19510404 2.34 13.14 8.56
19510405 6.21 9.74 8.24
19510406 3.55 10.48 7.07
19510407 2.30 9.28 4.79
19510408 2.43 9.86 6.23
19510409 8.57 11.03 10.44
19510410 10.99 11.07 11.04
19510411 10.06 10.21 10.13
19510412 8.20 13.27 11.17
19510413 8.11 13.44 10.42
19510414 5.90 16.68 12.04
19510415 8.80 11.54 10.31
19510416 8.83 11.39 9.98
19510417 8.71 11.75 10.42
19510418 7.19 11.58 9.43
19510419 7.19 9.85 8.52
19510420 7.46 11.65 9.64
19510421 7.38 10.23 9.00
19510422 6.56 9.40 7.62
19510423 3.20 10.30 6.18
19510424 5.05 10.68 7.05
19510425 4.71 10.45 7.34
19510426 6.25 11.26 8.91
19510427 4.78 13.10 9.38
19510428 6.49 16.93 11.26
19510429 10.02 20.13 15.95
19510430 7.27 25.33 15.72
19510501 11.89 15.77 14.38
19510502 11.05 14.64 13.06
19510503 8.30 14.62 11.74
19510504 5.39 14.08 10.46
19510505 10.46 13.99 12.36
19510506 12.49 12.96 12.71
19510507 10.90 14.51 13.04
19510508 8.03 15.91 12.51
19510509 7.06 14.44 11.09
19510510 5.22 15.88 11.56
19510511 8.13 15.06 11.71
19510512 11.92 16.15 14.06
19510513 10.87 21.90 15.76
19510514 8.56 13.82 11.48
19510515 7.55 15.55 11.24
19510516 6.45 20.10 13.29
19510517 9.84 25.93 17.66
19510518 12.98 26.64 18.64
19510519 11.87 23.25 16.88
19510520 9.15 22.56 18.24
19510521 7.54 23.74 16.23
19510522 10.55 24.72 18.84
19510523 12.66 21.47 17.35
19510524 10.17 15.74 12.90
19510525 9.76 11.26 10.35
19510526 6.54 13.59 10.51
19510527 8.53 12.56 10.68
19510528 9.05 13.94 11.26
19510529 10.25 15.41 12.31
19510530 11.73 14.55 13.29
19510531 8.93 14.49 12.20
19510601 10.99 13.73 12.42
19510602 10.61 13.31 11.81
19510603 8.86 13.86 11.14
19510604 8.40 13.27 10.72
19510605 7.78 13.16 10.68
19510606 7.28 14.88 10.47
19510607 9.85 12.82 11.44
19510608 10.53 15.92 13.39
19510609 10.63 14.15 12.75
19510610 10.96 19.49 16.15
19510611 11.05 20.49 15.11
19510612 11.27 20.88 15.45
19510613 11.29 20.95 16.47
19510614 11.43 24.76 18.55
19510615 12.99 24.27 18.83
19510616 13.20 21.27 17.67
19510617 11.89 17.64 15.23
19510618 11.92 18.52 14.86
19510619 11.50 18.17 15.01
19510620 11.21 21.39 15.60
19510621 9.68 20.69 16.26
19510622 12.76 16.18 15.01
19510623 11.72 15.78 13.62
19510624 8.76 18.00 12.95
19510625 9.14 22.62 15.74
19510626 11.31 26.33 18.22
19510627 11.22 16.69 13.84
19510628 10.91 17.46 13.78
19510629 12.15 18.30 15.08
19510630 12.52 19.33 15.16
19510701 10.25 20.17 15.57
19510702 10.74 28.45 20.43
19510703 18.88 31.02 24.84
19510704 21.01 29.16 26.57
19510705 15.78 26.48 20.98
19510706 13.68 20.24 16.92
19510707 12.01 19.47 16.17
19510708 16.44 19.55 17.96
19510709 13.22 20.24 15.85
19510710 11.96 15.87 13.87
19510711 13.12 16.70 14.87
19510712 11.26 19.33 15.96
19510713 10.44 22.58 16.72
19510714 15.29 20.66 18.53
19510715 14.10 19.75 17.22
19510716 12.40 20.32 16.92
19510717 10.33 22.94 17.67
19510718 12.96 20.55 16.90
19510719 13.96 19.45 16.24
19510720 13.32 20.86 16.91
19510721 12.73 20.89 16.53
19510722 12.69 20.66 17.01
19510723 11.68 23.89 17.96
19510724 11.93 24.64 18.40
19510725 16.00 32.83 23.85
19510726 15.94 22.88 18.80
19510727 13.63 19.75 17.41
19510728 13.01 17.96 15.54
19510729 13.07 19.17 15.56
19510730 12.59 17.86 15.05
19510731 13.20 16.22 15.62
19510801 13.35 18.94 16.19
19510802 12.60 20.45 16.64
19510803 12.60 22.58 17.48
19510804 12.69 24.05 18.67
19510805 12.27 30.93 21.38
19510806 16.76 33.54 25.36
19510807 17.82 27.69 25.09
19510808 18.18 25.65 21.35
19510809 18.04 26.33 21.72
19510810 18.76 27.42 22.43
19510811 16.74 24.61 21.06
19510812 17.70 24.42 20.81
19510813 15.88 22.01 20.25
19510814 14.36 23.61 17.87
19510815 13.52 21.56 17.98
19510816 14.68 20.65 17.01
19510817 12.53 22.30 17.45
19510818 12.19 22.08 18.43
19510819 14.81 19.65 17.10
19510820 16.01 19.36 17.75
19510821 16.07 20.46 17.84
19510822 16.13 20.97 19.40
19510823 14.91 20.24 17.55
19510824 14.93 20.75 17.30
19510825 14.67 19.40 17.31
19510826 14.60 19.49 17.11
19510827 15.42 19.47 17.24
19510828 15.11 20.77 17.75
19510829 15.89 18.54 17.19
19510830 11.66 18.31 15.21
19510831 10.39 19.77 14.83
19510901 9.89 18.47 13.77
19510902 11.95 21.39 16.55
19510903 13.58 20.18 16.11
19510904 13.12 19.14 15.26
19510905 9.74 17.29 15.88
19510906 9.59 17.97 14.02
19510907 13.06 18.02 15.08
19510908 12.30 18.58 15.90
19510909 14.20 20.58 16.73
19510910 14.35 16.79 15.73
19510911 16.96 19.48 18.11
19510912 15.18 21.15 17.97
19510913 13.42 15.88 14.58
19510914 12.95 14.58 13.82
19510915 12.49 15.53 14.02
19510916 11.36 17.52 13.64
19510917 9.26 16.07 12.05
19510918 9.10 14.79 12.63
19510919 12.40 14.64 13.79
19510920 9.26 17.27 12.75
19510921 8.42 17.23 13.96
19510922 6.52 16.38 11.60
19510923 6.84 16.02 11.69
19510924 8.95 15.50 11.77
19510925 9.46 16.60 12.71
19510926 9.40 17.45 13.96
19510927 8.57 16.21 11.82
19510928 9.63 16.54 12.18
19510929 10.29 15.83 13.65
19510930 9.29 17.00 12.23
19511001 10.29 16.28 12.78
19511002 10.59 14.64 13.04
19511003 7.94 17.58 12.46
19511004 7.62 17.72 11.27
19511005 6.64 17.93 10.69
19511006 4.80 16.85 9.85
19511007 8.45 14.76 11.44
19511008 7.91 15.15 11.07
19511009 7.87 14.96 11.47
19511010 12.97 17.68 15.99
19511011 14.21 14.79 14.53
19511012 9.54 14.40 11.99
19511013 7.25 14.49 10.75
19511014 6.46 14.23 9.39
19511015 6.74 16.59 11.07
19511016 12.40 13.40 12.82
19511017 9.21 13.70 10.98
19511018 7.77 13.65 12.06
19511019 13.14 17.70 15.68
19511020 16.10 18.46 17.49
19511021 13.56 17.44 15.24
19511022 12.90 16.41 14.79
19511023 14.04 16.21 14.86
19511024 12.53 15.45 13.68
19511025 9.12 13.55 10.66
19511026 6.41 13.16 10.57
19511027 8.34 15.11 11.35
19511028 11.06 16.99 14.57
19511029 12.51 15.51 13.87
19511030 12.94 18.32 15.88
19511031 12.58 20.66 17.71
19511101 11.37 17.92 13.48
19511102 7.95 15.24 11.62
19511103 7.72 13.11 10.77
19511104 5.37 13.47 8.20
19511105 9.96 11.42 10.90
19511106 9.31 13.42 11.08
19511107 11.77 14.67 13.51
19511108 13.98 16.25 15.10
19511109 15.53 16.16 15.81
19511110 14.30 17.23 16.32
19511111 9.89 14.51 11.59
19511112 6.26 14.24 11.02
19511113 9.31 11.02 10.18
19511114 10.29 15.29 11.98
19511115 12.55 16.49 14.75
19511116 15.56 16.51 16.07
19511117 10.73 15.44 12.75
19511118 8.08 13.04 10.13
19511119 7.65 11.79 9.03
19511120 5.86 12.37 8.35
19511121 6.60 10.39 9.27
19511122 4.18 6.90 5.81
19511123 4.36 8.51 7.17
19511124 5.27 10.55 7.62
19511125 8.34 11.79 9.42
19511126 9.93 11.95 10.98
19511127 10.65 11.14 10.88
19511128 10.22 14.64 11.96
19511129 8.76 14.42 11.12
19511130 5.50 13.40 10.80
19511201 4.50 7.12 5.97
19511202 0.13 3.95 1.66
19511203 -2.89 2.76 -0.00
19511204 -2.61 4.10 0.91
19511205 3.24 6.82 5.10
19511206 5.12 11.05 7.50
19511207 6.64 9.53 8.19
19511208 5.12 7.63 6.24
19511209 5.10 7.97 6.95
19511210 4.01 10.59 6.61
19511211 8.86 11.07 10.02
19511212 9.46 10.85 10.11
19511213 6.68 11.38 8.46
19511214 7.48 10.07 9.06
19511215 4.78 8.54 7.16
