# -----------------------------------------------------------------------------------------------------------
# Origine : DRIAS-CLIMAT - http://www.drias-climat.fr/commande  (produit par 'nc2txt_drias2020 1.2 du 12.07.2021')
# Date d'extraction : 20/05/2024 10:26:24 UTC
# -----------------------------------------------------------------------------------------------------------
# Production : eurocordex2020
# Modele : CNRM-ALADIN63 - CNRM-CERFACS-CNRM-CM5 (RCM - GCM)
# Scenario : periode de reference
# Donnees CORRIGEES
# -----------------------------------------------------------------------------------------------------------
# Periode : 01/01/1951 - 31/12/2005
# -----------------------------------------------------------------------------------------------------------
# Parametre 1 : Temperature minimale journaliere a 2 m
# Mnemonique 1 : tasminAdjust
# Unite origine 1 : K
# Unite restituee 1 : C
# Valeur du parametre manquant 1 : -999.99
# Parametre 2 : Temperature maximale journaliere a 2 m
# Mnemonique 2 : tasmaxAdjust
# Unite origine 2 : K
# Unite restituee 2 : C
# Valeur du parametre manquant 2 : -999.99
# Parametre 3 : Temperature moyenne a 2 m
# Mnemonique 3 : tasAdjust
# Unite origine 3 : K
# Unite restituee 3 : C
# Valeur du parametre manquant 3 : -999.99
# -----------------------------------------------------------------------------------------------------------
# Point de grille SAFRAN
# Numero = 15208
# Latitude = 49.167599 degres (WGS84)
# Longitude = 0.418770 degres (Ouest negatif)
# E = 460000 m (Lambert II Etendu)
# N = 2465000 m
# altitude = 158 m
# -----------------------------------------------------------------------------------------------------------
# Format de la ligne :
#   "Date  tasminAdjust tasmaxAdjust tasAdjust"
# avec :
#   - Date : Date du jour sous la forme 'AAAAMMJJ'
#   - tasminAdjust : Temperature minimale journaliere a 2 m [C]
#   - tasmaxAdjust : Temperature maximale journaliere a 2 m [C]
#   - tasAdjust : Temperature moyenne a 2 m [C]
# -----------------------------------------------------------------------------------------------------------
# Informations complementaires extraites de l'entete du fichier Netcdf original :
#	:creation_date = "2018-10-19T08:42:38Z" ;
#	:institute_id = "CNRM" ;
#	:institution = "CNRM (Centre National de Recherches Meteorologiques, Toulouse 31057, France)" ;
#	:model_id = "CNRM-ALADIN63" ;
#	:experiment_id = "historical" ;
#	:driving_experiment_name = "historical" ;
#	:references = "http://www.umr-cnrm.fr/spip.php?article125&lang=en" ;
#	:comment = "CORDEX Europe EUR-11 CNRM-ALADIN 6.3 L91 CNRM-CERFACS-CNRM-CM5: EUC12v63-2.02. Reference : Daniel M., Lemonsu A., Déqué M., Somot S., Alias A., Masson V. (2018) Benefits of explicit urban parametrization in regional climate modelling to study climate and city interactions. Climate Dynamics, 1-20, doi:10.1007/s00382-018-4289-x" ;
#	:project_id = "DRIAS-EUROCORDEX-2019" ;
#	:experiment = "Historical" ;
# -----------------------------------------------------------------------------------------------------------
# -----------------------------------------------------------------------------------------------------------
# Conditions d'utilisation :
# http://www.drias-climat.fr/accompagnement/conditionsEDC
# -----------------------------------------------------------------------------------------------------------
Date Tmin Tmax Tmoy
19510101 -4.39 2.72 -0.56
19510102 -5.86 -0.82 -3.32
19510103 -4.70 0.13 -2.04
19510104 -4.26 1.31 -1.36
19510105 -2.79 1.00 -0.50
19510106 -3.13 0.82 -0.29
19510107 -1.67 1.52 0.33
19510108 -1.29 4.48 1.87
19510109 4.18 5.86 5.15
19510110 4.46 7.34 5.82
19510111 4.41 8.90 6.36
19510112 4.87 7.54 5.98
19510113 3.58 7.18 5.18
19510114 5.53 9.15 7.95
19510115 4.56 9.71 5.43
19510116 5.70 10.12 8.75
19510117 1.88 7.96 5.62
19510118 1.29 8.45 3.74
19510119 6.00 11.69 8.96
19510120 6.40 10.64 8.11
19510121 4.44 8.14 6.11
19510122 5.18 9.69 6.75
19510123 5.16 11.38 8.68
19510124 6.22 6.75 6.57
19510125 5.37 9.86 7.57
19510126 6.31 9.38 7.63
19510127 3.40 6.71 5.28
19510128 -1.75 4.83 2.23
19510129 -2.23 3.35 1.04
19510130 -1.73 5.46 2.32
19510131 -0.41 4.83 3.36
19510201 -1.12 5.61 1.82
19510202 -1.18 5.15 1.88
19510203 -1.73 5.34 2.03
19510204 -0.94 9.83 4.48
19510205 3.41 11.83 8.06
19510206 3.15 8.18 5.30
19510207 -0.09 6.14 2.74
19510208 -1.19 6.34 2.88
19510209 2.52 5.96 4.54
19510210 3.47 10.09 7.68
19510211 3.12 11.27 5.92
19510212 0.84 4.80 4.22
19510213 0.27 6.00 3.18
19510214 4.35 5.61 4.84
19510215 1.00 6.02 2.94
19510216 4.44 9.39 7.54
19510217 7.29 10.70 8.78
19510218 4.81 6.77 5.80
19510219 1.96 7.40 4.35
19510220 -1.49 5.05 2.80
19510221 -0.57 8.99 4.90
19510222 5.76 12.39 9.63
19510223 6.69 10.62 8.75
19510224 3.79 8.10 5.43
19510225 0.86 8.94 4.41
19510226 2.22 10.01 5.39
19510227 4.73 6.64 6.12
19510228 5.09 14.35 9.24
19510301 7.73 16.36 12.05
19510302 6.04 7.84 6.64
19510303 3.88 8.08 6.09
19510304 2.62 8.28 5.49
19510305 3.54 7.77 5.46
19510306 1.56 7.09 5.87
19510307 2.36 5.03 4.13
19510308 0.68 10.52 5.73
19510309 4.63 10.78 7.74
19510310 4.45 9.04 6.55
19510311 3.04 8.77 6.60
19510312 1.53 11.34 5.86
19510313 5.15 10.87 7.36
19510314 3.14 9.20 6.01
19510315 4.59 8.17 6.63
19510316 4.47 6.52 5.67
19510317 2.76 8.23 5.49
19510318 6.35 7.68 6.98
19510319 3.58 8.39 5.97
19510320 0.61 10.50 6.92
19510321 6.33 9.55 8.44
19510322 7.49 16.70 11.70
19510323 7.71 15.81 12.74
19510324 6.50 10.52 8.66
19510325 3.33 7.10 4.75
19510326 3.50 8.33 6.29
19510327 3.19 8.06 5.80
19510328 5.10 7.70 6.53
19510329 1.61 11.31 6.14
19510330 5.13 15.12 9.70
19510331 8.40 9.87 9.14
19510401 6.40 8.94 7.62
19510402 4.63 9.38 6.90
19510403 3.68 9.73 7.73
19510404 6.58 12.49 9.88
19510405 5.74 10.89 7.96
19510406 4.22 8.77 6.95
19510407 2.85 8.43 5.25
19510408 1.75 11.60 7.73
19510409 8.81 13.35 10.63
19510410 10.78 14.00 12.90
19510411 9.48 14.20 11.75
19510412 7.02 15.39 12.53
19510413 3.30 16.58 10.85
19510414 5.50 16.66 10.81
19510415 5.95 9.89 7.74
19510416 3.46 10.13 6.30
19510417 1.95 10.04 5.48
19510418 3.36 9.45 7.12
19510419 2.82 7.44 4.71
19510420 0.46 7.49 5.45
19510421 3.62 10.84 7.61
19510422 3.62 8.91 5.99
19510423 2.10 8.04 5.17
19510424 -0.04 11.13 6.29
19510425 2.45 8.00 5.39
19510426 3.76 8.87 6.01
19510427 2.76 11.34 7.23
19510428 3.19 16.97 10.57
19510429 7.04 17.10 12.12
19510430 8.28 20.96 13.75
19510501 9.06 21.46 14.05
19510502 9.36 15.91 12.56
19510503 8.73 14.44 11.08
19510504 8.62 12.51 10.62
19510505 6.77 13.39 10.27
19510506 7.52 18.32 14.33
19510507 12.77 22.16 17.49
19510508 12.70 14.29 13.48
19510509 10.64 16.07 13.35
19510510 10.79 13.86 12.31
19510511 9.26 16.85 14.83
19510512 8.87 17.92 14.46
19510513 7.70 22.71 15.55
19510514 10.50 23.11 16.87
19510515 8.77 14.53 12.21
19510516 7.10 17.09 12.26
19510517 8.16 23.19 15.22
19510518 10.43 22.68 17.11
19510519 10.52 24.28 15.64
19510520 6.47 22.65 15.24
19510521 6.54 21.98 13.44
19510522 7.25 16.96 12.56
19510523 7.24 21.63 14.44
19510524 11.11 23.13 15.78
19510525 9.30 13.54 11.21
19510526 9.14 12.29 10.51
19510527 7.64 10.32 9.25
19510528 7.11 11.94 9.45
19510529 6.73 12.81 9.69
19510530 10.25 12.33 11.06
19510531 9.40 15.89 12.28
19510601 9.53 15.00 12.58
19510602 7.99 13.97 11.13
19510603 6.80 13.27 9.89
19510604 7.61 13.12 10.39
19510605 7.09 16.61 10.81
19510606 10.04 14.90 12.33
19510607 11.14 13.24 12.21
19510608 12.00 14.32 13.27
19510609 11.24 17.07 14.51
19510610 9.75 16.24 14.03
19510611 9.87 18.97 14.46
19510612 13.03 23.41 18.30
19510613 10.62 21.94 15.97
19510614 10.74 22.11 16.67
19510615 11.63 22.04 16.33
19510616 10.64 19.10 14.36
19510617 9.42 18.55 14.53
19510618 10.71 18.57 15.27
19510619 10.62 19.39 15.72
19510620 11.22 18.89 15.29
19510621 9.73 20.18 16.09
19510622 11.62 17.71 15.23
19510623 10.58 14.53 12.28
19510624 7.95 17.26 12.66
19510625 7.17 19.32 13.80
19510626 8.75 25.60 16.98
19510627 10.36 14.90 12.81
19510628 9.77 14.76 12.31
19510629 9.35 16.85 13.15
19510630 11.61 20.63 16.20
19510701 10.09 20.75 16.08
19510702 11.92 27.01 19.72
19510703 16.51 29.30 24.27
19510704 18.64 30.45 24.59
19510705 16.93 26.48 21.95
19510706 17.25 25.00 21.63
19510707 15.66 22.94 19.57
19510708 16.99 21.80 19.24
19510709 15.89 25.90 20.02
19510710 13.04 21.97 17.35
19510711 12.05 18.58 14.86
19510712 11.57 18.99 15.44
19510713 11.72 20.80 16.22
19510714 11.43 23.51 19.14
19510715 16.01 20.70 18.28
19510716 12.40 20.78 17.30
19510717 10.55 23.43 17.08
19510718 12.24 25.16 18.68
19510719 16.40 22.86 18.93
19510720 15.29 23.70 19.96
19510721 13.99 23.96 19.51
19510722 13.00 20.87 16.66
19510723 11.34 25.92 18.82
19510724 14.36 29.77 21.52
19510725 14.12 32.58 24.23
19510726 20.42 30.05 25.07
19510727 14.49 18.25 16.40
19510728 12.21 17.44 14.90
19510729 11.89 17.72 14.20
19510730 11.65 16.22 13.97
19510731 10.57 14.64 12.79
19510801 10.40 17.37 14.13
19510802 11.88 18.95 16.65
