# -----------------------------------------------------------------------------------------------------------
# Origine : DRIAS-CLIMAT - http://www.drias-climat.fr/commande  (produit par 'nc2txt_drias2020 1.2 du 12.07.2021')
# Date d'extraction : 20/05/2024 10:26:24 UTC
# -----------------------------------------------------------------------------------------------------------
# Production : eurocordex2020
# Modele : CNRM-ALADIN63 - CNRM-CERFACS-CNRM-CM5 (RCM - GCM)
# Scenario : periode de reference
# Donnees CORRIGEES
# -----------------------------------------------------------------------------------------------------------
# Periode : 01/01/1951 - 31/12/2005
# -----------------------------------------------------------------------------------------------------------
# Parametre 1 : Temperature minimale journaliere a 2 m
# Mnemonique 1 : tasminAdjust
# Unite origine 1 : K
# Unite restituee 1 : C
# Valeur du parametre manquant 1 : -999.99
# Parametre 2 : Temperature maximale journaliere a 2 m
# Mnemonique 2 : tasmaxAdjust
# Unite origine 2 : K
# Unite restituee 2 : C
# Valeur du parametre manquant 2 : -999.99
# Parametre 3 : Temperature moyenne a 2 m
# Mnemonique 3 : tasAdjust
# Unite origine 3 : K
# Unite restituee 3 : C
# Valeur du parametre manquant 3 : -999.99
# -----------------------------------------------------------------------------------------------------------
# Point de grille SAFRAN
# Numero = 14274
# Latitude = 48.558102 degres (WGS84)
# Longitude = 7.703840 degres (Ouest negatif)
# E = 996000 m (Lambert II Etendu)
# N = 2409000 m
# altitude = 143 m
# -----------------------------------------------------------------------------------------------------------
# Format de la ligne :
#   "Date  tasminAdjust tasmaxAdjust tasAdjust"
# avec :
#   - Date : Date du jour sous la forme 'AAAAMMJJ'
#   - tasminAdjust : Temperature minimale journaliere a 2 m [C]
#   - tasmaxAdjust : Temperature maximale journaliere a 2 m [C]
#   - tasAdjust : Temperature moyenne a 2 m [C]
# -----------------------------------------------------------------------------------------------------------
# Informations complementaires extraites de l'entete du fichier Netcdf original :
#	:creation_date = "2018-10-19T08:42:38Z" ;
#	:institute_id = "CNRM" ;
#	:institution = "CNRM (Centre National de Recherches Meteorologiques, Toulouse 31057, France)" ;
#	:model_id = "CNRM-ALADIN63" ;
#	:experiment_id = "historical" ;
#	:driving_experiment_name = "historical" ;
#	:references = "http://www.umr-cnrm.fr/spip.php?article125&lang=en" ;
#	:comment = "CORDEX Europe EUR-11 CNRM-ALADIN 6.3 L91 CNRM-CERFACS-CNRM-CM5: EUC12v63-2.02. Reference : Daniel M., Lemonsu A., Déqué M., Somot S., Alias A., Masson V. (2018) Benefits of explicit urban parametrization in regional climate modelling to study climate and city interactions. Climate Dynamics, 1-20, doi:10.1007/s00382-018-4289-x" ;
#	:project_id = "DRIAS-EUROCORDEX-2019" ;
#	:experiment = "Historical" ;
# -----------------------------------------------------------------------------------------------------------
# -----------------------------------------------------------------------------------------------------------
# Conditions d'utilisation :
# http://www.drias-climat.fr/accompagnement/conditionsEDC
# -----------------------------------------------------------------------------------------------------------
Date Tmin Tmax Tmoy
19510101 -3.41 -0.50 -1.77
19510102 -4.49 -0.82 -2.56
19510103 -3.86 -1.56 -2.86
19510104 -7.18 -1.53 -3.48
19510105 -8.20 -6.60 -7.17
19510106 -9.02 -8.26 -8.61
19510107 -9.29 -2.92 -6.24
19510108 -6.85 -2.38 -5.49
19510109 -6.59 0.09 -2.59
19510110 -0.56 0.30 -0.07
19510111 2.30 4.57 2.92
19510112 1.51 7.71 5.67
19510113 1.77 6.16 4.44
19510114 1.97 3.18 2.68
19510115 1.04 8.15 4.02
19510116 3.69 10.38 6.62
19510117 1.67 12.69 7.80
19510118 1.57 7.62 4.40
19510119 5.31 11.39 8.12
19510120 5.08 12.98 9.88
19510121 2.30 6.71 4.96
19510122 2.45 8.08 6.02
19510123 7.69 12.65 9.35
19510124 4.32 9.43 6.97
19510125 1.33 9.66 6.81
19510126 5.01 8.23 6.93
19510127 3.19 6.35 4.50
19510128 -0.04 3.02 1.08
19510129 -1.62 1.55 0.30
19510130 -1.59 1.87 0.06
19510131 -2.12 4.61 1.43
19510201 -1.49 4.62 1.20
19510202 -1.56 3.06 0.15
19510203 -1.82 3.93 0.55
19510204 -1.81 3.96 0.71
19510205 0.57 7.06 4.23
19510206 1.38 3.79 2.26
19510207 -0.84 7.15 2.99
19510208 -2.09 9.30 3.36
19510209 1.70 8.66 5.08
19510210 2.20 9.79 6.12
19510211 3.23 11.13 6.41
19510212 2.63 7.44 5.06
19510213 1.85 4.52 3.24
19510214 0.11 4.33 2.65
19510215 -0.35 4.21 1.66
19510216 2.91 10.83 6.40
19510217 4.91 10.93 7.17
19510218 8.15 10.84 9.47
19510219 8.00 8.36 8.21
19510220 1.66 5.73 3.13
19510221 0.80 9.93 6.37
19510222 5.57 12.36 9.09
19510223 7.79 10.85 9.24
19510224 4.79 7.68 6.13
19510225 2.27 9.07 6.49
19510226 1.06 10.25 5.20
19510227 5.21 12.91 8.79
19510228 3.45 12.40 8.30
19510301 3.59 17.36 11.09
19510302 5.76 18.29 14.33
19510303 3.96 16.05 12.63
19510304 2.85 9.32 5.09
19510305 2.35 6.87 5.47
19510306 2.05 8.25 5.03
19510307 3.38 8.17 5.69
19510308 4.19 7.87 5.69
19510309 5.48 9.06 7.08
19510310 3.52 8.09 5.03
19510311 3.43 7.34 5.57
19510312 2.15 7.56 4.30
19510313 2.15 9.93 5.39
19510314 2.29 8.31 5.18
19510315 2.49 11.13 6.47
19510316 6.24 10.46 8.16
19510317 0.10 8.10 4.02
19510318 4.07 11.58 7.89
19510319 4.58 8.31 6.56
19510320 4.59 10.24 6.52
19510321 4.62 8.00 6.82
19510322 7.04 13.51 10.40
19510323 5.66 19.79 11.85
19510324 6.59 10.08 7.87
19510325 5.33 8.45 6.45
19510326 3.27 9.31 6.25
19510327 4.76 9.15 6.72
19510328 2.34 8.49 5.38
19510329 0.32 13.63 6.83
19510330 6.91 16.02 10.74
19510331 8.73 16.25 12.43
19510401 9.22 13.99 11.18
19510402 5.50 15.88 11.44
19510403 5.18 11.36 8.38
19510404 5.24 16.26 11.51
19510405 9.81 11.59 10.55
19510406 8.07 9.19 8.70
19510407 7.02 12.96 10.02
19510408 8.19 16.45 12.71
19510409 12.17 19.65 16.63
19510410 11.89 19.92 17.08
19510411 12.81 14.84 13.83
19510412 7.08 15.18 11.21
19510413 3.71 16.64 10.82
19510414 5.51 17.50 11.98
19510415 7.22 16.60 11.43
19510416 6.68 13.07 10.00
19510417 7.29 14.57 11.23
19510418 7.25 10.97 8.95
19510419 3.33 8.03 5.70
19510420 4.86 9.04 7.04
19510421 6.28 12.18 9.98
19510422 6.12 12.98 9.75
19510423 1.54 11.74 8.95
19510424 4.95 18.72 11.55
19510425 7.09 12.41 9.64
19510426 6.29 14.62 10.26
19510427 6.69 14.47 11.01
19510428 3.61 15.13 9.44
19510429 4.31 18.35 11.11
19510430 8.63 19.94 15.14
19510501 11.14 20.37 14.84
19510502 10.73 17.17 15.06
19510503 10.04 19.53 14.36
19510504 9.59 21.90 17.46
19510505 10.23 15.34 12.49
19510506 9.92 18.08 14.48
19510507 8.53 25.35 16.85
19510508 11.46 29.46 20.60
19510509 13.84 26.51 18.87
19510510 11.49 23.48 19.59
19510511 12.33 23.15 18.22
19510512 12.22 22.10 17.70
19510513 11.64 23.04 17.95
19510514 13.08 25.14 19.67
19510515 14.98 21.64 17.58
