# -----------------------------------------------------------------------------------------------------------
# Origine : DRIAS-CLIMAT - http://www.drias-climat.fr/commande  (produit par 'nc2txt_drias2020 1.2 du 12.07.2021')
# Date d'extraction : 20/05/2024 14:43:23 UTC
# -----------------------------------------------------------------------------------------------------------
# Production : eurocordex2020
# Modele : KNMI-RACMO22E - CNRM-CERFACS-CNRM-CM5 (RCM - GCM)
# Scenario : periode de reference
# Donnees CORRIGEES
# -----------------------------------------------------------------------------------------------------------
# Periode : 01/01/1950 - 31/12/2005
# -----------------------------------------------------------------------------------------------------------
# Parametre 1 : Precipitations totales
# Mnemonique 1 : prtotAdjust
# Unite origine 1 : kg/m2/s
# Unite restituee 1 : mm
# Valeur du parametre manquant 1 : -999.9999999
# -----------------------------------------------------------------------------------------------------------
# Point de grille SAFRAN
# Numero = 1278
# Latitude = 41.939400 degres (WGS84)
# Longitude = 8.737550 degres (Ouest negatif)
# E = 1132000 m (Lambert II Etendu)
# N = 1681000 m
# altitude = 143 m
# -----------------------------------------------------------------------------------------------------------
# Format de la ligne :
#   "Date  prtotAdjust"
# avec :
#   - Date : Date du jour sous la forme 'AAAAMMJJ'
#   - prtotAdjust : Precipitations totales [mm]
# -----------------------------------------------------------------------------------------------------------
# Informations complementaires extraites de l'entete du fichier Netcdf original :
#	:experiment_id = "historical" ;
#	:driving_experiment_name = "historical" ;
#	:institution = "Royal Netherlands Meteorological Institute, De Bilt, The Netherlands" ;
#	:institute_id = "KNMI" ;
#	:model_id = "KNMI-RACMO22E" ;
#	:references = "http://www.knmi.nl/research/weather-climate-models" ;
#	:creation_date = "2018-11-01T21:14:00Z" ;
#	:project_id = "DRIAS-EUROCORDEX-2019" ;
#	:experiment = "Historical" ;
# -----------------------------------------------------------------------------------------------------------
# -----------------------------------------------------------------------------------------------------------
# Conditions d'utilisation :
# http://www.drias-climat.fr/accompagnement/conditionsEDC
# -----------------------------------------------------------------------------------------------------------
Date mm
19500101 0.102
19500102 0.048
19500103 0.000
19500104 0.000
19500105 0.000
19500106 0.779
19500107 0.000
19500108 6.199
19500109 11.062
19500110 0.000
19500111 1.629
19500112 0.000
19500113 0.000
19500114 0.000
19500115 0.000
19500116 0.000
19500117 0.000
19500118 0.000
19500119 9.229
19500120 0.000
19500121 0.000
19500122 2.806
19500123 0.412
19500124 0.000
19500125 0.000
19500126 0.000
19500127 0.000
19500128 0.000
19500129 0.000
19500130 0.000
19500131 1.157
19500201 3.115
19500202 0.000
19500203 0.000
19500204 0.000
19500205 2.186
19500206 4.777
19500207 0.110
19500208 4.570
19500209 10.186
19500210 6.964
19500211 1.556
19500212 0.000
19500213 19.225
19500214 1.803
19500215 0.000
19500216 0.550
19500217 0.542
19500218 0.000
19500219 0.000
19500220 1.491
19500221 0.000
19500222 0.603
19500223 0.100
19500224 0.000
19500225 0.100
19500226 0.000
19500227 0.000
19500228 9.823
19500301 0.100
19500302 0.000
19500303 0.116
19500304 0.000
19500305 0.000
19500306 0.000
19500307 0.000
19500308 0.000
19500309 0.000
19500310 0.000
19500311 0.000
19500312 0.000
19500313 0.000
19500314 0.000
19500315 0.124
19500316 0.648
19500317 0.000
19500318 0.686
19500319 4.887
19500320 2.821
19500321 0.000
19500322 0.000
19500323 0.000
19500324 0.576
19500325 7.189
19500326 1.664
19500327 0.100
19500328 3.173
19500329 3.797
19500330 8.996
19500331 0.000
19500401 3.590
19500402 0.000
19500403 0.000
19500404 0.000
19500405 0.100
19500406 0.000
19500407 7.033
19500408 5.609
19500409 15.007
19500410 0.000
19500411 0.000
19500412 0.000
19500413 0.052
19500414 2.784
19500415 0.100
19500416 0.000
19500417 0.000
19500418 0.000
19500419 0.000
19500420 0.000
19500421 7.606
19500422 19.010
19500423 10.271
19500424 0.052
19500425 0.000
19500426 6.154
19500427 0.293
19500428 0.000
19500429 0.000
19500430 0.100
19500501 0.000
19500502 0.000
