# -----------------------------------------------------------------------------------------------------------
# Origine : DRIAS-CLIMAT - http://www.drias-climat.fr/commande  (produit par 'nc2txt_drias2020 1.2 du 12.07.2021')
# Date d'extraction : 20/05/2024 14:43:23 UTC
# -----------------------------------------------------------------------------------------------------------
# Production : eurocordex2020
# Modele : KNMI-RACMO22E - CNRM-CERFACS-CNRM-CM5 (RCM - GCM)
# Scenario : periode de reference
# Donnees CORRIGEES
# -----------------------------------------------------------------------------------------------------------
# Periode : 01/01/1950 - 31/12/2005
# -----------------------------------------------------------------------------------------------------------
# Parametre 1 : Precipitations totales
# Mnemonique 1 : prtotAdjust
# Unite origine 1 : kg/m2/s
# Unite restituee 1 : mm
# Valeur du parametre manquant 1 : -999.9999999
# -----------------------------------------------------------------------------------------------------------
# Point de grille SAFRAN
# Numero = 14018
# Latitude = 48.408100 degres (WGS84)
# Longitude = -4.530950 degres (Ouest negatif)
# E = 92000 m (Lambert II Etendu)
# N = 2401000 m
# altitude = 60 m
# -----------------------------------------------------------------------------------------------------------
# Format de la ligne :
#   "Date  prtotAdjust"
# avec :
#   - Date : Date du jour sous la forme 'AAAAMMJJ'
#   - prtotAdjust : Precipitations totales [mm]
# -----------------------------------------------------------------------------------------------------------
# Informations complementaires extraites de l'entete du fichier Netcdf original :
#	:experiment_id = "historical" ;
#	:driving_experiment_name = "historical" ;
#	:institution = "Royal Netherlands Meteorological Institute, De Bilt, The Netherlands" ;
#	:institute_id = "KNMI" ;
#	:model_id = "KNMI-RACMO22E" ;
#	:references = "http://www.knmi.nl/research/weather-climate-models" ;
#	:creation_date = "2018-11-01T21:14:00Z" ;
#	:project_id = "DRIAS-EUROCORDEX-2019" ;
#	:experiment = "Historical" ;
# -----------------------------------------------------------------------------------------------------------
# -----------------------------------------------------------------------------------------------------------
# Conditions d'utilisation :
# http://www.drias-climat.fr/accompagnement/conditionsEDC
# -----------------------------------------------------------------------------------------------------------
Date mm
19500101 0.000
19500102 0.229
19500103 0.604
19500104 0.020
19500105 2.720
19500106 3.370
19500107 13.352
19500108 1.575
19500109 0.000
19500110 10.916
19500111 1.762
19500112 3.839
19500113 1.800
19500114 0.369
19500115 0.000
19500116 0.000
19500117 0.000
19500118 0.000
19500119 0.696
19500120 0.350
19500121 0.000
19500122 3.208
19500123 0.000
19500124 0.020
19500125 0.000
19500126 0.000
19500127 0.000
19500128 0.100
19500129 6.953
19500130 0.239
19500131 0.000
19500201 0.453
19500202 0.350
19500203 0.000
19500204 0.000
19500205 0.422
19500206 0.711
19500207 6.590
19500208 1.024
19500209 1.685
19500210 1.713
19500211 0.000
19500212 2.231
19500213 19.010
19500214 36.655
19500215 10.210
19500216 0.000
19500217 0.130
19500218 0.000
19500219 0.000
19500220 0.000
19500221 0.000
19500222 10.910
19500223 0.426
19500224 10.235
19500225 0.000
19500226 5.184
19500227 0.000
19500228 1.459
19500301 7.075
19500302 12.423
19500303 4.033
19500304 41.550
19500305 1.186
19500306 4.536
19500307 17.248
19500308 10.685
19500309 7.002
19500310 5.135
19500311 2.570
19500312 21.173
19500313 2.633
19500314 4.408
19500315 10.385
19500316 10.676
19500317 7.951
19500318 0.000
19500319 3.714
19500320 0.000
19500321 0.000
19500322 2.977
19500323 0.971
19500324 16.508
19500325 8.464
19500326 7.138
19500327 6.974
19500328 1.250
19500329 10.910
19500330 1.682
19500331 9.044
19500401 0.000
19500402 13.723
19500403 7.762
19500404 3.160
19500405 2.274
19500406 8.606
19500407 6.447
19500408 4.375
19500409 0.822
19500410 0.182
19500411 0.000
19500412 3.559
19500413 0.000
19500414 0.000
19500415 0.000
19500416 6.712
19500417 1.338
19500418 16.332
19500419 2.211
19500420 5.712
19500421 7.022
19500422 0.328
19500423 0.000
19500424 0.000
19500425 0.000
19500426 0.000
19500427 0.000
19500428 1.771
19500429 3.299
19500430 0.245
19500501 18.275
19500502 11.191
19500503 1.462
19500504 0.000
19500505 0.127
19500506 0.100
19500507 7.503
19500508 9.285
19500509 1.060
19500510 0.775
19500511 5.206
19500512 1.003
19500513 0.000
19500514 0.000
19500515 0.336
19500516 5.407
19500517 0.000
19500518 0.000
19500519 0.275
19500520 0.000
19500521 0.000
19500522 0.000
19500523 0.000
19500524 3.312
19500525 0.206
19500526 0.000
19500527 0.000
19500528 0.000
19500529 0.000
19500530 1.196
19500531 0.531
19500601 0.282
19500602 0.100
19500603 0.000
19500604 9.410
19500605 32.507
19500606 0.000
19500607 0.134
19500608 0.155
19500609 0.000
19500610 0.000
19500611 5.802
19500612 0.267
19500613 0.000
19500614 0.000
19500615 3.506
19500616 2.534
19500617 3.711
19500618 1.453
19500619 0.000
19500620 0.000
19500621 0.163
19500622 0.280
19500623 0.000
19500624 1.601
19500625 0.000
19500626 0.000
19500627 0.000
19500628 0.000
19500629 0.000
19500630 0.000
19500701 0.000
19500702 0.000
19500703 0.000
19500704 0.000
19500705 0.100
19500706 4.658
19500707 0.587
19500708 6.461
19500709 0.000
19500710 0.450
19500711 1.083
19500712 0.000
19500713 0.570
19500714 0.100
19500715 1.474
19500716 0.103
19500717 2.412
19500718 0.000
19500719 3.647
19500720 0.710
19500721 0.000
19500722 0.905
19500723 0.000
19500724 2.695
19500725 0.247
19500726 0.000
19500727 1.732
19500728 2.967
19500729 0.000
19500730 0.000
19500731 0.000
19500801 0.000
19500802 0.156
19500803 0.000
19500804 0.743
19500805 0.000
19500806 9.053
19500807 0.000
19500808 0.376
19500809 4.665
19500810 0.772
19500811 15.909
19500812 3.465
19500813 1.277
19500814 2.384
19500815 2.023
19500816 1.101
19500817 2.734
19500818 9.305
19500819 5.735
19500820 0.362
19500821 0.100
19500822 3.014
19500823 1.798
19500824 6.858
19500825 0.279
19500826 0.000
19500827 6.035
19500828 2.593
19500829 0.633
19500830 1.384
19500831 0.000
19500901 0.909
19500902 35.341
19500903 0.000
19500904 0.000
19500905 1.515
19500906 10.269
19500907 0.112
19500908 22.787
19500909 26.974
19500910 0.000
19500911 2.590
19500912 0.000
19500913 0.000
19500914 0.000
19500915 0.000
19500916 4.109
19500917 0.000
19500918 0.000
19500919 0.000
19500920 0.000
19500921 0.489
19500922 0.000
19500923 0.000
19500924 0.000
19500925 0.000
19500926 0.000
19500927 0.000
19500928 0.000
19500929 1.397
19500930 11.188
19501001 0.992
19501002 1.841
19501003 0.883
19501004 0.142
19501005 0.100
19501006 5.977
19501007 4.243
19501008 5.216
19501009 5.630
19501010 0.000
19501011 0.000
19501012 0.000
19501013 0.101
19501014 3.089
19501015 3.784
19501016 5.323
19501017 3.514
19501018 0.391
19501019 4.018
19501020 0.000
19501021 1.015
19501022 0.000
19501023 1.319
19501024 0.000
19501025 7.068
19501026 2.205
19501027 3.093
19501028 36.137
19501029 4.097
19501030 0.639
19501031 0.000
19501101 0.316
19501102 0.148
19501103 0.000
19501104 0.000
19501105 0.312
19501106 2.596
19501107 0.537
19501108 1.251
19501109 0.255
19501110 2.642
19501111 0.000
19501112 0.199
19501113 2.661
19501114 0.290
19501115 0.711
19501116 4.458
19501117 3.026
19501118 0.995
19501119 8.217
19501120 2.443
19501121 13.489
19501122 4.510
19501123 0.393
19501124 3.379
19501125 7.068
19501126 5.668
19501127 0.000
19501128 8.614
19501129 1.033
19501130 17.267
19501201 0.260
19501202 0.101
19501203 3.803
19501204 7.193
19501205 3.133
19501206 2.793
19501207 0.100
19501208 0.232
19501209 0.000
19501210 0.000
19501211 0.000
19501212 0.000
19501213 0.000
19501214 0.000
19501215 0.000
19501216 0.000
19501217 0.000
19501218 0.000
19501219 0.000
19501220 0.813
19501221 6.666
19501222 4.200
19501223 0.000
19501224 0.000
19501225 5.173
19501226 4.679
19501227 0.000
19501228 4.480
19501229 7.935
19501230 0.000
19501231 0.000
19510101 0.000
19510102 0.000
19510103 0.157
19510104 11.706
19510105 0.000
19510106 1.563
19510107 0.000
