# -----------------------------------------------------------------------------------------------------------
# Origine : DRIAS-CLIMAT - http://www.drias-climat.fr/commande  (produit par 'nc2txt_drias2020 1.2 du 12.07.2021')
# Date d'extraction : 20/05/2024 14:43:23 UTC
# -----------------------------------------------------------------------------------------------------------
# Production : eurocordex2020
# Modele : KNMI-RACMO22E - CNRM-CERFACS-CNRM-CM5 (RCM - GCM)
# Scenario : periode de reference
# Donnees CORRIGEES
# -----------------------------------------------------------------------------------------------------------
# Periode : 01/01/1950 - 31/12/2005
# -----------------------------------------------------------------------------------------------------------
# Parametre 1 : Precipitations totales
# Mnemonique 1 : prtotAdjust
# Unite origine 1 : kg/m2/s
# Unite restituee 1 : mm
# Valeur du parametre manquant 1 : -999.9999999
# -----------------------------------------------------------------------------------------------------------
# Point de grille SAFRAN
# Numero = 15208
# Latitude = 49.167599 degres (WGS84)
# Longitude = 0.418770 degres (Ouest negatif)
# E = 460000 m (Lambert II Etendu)
# N = 2465000 m
# altitude = 158 m
# -----------------------------------------------------------------------------------------------------------
# Format de la ligne :
#   "Date  prtotAdjust"
# avec :
#   - Date : Date du jour sous la forme 'AAAAMMJJ'
#   - prtotAdjust : Precipitations totales [mm]
# -----------------------------------------------------------------------------------------------------------
# Informations complementaires extraites de l'entete du fichier Netcdf original :
#	:experiment_id = "historical" ;
#	:driving_experiment_name = "historical" ;
#	:institution = "Royal Netherlands Meteorological Institute, De Bilt, The Netherlands" ;
#	:institute_id = "KNMI" ;
#	:model_id = "KNMI-RACMO22E" ;
#	:references = "http://www.knmi.nl/research/weather-climate-models" ;
#	:creation_date = "2018-11-01T21:14:00Z" ;
#	:project_id = "DRIAS-EUROCORDEX-2019" ;
#	:experiment = "Historical" ;
# -----------------------------------------------------------------------------------------------------------
# -----------------------------------------------------------------------------------------------------------
# Conditions d'utilisation :
# http://www.drias-climat.fr/accompagnement/conditionsEDC
# -----------------------------------------------------------------------------------------------------------
Date mm
19500101 0.000
19500102 0.000
19500103 0.250
19500104 0.000
19500105 0.000
19500106 8.257
19500107 1.190
19500108 9.013
19500109 0.489
19500110 3.794
19500111 0.000
19500112 0.000
19500113 0.000
19500114 0.390
19500115 0.211
19500116 0.000
19500117 0.000
19500118 1.860
19500119 3.033
19500120 0.000
19500121 0.000
19500122 6.191
19500123 0.000
19500124 0.417
19500125 0.000
19500126 0.000
19500127 0.000
19500128 0.000
19500129 3.692
19500130 3.332
19500131 0.000
19500201 0.000
19500202 0.130
19500203 0.348
19500204 0.000
19500205 0.000
19500206 0.000
19500207 1.377
19500208 1.926
19500209 0.000
19500210 0.336
19500211 0.008
19500212 0.217
19500213 14.234
19500214 12.656
19500215 19.408
19500216 0.130
19500217 0.000
19500218 0.000
19500219 0.000
19500220 0.000
19500221 0.000
19500222 0.559
19500223 0.000
19500224 4.373
19500225 5.303
19500226 4.250
19500227 0.920
19500228 0.000
19500301 0.000
19500302 11.231
19500303 1.688
19500304 6.628
19500305 4.806
19500306 0.000
19500307 2.352
19500308 1.413
19500309 0.000
19500310 1.926
19500311 0.894
19500312 5.032
19500313 0.000
19500314 0.172
19500315 5.605
19500316 0.000
19500317 7.929
19500318 1.241
19500319 1.894
19500320 0.000
19500321 0.000
19500322 0.000
19500323 6.275
19500324 21.928
19500325 1.347
19500326 2.684
19500327 6.305
19500328 0.514
19500329 12.118
19500330 10.976
19500331 0.669
19500401 3.808
19500402 2.851
19500403 7.337
19500404 4.673
19500405 4.911
19500406 1.795
19500407 7.035
19500408 1.494
19500409 0.379
19500410 0.446
19500411 0.000
19500412 5.508
19500413 0.000
19500414 0.000
19500415 0.000
19500416 1.016
19500417 3.741
19500418 3.962
19500419 4.428
19500420 7.285
19500421 3.842
19500422 0.213
19500423 0.000
19500424 0.136
19500425 0.000
19500426 0.000
19500427 0.000
19500428 0.000
19500429 7.468
19500430 10.040
19500501 8.368
19500502 6.420
