# -----------------------------------------------------------------------------------------------------------
# Origine : DRIAS-CLIMAT - http://www.drias-climat.fr/commande  (produit par 'nc2txt_drias2020 1.2 du 12.07.2021')
# Date d'extraction : 20/05/2024 14:43:23 UTC
# -----------------------------------------------------------------------------------------------------------
# Production : eurocordex2020
# Modele : KNMI-RACMO22E - CNRM-CERFACS-CNRM-CM5 (RCM - GCM)
# Scenario : periode de reference
# Donnees CORRIGEES
# -----------------------------------------------------------------------------------------------------------
# Periode : 01/01/1950 - 31/12/2005
# -----------------------------------------------------------------------------------------------------------
# Parametre 1 : Precipitations totales
# Mnemonique 1 : prtotAdjust
# Unite origine 1 : kg/m2/s
# Unite restituee 1 : mm
# Valeur du parametre manquant 1 : -999.9999999
# -----------------------------------------------------------------------------------------------------------
# Point de grille SAFRAN
# Numero = 11471
# Latitude = 47.248299 degres (WGS84)
# Longitude = -1.521700 degres (Ouest negatif)
# E = 308000 m (Lambert II Etendu)
# N = 2257000 m
# altitude = 19 m
# -----------------------------------------------------------------------------------------------------------
# Format de la ligne :
#   "Date  prtotAdjust"
# avec :
#   - Date : Date du jour sous la forme 'AAAAMMJJ'
#   - prtotAdjust : Precipitations totales [mm]
# -----------------------------------------------------------------------------------------------------------
# Informations complementaires extraites de l'entete du fichier Netcdf original :
#	:experiment_id = "historical" ;
#	:driving_experiment_name = "historical" ;
#	:institution = "Royal Netherlands Meteorological Institute, De Bilt, The Netherlands" ;
#	:institute_id = "KNMI" ;
#	:model_id = "KNMI-RACMO22E" ;
#	:references = "http://www.knmi.nl/research/weather-climate-models" ;
#	:creation_date = "2018-11-01T21:14:00Z" ;
#	:project_id = "DRIAS-EUROCORDEX-2019" ;
#	:experiment = "Historical" ;
# -----------------------------------------------------------------------------------------------------------
# -----------------------------------------------------------------------------------------------------------
# Conditions d'utilisation :
# http://www.drias-climat.fr/accompagnement/conditionsEDC
# -----------------------------------------------------------------------------------------------------------
Date mm
19500101 0.000
19500102 0.000
19500103 0.000
19500104 0.000
19500105 0.000
19500106 1.238
19500107 0.853
19500108 2.415
19500109 0.000
19500110 0.445
19500111 0.000
19500112 0.000
19500113 0.000
19500114 0.000
19500115 0.000
19500116 0.000
19500117 0.000
19500118 0.000
19500119 0.802
19500120 0.000
19500121 0.000
19500122 1.861
19500123 0.000
19500124 0.000
19500125 0.000
19500126 0.000
19500127 0.000
19500128 0.000
19500129 0.193
19500130 4.144
19500131 0.000
19500201 0.000
19500202 0.000
19500203 0.000
19500204 0.000
19500205 0.000
19500206 0.000
19500207 3.655
19500208 1.401
19500209 0.066
19500210 0.000
19500211 0.000
19500212 0.000
19500213 19.695
19500214 13.329
19500215 0.000
19500216 0.000
19500217 0.000
19500218 0.000
19500219 0.000
19500220 0.000
19500221 0.000
19500222 0.189
19500223 0.359
19500224 2.401
19500225 0.000
19500226 1.546
19500227 2.053
19500228 0.000
19500301 4.121
19500302 6.229
19500303 0.181
19500304 0.733
19500305 3.563
19500306 0.000
19500307 1.964
19500308 0.615
19500309 0.000
19500310 8.355
19500311 1.289
19500312 18.357
19500313 0.438
19500314 0.000
19500315 0.268
19500316 0.000
19500317 10.089
19500318 0.000
19500319 1.023
19500320 0.000
19500321 0.000
19500322 1.241
19500323 0.000
19500324 15.906
19500325 2.736
19500326 0.562
19500327 4.087
19500328 0.000
19500329 7.462
19500330 4.106
19500331 4.723
19500401 0.000
19500402 2.216
19500403 3.056
19500404 0.650
19500405 0.957
19500406 4.120
19500407 8.037
19500408 7.044
19500409 0.357
19500410 0.280
19500411 0.000
19500412 13.325
19500413 0.098
19500414 0.000
19500415 0.000
19500416 2.927
19500417 0.340
19500418 5.055
19500419 1.436
19500420 6.560
19500421 3.711
19500422 3.589
19500423 0.000
19500424 0.000
19500425 0.000
19500426 0.000
19500427 0.000
19500428 4.098
19500429 7.044
19500430 1.474
19500501 7.146
19500502 6.939
