# -----------------------------------------------------------------------------------------------------------
# Origine : DRIAS-CLIMAT - http://www.drias-climat.fr/commande  (produit par 'nc2txt_drias2020 1.2 du 12.07.2021')
# Date d'extraction : 20/05/2024 14:43:23 UTC
# -----------------------------------------------------------------------------------------------------------
# Production : eurocordex2020
# Modele : KNMI-RACMO22E - CNRM-CERFACS-CNRM-CM5 (RCM - GCM)
# Scenario : periode de reference
# Donnees CORRIGEES
# -----------------------------------------------------------------------------------------------------------
# Periode : 01/01/1950 - 31/12/2005
# -----------------------------------------------------------------------------------------------------------
# Parametre 1 : Precipitations totales
# Mnemonique 1 : prtotAdjust
# Unite origine 1 : kg/m2/s
# Unite restituee 1 : mm
# Valeur du parametre manquant 1 : -999.9999999
# -----------------------------------------------------------------------------------------------------------
# Point de grille SAFRAN
# Numero = 14368
# Latitude = 48.751499 degres (WGS84)
# Longitude = 2.391570 degres (Ouest negatif)
# E = 604000 m (Lambert II Etendu)
# N = 2417000 m
# altitude = 66 m
# -----------------------------------------------------------------------------------------------------------
# Format de la ligne :
#   "Date  prtotAdjust"
# avec :
#   - Date : Date du jour sous la forme 'AAAAMMJJ'
#   - prtotAdjust : Precipitations totales [mm]
# -----------------------------------------------------------------------------------------------------------
# Informations complementaires extraites de l'entete du fichier Netcdf original :
#	:experiment_id = "historical" ;
#	:driving_experiment_name = "historical" ;
#	:institution = "Royal Netherlands Meteorological Institute, De Bilt, The Netherlands" ;
#	:institute_id = "KNMI" ;
#	:model_id = "KNMI-RACMO22E" ;
#	:references = "http://www.knmi.nl/research/weather-climate-models" ;
#	:creation_date = "2018-11-01T21:14:00Z" ;
#	:project_id = "DRIAS-EUROCORDEX-2019" ;
#	:experiment = "Historical" ;
# -----------------------------------------------------------------------------------------------------------
# -----------------------------------------------------------------------------------------------------------
# Conditions d'utilisation :
# http://www.drias-climat.fr/accompagnement/conditionsEDC
# -----------------------------------------------------------------------------------------------------------
Date mm
19500101 0.679
19500102 0.000
19500103 0.000
19500104 0.000
19500105 0.000
19500106 1.050
19500107 0.000
19500108 5.356
19500109 3.387
19500110 0.000
19500111 0.000
19500112 0.000
19500113 0.000
19500114 0.000
19500115 0.000
19500116 0.000
19500117 0.757
19500118 3.102
19500119 0.373
19500120 0.197
19500121 0.804
19500122 3.312
19500123 0.403
19500124 0.000
19500125 0.000
19500126 0.132
19500127 0.000
19500128 0.000
19500129 2.909
19500130 4.911
19500131 0.000
19500201 0.242
19500202 3.768
19500203 1.670
19500204 0.148
19500205 0.000
19500206 0.000
19500207 1.500
19500208 1.086
19500209 0.000
19500210 0.702
19500211 0.000
19500212 0.513
19500213 15.213
19500214 7.771
19500215 14.166
19500216 1.855
19500217 0.000
19500218 0.078
19500219 0.000
19500220 0.000
19500221 0.000
19500222 1.704
19500223 0.783
19500224 0.975
19500225 0.000
19500226 0.000
19500227 1.932
19500228 0.000
19500301 0.000
19500302 1.260
19500303 1.896
19500304 0.836
19500305 2.539
19500306 2.954
19500307 0.000
19500308 0.324
19500309 0.000
19500310 0.190
19500311 1.105
19500312 0.431
19500313 11.712
19500314 0.000
19500315 0.000
19500316 0.000
19500317 15.457
19500318 0.000
19500319 0.213
19500320 0.526
19500321 0.000
19500322 0.000
19500323 4.567
19500324 12.101
19500325 4.475
19500326 2.871
19500327 2.594
19500328 1.662
19500329 8.082
19500330 2.661
19500331 0.000
19500401 4.740
19500402 0.708
19500403 1.484
19500404 0.615
19500405 2.137
19500406 0.945
19500407 2.660
19500408 0.000
19500409 3.645
19500410 0.000
19500411 0.000
19500412 6.383
19500413 0.509
19500414 2.808
19500415 0.000
19500416 0.000
19500417 0.000
19500418 2.737
19500419 2.761
19500420 6.451
19500421 0.000
19500422 0.000
19500423 1.224
19500424 13.307
19500425 0.000
19500426 0.000
19500427 0.000
19500428 0.000
19500429 1.510
19500430 5.699
19500501 0.629
19500502 8.034
