# -----------------------------------------------------------------------------------------------------------
# Origine : DRIAS-CLIMAT - http://www.drias-climat.fr/commande  (produit par 'nc2txt_drias2020 1.2 du 12.07.2021')
# Date d'extraction : 20/05/2024 14:43:23 UTC
# -----------------------------------------------------------------------------------------------------------
# Production : eurocordex2020
# Modele : KNMI-RACMO22E - CNRM-CERFACS-CNRM-CM5 (RCM - GCM)
# Scenario : periode de reference
# Donnees CORRIGEES
# -----------------------------------------------------------------------------------------------------------
# Periode : 01/01/1950 - 31/12/2005
# -----------------------------------------------------------------------------------------------------------
# Parametre 1 : Precipitations totales
# Mnemonique 1 : prtotAdjust
# Unite origine 1 : kg/m2/s
# Unite restituee 1 : mm
# Valeur du parametre manquant 1 : -999.9999999
# -----------------------------------------------------------------------------------------------------------
# Point de grille SAFRAN
# Numero = 2361
# Latitude = 42.707100 degres (WGS84)
# Longitude = 2.872980 degres (Ouest negatif)
# E = 644000 m (Lambert II Etendu)
# N = 1745000 m
# altitude = 43 m
# -----------------------------------------------------------------------------------------------------------
# Format de la ligne :
#   "Date  prtotAdjust"
# avec :
#   - Date : Date du jour sous la forme 'AAAAMMJJ'
#   - prtotAdjust : Precipitations totales [mm]
# -----------------------------------------------------------------------------------------------------------
# Informations complementaires extraites de l'entete du fichier Netcdf original :
#	:experiment_id = "historical" ;
#	:driving_experiment_name = "historical" ;
#	:institution = "Royal Netherlands Meteorological Institute, De Bilt, The Netherlands" ;
#	:institute_id = "KNMI" ;
#	:model_id = "KNMI-RACMO22E" ;
#	:references = "http://www.knmi.nl/research/weather-climate-models" ;
#	:creation_date = "2018-11-01T21:14:00Z" ;
#	:project_id = "DRIAS-EUROCORDEX-2019" ;
#	:experiment = "Historical" ;
# -----------------------------------------------------------------------------------------------------------
# -----------------------------------------------------------------------------------------------------------
# Conditions d'utilisation :
# http://www.drias-climat.fr/accompagnement/conditionsEDC
# -----------------------------------------------------------------------------------------------------------
Date mm
19500101 0.000
19500102 0.000
19500103 0.000
19500104 0.000
19500105 0.000
19500106 1.650
19500107 3.173
19500108 0.000
19500109 0.000
19500110 0.000
19500111 0.000
19500112 0.000
19500113 0.000
19500114 0.000
19500115 0.000
19500116 0.000
19500117 0.000
19500118 0.000
19500119 0.000
19500120 0.000
19500121 0.000
19500122 0.029
19500123 0.100
19500124 0.000
19500125 0.000
19500126 0.000
19500127 0.000
19500128 0.000
19500129 0.000
19500130 0.000
19500131 0.110
19500201 0.000
19500202 0.000
19500203 0.000
19500204 0.000
19500205 0.000
19500206 0.000
19500207 0.198
19500208 0.000
19500209 0.753
19500210 1.116
19500211 0.000
19500212 0.000
19500213 0.000
19500214 0.000
19500215 0.000
19500216 0.000
19500217 1.224
19500218 0.000
19500219 1.048
19500220 0.000
19500221 9.389
19500222 12.186
19500223 1.248
19500224 12.268
19500225 0.154
19500226 9.039
19500227 22.351
19500228 32.221
19500301 0.000
19500302 0.000
19500303 0.000
19500304 0.922
19500305 0.000
19500306 0.100
19500307 0.000
19500308 0.854
19500309 0.531
19500310 0.328
19500311 0.654
19500312 0.000
19500313 0.755
19500314 0.000
19500315 0.000
19500316 0.100
19500317 4.569
19500318 0.000
19500319 0.000
19500320 2.286
19500321 0.000
19500322 0.000
19500323 0.000
19500324 0.000
19500325 0.871
19500326 0.000
19500327 4.786
19500328 2.293
19500329 3.995
19500330 2.070
19500331 0.000
19500401 1.987
19500402 0.000
19500403 0.111
19500404 0.000
19500405 0.000
19500406 0.000
19500407 0.000
19500408 0.000
19500409 0.000
19500410 0.000
19500411 0.000
19500412 5.627
19500413 8.125
19500414 0.176
19500415 0.000
19500416 0.000
19500417 0.000
19500418 0.000
19500419 1.047
19500420 0.134
19500421 5.140
19500422 0.000
19500423 0.000
19500424 0.000
19500425 0.000
19500426 0.000
19500427 0.000
19500428 0.000
19500429 0.139
19500430 0.000
19500501 0.000
19500502 0.000
