# -----------------------------------------------------------------------------------------------------------
# Origine : DRIAS-CLIMAT - http://www.drias-climat.fr/commande  (produit par 'nc2txt_drias2020 1.2 du 12.07.2021')
# Date d'extraction : 20/05/2024 14:43:23 UTC
# -----------------------------------------------------------------------------------------------------------
# Production : eurocordex2020
# Modele : KNMI-RACMO22E - CNRM-CERFACS-CNRM-CM5 (RCM - GCM)
# Scenario : periode de reference
# Donnees CORRIGEES
# -----------------------------------------------------------------------------------------------------------
# Periode : 01/01/1950 - 31/12/2005
# -----------------------------------------------------------------------------------------------------------
# Parametre 1 : Precipitations totales
# Mnemonique 1 : prtotAdjust
# Unite origine 1 : kg/m2/s
# Unite restituee 1 : mm
# Valeur du parametre manquant 1 : -999.9999999
# -----------------------------------------------------------------------------------------------------------
# Point de grille SAFRAN
# Numero = 14274
# Latitude = 48.558102 degres (WGS84)
# Longitude = 7.703840 degres (Ouest negatif)
# E = 996000 m (Lambert II Etendu)
# N = 2409000 m
# altitude = 143 m
# -----------------------------------------------------------------------------------------------------------
# Format de la ligne :
#   "Date  prtotAdjust"
# avec :
#   - Date : Date du jour sous la forme 'AAAAMMJJ'
#   - prtotAdjust : Precipitations totales [mm]
# -----------------------------------------------------------------------------------------------------------
# Informations complementaires extraites de l'entete du fichier Netcdf original :
#	:experiment_id = "historical" ;
#	:driving_experiment_name = "historical" ;
#	:institution = "Royal Netherlands Meteorological Institute, De Bilt, The Netherlands" ;
#	:institute_id = "KNMI" ;
#	:model_id = "KNMI-RACMO22E" ;
#	:references = "http://www.knmi.nl/research/weather-climate-models" ;
#	:creation_date = "2018-11-01T21:14:00Z" ;
#	:project_id = "DRIAS-EUROCORDEX-2019" ;
#	:experiment = "Historical" ;
# -----------------------------------------------------------------------------------------------------------
# -----------------------------------------------------------------------------------------------------------
# Conditions d'utilisation :
# http://www.drias-climat.fr/accompagnement/conditionsEDC
# -----------------------------------------------------------------------------------------------------------
Date mm
19500101 0.000
19500102 0.000
19500103 0.000
19500104 0.100
19500105 0.000
19500106 0.000
19500107 1.785
19500108 0.592
19500109 3.561
19500110 0.726
19500111 0.000
19500112 0.000
19500113 0.000
19500114 0.000
19500115 0.000
19500116 0.000
19500117 0.000
19500118 3.758
19500119 4.173
19500120 3.402
19500121 0.000
19500122 5.348
19500123 3.839
19500124 0.000
19500125 4.140
19500126 1.532
19500127 1.184
19500128 0.000
19500129 0.000
19500130 5.027
19500131 0.152
19500201 0.793
19500202 0.363
19500203 1.503
19500204 11.543
19500205 1.118
19500206 0.000
19500207 0.214
19500208 0.631
19500209 0.000
19500210 0.000
19500211 0.000
19500212 0.871
19500213 10.928
19500214 2.178
19500215 6.647
19500216 0.000
19500217 0.000
19500218 0.337
19500219 0.172
19500220 0.214
19500221 0.000
19500222 0.000
19500223 2.410
19500224 0.000
19500225 0.000
19500226 0.000
19500227 0.000
19500228 1.212
19500301 0.000
19500302 0.000
19500303 13.464
19500304 0.000
19500305 0.000
19500306 1.177
19500307 1.046
19500308 1.814
19500309 0.000
19500310 0.000
19500311 4.776
19500312 0.000
19500313 3.256
19500314 0.105
19500315 0.000
19500316 1.205
19500317 1.289
19500318 0.000
19500319 0.000
19500320 4.190
19500321 0.017
19500322 1.708
19500323 1.910
19500324 7.681
19500325 7.982
19500326 0.000
19500327 0.511
19500328 5.040
19500329 4.357
19500330 1.275
19500331 0.253
19500401 0.000
19500402 0.000
19500403 21.035
19500404 0.484
19500405 3.084
19500406 0.175
19500407 7.230
19500408 6.044
19500409 0.000
19500410 0.193
19500411 0.000
19500412 0.000
19500413 0.000
19500414 0.000
19500415 0.177
19500416 0.000
19500417 0.000
19500418 0.000
19500419 12.466
19500420 0.757
19500421 20.664
19500422 15.315
19500423 5.557
19500424 16.205
19500425 1.173
19500426 0.000
19500427 0.000
19500428 0.000
19500429 0.000
19500430 0.000
19500501 0.000
19500502 4.052
