# -----------------------------------------------------------------------------------------------------------
# Origine : DRIAS-CLIMAT - http://www.drias-climat.fr/commande  (produit par 'nc2txt_drias2020 1.2 du 12.07.2021')
# Date d'extraction : 20/05/2024 14:42:59 UTC
# -----------------------------------------------------------------------------------------------------------
# Production : eurocordex2020
# Modele : KNMI-RACMO22E - CNRM-CERFACS-CNRM-CM5 (RCM - GCM)
# Scenario : periode de reference
# Donnees CORRIGEES
# -----------------------------------------------------------------------------------------------------------
# Periode : 01/01/1950 - 31/12/2005
# -----------------------------------------------------------------------------------------------------------
# Parametre 1 : Temperature minimale journaliere a 2 m
# Mnemonique 1 : tasminAdjust
# Unite origine 1 : K
# Unite restituee 1 : C
# Valeur du parametre manquant 1 : -999.99
# Parametre 2 : Temperature maximale journaliere a 2 m
# Mnemonique 2 : tasmaxAdjust
# Unite origine 2 : K
# Unite restituee 2 : C
# Valeur du parametre manquant 2 : -999.99
# Parametre 3 : Temperature moyenne a 2 m
# Mnemonique 3 : tasAdjust
# Unite origine 3 : K
# Unite restituee 3 : C
# Valeur du parametre manquant 3 : -999.99
# -----------------------------------------------------------------------------------------------------------
# Point de grille SAFRAN
# Numero = 1278
# Latitude = 41.939400 degres (WGS84)
# Longitude = 8.737550 degres (Ouest negatif)
# E = 1132000 m (Lambert II Etendu)
# N = 1681000 m
# altitude = 143 m
# -----------------------------------------------------------------------------------------------------------
# Format de la ligne :
#   "Date  tasminAdjust tasmaxAdjust tasAdjust"
# avec :
#   - Date : Date du jour sous la forme 'AAAAMMJJ'
#   - tasminAdjust : Temperature minimale journaliere a 2 m [C]
#   - tasmaxAdjust : Temperature maximale journaliere a 2 m [C]
#   - tasAdjust : Temperature moyenne a 2 m [C]
# -----------------------------------------------------------------------------------------------------------
# Informations complementaires extraites de l'entete du fichier Netcdf original :
#	:experiment_id = "historical" ;
#	:driving_experiment_name = "historical" ;
#	:institution = "Royal Netherlands Meteorological Institute, De Bilt, The Netherlands" ;
#	:institute_id = "KNMI" ;
#	:model_id = "KNMI-RACMO22E" ;
#	:references = "http://www.knmi.nl/research/weather-climate-models" ;
#	:creation_date = "2018-11-14T15:24:23Z" ;
#	:project_id = "DRIAS-EUROCORDEX-2019" ;
#	:experiment = "Historical" ;
# -----------------------------------------------------------------------------------------------------------
# -----------------------------------------------------------------------------------------------------------
# Conditions d'utilisation :
# http://www.drias-climat.fr/accompagnement/conditionsEDC
# -----------------------------------------------------------------------------------------------------------
Date Tmin Tmax Tmoy
19500101 6.48 12.86 9.52
19500102 6.22 12.56 9.41
19500103 4.95 12.99 8.27
19500104 4.45 11.83 7.48
19500105 5.08 13.49 8.99
19500106 2.96 11.58 6.08
19500107 2.97 9.52 5.64
19500108 2.75 11.83 6.19
19500109 6.11 12.17 8.57
19500110 5.65 10.04 8.11
19500111 4.96 10.82 8.69
19500112 3.63 11.00 6.64
19500113 2.20 8.43 4.73
19500114 0.64 7.49 4.26
19500115 0.11 6.59 2.42
19500116 -2.04 5.46 1.36
19500117 -3.52 5.16 1.44
19500118 -1.57 9.55 3.10
19500119 3.73 10.84 7.15
19500120 3.00 9.74 6.76
19500121 1.07 4.78 2.37
19500122 -1.94 8.98 2.58
19500123 0.23 9.77 4.44
19500124 0.56 10.24 4.56
19500125 -0.95 8.85 4.75
19500126 1.24 10.41 5.90
19500127 1.18 10.40 5.10
19500128 1.99 7.96 5.33
19500129 1.58 9.54 7.08
19500130 4.27 14.43 8.56
19500131 5.20 12.68 8.43
19500201 3.14 10.28 6.20
19500202 -0.09 6.11 2.80
19500203 -2.12 7.52 2.23
19500204 -1.04 9.37 3.93
19500205 2.38 9.16 6.32
19500206 0.48 9.02 5.08
19500207 0.40 7.67 5.39
19500208 0.39 8.90 5.18
19500209 1.79 9.32 6.36
19500210 4.01 8.83 6.45
19500211 2.44 6.60 4.34
19500212 -1.63 2.63 -0.05
19500213 -2.05 8.58 3.40
19500214 5.61 14.37 9.89
19500215 5.82 14.79 12.16
19500216 6.31 11.27 8.53
19500217 7.15 12.52 9.07
19500218 5.24 13.75 8.62
19500219 4.85 17.79 9.69
19500220 7.25 13.49 9.92
19500221 7.98 15.32 11.26
19500222 8.28 15.28 11.03
19500223 8.50 15.02 11.35
19500224 8.18 16.65 11.93
19500225 7.77 14.44 10.66
19500226 6.47 16.70 10.61
19500227 7.65 20.64 14.05
19500228 9.89 17.21 13.92
19500301 8.13 14.97 11.02
19500302 7.40 16.80 11.17
19500303 9.70 16.22 12.11
19500304 9.58 16.60 13.46
19500305 9.24 17.88 12.91
19500306 10.38 20.90 14.23
19500307 11.34 16.35 14.07
19500308 11.08 15.40 13.18
19500309 10.48 16.58 13.75
19500310 9.03 21.59 15.24
19500311 12.17 22.13 16.77
19500312 12.79 16.76 14.89
19500313 7.72 16.48 13.28
19500314 9.49 16.46 13.81
19500315 9.85 15.96 12.50
19500316 8.51 15.29 12.17
19500317 7.79 15.39 11.35
19500318 7.78 15.15 11.25
