# -----------------------------------------------------------------------------------------------------------
# Origine : DRIAS-CLIMAT - http://www.drias-climat.fr/commande  (produit par 'nc2txt_drias2020 1.2 du 12.07.2021')
# Date d'extraction : 20/05/2024 14:42:59 UTC
# -----------------------------------------------------------------------------------------------------------
# Production : eurocordex2020
# Modele : KNMI-RACMO22E - CNRM-CERFACS-CNRM-CM5 (RCM - GCM)
# Scenario : periode de reference
# Donnees CORRIGEES
# -----------------------------------------------------------------------------------------------------------
# Periode : 01/01/1950 - 31/12/2005
# -----------------------------------------------------------------------------------------------------------
# Parametre 1 : Temperature minimale journaliere a 2 m
# Mnemonique 1 : tasminAdjust
# Unite origine 1 : K
# Unite restituee 1 : C
# Valeur du parametre manquant 1 : -999.99
# Parametre 2 : Temperature maximale journaliere a 2 m
# Mnemonique 2 : tasmaxAdjust
# Unite origine 2 : K
# Unite restituee 2 : C
# Valeur du parametre manquant 2 : -999.99
# Parametre 3 : Temperature moyenne a 2 m
# Mnemonique 3 : tasAdjust
# Unite origine 3 : K
# Unite restituee 3 : C
# Valeur du parametre manquant 3 : -999.99
# -----------------------------------------------------------------------------------------------------------
# Point de grille SAFRAN
# Numero = 4230
# Latitude = 43.632000 degres (WGS84)
# Longitude = 3.871670 degres (Ouest negatif)
# E = 724000 m (Lambert II Etendu)
# N = 1849000 m
# altitude = 57 m
# -----------------------------------------------------------------------------------------------------------
# Format de la ligne :
#   "Date  tasminAdjust tasmaxAdjust tasAdjust"
# avec :
#   - Date : Date du jour sous la forme 'AAAAMMJJ'
#   - tasminAdjust : Temperature minimale journaliere a 2 m [C]
#   - tasmaxAdjust : Temperature maximale journaliere a 2 m [C]
#   - tasAdjust : Temperature moyenne a 2 m [C]
# -----------------------------------------------------------------------------------------------------------
# Informations complementaires extraites de l'entete du fichier Netcdf original :
#	:experiment_id = "historical" ;
#	:driving_experiment_name = "historical" ;
#	:institution = "Royal Netherlands Meteorological Institute, De Bilt, The Netherlands" ;
#	:institute_id = "KNMI" ;
#	:model_id = "KNMI-RACMO22E" ;
#	:references = "http://www.knmi.nl/research/weather-climate-models" ;
#	:creation_date = "2018-11-14T15:24:23Z" ;
#	:project_id = "DRIAS-EUROCORDEX-2019" ;
#	:experiment = "Historical" ;
# -----------------------------------------------------------------------------------------------------------
# -----------------------------------------------------------------------------------------------------------
# Conditions d'utilisation :
# http://www.drias-climat.fr/accompagnement/conditionsEDC
# -----------------------------------------------------------------------------------------------------------
Date Tmin Tmax Tmoy
19500101 5.67 12.90 8.79
19500102 6.34 12.40 10.23
19500103 4.70 12.26 7.79
19500104 4.16 10.52 7.40
19500105 2.27 9.80 6.66
19500106 2.29 5.68 4.24
19500107 2.35 8.49 4.77
19500108 4.58 10.64 6.92
19500109 3.17 9.41 6.18
19500110 1.04 7.28 4.37
19500111 -1.22 8.42 3.97
19500112 -2.13 5.37 0.92
19500113 -3.44 2.60 0.03
19500114 -4.53 -1.10 -3.17
19500115 -5.04 2.99 -1.91
19500116 -5.74 0.11 -3.01
19500117 -5.56 3.00 -1.90
19500118 -5.31 8.40 0.89
19500119 0.10 8.55 5.11
19500120 2.02 8.44 5.68
19500121 -0.71 6.08 2.47
19500122 -3.67 7.19 3.46
19500123 -0.23 9.96 5.69
19500124 0.46 9.64 3.47
19500125 -2.42 10.18 1.57
19500126 -1.76 9.20 2.88
19500127 -0.81 9.18 2.37
19500128 1.27 8.11 3.99
19500129 5.08 6.09 5.43
19500130 3.46 11.90 7.60
19500131 2.93 9.13 5.26
19500201 2.51 6.17 4.07
19500202 0.60 6.75 3.10
19500203 -0.95 9.32 3.04
19500204 -1.95 12.79 6.62
19500205 1.04 8.92 4.87
19500206 -0.74 7.40 3.45
19500207 0.97 6.95 3.46
19500208 -0.79 7.64 3.07
19500209 -1.06 7.78 2.79
19500210 -1.74 6.98 3.11
19500211 -2.26 4.67 1.24
19500212 -4.82 6.09 0.45
19500213 -1.13 3.86 1.50
19500214 5.12 11.70 7.15
19500215 7.57 14.66 11.24
19500216 6.21 18.79 12.89
19500217 9.19 9.57 9.35
19500218 6.34 15.99 10.44
19500219 5.42 10.98 7.97
19500220 5.04 17.19 12.21
19500221 8.16 13.08 10.19
19500222 7.52 8.45 7.90
19500223 7.33 8.13 7.61
19500224 7.89 10.88 9.83
19500225 10.33 13.24 11.81
19500226 9.31 14.77 11.39
19500227 9.74 12.70 11.29
19500228 9.65 12.59 11.81
19500301 7.94 18.81 12.77
19500302 9.54 18.23 13.21
19500303 12.00 16.36 13.94
19500304 12.68 13.86 13.25
19500305 12.82 13.43 13.11
19500306 9.08 13.74 11.83
19500307 7.23 17.84 13.89
19500308 12.15 16.65 14.24
19500309 13.22 14.57 13.98
19500310 13.60 16.53 15.17
19500311 12.45 13.67 12.93
19500312 9.30 17.38 13.53
19500313 12.18 16.74 14.14
19500314 8.65 19.87 15.05
19500315 9.17 17.46 13.40
19500316 13.29 14.56 13.94
19500317 13.00 14.40 13.80
19500318 8.24 15.31 11.50
19500319 7.47 17.96 11.90
19500320 6.68 17.00 11.06
19500321 6.71 16.00 10.54
19500322 5.30 17.82 11.10
19500323 6.98 16.54 11.11
19500324 8.54 13.55 12.04
19500325 6.08 14.53 9.86
19500326 5.35 11.52 8.48
19500327 6.15 10.70 7.57
19500328 6.85 13.66 9.94
19500329 7.50 14.36 11.09
19500330 9.70 12.74 11.43
19500331 8.39 13.95 11.79
19500401 8.33 13.22 11.36
19500402 6.17 14.33 9.39
19500403 11.09 13.04 12.12
19500404 12.27 16.54 14.05
19500405 7.69 15.60 11.77
19500406 8.34 17.11 12.32
19500407 8.85 14.72 10.84
19500408 7.23 14.38 10.59
19500409 6.74 15.25 10.80
19500410 5.32 15.63 10.39
19500411 6.18 15.08 10.12
19500412 11.98 13.58 12.87
19500413 12.19 14.35 13.56
19500414 11.87 12.01 11.93
19500415 8.60 14.91 11.59
19500416 7.23 20.70 13.55
19500417 9.59 22.46 16.53
19500418 11.37 23.56 18.44
19500419 11.80 21.51 17.54
19500420 9.37 20.29 13.61
19500421 8.77 15.07 11.59
19500422 8.50 15.87 11.66
19500423 10.39 14.55 12.31
19500424 8.92 14.71 11.29
19500425 8.72 17.70 13.80
19500426 7.19 17.67 12.04
19500427 5.68 13.51 9.47
19500428 9.27 14.50 11.62
19500429 9.08 13.56 10.93
19500430 8.84 18.05 14.15
19500501 8.50 19.46 14.21
19500502 8.48 21.03 13.86
19500503 12.92 19.54 16.03
19500504 12.33 19.92 15.71
19500505 15.12 21.18 18.42
19500506 16.20 17.07 16.66
19500507 12.87 23.46 18.49
19500508 14.61 21.18 18.10
19500509 14.49 19.10 16.61
19500510 15.15 19.65 18.18
19500511 11.96 14.49 13.01
19500512 8.36 20.03 14.18
19500513 9.71 18.58 14.38
19500514 8.53 21.84 14.97
19500515 11.10 21.24 15.42
19500516 12.71 20.17 15.93
19500517 12.96 23.22 19.20
19500518 18.44 21.08 19.61
19500519 15.50 22.41 18.72
19500520 16.18 23.47 19.58
19500521 16.05 26.84 21.46
19500522 17.14 27.50 22.29
19500523 15.79 20.44 17.78
19500524 14.83 18.33 16.93
19500525 14.71 19.23 17.93
19500526 15.56 16.42 15.95
19500527 14.74 19.70 17.55
19500528 15.05 23.67 19.18
19500529 14.63 20.42 17.27
19500530 15.46 21.72 18.33
19500531 13.27 14.09 13.71
19500601 12.32 15.55 14.16
19500602 13.42 23.07 17.04
19500603 13.48 21.68 18.28
19500604 13.36 21.73 17.50
19500605 15.28 21.05 18.13
19500606 15.66 20.66 18.27
19500607 16.30 23.50 19.12
19500608 17.73 26.98 21.87
19500609 16.12 23.63 19.32
19500610 15.95 22.65 18.85
19500611 15.95 25.60 20.28
19500612 16.10 28.11 22.88
19500613 18.71 28.40 23.24
19500614 17.57 23.23 20.69
19500615 16.29 25.72 20.80
19500616 15.17 25.49 20.45
19500617 16.77 24.21 19.96
19500618 16.33 24.13 20.24
19500619 16.01 20.40 17.85
19500620 11.85 22.15 17.80
19500621 14.03 24.39 19.43
19500622 16.45 24.02 20.10
19500623 17.03 25.40 21.12
19500624 16.72 27.17 22.23
19500625 17.02 28.34 22.88
19500626 17.46 27.62 22.25
19500627 18.23 27.04 21.64
19500628 17.31 27.79 23.58
19500629 18.37 23.50 20.67
19500630 16.93 26.87 20.95
19500701 16.59 23.42 20.78
19500702 17.35 27.68 22.66
19500703 18.52 25.45 21.48
19500704 20.62 23.32 21.99
19500705 20.09 26.84 22.94
19500706 18.98 26.69 23.06
19500707 17.15 27.69 22.85
19500708 18.08 26.88 21.41
19500709 17.04 22.80 21.08
19500710 15.20 27.60 21.65
19500711 18.02 27.54 22.20
19500712 17.39 28.69 23.60
19500713 20.20 31.23 24.87
19500714 20.31 32.23 26.10
19500715 20.70 31.96 26.60
19500716 20.11 29.90 24.26
19500717 19.15 32.43 24.76
19500718 20.15 33.86 26.87
19500719 21.02 27.64 23.90
19500720 21.19 30.36 25.60
19500721 20.23 26.64 23.71
19500722 19.66 25.63 22.20
19500723 18.37 24.48 21.27
19500724 19.63 25.73 22.51
19500725 16.74 27.33 22.83
19500726 18.13 28.23 22.30
19500727 19.57 23.87 21.76
19500728 22.92 29.48 25.75
19500729 21.96 32.21 26.14
19500730 23.84 34.33 28.14
19500731 23.34 34.85 29.90
19500801 25.83 31.65 28.38
19500802 22.13 28.76 25.96
19500803 22.33 30.71 25.73
19500804 21.75 31.65 26.55
19500805 23.04 31.64 27.04
19500806 22.31 31.74 27.14
19500807 23.15 29.55 26.02
19500808 22.18 28.97 26.17
19500809 22.03 31.11 26.89
19500810 22.24 30.69 25.93
19500811 19.68 26.92 23.68
19500812 20.00 27.02 22.80
19500813 18.14 24.16 20.57
19500814 16.78 22.45 19.35
19500815 16.46 24.89 21.35
19500816 17.52 27.86 22.24
19500817 18.52 25.18 21.71
19500818 16.91 24.41 21.20
19500819 15.90 21.95 18.83
19500820 16.53 23.88 19.43
19500821 16.84 22.51 19.04
19500822 16.49 24.97 20.42
19500823 15.03 24.86 19.67
19500824 16.34 27.25 22.45
19500825 18.01 26.78 21.95
19500826 16.89 27.16 21.70
19500827 16.74 25.80 20.99
19500828 19.74 20.80 20.31
19500829 21.82 24.17 23.05
19500830 22.00 28.06 24.29
19500831 21.94 29.08 24.77
19500901 20.12 29.39 25.62
19500902 18.13 28.64 22.41
19500903 18.16 27.31 21.84
19500904 19.01 27.32 22.91
19500905 17.18 27.98 22.84
19500906 17.18 26.00 20.53
19500907 16.05 24.04 19.78
19500908 14.50 24.30 20.20
19500909 13.72 22.71 19.64
19500910 16.77 24.38 21.34
19500911 15.83 26.60 20.48
19500912 13.37 26.70 19.40
19500913 14.42 25.04 19.50
19500914 14.10 23.99 18.44
19500915 12.18 23.86 18.06
19500916 12.04 24.32 18.89
19500917 14.94 25.01 19.11
19500918 13.26 24.95 17.93
19500919 14.15 24.30 18.51
19500920 13.13 19.14 16.31
19500921 11.55 22.68 16.63
19500922 17.02 17.75 17.47
19500923 16.28 25.56 19.73
19500924 16.50 25.40 19.88
19500925 16.49 23.16 19.65
19500926 19.34 24.40 22.06
19500927 19.29 19.73 19.48
19500928 16.58 23.50 19.74
19500929 14.89 25.08 21.43
19500930 16.73 24.28 21.23
19501001 18.52 23.86 20.80
19501002 18.74 21.35 20.01
19501003 17.67 22.54 20.31
19501004 18.13 19.25 18.65
19501005 17.10 18.04 17.43
19501006 14.17 20.93 16.43
19501007 13.25 24.60 17.29
19501008 12.39 23.03 17.87
19501009 16.99 21.95 19.38
19501010 15.37 23.58 19.40
19501011 13.19 23.91 18.03
19501012 12.11 22.21 16.10
19501013 15.64 19.27 17.24
19501014 17.05 17.90 17.44
19501015 16.25 18.94 17.78
19501016 17.83 21.54 19.36
19501017 18.64 20.15 19.32
19501018 18.98 20.31 19.62
19501019 18.80 22.29 20.63
19501020 18.22 22.26 19.55
19501021 18.35 20.14 19.05
19501022 17.95 19.30 18.62
19501023 16.85 20.92 18.65
19501024 15.02 23.26 18.77
19501025 14.06 22.74 17.91
19501026 13.84 20.35 16.50
19501027 10.10 18.87 14.16
19501028 8.08 20.41 13.31
19501029 8.23 20.39 15.01
19501030 12.27 19.22 15.30
19501031 9.29 16.53 12.37
19501101 5.15 16.99 11.65
19501102 5.84 17.54 10.38
19501103 6.99 16.53 10.50
19501104 7.85 16.92 11.26
19501105 9.42 16.35 12.76
19501106 9.62 15.49 12.16
19501107 6.70 15.24 11.26
19501108 8.98 9.31 9.15
19501109 5.95 14.98 9.71
19501110 9.49 10.25 9.93
19501111 12.41 13.70 12.91
19501112 7.79 13.48 10.98
19501113 5.23 14.32 7.49
19501114 6.79 13.91 9.37
19501115 5.27 15.03 8.75
19501116 9.40 10.36 9.95
19501117 12.80 14.45 14.00
19501118 6.74 15.79 10.08
19501119 6.31 13.06 10.21
19501120 12.27 12.35 12.32
19501121 11.98 13.80 12.96
19501122 11.45 15.41 13.15
19501123 7.65 14.35 10.66
19501124 6.33 11.69 8.10
19501125 8.62 19.00 13.68
19501126 9.11 12.65 10.90
19501127 6.65 12.64 9.11
19501128 4.41 11.40 8.52
19501129 7.51 14.28 10.18
19501130 5.79 14.25 9.48
19501201 4.50 5.43 4.82
19501202 3.40 12.11 7.43
19501203 4.96 11.86 7.82
19501204 5.64 6.74 6.29
19501205 7.42 15.49 11.41
19501206 7.18 12.49 9.83
19501207 5.02 10.17 8.14
19501208 2.84 7.12 4.43
19501209 0.40 5.60 2.44
19501210 3.54 5.98 4.76
19501211 2.35 4.55 3.66
19501212 -1.45 4.77 1.87
19501213 -4.07 2.96 0.40
19501214 -5.39 1.03 -1.41
19501215 -5.76 0.36 -2.66
19501216 -1.91 -0.58 -1.21
19501217 -4.33 1.19 -2.10
19501218 -4.75 1.28 -1.96
19501219 -5.30 -2.88 -4.43
19501220 -4.27 2.42 -0.60
19501221 4.52 4.94 4.77
19501222 5.25 6.35 5.70
19501223 1.45 9.46 5.02
19501224 -2.73 7.96 2.02
19501225 2.36 11.55 7.85
19501226 8.55 13.69 12.04
19501227 9.34 18.58 15.37
19501228 6.17 15.42 10.31
19501229 6.51 16.49 11.14
19501230 2.45 9.68 6.24
19501231 1.97 7.77 6.03
19510101 -0.09 6.74 2.83
19510102 0.65 3.65 1.77
19510103 1.22 4.93 2.53
19510104 -2.94 4.72 0.12
19510105 -3.70 4.58 0.42
19510106 -0.76 5.65 2.19
19510107 -1.97 5.27 0.80
19510108 -1.79 5.26 0.79
19510109 3.76 9.57 6.34
19510110 6.14 13.45 8.91
19510111 5.52 11.42 7.85
19510112 2.37 10.82 6.28
19510113 0.09 7.45 4.21
