# -----------------------------------------------------------------------------------------------------------
# Origine : DRIAS-CLIMAT - http://www.drias-climat.fr/commande  (produit par 'nc2txt_drias2020 1.2 du 12.07.2021')
# Date d'extraction : 20/05/2024 14:42:59 UTC
# -----------------------------------------------------------------------------------------------------------
# Production : eurocordex2020
# Modele : KNMI-RACMO22E - CNRM-CERFACS-CNRM-CM5 (RCM - GCM)
# Scenario : periode de reference
# Donnees CORRIGEES
# -----------------------------------------------------------------------------------------------------------
# Periode : 01/01/1950 - 31/12/2005
# -----------------------------------------------------------------------------------------------------------
# Parametre 1 : Temperature minimale journaliere a 2 m
# Mnemonique 1 : tasminAdjust
# Unite origine 1 : K
# Unite restituee 1 : C
# Valeur du parametre manquant 1 : -999.99
# Parametre 2 : Temperature maximale journaliere a 2 m
# Mnemonique 2 : tasmaxAdjust
# Unite origine 2 : K
# Unite restituee 2 : C
# Valeur du parametre manquant 2 : -999.99
# Parametre 3 : Temperature moyenne a 2 m
# Mnemonique 3 : tasAdjust
# Unite origine 3 : K
# Unite restituee 3 : C
# Valeur du parametre manquant 3 : -999.99
# -----------------------------------------------------------------------------------------------------------
# Point de grille SAFRAN
# Numero = 11471
# Latitude = 47.248299 degres (WGS84)
# Longitude = -1.521700 degres (Ouest negatif)
# E = 308000 m (Lambert II Etendu)
# N = 2257000 m
# altitude = 19 m
# -----------------------------------------------------------------------------------------------------------
# Format de la ligne :
#   "Date  tasminAdjust tasmaxAdjust tasAdjust"
# avec :
#   - Date : Date du jour sous la forme 'AAAAMMJJ'
#   - tasminAdjust : Temperature minimale journaliere a 2 m [C]
#   - tasmaxAdjust : Temperature maximale journaliere a 2 m [C]
#   - tasAdjust : Temperature moyenne a 2 m [C]
# -----------------------------------------------------------------------------------------------------------
# Informations complementaires extraites de l'entete du fichier Netcdf original :
#	:experiment_id = "historical" ;
#	:driving_experiment_name = "historical" ;
#	:institution = "Royal Netherlands Meteorological Institute, De Bilt, The Netherlands" ;
#	:institute_id = "KNMI" ;
#	:model_id = "KNMI-RACMO22E" ;
#	:references = "http://www.knmi.nl/research/weather-climate-models" ;
#	:creation_date = "2018-11-14T15:24:23Z" ;
#	:project_id = "DRIAS-EUROCORDEX-2019" ;
#	:experiment = "Historical" ;
# -----------------------------------------------------------------------------------------------------------
# -----------------------------------------------------------------------------------------------------------
# Conditions d'utilisation :
# http://www.drias-climat.fr/accompagnement/conditionsEDC
# -----------------------------------------------------------------------------------------------------------
Date Tmin Tmax Tmoy
19500101 -0.51 3.64 1.44
19500102 3.86 7.11 5.80
19500103 3.80 6.90 5.48
19500104 0.73 4.40 3.15
19500105 -2.27 0.17 -1.48
19500106 0.69 9.31 4.53
19500107 -0.50 3.78 1.10
19500108 1.12 3.36 2.04
19500109 -1.28 2.34 1.06
19500110 -1.91 3.32 0.10
19500111 -0.30 3.54 1.56
19500112 -3.95 1.08 -0.97
19500113 -5.86 -4.77 -5.24
19500114 -6.89 -2.27 -4.11
19500115 -5.91 -0.58 -2.10
19500116 -8.27 -2.64 -5.84
19500117 -2.03 3.57 1.51
19500118 2.44 7.04 4.88
19500119 2.72 6.92 4.14
19500120 -0.53 6.80 3.92
19500121 -1.10 3.71 1.34
19500122 3.55 6.63 4.86
19500123 1.66 7.08 4.07
19500124 -1.15 5.46 2.76
19500125 -0.55 8.11 4.90
19500126 0.93 6.38 3.94
19500127 1.19 5.90 3.32
19500128 -0.24 7.68 2.87
19500129 0.21 8.43 4.20
19500130 2.90 8.70 6.55
19500131 2.38 4.75 3.49
19500201 -0.99 4.85 2.24
19500202 -2.06 5.04 2.77
19500203 0.94 5.78 2.79
19500204 3.59 5.71 4.82
19500205 1.34 6.84 4.73
19500206 0.53 4.19 2.12
19500207 -1.54 5.18 2.54
19500208 -2.96 6.88 1.25
19500209 -5.04 -0.37 -2.43
19500210 -4.11 1.10 -1.79
19500211 -6.83 0.32 -3.61
19500212 -6.07 1.68 -2.69
19500213 -2.66 7.89 2.33
19500214 8.59 9.19 8.85
19500215 9.82 13.06 10.96
19500216 8.27 15.54 11.30
19500217 5.10 13.27 9.02
19500218 2.45 10.00 5.55
19500219 1.13 10.22 6.43
19500220 1.96 7.90 4.42
19500221 -0.42 7.32 2.60
19500222 0.28 11.12 4.71
19500223 4.51 11.84 8.50
19500224 6.64 11.92 9.52
19500225 9.28 15.08 11.55
19500226 8.50 13.90 12.19
19500227 8.26 13.90 10.01
19500228 8.82 11.32 10.23
19500301 9.74 11.57 10.57
19500302 11.14 13.56 12.46
19500303 9.61 14.62 13.06
19500304 9.11 17.43 13.58
19500305 11.68 20.75 17.82
19500306 12.27 14.90 13.62
19500307 9.49 16.43 14.27
19500308 12.25 17.93 15.92
19500309 11.88 20.46 16.70
19500310 10.43 17.48 13.40
19500311 9.54 14.07 11.80
19500312 9.49 13.74 11.10
19500313 8.96 14.89 11.80
19500314 9.82 15.16 12.40
19500315 8.56 17.66 12.58
19500316 7.38 15.53 12.47
19500317 8.44 12.53 10.57
19500318 4.75 13.26 8.50
19500319 4.36 13.69 8.00
19500320 3.41 11.68 8.41
19500321 2.65 15.99 8.95
19500322 3.93 13.74 8.08
19500323 0.99 10.40 5.61
19500324 5.42 8.90 6.99
19500325 2.05 7.24 3.72
19500326 0.39 9.88 5.55
19500327 1.81 8.41 5.13
19500328 6.88 10.07 8.45
19500329 7.67 12.63 9.96
19500330 7.23 10.93 8.65
19500331 5.89 10.51 7.70
19500401 3.06 10.48 7.19
19500402 2.89 10.65 6.62
19500403 7.32 16.92 10.86
19500404 5.93 12.80 9.44
19500405 6.67 10.76 7.55
19500406 9.69 10.50 10.15
19500407 12.01 13.75 12.77
19500408 6.43 10.24 8.21
19500409 3.72 12.41 8.89
