# -----------------------------------------------------------------------------------------------------------
# Origine : DRIAS-CLIMAT - http://www.drias-climat.fr/commande  (produit par 'nc2txt_drias2020 1.2 du 12.07.2021')
# Date d'extraction : 20/05/2024 14:42:59 UTC
# -----------------------------------------------------------------------------------------------------------
# Production : eurocordex2020
# Modele : KNMI-RACMO22E - CNRM-CERFACS-CNRM-CM5 (RCM - GCM)
# Scenario : periode de reference
# Donnees CORRIGEES
# -----------------------------------------------------------------------------------------------------------
# Periode : 01/01/1950 - 31/12/2005
# -----------------------------------------------------------------------------------------------------------
# Parametre 1 : Temperature minimale journaliere a 2 m
# Mnemonique 1 : tasminAdjust
# Unite origine 1 : K
# Unite restituee 1 : C
# Valeur du parametre manquant 1 : -999.99
# Parametre 2 : Temperature maximale journaliere a 2 m
# Mnemonique 2 : tasmaxAdjust
# Unite origine 2 : K
# Unite restituee 2 : C
# Valeur du parametre manquant 2 : -999.99
# Parametre 3 : Temperature moyenne a 2 m
# Mnemonique 3 : tasAdjust
# Unite origine 3 : K
# Unite restituee 3 : C
# Valeur du parametre manquant 3 : -999.99
# -----------------------------------------------------------------------------------------------------------
# Point de grille SAFRAN
# Numero = 4205
# Latitude = 43.638802 degres (WGS84)
# Longitude = 1.396640 degres (Ouest negatif)
# E = 524000 m (Lambert II Etendu)
# N = 1849000 m
# altitude = 141 m
# -----------------------------------------------------------------------------------------------------------
# Format de la ligne :
#   "Date  tasminAdjust tasmaxAdjust tasAdjust"
# avec :
#   - Date : Date du jour sous la forme 'AAAAMMJJ'
#   - tasminAdjust : Temperature minimale journaliere a 2 m [C]
#   - tasmaxAdjust : Temperature maximale journaliere a 2 m [C]
#   - tasAdjust : Temperature moyenne a 2 m [C]
# -----------------------------------------------------------------------------------------------------------
# Informations complementaires extraites de l'entete du fichier Netcdf original :
#	:experiment_id = "historical" ;
#	:driving_experiment_name = "historical" ;
#	:institution = "Royal Netherlands Meteorological Institute, De Bilt, The Netherlands" ;
#	:institute_id = "KNMI" ;
#	:model_id = "KNMI-RACMO22E" ;
#	:references = "http://www.knmi.nl/research/weather-climate-models" ;
#	:creation_date = "2018-11-14T15:24:23Z" ;
#	:project_id = "DRIAS-EUROCORDEX-2019" ;
#	:experiment = "Historical" ;
# -----------------------------------------------------------------------------------------------------------
# -----------------------------------------------------------------------------------------------------------
# Conditions d'utilisation :
# http://www.drias-climat.fr/accompagnement/conditionsEDC
# -----------------------------------------------------------------------------------------------------------
Date Tmin Tmax Tmoy
19500101 0.99 8.30 3.09
19500102 4.07 9.52 6.36
19500103 0.91 7.23 4.77
19500104 2.56 4.45 3.51
19500105 0.98 1.69 1.42
19500106 -0.51 8.31 4.07
19500107 3.89 5.50 4.62
19500108 4.18 6.46 5.04
19500109 3.43 4.34 3.91
19500110 2.78 5.69 4.53
19500111 3.17 5.17 4.25
19500112 -1.35 1.77 0.38
19500113 -3.82 -2.21 -3.25
19500114 -7.62 -4.82 -6.20
19500115 -5.64 -2.61 -3.69
19500116 -6.57 -6.51 -6.55
19500117 -5.41 -0.91 -3.79
19500118 -4.63 2.01 -2.18
19500119 0.37 3.87 2.10
19500120 -0.29 2.97 0.75
19500121 -2.47 3.69 0.89
19500122 -3.26 5.16 1.43
19500123 0.69 4.27 2.46
19500124 -2.08 2.70 0.60
19500125 -3.27 3.01 0.69
19500126 -4.09 5.01 0.56
19500127 -3.64 5.91 1.99
19500128 -4.43 7.66 0.15
19500129 -1.00 4.97 2.53
19500130 -1.79 8.31 3.65
19500131 0.60 5.18 3.09
19500201 -2.12 3.68 1.80
19500202 -2.09 0.95 -0.38
19500203 -1.42 3.96 0.80
19500204 -1.57 1.53 -0.09
19500205 -0.02 1.74 1.23
19500206 -0.54 1.83 0.99
19500207 -1.47 1.37 -0.44
19500208 -3.54 6.32 3.07
19500209 0.93 3.83 2.70
19500210 2.33 4.16 3.34
19500211 -3.99 -2.42 -3.23
19500212 -9.80 2.16 -3.92
19500213 -0.38 3.03 1.44
19500214 -0.54 11.03 6.63
19500215 -1.00 14.43 4.80
19500216 -1.00 14.65 6.83
19500217 8.38 9.85 9.15
19500218 4.18 14.21 9.04
19500219 3.51 13.87 8.83
19500220 7.06 14.64 10.76
19500221 5.65 12.70 9.12
19500222 8.31 13.00 10.10
19500223 7.53 12.91 10.32
19500224 10.10 13.93 12.64
19500225 11.13 15.44 13.11
19500226 11.51 13.56 12.92
19500227 10.54 14.58 12.40
19500228 8.66 9.64 9.16
19500301 4.87 15.92 10.22
19500302 8.55 21.49 13.62
19500303 8.85 20.20 13.03
19500304 12.88 15.94 14.87
19500305 13.57 19.29 16.44
19500306 8.24 17.97 12.54
19500307 7.15 20.83 12.53
19500308 10.70 19.82 14.88
19500309 13.33 19.17 16.14
19500310 14.11 17.82 15.70
19500311 9.67 16.11 12.30
19500312 8.05 20.46 13.60
19500313 12.25 18.21 14.90
19500314 8.50 16.90 12.87
19500315 7.61 20.17 12.57
19500316 10.91 18.85 14.69
19500317 10.26 17.55 13.61
19500318 7.58 13.04 10.37
19500319 4.56 15.61 10.05
19500320 5.74 11.94 8.92
19500321 2.87 14.27 8.03
19500322 4.32 12.27 8.44
19500323 2.96 13.97 7.48
19500324 4.68 12.16 8.06
19500325 5.60 9.62 7.62
19500326 5.33 8.33 6.61
19500327 3.76 7.77 6.14
19500328 8.70 10.87 9.79
19500329 10.61 11.90 11.31
19500330 8.76 12.05 10.57
19500331 8.35 11.10 9.48
19500401 7.58 10.65 9.30
19500402 5.60 14.84 11.39
19500403 10.26 24.35 18.00
19500404 11.27 15.99 14.21
19500405 8.67 14.43 12.75
19500406 4.71 16.67 11.56
19500407 11.70 12.16 11.96
19500408 8.80 10.47 9.58
19500409 8.01 12.32 10.39
19500410 6.99 14.28 10.55
19500411 5.93 20.01 12.96
19500412 11.79 17.01 13.99
19500413 10.58 14.04 12.43
19500414 8.63 9.17 8.88
19500415 6.32 13.37 9.98
19500416 3.45 16.06 9.62
19500417 9.04 19.29 13.70
19500418 8.21 23.72 16.52
19500419 13.08 19.56 16.09
19500420 10.83 17.55 12.64
19500421 9.51 12.86 10.84
19500422 7.59 13.90 10.35
19500423 7.49 11.94 9.94
19500424 6.81 13.45 10.30
19500425 6.51 8.46 7.39
19500426 4.47 15.22 10.43
19500427 3.81 16.87 9.82
19500428 8.07 18.10 13.16
19500429 9.12 17.36 13.68
19500430 9.25 15.22 12.40
19500501 7.47 15.22 11.92
19500502 11.27 21.95 16.64
19500503 14.83 27.55 21.25
19500504 17.15 26.05 21.94
19500505 18.40 22.55 20.54
19500506 12.25 13.50 12.87
19500507 11.73 19.79 15.53
19500508 14.06 19.93 16.33
19500509 13.41 26.37 20.18
19500510 12.57 19.66 16.54
19500511 10.53 15.58 13.07
19500512 7.38 15.46 11.66
19500513 8.35 16.19 12.30
19500514 5.93 23.65 14.62
19500515 13.53 25.81 19.93
19500516 16.83 25.27 21.47
19500517 17.70 20.81 18.99
19500518 15.30 17.57 16.38
19500519 13.76 17.00 15.13
19500520 14.78 22.47 18.10
19500521 12.84 26.95 19.76
19500522 13.49 25.05 19.07
19500523 13.49 25.98 19.62
19500524 13.62 22.23 18.15
19500525 10.59 19.77 15.62
19500526 13.57 19.12 16.49
19500527 14.61 20.05 16.60
19500528 14.93 18.84 16.95
19500529 15.38 20.96 18.41
19500530 12.63 20.31 16.40
19500531 12.01 12.33 12.17
19500601 11.33 14.22 12.99
19500602 9.46 19.62 13.55
19500603 10.85 13.09 12.17
19500604 9.36 17.82 13.95
19500605 10.41 16.40 12.98
19500606 11.92 17.23 13.96
19500607 13.18 19.49 15.87
19500608 12.13 21.44 16.72
19500609 12.49 20.41 16.06
19500610 12.31 19.19 16.09
19500611 11.58 24.34 18.12
19500612 14.24 27.05 20.91
19500613 17.35 22.43 20.15
19500614 15.60 19.41 17.23
19500615 13.55 23.00 17.90
19500616 12.34 27.11 20.94
19500617 14.87 23.56 19.06
19500618 14.48 25.19 20.62
19500619 13.99 18.57 15.89
19500620 8.49 21.27 15.31
19500621 10.96 22.04 16.30
19500622 13.72 21.35 17.55
19500623 13.18 22.40 18.30
19500624 13.04 24.92 18.61
19500625 12.19 25.64 19.09
19500626 16.32 22.72 19.34
19500627 15.67 23.20 20.04
19500628 16.50 23.62 20.01
19500629 16.95 19.33 17.86
19500630 15.61 21.32 17.98
19500701 15.79 16.80 16.42
19500702 15.42 23.46 20.03
19500703 15.66 25.52 20.26
19500704 15.62 28.65 22.23
19500705 18.39 25.21 21.74
19500706 15.53 26.10 21.39
19500707 14.02 24.71 19.61
19500708 16.10 18.84 17.40
19500709 14.83 19.39 17.41
19500710 14.17 22.92 17.76
19500711 16.42 22.06 19.27
19500712 15.35 25.02 20.41
19500713 15.13 30.15 22.95
19500714 18.42 26.89 22.26
19500715 16.53 27.52 22.69
19500716 17.99 24.54 21.59
19500717 15.47 27.59 21.24
19500718 15.57 32.86 24.74
19500719 21.26 32.91 28.02
19500720 19.87 32.76 25.97
19500721 17.75 21.48 19.34
19500722 14.24 21.62 18.22
19500723 13.21 18.81 16.03
19500724 15.53 22.44 18.87
19500725 15.40 23.08 18.62
19500726 16.45 28.03 23.50
19500727 18.94 24.69 22.07
19500728 18.88 23.60 21.48
19500729 16.50 30.13 23.68
19500730 19.35 34.84 27.54
19500731 20.18 36.03 28.68
19500801 21.45 27.91 25.43
19500802 20.45 27.04 22.92
19500803 19.33 29.62 24.97
19500804 19.18 33.91 27.11
19500805 21.17 31.21 26.22
19500806 20.48 33.90 27.41
19500807 21.59 28.47 25.46
19500808 21.29 30.10 24.88
19500809 20.18 25.08 22.05
19500810 18.12 24.82 21.54
19500811 17.19 23.07 20.41
19500812 16.39 23.37 20.55
19500813 15.05 22.68 18.86
19500814 14.65 17.77 17.07
19500815 15.97 21.17 18.73
19500816 13.81 26.03 19.27
19500817 15.49 29.20 21.72
19500818 14.47 20.83 17.10
19500819 14.00 19.07 16.09
19500820 15.43 19.52 16.98
19500821 15.53 18.00 16.57
19500822 14.16 20.05 16.49
19500823 11.09 24.50 18.26
19500824 13.62 29.89 23.01
19500825 17.24 20.98 18.97
