# -----------------------------------------------------------------------------------------------------------
# Origine : DRIAS-CLIMAT - http://www.drias-climat.fr/commande  (produit par 'nc2txt_drias2020 1.2 du 12.07.2021')
# Date d'extraction : 20/05/2024 14:42:59 UTC
# -----------------------------------------------------------------------------------------------------------
# Production : eurocordex2020
# Modele : KNMI-RACMO22E - CNRM-CERFACS-CNRM-CM5 (RCM - GCM)
# Scenario : periode de reference
# Donnees CORRIGEES
# -----------------------------------------------------------------------------------------------------------
# Periode : 01/01/1950 - 31/12/2005
# -----------------------------------------------------------------------------------------------------------
# Parametre 1 : Temperature minimale journaliere a 2 m
# Mnemonique 1 : tasminAdjust
# Unite origine 1 : K
# Unite restituee 1 : C
# Valeur du parametre manquant 1 : -999.99
# Parametre 2 : Temperature maximale journaliere a 2 m
# Mnemonique 2 : tasmaxAdjust
# Unite origine 2 : K
# Unite restituee 2 : C
# Valeur du parametre manquant 2 : -999.99
# Parametre 3 : Temperature moyenne a 2 m
# Mnemonique 3 : tasAdjust
# Unite origine 3 : K
# Unite restituee 3 : C
# Valeur du parametre manquant 3 : -999.99
# -----------------------------------------------------------------------------------------------------------
# Point de grille SAFRAN
# Numero = 3815
# Latitude = 43.387901 degres (WGS84)
# Longitude = 5.245690 degres (Ouest negatif)
# E = 836000 m (Lambert II Etendu)
# N = 1825000 m
# altitude = 105 m
# -----------------------------------------------------------------------------------------------------------
# Format de la ligne :
#   "Date  tasminAdjust tasmaxAdjust tasAdjust"
# avec :
#   - Date : Date du jour sous la forme 'AAAAMMJJ'
#   - tasminAdjust : Temperature minimale journaliere a 2 m [C]
#   - tasmaxAdjust : Temperature maximale journaliere a 2 m [C]
#   - tasAdjust : Temperature moyenne a 2 m [C]
# -----------------------------------------------------------------------------------------------------------
# Informations complementaires extraites de l'entete du fichier Netcdf original :
#	:experiment_id = "historical" ;
#	:driving_experiment_name = "historical" ;
#	:institution = "Royal Netherlands Meteorological Institute, De Bilt, The Netherlands" ;
#	:institute_id = "KNMI" ;
#	:model_id = "KNMI-RACMO22E" ;
#	:references = "http://www.knmi.nl/research/weather-climate-models" ;
#	:creation_date = "2018-11-14T15:24:23Z" ;
#	:project_id = "DRIAS-EUROCORDEX-2019" ;
#	:experiment = "Historical" ;
# -----------------------------------------------------------------------------------------------------------
# -----------------------------------------------------------------------------------------------------------
# Conditions d'utilisation :
# http://www.drias-climat.fr/accompagnement/conditionsEDC
# -----------------------------------------------------------------------------------------------------------
Date Tmin Tmax Tmoy
19500101 5.48 11.59 7.89
19500102 5.41 10.91 8.60
19500103 4.00 9.78 7.49
19500104 3.32 8.57 6.18
19500105 3.41 6.66 5.09
19500106 0.70 5.70 3.10
19500107 -0.68 6.66 2.63
19500108 2.38 9.95 5.46
19500109 1.88 8.57 5.53
19500110 1.14 5.43 3.55
19500111 -1.31 5.11 1.48
19500112 -3.33 3.08 0.24
19500113 -3.97 2.50 -0.86
19500114 -4.48 -1.22 -2.73
19500115 -6.65 -2.26 -4.87
19500116 -9.94 -2.07 -7.16
19500117 -13.79 -1.30 -6.93
19500118 -13.05 2.23 -6.90
19500119 -2.22 4.40 1.70
19500120 -0.45 3.49 1.75
19500121 -4.43 0.49 -2.19
19500122 -6.79 2.79 -1.32
19500123 -5.08 4.56 0.56
19500124 -3.50 4.38 -0.79
19500125 -5.85 2.72 -0.89
19500126 -5.71 3.90 -1.42
19500127 -5.58 3.80 -0.52
19500128 -3.04 4.08 0.37
19500129 2.03 5.53 3.33
19500130 3.72 4.85 4.42
19500131 0.07 5.63 2.33
19500201 -1.40 4.18 1.13
19500202 -3.17 3.87 -0.12
19500203 -6.44 6.00 -1.67
19500204 -4.43 6.32 1.26
19500205 0.07 6.48 3.43
19500206 -2.03 4.68 1.71
19500207 -2.02 5.03 1.71
19500208 -1.35 5.20 1.79
19500209 -0.82 5.30 2.08
19500210 -2.01 4.58 1.28
19500211 -3.31 1.60 -1.23
19500212 -5.43 4.07 -0.17
19500213 -3.20 7.74 1.66
19500214 2.31 13.08 6.85
19500215 4.79 12.48 9.13
19500216 2.62 16.34 9.61
19500217 6.08 9.87 7.59
19500218 1.10 15.14 8.36
19500219 2.55 13.27 6.92
19500220 4.49 15.35 8.85
19500221 3.81 14.59 10.11
19500222 8.12 9.44 8.71
19500223 7.42 11.71 9.55
19500224 8.58 13.15 11.03
19500225 7.05 13.10 8.92
19500226 4.28 14.91 10.67
19500227 8.63 16.00 11.61
19500228 9.02 10.11 9.53
19500301 7.83 16.42 12.12
19500302 6.44 17.62 11.32
19500303 11.68 16.97 13.91
19500304 9.75 15.42 13.11
19500305 9.70 16.74 13.15
19500306 10.91 16.76 14.03
19500307 8.34 17.21 11.70
19500308 8.50 16.38 12.11
19500309 10.53 15.07 12.87
19500310 9.70 20.20 16.58
19500311 12.62 18.46 15.30
19500312 10.26 17.53 13.69
19500313 11.58 15.98 13.47
19500314 9.10 19.28 13.43
19500315 7.70 16.25 12.59
19500316 7.72 14.57 10.67
19500317 13.15 15.36 14.55
19500318 9.14 12.62 10.76
