# -----------------------------------------------------------------------------------------------------------
# Origine : DRIAS-CLIMAT - http://www.drias-climat.fr/commande  (produit par 'nc2txt_drias2020 1.2 du 12.07.2021')
# Date d'extraction : 20/05/2024 14:42:59 UTC
# -----------------------------------------------------------------------------------------------------------
# Production : eurocordex2020
# Modele : KNMI-RACMO22E - CNRM-CERFACS-CNRM-CM5 (RCM - GCM)
# Scenario : periode de reference
# Donnees CORRIGEES
# -----------------------------------------------------------------------------------------------------------
# Periode : 01/01/1950 - 31/12/2005
# -----------------------------------------------------------------------------------------------------------
# Parametre 1 : Temperature minimale journaliere a 2 m
# Mnemonique 1 : tasminAdjust
# Unite origine 1 : K
# Unite restituee 1 : C
# Valeur du parametre manquant 1 : -999.99
# Parametre 2 : Temperature maximale journaliere a 2 m
# Mnemonique 2 : tasmaxAdjust
# Unite origine 2 : K
# Unite restituee 2 : C
# Valeur du parametre manquant 2 : -999.99
# Parametre 3 : Temperature moyenne a 2 m
# Mnemonique 3 : tasAdjust
# Unite origine 3 : K
# Unite restituee 3 : C
# Valeur du parametre manquant 3 : -999.99
# -----------------------------------------------------------------------------------------------------------
# Point de grille SAFRAN
# Numero = 2361
# Latitude = 42.707100 degres (WGS84)
# Longitude = 2.872980 degres (Ouest negatif)
# E = 644000 m (Lambert II Etendu)
# N = 1745000 m
# altitude = 43 m
# -----------------------------------------------------------------------------------------------------------
# Format de la ligne :
#   "Date  tasminAdjust tasmaxAdjust tasAdjust"
# avec :
#   - Date : Date du jour sous la forme 'AAAAMMJJ'
#   - tasminAdjust : Temperature minimale journaliere a 2 m [C]
#   - tasmaxAdjust : Temperature maximale journaliere a 2 m [C]
#   - tasAdjust : Temperature moyenne a 2 m [C]
# -----------------------------------------------------------------------------------------------------------
# Informations complementaires extraites de l'entete du fichier Netcdf original :
#	:experiment_id = "historical" ;
#	:driving_experiment_name = "historical" ;
#	:institution = "Royal Netherlands Meteorological Institute, De Bilt, The Netherlands" ;
#	:institute_id = "KNMI" ;
#	:model_id = "KNMI-RACMO22E" ;
#	:references = "http://www.knmi.nl/research/weather-climate-models" ;
#	:creation_date = "2018-11-14T15:24:23Z" ;
#	:project_id = "DRIAS-EUROCORDEX-2019" ;
#	:experiment = "Historical" ;
# -----------------------------------------------------------------------------------------------------------
# -----------------------------------------------------------------------------------------------------------
# Conditions d'utilisation :
# http://www.drias-climat.fr/accompagnement/conditionsEDC
# -----------------------------------------------------------------------------------------------------------
Date Tmin Tmax Tmoy
19500101 6.40 12.75 7.62
19500102 7.09 13.51 10.01
19500103 6.62 12.55 10.82
19500104 6.43 8.25 7.26
19500105 4.73 7.69 5.77
19500106 4.27 11.13 9.22
19500107 6.01 9.31 7.15
19500108 6.58 14.46 9.65
19500109 3.85 10.98 6.64
19500110 1.26 8.12 5.10
19500111 5.55 8.02 6.36
19500112 2.23 5.95 4.09
19500113 -1.07 2.64 1.03
19500114 -4.03 -0.91 -2.24
19500115 -3.42 0.88 -0.67
19500116 -3.68 1.37 -1.34
19500117 -3.28 2.57 -0.35
19500118 -2.63 7.48 2.62
19500119 3.03 9.59 6.06
19500120 4.88 6.24 5.54
19500121 3.77 6.57 5.17
19500122 1.24 10.13 4.17
19500123 2.88 8.38 5.51
19500124 4.24 7.50 5.54
19500125 3.30 10.16 5.77
19500126 -0.34 10.15 5.61
19500127 0.03 9.11 5.94
19500128 -0.72 10.31 4.26
19500129 2.81 9.78 6.03
19500130 2.70 11.93 6.96
19500131 2.80 6.76 5.15
19500201 3.68 5.91 4.46
19500202 2.12 5.40 3.61
19500203 3.96 7.78 6.21
19500204 4.58 8.87 7.23
19500205 4.82 9.18 7.46
19500206 1.76 6.32 4.25
19500207 -1.31 7.18 3.30
19500208 -1.92 8.21 3.35
19500209 -1.02 10.68 4.77
19500210 -0.02 6.55 3.73
19500211 -1.89 4.25 1.92
19500212 -3.53 4.09 0.45
19500213 -1.55 6.44 4.27
19500214 1.66 20.40 12.35
19500215 2.52 20.00 11.27
19500216 3.74 22.71 12.61
19500217 9.58 11.49 10.68
19500218 7.47 13.88 9.81
19500219 6.71 11.12 8.83
19500220 6.59 20.80 13.45
19500221 10.60 13.48 12.15
19500222 9.95 13.21 11.29
19500223 9.63 15.64 11.31
19500224 9.73 15.04 14.04
19500225 11.65 19.70 14.73
19500226 12.21 13.71 12.85
19500227 13.63 14.96 14.05
19500228 11.72 13.73 12.57
19500301 10.09 20.01 14.85
19500302 10.34 16.21 13.10
19500303 12.20 16.67 14.46
19500304 13.79 17.96 16.23
19500305 13.56 18.49 15.53
19500306 9.07 18.38 14.63
19500307 9.89 18.43 14.07
19500308 13.20 14.62 13.78
19500309 14.17 20.61 17.55
19500310 14.80 15.47 15.11
19500311 14.01 17.99 15.98
19500312 11.35 17.00 13.74
19500313 14.90 17.28 16.15
19500314 9.87 19.59 14.83
19500315 8.34 21.14 14.05
19500316 11.32 18.37 14.50
19500317 11.40 17.88 13.63
19500318 9.83 14.26 12.75
19500319 10.30 17.00 13.04
19500320 10.01 13.05 11.11
19500321 8.56 15.20 11.18
19500322 9.85 15.24 11.96
19500323 8.24 14.06 11.64
19500324 8.70 16.22 11.17
19500325 8.07 11.81 10.17
19500326 7.12 11.53 9.39
19500327 6.76 10.83 8.48
19500328 8.84 15.70 11.72
19500329 9.98 16.13 12.76
19500330 11.30 12.34 11.77
19500331 10.39 15.05 12.60
19500401 9.60 12.56 11.44
19500402 7.14 15.32 11.22
19500403 10.24 19.80 16.24
19500404 11.84 15.27 13.24
19500405 10.60 16.06 12.35
19500406 7.30 16.90 11.60
19500407 7.80 16.63 12.79
19500408 9.43 16.22 13.35
19500409 11.12 14.01 12.41
19500410 8.77 16.73 12.53
19500411 7.02 18.11 11.88
19500412 13.43 16.27 15.07
19500413 12.86 13.85 13.37
19500414 12.14 13.97 12.98
19500415 10.92 13.62 12.28
19500416 10.27 20.41 15.21
19500417 14.62 23.26 19.33
19500418 11.76 21.92 17.07
19500419 12.04 21.53 16.98
19500420 10.99 18.60 15.61
19500421 10.13 15.27 11.91
19500422 9.63 15.70 12.08
19500423 10.95 13.43 12.25
19500424 10.45 14.47 12.49
19500425 9.80 12.40 11.15
19500426 9.35 16.81 13.90
19500427 8.54 15.74 12.00
19500428 7.14 15.81 12.48
19500429 11.27 17.13 14.30
19500430 12.32 19.82 15.98
19500501 10.88 18.52 15.78
19500502 9.08 19.98 13.70
19500503 13.44 26.21 18.72
19500504 17.38 25.45 20.77
19500505 16.97 20.62 19.01
19500506 15.38 15.66 15.55
19500507 13.82 23.15 18.28
19500508 14.81 22.27 18.93
19500509 14.39 28.32 21.05
19500510 14.86 20.12 18.09
19500511 16.19 16.71 16.43
19500512 13.48 19.02 16.00
19500513 12.45 19.26 15.45
19500514 11.10 19.65 14.64
19500515 13.85 24.60 18.81
19500516 14.12 24.82 18.50
19500517 16.10 22.10 18.98
19500518 16.97 18.05 17.51
19500519 14.88 19.28 16.80
19500520 13.16 24.23 17.86
19500521 13.77 24.03 18.06
19500522 13.92 28.24 20.71
19500523 15.01 21.23 18.22
19500524 17.25 18.80 17.88
19500525 14.44 21.40 17.53
19500526 16.74 21.47 19.48
19500527 16.11 22.26 18.50
19500528 16.20 21.55 18.65
19500529 17.82 24.67 21.68
19500530 15.48 24.78 19.42
19500531 13.53 14.84 14.36
19500601 13.06 14.54 13.94
19500602 11.09 20.40 14.47
19500603 13.57 17.66 15.52
19500604 12.34 19.85 16.15
19500605 14.42 19.14 16.78
19500606 14.72 20.25 17.77
19500607 16.69 21.70 18.95
19500608 18.06 23.82 21.12
19500609 17.75 23.04 20.58
19500610 17.33 22.50 19.73
19500611 15.96 25.34 21.05
19500612 18.55 27.87 23.37
19500613 17.99 28.15 23.37
19500614 17.06 21.09 18.81
19500615 16.43 24.27 20.14
19500616 14.55 23.95 20.74
19500617 18.26 22.08 19.64
19500618 17.98 22.52 20.46
19500619 16.77 18.73 17.69
19500620 13.52 19.63 17.46
19500621 16.07 19.96 18.14
19500622 16.05 23.61 19.87
19500623 15.98 23.81 19.86
19500624 16.77 26.31 21.48
19500625 16.68 28.68 23.13
19500626 19.50 24.51 21.58
19500627 18.75 25.08 21.94
19500628 18.51 26.03 22.74
19500629 18.24 23.20 20.39
19500630 18.19 24.48 20.58
19500701 18.48 21.63 20.58
19500702 17.92 26.80 22.89
19500703 18.73 24.91 21.75
19500704 19.20 28.00 23.47
19500705 17.94 26.79 22.26
19500706 18.36 27.70 23.49
19500707 17.62 27.39 22.56
19500708 17.38 24.49 20.88
19500709 18.70 22.25 21.02
19500710 17.48 26.07 21.58
19500711 19.12 26.94 22.97
19500712 19.14 28.55 24.23
19500713 18.82 28.07 22.48
19500714 18.96 31.27 25.61
19500715 22.59 30.34 26.71
19500716 21.71 27.58 25.46
19500717 19.77 31.24 26.43
19500718 18.17 28.55 23.75
19500719 19.83 29.98 26.51
19500720 22.36 28.93 25.98
19500721 21.10 23.84 22.49
19500722 19.16 24.20 22.04
19500723 18.12 23.54 20.56
19500724 19.57 25.79 22.57
19500725 18.43 26.55 22.80
19500726 19.36 25.51 21.92
19500727 21.29 28.88 25.02
19500728 23.19 27.83 25.13
19500729 21.19 30.15 25.66
19500730 21.87 30.96 25.55
19500731 20.73 32.25 25.77
19500801 22.41 30.33 26.17
19500802 23.23 29.19 25.55
19500803 22.09 30.68 26.60
19500804 21.77 29.77 25.78
19500805 22.85 31.83 27.56
19500806 23.28 29.64 25.68
19500807 24.81 28.42 26.67
19500808 24.75 29.21 26.62
19500809 23.38 29.19 26.01
19500810 22.38 29.08 26.19
19500811 21.92 23.68 22.73
19500812 20.31 25.64 22.82
19500813 18.19 25.56 21.74
19500814 18.22 24.42 21.60
19500815 18.71 25.04 21.60
19500816 16.80 27.82 21.98
19500817 19.57 32.48 26.11
19500818 19.12 24.85 21.68
19500819 18.48 27.87 22.33
19500820 19.28 23.79 21.19
19500821 18.14 23.15 20.06
19500822 18.79 24.99 21.62
19500823 17.87 26.08 21.46
19500824 16.73 24.00 20.99
19500825 19.62 23.66 21.94
19500826 18.18 24.95 20.69
19500827 17.60 29.17 23.74
19500828 20.97 23.68 22.61
19500829 22.72 26.10 24.37
19500830 22.58 26.04 23.83
19500831 21.79 27.18 24.07
19500901 22.34 24.38 23.41
19500902 18.77 29.06 23.61
19500903 20.26 30.45 24.83
19500904 19.68 28.13 23.28
19500905 18.95 25.15 21.91
19500906 15.71 24.79 19.61
19500907 17.21 24.39 20.29
19500908 15.77 24.94 19.61
19500909 14.24 29.30 22.12
19500910 18.56 25.05 21.33
19500911 16.32 29.02 22.03
19500912 14.50 25.30 20.69
19500913 17.26 24.52 20.49
19500914 15.05 24.28 19.53
19500915 13.56 22.27 17.67
19500916 12.41 24.57 19.39
19500917 15.27 24.12 18.87
19500918 15.09 22.21 18.55
19500919 16.04 22.70 18.64
19500920 14.40 20.79 17.28
19500921 10.23 20.50 14.95
19500922 17.25 20.95 19.39
19500923 18.81 28.14 22.63
19500924 18.66 24.46 21.45
19500925 17.54 22.12 19.15
19500926 16.98 24.47 20.40
19500927 18.65 21.93 20.22
19500928 17.80 27.94 21.92
19500929 17.26 22.25 19.51
19500930 15.93 29.99 22.43
19501001 15.63 28.14 21.35
19501002 18.84 21.33 19.97
19501003 19.28 24.23 21.29
19501004 17.51 23.65 20.35
19501005 17.22 20.58 18.48
19501006 15.40 22.15 18.34
19501007 14.87 21.44 17.40
19501008 13.83 20.36 17.51
19501009 16.38 21.98 19.46
19501010 15.63 24.32 17.76
19501011 16.26 23.06 18.90
19501012 16.54 21.79 18.73
19501013 18.33 22.17 19.63
19501014 19.15 20.86 20.16
19501015 16.30 23.55 20.44
19501016 15.44 24.86 19.73
19501017 15.32 26.09 21.96
19501018 18.45 25.05 21.71
19501019 16.53 22.65 19.89
19501020 13.73 26.16 18.90
19501021 18.96 24.11 20.87
19501022 16.33 22.68 19.52
19501023 16.61 19.84 17.88
19501024 15.66 20.82 17.71
19501025 15.53 21.17 17.95
19501026 15.42 17.89 16.55
19501027 12.63 18.60 15.26
19501028 8.52 21.83 14.38
19501029 8.78 19.70 14.42
19501030 12.08 19.49 17.26
19501031 10.89 16.71 13.22
19501101 6.53 16.09 10.39
19501102 7.14 15.95 11.38
19501103 7.14 15.67 11.66
19501104 10.84 18.23 13.58
19501105 10.60 17.85 14.60
19501106 11.33 17.58 13.38
19501107 9.84 13.51 11.75
19501108 9.48 12.23 10.78
19501109 10.36 13.65 11.43
19501110 8.44 11.83 10.19
19501111 9.24 17.62 12.92
19501112 9.14 17.26 13.37
19501113 7.50 15.30 9.93
19501114 7.24 11.64 9.47
19501115 4.52 14.33 9.57
19501116 7.40 19.63 12.71
19501117 13.06 16.74 15.70
19501118 10.45 15.73 13.08
19501119 9.66 14.90 12.10
19501120 7.62 14.57 11.89
19501121 7.45 12.82 10.40
19501122 10.47 17.12 13.48
19501123 10.32 12.12 11.34
19501124 8.12 11.58 10.21
19501125 12.14 19.19 15.18
19501126 11.64 12.23 12.01
19501127 8.77 12.07 10.11
19501128 8.33 16.35 12.58
19501129 8.73 15.60 10.97
19501130 8.74 15.58 12.14
19501201 6.55 10.93 8.98
19501202 5.73 12.17 8.55
19501203 6.14 11.63 9.36
19501204 8.15 17.55 13.00
19501205 12.33 19.24 15.27
19501206 8.60 13.06 11.03
19501207 8.08 11.01 9.69
19501208 2.16 10.37 6.18
