# -----------------------------------------------------------------------------------------------------------
# Origine : DRIAS-CLIMAT - http://www.drias-climat.fr/commande  (produit par 'nc2txt_drias2020 1.2 du 12.07.2021')
# Date d'extraction : 20/05/2024 14:42:59 UTC
# -----------------------------------------------------------------------------------------------------------
# Production : eurocordex2020
# Modele : KNMI-RACMO22E - CNRM-CERFACS-CNRM-CM5 (RCM - GCM)
# Scenario : periode de reference
# Donnees CORRIGEES
# -----------------------------------------------------------------------------------------------------------
# Periode : 01/01/1950 - 31/12/2005
# -----------------------------------------------------------------------------------------------------------
# Parametre 1 : Temperature minimale journaliere a 2 m
# Mnemonique 1 : tasminAdjust
# Unite origine 1 : K
# Unite restituee 1 : C
# Valeur du parametre manquant 1 : -999.99
# Parametre 2 : Temperature maximale journaliere a 2 m
# Mnemonique 2 : tasmaxAdjust
# Unite origine 2 : K
# Unite restituee 2 : C
# Valeur du parametre manquant 2 : -999.99
# Parametre 3 : Temperature moyenne a 2 m
# Mnemonique 3 : tasAdjust
# Unite origine 3 : K
# Unite restituee 3 : C
# Valeur du parametre manquant 3 : -999.99
# -----------------------------------------------------------------------------------------------------------
# Point de grille SAFRAN
# Numero = 14368
# Latitude = 48.751499 degres (WGS84)
# Longitude = 2.391570 degres (Ouest negatif)
# E = 604000 m (Lambert II Etendu)
# N = 2417000 m
# altitude = 66 m
# -----------------------------------------------------------------------------------------------------------
# Format de la ligne :
#   "Date  tasminAdjust tasmaxAdjust tasAdjust"
# avec :
#   - Date : Date du jour sous la forme 'AAAAMMJJ'
#   - tasminAdjust : Temperature minimale journaliere a 2 m [C]
#   - tasmaxAdjust : Temperature maximale journaliere a 2 m [C]
#   - tasAdjust : Temperature moyenne a 2 m [C]
# -----------------------------------------------------------------------------------------------------------
# Informations complementaires extraites de l'entete du fichier Netcdf original :
#	:experiment_id = "historical" ;
#	:driving_experiment_name = "historical" ;
#	:institution = "Royal Netherlands Meteorological Institute, De Bilt, The Netherlands" ;
#	:institute_id = "KNMI" ;
#	:model_id = "KNMI-RACMO22E" ;
#	:references = "http://www.knmi.nl/research/weather-climate-models" ;
#	:creation_date = "2018-11-14T15:24:23Z" ;
#	:project_id = "DRIAS-EUROCORDEX-2019" ;
#	:experiment = "Historical" ;
# -----------------------------------------------------------------------------------------------------------
# -----------------------------------------------------------------------------------------------------------
# Conditions d'utilisation :
# http://www.drias-climat.fr/accompagnement/conditionsEDC
# -----------------------------------------------------------------------------------------------------------
Date Tmin Tmax Tmoy
19500101 0.00 2.95 1.36
19500102 4.27 5.74 5.16
19500103 3.13 3.90 3.56
19500104 1.04 2.67 2.02
19500105 -1.32 1.44 0.20
19500106 -0.85 2.88 1.39
19500107 1.11 4.03 2.15
19500108 0.30 1.68 0.98
19500109 -5.54 -0.63 -3.06
19500110 -8.98 -1.50 -6.08
19500111 -5.74 -1.98 -4.00
19500112 -5.24 -2.61 -4.07
19500113 -4.55 -3.37 -3.97
19500114 -5.72 -1.74 -3.10
19500115 -9.13 -1.97 -3.85
19500116 -10.79 -2.60 -6.58
19500117 -1.27 3.61 2.31
19500118 4.46 6.05 5.20
19500119 2.84 5.96 4.11
19500120 -1.10 4.89 3.09
19500121 -2.61 3.31 0.33
19500122 4.11 6.58 5.16
19500123 1.46 5.47 3.63
19500124 0.77 5.08 3.27
19500125 4.33 7.17 6.25
19500126 2.90 7.30 4.42
19500127 4.70 6.28 5.50
19500128 1.93 5.21 3.12
19500129 -0.00 6.93 3.93
19500130 2.03 5.67 4.17
19500131 -0.17 4.82 3.02
19500201 2.05 5.04 3.62
19500202 -0.04 5.04 2.88
19500203 2.17 4.84 3.20
19500204 4.20 7.32 5.95
19500205 1.37 4.95 3.04
19500206 0.49 3.23 1.88
19500207 -1.84 2.46 0.30
19500208 -2.55 0.13 -1.13
19500209 -4.39 -0.04 -2.29
19500210 -5.14 -0.66 -2.62
19500211 -5.95 -0.92 -3.59
19500212 -6.06 -0.49 -3.41
19500213 -6.44 4.52 1.46
19500214 2.07 7.32 4.80
19500215 4.64 10.61 6.83
19500216 4.19 6.21 5.05
19500217 5.18 10.02 7.92
19500218 5.57 9.86 7.52
19500219 0.77 7.63 3.71
19500220 -0.78 2.33 0.81
19500221 -3.48 2.30 -0.77
19500222 -3.42 -0.39 -1.95
19500223 0.54 6.33 3.92
19500224 1.81 10.89 6.57
19500225 6.00 13.24 10.14
19500226 4.03 13.90 11.44
19500227 5.66 12.28 8.38
19500228 7.33 10.14 9.18
19500301 6.51 8.02 7.16
19500302 7.49 10.63 8.93
19500303 8.87 14.67 12.16
19500304 7.77 16.68 14.49
19500305 10.85 21.80 16.39
19500306 15.13 16.11 15.67
19500307 9.83 18.50 14.19
19500308 13.49 17.30 15.83
19500309 12.01 24.51 19.30
19500310 12.60 20.55 17.77
19500311 10.03 16.59 13.89
19500312 7.88 18.91 13.37
19500313 10.84 16.47 13.82
19500314 9.18 16.41 13.34
19500315 8.49 22.65 15.15
