# -----------------------------------------------------------------------------------------------------------
# Origine : DRIAS-CLIMAT - http://www.drias-climat.fr/commande  (produit par 'nc2txt_drias2020 1.2 du 12.07.2021')
# Date d'extraction : 20/05/2024 14:42:59 UTC
# -----------------------------------------------------------------------------------------------------------
# Production : eurocordex2020
# Modele : KNMI-RACMO22E - CNRM-CERFACS-CNRM-CM5 (RCM - GCM)
# Scenario : periode de reference
# Donnees CORRIGEES
# -----------------------------------------------------------------------------------------------------------
# Periode : 01/01/1950 - 31/12/2005
# -----------------------------------------------------------------------------------------------------------
# Parametre 1 : Temperature minimale journaliere a 2 m
# Mnemonique 1 : tasminAdjust
# Unite origine 1 : K
# Unite restituee 1 : C
# Valeur du parametre manquant 1 : -999.99
# Parametre 2 : Temperature maximale journaliere a 2 m
# Mnemonique 2 : tasmaxAdjust
# Unite origine 2 : K
# Unite restituee 2 : C
# Valeur du parametre manquant 2 : -999.99
# Parametre 3 : Temperature moyenne a 2 m
# Mnemonique 3 : tasAdjust
# Unite origine 3 : K
# Unite restituee 3 : C
# Valeur du parametre manquant 3 : -999.99
# -----------------------------------------------------------------------------------------------------------
# Point de grille SAFRAN
# Numero = 14018
# Latitude = 48.408100 degres (WGS84)
# Longitude = -4.530950 degres (Ouest negatif)
# E = 92000 m (Lambert II Etendu)
# N = 2401000 m
# altitude = 60 m
# -----------------------------------------------------------------------------------------------------------
# Format de la ligne :
#   "Date  tasminAdjust tasmaxAdjust tasAdjust"
# avec :
#   - Date : Date du jour sous la forme 'AAAAMMJJ'
#   - tasminAdjust : Temperature minimale journaliere a 2 m [C]
#   - tasmaxAdjust : Temperature maximale journaliere a 2 m [C]
#   - tasAdjust : Temperature moyenne a 2 m [C]
# -----------------------------------------------------------------------------------------------------------
# Informations complementaires extraites de l'entete du fichier Netcdf original :
#	:experiment_id = "historical" ;
#	:driving_experiment_name = "historical" ;
#	:institution = "Royal Netherlands Meteorological Institute, De Bilt, The Netherlands" ;
#	:institute_id = "KNMI" ;
#	:model_id = "KNMI-RACMO22E" ;
#	:references = "http://www.knmi.nl/research/weather-climate-models" ;
#	:creation_date = "2018-11-14T15:24:23Z" ;
#	:project_id = "DRIAS-EUROCORDEX-2019" ;
#	:experiment = "Historical" ;
# -----------------------------------------------------------------------------------------------------------
# -----------------------------------------------------------------------------------------------------------
# Conditions d'utilisation :
# http://www.drias-climat.fr/accompagnement/conditionsEDC
# -----------------------------------------------------------------------------------------------------------
Date Tmin Tmax Tmoy
19500101 0.06 5.42 3.53
19500102 3.42 7.83 6.25
19500103 5.98 6.40 6.16
19500104 3.40 6.00 4.30
19500105 0.52 8.90 4.75
19500106 6.83 11.21 9.90
19500107 4.78 8.23 6.35
19500108 3.30 5.74 4.91
19500109 0.18 3.53 2.19
19500110 0.64 6.14 3.67
19500111 2.48 7.91 5.30
19500112 -0.79 4.65 3.36
19500113 -9.88 2.52 -4.02
19500114 -11.44 2.51 -2.60
19500115 -2.05 2.91 -0.12
19500116 -3.57 3.83 -0.31
19500117 2.47 8.51 5.40
19500118 5.19 9.37 6.77
19500119 6.53 8.92 7.33
19500120 5.29 8.70 6.71
19500121 3.81 9.15 7.11
19500122 6.06 10.77 8.12
19500123 1.44 8.19 4.82
19500124 2.63 7.61 5.57
19500125 4.27 9.61 7.48
19500126 4.73 8.88 7.32
19500127 3.00 8.53 6.45
19500128 2.23 6.40 3.71
19500129 4.64 9.98 6.54
19500130 2.91 8.05 6.09
19500131 2.23 7.43 5.36
19500201 2.46 7.45 4.61
19500202 5.70 6.49 6.08
19500203 4.93 8.47 6.13
19500204 5.86 8.73 7.48
19500205 7.24 8.71 8.06
19500206 4.98 7.55 6.51
19500207 2.35 6.84 4.94
19500208 0.58 4.25 3.31
19500209 -0.74 2.88 1.21
19500210 -1.48 2.13 0.54
19500211 -1.78 1.95 0.53
19500212 1.00 6.33 3.19
19500213 3.36 11.48 6.49
19500214 9.93 10.38 10.23
19500215 10.25 12.20 11.04
19500216 9.87 15.48 12.08
19500217 9.10 11.78 10.51
19500218 6.23 9.73 7.77
19500219 4.80 8.71 6.53
19500220 3.51 8.09 6.39
19500221 0.27 8.94 4.62
19500222 1.24 4.99 2.65
19500223 6.55 9.59 8.06
19500224 7.21 7.96 7.60
19500225 7.40 12.88 10.25
19500226 4.52 11.14 8.36
19500227 7.77 9.03 8.32
19500228 7.46 8.17 7.80
19500301 7.67 14.66 10.93
19500302 11.93 14.99 13.52
19500303 10.33 13.46 12.32
19500304 10.99 14.38 12.64
19500305 11.52 17.15 14.89
19500306 11.57 13.58 12.68
19500307 10.41 13.45 12.26
19500308 11.64 13.41 12.33
19500309 10.86 14.58 13.06
19500310 9.60 14.61 12.30
19500311 11.14 12.68 12.06
19500312 10.81 13.60 12.55
19500313 10.17 13.07 11.93
19500314 11.40 14.12 12.81
19500315 8.66 13.90 11.39
19500316 8.52 13.24 11.05
19500317 8.09 10.90 9.69
19500318 6.04 11.17 8.35
19500319 6.29 11.68 10.23
19500320 4.00 10.13 7.61
19500321 3.65 12.34 8.29
