# -----------------------------------------------------------------------------------------------------------
# Origine : DRIAS-CLIMAT - http://www.drias-climat.fr/commande  (produit par 'nc2txt_drias2020 1.2 du 12.07.2021')
# Date d'extraction : 20/05/2024 14:42:59 UTC
# -----------------------------------------------------------------------------------------------------------
# Production : eurocordex2020
# Modele : KNMI-RACMO22E - CNRM-CERFACS-CNRM-CM5 (RCM - GCM)
# Scenario : periode de reference
# Donnees CORRIGEES
# -----------------------------------------------------------------------------------------------------------
# Periode : 01/01/1950 - 31/12/2005
# -----------------------------------------------------------------------------------------------------------
# Parametre 1 : Temperature minimale journaliere a 2 m
# Mnemonique 1 : tasminAdjust
# Unite origine 1 : K
# Unite restituee 1 : C
# Valeur du parametre manquant 1 : -999.99
# Parametre 2 : Temperature maximale journaliere a 2 m
# Mnemonique 2 : tasmaxAdjust
# Unite origine 2 : K
# Unite restituee 2 : C
# Valeur du parametre manquant 2 : -999.99
# Parametre 3 : Temperature moyenne a 2 m
# Mnemonique 3 : tasAdjust
# Unite origine 3 : K
# Unite restituee 3 : C
# Valeur du parametre manquant 3 : -999.99
# -----------------------------------------------------------------------------------------------------------
# Point de grille SAFRAN
# Numero = 15208
# Latitude = 49.167599 degres (WGS84)
# Longitude = 0.418770 degres (Ouest negatif)
# E = 460000 m (Lambert II Etendu)
# N = 2465000 m
# altitude = 158 m
# -----------------------------------------------------------------------------------------------------------
# Format de la ligne :
#   "Date  tasminAdjust tasmaxAdjust tasAdjust"
# avec :
#   - Date : Date du jour sous la forme 'AAAAMMJJ'
#   - tasminAdjust : Temperature minimale journaliere a 2 m [C]
#   - tasmaxAdjust : Temperature maximale journaliere a 2 m [C]
#   - tasAdjust : Temperature moyenne a 2 m [C]
# -----------------------------------------------------------------------------------------------------------
# Informations complementaires extraites de l'entete du fichier Netcdf original :
#	:experiment_id = "historical" ;
#	:driving_experiment_name = "historical" ;
#	:institution = "Royal Netherlands Meteorological Institute, De Bilt, The Netherlands" ;
#	:institute_id = "KNMI" ;
#	:model_id = "KNMI-RACMO22E" ;
#	:references = "http://www.knmi.nl/research/weather-climate-models" ;
#	:creation_date = "2018-11-14T15:24:23Z" ;
#	:project_id = "DRIAS-EUROCORDEX-2019" ;
#	:experiment = "Historical" ;
# -----------------------------------------------------------------------------------------------------------
# -----------------------------------------------------------------------------------------------------------
# Conditions d'utilisation :
# http://www.drias-climat.fr/accompagnement/conditionsEDC
# -----------------------------------------------------------------------------------------------------------
Date Tmin Tmax Tmoy
19500101 -2.95 1.42 -0.81
19500102 1.49 5.47 3.80
19500103 1.28 4.71 3.01
19500104 -1.93 1.05 -0.54
19500105 -2.93 -0.19 -1.42
19500106 -1.54 4.81 1.82
19500107 0.58 1.43 0.94
19500108 -1.04 -0.28 -0.61
19500109 -3.95 -1.81 -3.02
19500110 -5.42 -0.58 -2.94
19500111 -4.03 2.00 -1.67
19500112 -7.43 -2.37 -4.37
19500113 -11.06 -7.11 -8.75
19500114 -12.48 -2.25 -6.72
19500115 -14.07 -3.87 -6.73
19500116 -14.28 -1.09 -5.53
19500117 -0.45 3.45 1.78
19500118 3.94 5.23 4.59
19500119 -0.31 5.45 1.88
19500120 -0.20 2.68 1.78
19500121 0.60 3.43 2.00
19500122 3.79 6.85 5.25
19500123 1.10 5.25 3.16
19500124 -0.11 4.82 2.45
19500125 3.04 7.24 5.63
19500126 2.69 6.55 4.95
19500127 2.94 6.29 4.41
19500128 0.64 6.29 3.48
19500129 0.45 6.32 3.90
19500130 1.83 5.15 3.49
19500131 0.64 3.36 2.10
19500201 -0.14 3.99 2.14
19500202 -0.39 4.00 2.22
19500203 1.20 5.33 2.62
19500204 3.14 5.72 4.50
19500205 -0.21 3.95 2.06
19500206 -0.65 1.58 0.77
19500207 -3.07 2.00 -0.81
19500208 -9.79 0.73 -4.99
19500209 -10.66 -1.35 -5.17
19500210 -8.56 -1.92 -4.77
19500211 -8.21 -1.84 -4.98
19500212 -5.17 -0.30 -3.09
19500213 -4.98 5.20 1.26
19500214 1.71 7.58 3.95
19500215 6.62 9.62 7.57
19500216 7.63 13.08 9.35
19500217 5.82 9.21 7.58
19500218 2.17 8.27 5.47
19500219 -0.96 5.93 3.09
19500220 -1.66 1.46 0.16
19500221 -3.02 1.59 -0.78
19500222 -4.49 -0.00 -1.68
19500223 -0.77 8.51 3.29
19500224 3.25 11.93 7.62
19500225 7.74 13.40 9.78
19500226 8.60 11.05 10.50
19500227 7.80 11.20 9.48
19500228 4.68 8.17 7.15
19500301 4.29 6.78 5.54
19500302 6.86 10.09 8.32
19500303 9.38 12.29 11.64
19500304 7.56 15.20 12.64
19500305 10.44 20.99 16.46
19500306 13.17 14.46 13.92
19500307 10.63 14.65 12.63
19500308 11.48 15.78 14.22
19500309 11.79 21.14 16.07
19500310 10.52 15.67 13.24
19500311 8.92 13.33 11.63
19500312 8.51 13.51 11.20
19500313 8.98 14.39 11.45
19500314 8.56 14.55 11.75
19500315 8.25 18.35 12.86
