# -----------------------------------------------------------------------------------------------------------
# Origine : DRIAS-CLIMAT - http://www.drias-climat.fr/commande  (produit par 'nc2txt_drias2020 1.2 du 12.07.2021')
# Date d'extraction : 17/04/2024 10:10:54 UTC
# -----------------------------------------------------------------------------------------------------------
# Production : eurocordex2020
# Modele : CNRM-ALADIN63 - CNRM-CERFACS-CNRM-CM5 (RCM - GCM)
# Scenario : periode de reference
# Donnees CORRIGEES
# -----------------------------------------------------------------------------------------------------------
# Periode : 01/01/1951 - 31/12/2005
# -----------------------------------------------------------------------------------------------------------
# Parametre 1 : Temperature minimale journaliere a 2 m
# Mnemonique 1 : tasminAdjust
# Unite origine 1 : K
# Unite restituee 1 : C
# Valeur du parametre manquant 1 : -999.99
# Parametre 2 : Temperature maximale journaliere a 2 m
# Mnemonique 2 : tasmaxAdjust
# Unite origine 2 : K
# Unite restituee 2 : C
# Valeur du parametre manquant 2 : -999.99
# Parametre 3 : Temperature moyenne a 2 m
# Mnemonique 3 : tasAdjust
# Unite origine 3 : K
# Unite restituee 3 : C
# Valeur du parametre manquant 3 : -999.99
# -----------------------------------------------------------------------------------------------------------
# Point de grille SAFRAN
# Numero = 2857
# Latitude = 42.689602 degres (WGS84)
# Longitude = 9.407050 degres (Ouest negatif)
# E = 1180000 m (Lambert II Etendu)
# N = 1769000 m
# altitude = 317 m
# -----------------------------------------------------------------------------------------------------------
# Format de la ligne :
#   "Date  tasminAdjust tasmaxAdjust tasAdjust"
# avec :
#   - Date : Date du jour sous la forme 'AAAAMMJJ'
#   - tasminAdjust : Temperature minimale journaliere a 2 m [C]
#   - tasmaxAdjust : Temperature maximale journaliere a 2 m [C]
#   - tasAdjust : Temperature moyenne a 2 m [C]
# -----------------------------------------------------------------------------------------------------------
# Informations complementaires extraites de l'entete du fichier Netcdf original :
#	:creation_date = "2018-10-19T08:42:38Z" ;
#	:institute_id = "CNRM" ;
#	:institution = "CNRM (Centre National de Recherches Meteorologiques, Toulouse 31057, France)" ;
#	:model_id = "CNRM-ALADIN63" ;
#	:experiment_id = "historical" ;
#	:driving_experiment_name = "historical" ;
#	:references = "http://www.umr-cnrm.fr/spip.php?article125&lang=en" ;
#	:comment = "CORDEX Europe EUR-11 CNRM-ALADIN 6.3 L91 CNRM-CERFACS-CNRM-CM5: EUC12v63-2.02. Reference : Daniel M., Lemonsu A., Déqué M., Somot S., Alias A., Masson V. (2018) Benefits of explicit urban parametrization in regional climate modelling to study climate and city interactions. Climate Dynamics, 1-20, doi:10.1007/s00382-018-4289-x" ;
#	:project_id = "DRIAS-EUROCORDEX-2019" ;
#	:experiment = "Historical" ;
# -----------------------------------------------------------------------------------------------------------
# -----------------------------------------------------------------------------------------------------------
# Conditions d'utilisation :
# http://www.drias-climat.fr/accompagnement/conditionsEDC
# -----------------------------------------------------------------------------------------------------------
Date Tmin Tmax Tmoy
19510101 6.04 8.68 7.10
19510102 3.99 4.40 4.15
19510103 2.39 3.29 2.89
19510104 1.98 2.38 2.11
19510105 0.17 4.15 1.51
19510106 -0.86 3.96 1.08
19510107 -0.58 4.01 1.86
19510108 -0.35 7.44 3.22
19510109 0.73 9.07 5.77
19510110 4.87 13.77 9.59
19510111 7.71 10.74 8.79
19510112 7.09 8.88 7.70
19510113 4.16 9.42 6.03
19510114 1.97 9.23 6.94
19510115 2.66 12.14 8.43
19510116 5.73 12.76 9.62
19510117 5.30 14.56 8.23
19510118 6.95 15.11 12.61
19510119 6.78 15.29 10.62
19510120 8.94 15.70 11.92
19510121 9.93 13.37 11.60
19510122 7.81 13.31 10.61
19510123 7.52 15.04 11.13
19510124 7.52 14.65 11.88
19510125 4.56 12.69 8.32
19510126 4.22 12.35 7.64
19510127 6.67 11.76 9.14
19510128 3.99 8.92 5.51
19510129 3.32 6.05 4.86
19510130 -1.88 6.16 3.22
19510131 0.50 9.41 6.04
19510201 2.89 14.93 7.81
19510202 4.69 12.17 7.35
19510203 0.83 9.78 6.31
19510204 2.70 12.10 8.30
19510205 4.11 12.18 7.72
19510206 3.80 11.20 6.61
19510207 5.38 11.35 7.41
19510208 4.55 10.23 6.83
19510209 3.75 10.54 6.11
19510210 3.68 11.29 6.80
19510211 3.62 11.63 6.93
19510212 2.99 10.89 6.11
19510213 3.87 9.86 6.11
19510214 3.08 7.65 5.52
19510215 2.91 10.06 7.85
19510216 4.92 12.73 8.38
19510217 4.50 13.61 8.34
19510218 5.88 11.15 8.25
19510219 4.83 12.55 9.36
19510220 6.51 11.19 8.17
19510221 3.28 10.09 6.44
19510222 1.13 11.61 5.84
19510223 3.42 12.87 8.42
19510224 5.78 12.34 9.14
19510225 6.43 11.95 8.73
19510226 4.41 12.15 7.93
19510227 7.74 12.85 9.53
19510228 6.56 13.18 9.95
19510301 7.37 14.59 10.77
19510302 5.41 14.39 8.99
19510303 6.33 12.91 9.52
19510304 6.82 9.96 8.09
19510305 7.18 9.44 8.21
19510306 5.09 11.35 8.05
19510307 4.56 11.20 8.44
19510308 5.07 9.89 7.33
19510309 4.24 14.21 8.88
19510310 7.96 14.42 10.52
19510311 6.43 12.34 8.72
19510312 5.29 8.81 6.45
19510313 3.33 9.48 6.34
19510314 3.02 10.73 7.06
19510315 7.41 9.59 8.31
19510316 8.02 13.66 11.01
19510317 10.66 12.34 11.45
19510318 11.52 15.80 13.83
19510319 14.56 16.68 15.65
19510320 8.50 13.98 11.31
19510321 8.22 15.19 11.92
19510322 7.32 19.36 14.39
19510323 9.90 19.11 13.48
19510324 11.03 17.14 13.94
19510325 9.38 14.83 11.87
19510326 6.75 13.46 9.42
19510327 5.13 13.63 7.92
19510328 7.39 12.81 11.42
19510329 10.52 15.71 12.65
19510330 12.52 19.27 16.99
19510331 10.97 18.49 15.25
