# -----------------------------------------------------------------------------------------------------------
# Origine : DRIAS-CLIMAT - http://www.drias-climat.fr/commande  (produit par 'nc2txt_drias2020 1.2 du 12.07.2021')
# Date d'extraction : 17/04/2024 10:10:54 UTC
# -----------------------------------------------------------------------------------------------------------
# Production : eurocordex2020
# Modele : CNRM-ALADIN63 - CNRM-CERFACS-CNRM-CM5 (RCM - GCM)
# Scenario : periode de reference
# Donnees CORRIGEES
# -----------------------------------------------------------------------------------------------------------
# Periode : 01/01/1951 - 31/12/2005
# -----------------------------------------------------------------------------------------------------------
# Parametre 1 : Temperature minimale journaliere a 2 m
# Mnemonique 1 : tasminAdjust
# Unite origine 1 : K
# Unite restituee 1 : C
# Valeur du parametre manquant 1 : -999.99
# Parametre 2 : Temperature maximale journaliere a 2 m
# Mnemonique 2 : tasmaxAdjust
# Unite origine 2 : K
# Unite restituee 2 : C
# Valeur du parametre manquant 2 : -999.99
# Parametre 3 : Temperature moyenne a 2 m
# Mnemonique 3 : tasAdjust
# Unite origine 3 : K
# Unite restituee 3 : C
# Valeur du parametre manquant 3 : -999.99
# -----------------------------------------------------------------------------------------------------------
# Point de grille SAFRAN
# Numero = 18092
# Latitude = 50.617199 degres (WGS84)
# Longitude = 3.070330 degres (Ouest negatif)
# E = 652000 m (Lambert II Etendu)
# N = 2625000 m
# altitude = 35 m
# -----------------------------------------------------------------------------------------------------------
# Format de la ligne :
#   "Date  tasminAdjust tasmaxAdjust tasAdjust"
# avec :
#   - Date : Date du jour sous la forme 'AAAAMMJJ'
#   - tasminAdjust : Temperature minimale journaliere a 2 m [C]
#   - tasmaxAdjust : Temperature maximale journaliere a 2 m [C]
#   - tasAdjust : Temperature moyenne a 2 m [C]
# -----------------------------------------------------------------------------------------------------------
# Informations complementaires extraites de l'entete du fichier Netcdf original :
#	:creation_date = "2018-10-19T08:42:38Z" ;
#	:institute_id = "CNRM" ;
#	:institution = "CNRM (Centre National de Recherches Meteorologiques, Toulouse 31057, France)" ;
#	:model_id = "CNRM-ALADIN63" ;
#	:experiment_id = "historical" ;
#	:driving_experiment_name = "historical" ;
#	:references = "http://www.umr-cnrm.fr/spip.php?article125&lang=en" ;
#	:comment = "CORDEX Europe EUR-11 CNRM-ALADIN 6.3 L91 CNRM-CERFACS-CNRM-CM5: EUC12v63-2.02. Reference : Daniel M., Lemonsu A., Déqué M., Somot S., Alias A., Masson V. (2018) Benefits of explicit urban parametrization in regional climate modelling to study climate and city interactions. Climate Dynamics, 1-20, doi:10.1007/s00382-018-4289-x" ;
#	:project_id = "DRIAS-EUROCORDEX-2019" ;
#	:experiment = "Historical" ;
# -----------------------------------------------------------------------------------------------------------
# -----------------------------------------------------------------------------------------------------------
# Conditions d'utilisation :
# http://www.drias-climat.fr/accompagnement/conditionsEDC
# -----------------------------------------------------------------------------------------------------------
Date Tmin Tmax Tmoy
19510101 -2.49 1.53 -0.68
19510102 -3.32 0.64 -1.86
19510103 -3.57 -0.19 -2.43
19510104 -3.13 -0.16 -1.18
19510105 -2.45 -0.26 -1.15
19510106 -1.68 0.09 -0.63
19510107 -1.18 1.21 0.14
19510108 -0.06 1.18 0.44
19510109 1.83 4.42 3.39
19510110 3.54 4.69 4.10
19510111 0.97 7.88 3.19
19510112 4.82 7.74 6.61
19510113 3.15 6.73 5.15
19510114 4.13 7.95 6.65
19510115 6.69 7.46 6.97
19510116 6.75 9.99 8.54
19510117 3.22 8.05 6.12
19510118 0.55 8.18 4.79
19510119 6.27 10.86 8.35
19510120 7.06 10.67 8.68
19510121 6.06 8.71 6.91
19510122 5.55 9.58 8.06
19510123 8.02 10.70 9.47
19510124 7.43 9.36 8.55
19510125 7.34 10.08 8.73
19510126 8.58 9.42 9.08
19510127 1.95 7.46 5.55
19510128 -0.84 5.19 2.54
19510129 -1.47 2.25 0.23
19510130 -1.06 3.12 1.16
19510131 -0.30 4.51 2.55
19510201 -0.40 5.35 2.24
19510202 -0.92 4.72 1.27
19510203 -1.15 4.75 1.46
19510204 -0.14 5.71 2.24
19510205 0.94 10.49 6.37
19510206 3.12 9.28 6.08
19510207 0.84 5.86 3.10
19510208 -0.01 5.19 2.40
19510209 1.11 7.91 4.16
19510210 4.56 11.43 7.71
19510211 5.07 12.45 7.81
19510212 5.20 6.48 5.88
19510213 2.10 6.12 4.27
19510214 0.28 4.90 2.64
19510215 2.96 4.85 3.79
19510216 1.85 10.02 4.96
19510217 0.58 9.72 5.42
19510218 3.19 9.54 6.39
19510219 2.70 8.77 5.31
19510220 0.18 5.25 2.96
19510221 0.68 8.73 3.59
19510222 5.07 11.92 8.59
19510223 7.53 10.96 9.49
19510224 5.60 7.80 6.53
19510225 3.31 9.21 6.57
19510226 1.48 8.27 4.52
19510227 4.99 7.65 6.54
19510228 5.27 12.54 9.26
19510301 9.87 15.95 12.88
19510302 9.35 11.07 10.17
19510303 5.82 8.98 6.91
19510304 4.10 9.47 6.88
19510305 5.17 7.14 6.41
19510306 4.24 7.03 5.82
19510307 1.39 7.19 4.36
19510308 3.53 10.49 6.86
19510309 5.02 9.44 7.73
19510310 4.10 8.87 7.20
19510311 3.82 8.94 7.17
19510312 2.89 11.12 6.30
19510313 3.90 10.17 6.52
19510314 4.13 8.84 6.49
19510315 4.27 7.95 5.99
19510316 3.90 6.97 5.59
19510317 0.87 6.88 3.74
19510318 3.86 6.92 5.61
19510319 4.21 8.67 6.30
19510320 2.54 9.71 7.49
19510321 6.02 12.73 8.55
19510322 7.93 13.11 10.85
19510323 9.19 16.65 13.22
19510324 5.05 10.61 7.69
19510325 3.67 7.81 5.12
19510326 2.99 8.60 6.51
19510327 5.40 9.30 6.75
19510328 4.39 8.58 6.54
19510329 1.72 9.71 6.59
19510330 5.67 15.34 10.30
19510331 9.80 11.84 10.63
19510401 7.06 10.11 9.18
19510402 5.99 10.02 8.34
19510403 4.51 11.48 8.12
19510404 3.97 11.99 9.28
19510405 1.93 10.51 7.22
19510406 1.54 9.27 6.18
19510407 4.77 9.25 6.83
19510408 6.12 11.99 9.57
19510409 7.88 15.38 11.12
19510410 9.73 12.21 11.15
19510411 7.57 14.90 11.28
19510412 3.77 13.38 10.95
19510413 2.65 15.54 9.43
19510414 6.36 16.46 11.89
19510415 9.39 10.54 9.97
19510416 4.06 11.53 7.52
19510417 0.48 11.40 7.10
19510418 3.71 7.38 5.51
19510419 4.39 6.01 5.09
19510420 3.17 10.55 7.75
19510421 4.12 11.21 8.60
19510422 4.80 8.30 6.46
19510423 2.82 10.82 6.51
19510424 1.20 12.04 5.65
19510425 3.35 7.05 5.90
19510426 2.99 9.48 6.85
19510427 4.06 14.58 9.00
19510428 4.82 17.58 10.65
19510429 6.68 15.54 13.26
19510430 7.59 20.72 12.99
19510501 9.13 23.35 15.77
19510502 10.53 17.68 14.43
19510503 10.05 16.47 12.71
19510504 9.61 16.30 12.84
19510505 8.46 14.30 11.44
19510506 6.61 17.16 11.81
19510507 10.15 24.65 17.36
19510508 13.77 19.76 17.18
19510509 11.47 16.43 13.72
19510510 10.21 15.74 12.88
19510511 10.09 16.09 13.94
19510512 10.76 22.21 15.14
19510513 10.59 23.73 17.58
19510514 12.53 25.04 18.38
