# -----------------------------------------------------------------------------------------------------------
# Origine : DRIAS-CLIMAT - http://www.drias-climat.fr/commande  (produit par 'nc2txt_drias2020 1.2 du 12.07.2021')
# Date d'extraction : 17/04/2024 10:10:54 UTC
# -----------------------------------------------------------------------------------------------------------
# Production : eurocordex2020
# Modele : CNRM-ALADIN63 - CNRM-CERFACS-CNRM-CM5 (RCM - GCM)
# Scenario : periode de reference
# Donnees CORRIGEES
# -----------------------------------------------------------------------------------------------------------
# Periode : 01/01/1951 - 31/12/2005
# -----------------------------------------------------------------------------------------------------------
# Parametre 1 : Temperature minimale journaliere a 2 m
# Mnemonique 1 : tasminAdjust
# Unite origine 1 : K
# Unite restituee 1 : C
# Valeur du parametre manquant 1 : -999.99
# Parametre 2 : Temperature maximale journaliere a 2 m
# Mnemonique 2 : tasmaxAdjust
# Unite origine 2 : K
# Unite restituee 2 : C
# Valeur du parametre manquant 2 : -999.99
# Parametre 3 : Temperature moyenne a 2 m
# Mnemonique 3 : tasAdjust
# Unite origine 3 : K
# Unite restituee 3 : C
# Valeur du parametre manquant 3 : -999.99
# -----------------------------------------------------------------------------------------------------------
# Point de grille SAFRAN
# Numero = 8529
# Latitude = 45.773102 degres (WGS84)
# Longitude = 4.857370 degres (Ouest negatif)
# E = 796000 m (Lambert II Etendu)
# N = 2089000 m
# altitude = 197 m
# -----------------------------------------------------------------------------------------------------------
# Format de la ligne :
#   "Date  tasminAdjust tasmaxAdjust tasAdjust"
# avec :
#   - Date : Date du jour sous la forme 'AAAAMMJJ'
#   - tasminAdjust : Temperature minimale journaliere a 2 m [C]
#   - tasmaxAdjust : Temperature maximale journaliere a 2 m [C]
#   - tasAdjust : Temperature moyenne a 2 m [C]
# -----------------------------------------------------------------------------------------------------------
# Informations complementaires extraites de l'entete du fichier Netcdf original :
#	:creation_date = "2018-10-19T08:42:38Z" ;
#	:institute_id = "CNRM" ;
#	:institution = "CNRM (Centre National de Recherches Meteorologiques, Toulouse 31057, France)" ;
#	:model_id = "CNRM-ALADIN63" ;
#	:experiment_id = "historical" ;
#	:driving_experiment_name = "historical" ;
#	:references = "http://www.umr-cnrm.fr/spip.php?article125&lang=en" ;
#	:comment = "CORDEX Europe EUR-11 CNRM-ALADIN 6.3 L91 CNRM-CERFACS-CNRM-CM5: EUC12v63-2.02. Reference : Daniel M., Lemonsu A., Déqué M., Somot S., Alias A., Masson V. (2018) Benefits of explicit urban parametrization in regional climate modelling to study climate and city interactions. Climate Dynamics, 1-20, doi:10.1007/s00382-018-4289-x" ;
#	:project_id = "DRIAS-EUROCORDEX-2019" ;
#	:experiment = "Historical" ;
# -----------------------------------------------------------------------------------------------------------
# -----------------------------------------------------------------------------------------------------------
# Conditions d'utilisation :
# http://www.drias-climat.fr/accompagnement/conditionsEDC
# -----------------------------------------------------------------------------------------------------------
Date Tmin Tmax Tmoy
19510101 -2.95 0.37 -1.21
19510102 -3.21 -0.11 -2.25
19510103 -4.86 -0.43 -2.57
19510104 -5.14 -1.46 -3.68
19510105 -5.10 -1.60 -3.33
19510106 -5.78 -1.83 -4.33
19510107 -6.17 -1.65 -4.68
19510108 -5.92 1.21 -3.19
19510109 1.54 3.88 2.69
19510110 2.68 6.61 5.87
19510111 1.52 6.59 4.60
19510112 1.40 8.71 2.97
19510113 2.13 4.48 3.40
19510114 2.87 6.38 5.10
19510115 2.34 8.93 5.13
19510116 2.46 11.59 7.30
19510117 10.98 13.18 12.35
19510118 10.47 12.71 11.32
19510119 8.58 13.67 11.57
19510120 8.55 13.52 11.95
19510121 5.14 9.21 6.74
19510122 4.76 12.41 9.89
19510123 3.92 14.56 11.32
19510124 6.58 11.70 9.29
19510125 2.73 7.46 4.77
19510126 4.53 6.98 5.50
19510127 1.77 4.50 2.73
19510128 -0.58 3.10 1.59
19510129 -1.75 2.84 0.51
19510130 -2.73 2.16 0.22
19510131 -3.33 4.82 -0.12
19510201 -2.18 4.62 0.78
19510202 -1.57 2.61 0.34
19510203 -2.93 3.34 0.07
19510204 -3.00 4.67 0.93
19510205 0.36 5.77 3.90
19510206 -1.17 7.38 3.64
19510207 1.93 4.79 3.02
19510208 -0.45 8.76 3.45
19510209 -0.55 7.06 3.51
19510210 0.32 9.00 4.36
19510211 2.07 9.50 5.14
19510212 1.37 5.84 3.46
19510213 -0.08 4.52 1.93
19510214 -0.21 3.80 2.37
19510215 0.92 5.89 3.07
19510216 3.31 11.18 6.47
19510217 4.60 11.45 8.52
19510218 5.12 9.78 7.26
19510219 3.44 8.05 5.88
19510220 -0.19 5.17 3.17
19510221 2.53 8.91 5.74
19510222 4.82 10.10 7.85
19510223 4.96 13.25 9.76
19510224 2.75 8.83 7.55
19510225 0.27 8.24 4.52
19510226 0.91 10.78 5.54
19510227 4.45 10.60 6.98
19510228 1.84 13.65 6.94
19510301 8.76 15.12 12.19
19510302 1.88 17.57 8.25
19510303 -0.04 13.96 6.63
19510304 1.03 7.98 4.21
19510305 1.10 6.86 3.52
19510306 1.15 7.01 3.94
19510307 0.51 6.52 4.23
19510308 1.24 8.16 4.04
19510309 3.67 14.11 9.07
19510310 3.97 8.75 6.25
19510311 0.90 7.54 4.56
19510312 1.96 7.46 4.22
19510313 -1.09 9.46 3.92
19510314 1.72 6.77 3.94
19510315 1.65 11.04 6.76
19510316 3.59 13.19 7.77
19510317 1.64 11.05 5.21
19510318 7.68 13.68 11.06
19510319 5.06 10.43 7.71
19510320 1.65 11.08 7.52
19510321 1.34 12.41 7.32
19510322 3.21 17.97 9.99
19510323 5.26 22.03 13.80
19510324 6.52 11.67 9.10
19510325 3.73 8.49 5.68
19510326 2.67 8.61 5.37
19510327 1.06 10.70 6.29
19510328 5.23 9.12 6.92
