# -----------------------------------------------------------------------------------------------------------
# Origine : DRIAS-CLIMAT - http://www.drias-climat.fr/commande  (produit par 'nc2txt_drias2020 1.2 du 12.07.2021')
# Date d'extraction : 17/04/2024 10:10:54 UTC
# -----------------------------------------------------------------------------------------------------------
# Production : eurocordex2020
# Modele : CNRM-ALADIN63 - CNRM-CERFACS-CNRM-CM5 (RCM - GCM)
# Scenario : periode de reference
# Donnees CORRIGEES
# -----------------------------------------------------------------------------------------------------------
# Periode : 01/01/1951 - 31/12/2005
# -----------------------------------------------------------------------------------------------------------
# Parametre 1 : Temperature minimale journaliere a 2 m
# Mnemonique 1 : tasminAdjust
# Unite origine 1 : K
# Unite restituee 1 : C
# Valeur du parametre manquant 1 : -999.99
# Parametre 2 : Temperature maximale journaliere a 2 m
# Mnemonique 2 : tasmaxAdjust
# Unite origine 2 : K
# Unite restituee 2 : C
# Valeur du parametre manquant 2 : -999.99
# Parametre 3 : Temperature moyenne a 2 m
# Mnemonique 3 : tasAdjust
# Unite origine 3 : K
# Unite restituee 3 : C
# Valeur du parametre manquant 3 : -999.99
# -----------------------------------------------------------------------------------------------------------
# Point de grille SAFRAN
# Numero = 3673
# Latitude = 43.313400 degres (WGS84)
# Longitude = 5.340430 degres (Ouest negatif)
# E = 844000 m (Lambert II Etendu)
# N = 1817000 m
# altitude = 13 m
# -----------------------------------------------------------------------------------------------------------
# Format de la ligne :
#   "Date  tasminAdjust tasmaxAdjust tasAdjust"
# avec :
#   - Date : Date du jour sous la forme 'AAAAMMJJ'
#   - tasminAdjust : Temperature minimale journaliere a 2 m [C]
#   - tasmaxAdjust : Temperature maximale journaliere a 2 m [C]
#   - tasAdjust : Temperature moyenne a 2 m [C]
# -----------------------------------------------------------------------------------------------------------
# Informations complementaires extraites de l'entete du fichier Netcdf original :
#	:creation_date = "2018-10-19T08:42:38Z" ;
#	:institute_id = "CNRM" ;
#	:institution = "CNRM (Centre National de Recherches Meteorologiques, Toulouse 31057, France)" ;
#	:model_id = "CNRM-ALADIN63" ;
#	:experiment_id = "historical" ;
#	:driving_experiment_name = "historical" ;
#	:references = "http://www.umr-cnrm.fr/spip.php?article125&lang=en" ;
#	:comment = "CORDEX Europe EUR-11 CNRM-ALADIN 6.3 L91 CNRM-CERFACS-CNRM-CM5: EUC12v63-2.02. Reference : Daniel M., Lemonsu A., Déqué M., Somot S., Alias A., Masson V. (2018) Benefits of explicit urban parametrization in regional climate modelling to study climate and city interactions. Climate Dynamics, 1-20, doi:10.1007/s00382-018-4289-x" ;
#	:project_id = "DRIAS-EUROCORDEX-2019" ;
#	:experiment = "Historical" ;
# -----------------------------------------------------------------------------------------------------------
# -----------------------------------------------------------------------------------------------------------
# Conditions d'utilisation :
# http://www.drias-climat.fr/accompagnement/conditionsEDC
# -----------------------------------------------------------------------------------------------------------
Date Tmin Tmax Tmoy
19510101 3.71 6.26 5.15
19510102 2.86 6.57 4.49
19510103 1.72 7.25 4.95
19510104 0.64 7.11 3.72
19510105 -0.42 5.83 3.21
19510106 -0.26 6.75 2.58
19510107 -0.16 6.82 2.28
19510108 0.37 7.68 3.38
19510109 4.93 9.38 6.83
19510110 7.79 13.76 10.54
19510111 6.30 9.79 8.34
19510112 6.37 11.47 8.45
19510113 5.07 9.03 7.27
19510114 4.82 11.01 7.85
19510115 6.48 13.38 10.02
19510116 8.21 14.03 11.49
19510117 13.39 14.62 13.88
19510118 13.10 14.59 13.91
19510119 11.59 15.08 13.73
19510120 11.97 17.83 13.75
19510121 7.94 13.04 10.19
19510122 6.59 14.45 11.24
19510123 9.25 15.94 13.43
19510124 11.01 13.57 12.43
19510125 5.88 11.35 7.76
19510126 5.49 11.65 8.26
19510127 6.75 11.68 8.71
19510128 3.62 10.37 7.56
19510129 2.35 11.54 5.61
19510130 1.68 11.79 5.60
19510131 5.09 13.37 8.25
19510201 4.28 15.45 10.12
19510202 5.57 16.97 9.84
19510203 3.24 14.73 9.89
19510204 6.63 14.46 9.33
19510205 5.07 13.07 8.66
19510206 3.15 11.16 7.14
19510207 4.48 12.72 9.23
19510208 6.36 14.38 9.61
19510209 5.43 13.10 8.56
19510210 4.66 13.09 8.49
19510211 5.63 13.08 8.42
19510212 7.71 12.25 9.95
19510213 6.27 10.08 7.79
19510214 2.40 13.04 8.92
19510215 7.14 13.18 9.92
19510216 7.07 14.36 10.40
19510217 7.15 15.21 11.02
19510218 8.79 15.41 12.08
19510219 8.55 13.22 10.67
19510220 4.49 15.37 9.84
19510221 7.67 14.47 10.95
19510222 7.49 15.51 11.06
19510223 7.33 16.42 12.22
19510224 7.43 13.34 10.00
19510225 2.53 12.97 7.06
19510226 9.41 10.26 9.85
19510227 8.66 13.74 11.74
19510228 7.24 15.97 12.24
19510301 12.58 15.97 14.11
19510302 10.23 15.87 12.44
19510303 9.57 13.20 11.80
19510304 8.77 11.03 9.67
19510305 7.93 12.24 9.29
19510306 6.17 11.33 8.25
19510307 4.39 9.86 7.98
19510308 6.73 13.04 9.16
19510309 6.74 15.47 11.04
19510310 9.10 13.31 11.60
19510311 7.13 12.77 10.13
19510312 6.67 13.46 9.43
19510313 4.22 14.50 8.75
19510314 6.20 13.52 9.32
19510315 6.75 14.09 9.79
19510316 5.58 14.39 9.96
19510317 8.20 13.79 10.12
19510318 13.23 16.58 14.71
19510319 12.39 18.52 15.24
19510320 8.98 17.00 13.58
19510321 8.27 20.49 11.91
19510322 8.36 22.59 16.84
19510323 11.48 21.65 16.57
19510324 10.24 16.40 13.68
19510325 6.95 15.26 10.48
19510326 6.78 14.67 10.35
19510327 5.10 14.48 8.32
19510328 8.95 14.85 11.54
19510329 11.65 14.30 13.00
19510330 12.46 21.02 15.86
19510331 10.77 16.71 13.82
