# -----------------------------------------------------------------------------------------------------------
# Origine : DRIAS-CLIMAT - http://www.drias-climat.fr/commande  (produit par 'nc2txt_drias2020 1.2 du 12.07.2021')
# Date d'extraction : 17/04/2024 10:10:54 UTC
# -----------------------------------------------------------------------------------------------------------
# Production : eurocordex2020
# Modele : CNRM-ALADIN63 - CNRM-CERFACS-CNRM-CM5 (RCM - GCM)
# Scenario : periode de reference
# Donnees CORRIGEES
# -----------------------------------------------------------------------------------------------------------
# Periode : 01/01/1951 - 31/12/2005
# -----------------------------------------------------------------------------------------------------------
# Parametre 1 : Temperature minimale journaliere a 2 m
# Mnemonique 1 : tasminAdjust
# Unite origine 1 : K
# Unite restituee 1 : C
# Valeur du parametre manquant 1 : -999.99
# Parametre 2 : Temperature maximale journaliere a 2 m
# Mnemonique 2 : tasmaxAdjust
# Unite origine 2 : K
# Unite restituee 2 : C
# Valeur du parametre manquant 2 : -999.99
# Parametre 3 : Temperature moyenne a 2 m
# Mnemonique 3 : tasAdjust
# Unite origine 3 : K
# Unite restituee 3 : C
# Valeur du parametre manquant 3 : -999.99
# -----------------------------------------------------------------------------------------------------------
# Point de grille SAFRAN
# Numero = 14403
# Latitude = 48.688900 degres (WGS84)
# Longitude = 6.194230 degres (Ouest negatif)
# E = 884000 m (Lambert II Etendu)
# N = 2417000 m
# altitude = 240 m
# -----------------------------------------------------------------------------------------------------------
# Format de la ligne :
#   "Date  tasminAdjust tasmaxAdjust tasAdjust"
# avec :
#   - Date : Date du jour sous la forme 'AAAAMMJJ'
#   - tasminAdjust : Temperature minimale journaliere a 2 m [C]
#   - tasmaxAdjust : Temperature maximale journaliere a 2 m [C]
#   - tasAdjust : Temperature moyenne a 2 m [C]
# -----------------------------------------------------------------------------------------------------------
# Informations complementaires extraites de l'entete du fichier Netcdf original :
#	:creation_date = "2018-10-19T08:42:38Z" ;
#	:institute_id = "CNRM" ;
#	:institution = "CNRM (Centre National de Recherches Meteorologiques, Toulouse 31057, France)" ;
#	:model_id = "CNRM-ALADIN63" ;
#	:experiment_id = "historical" ;
#	:driving_experiment_name = "historical" ;
#	:references = "http://www.umr-cnrm.fr/spip.php?article125&lang=en" ;
#	:comment = "CORDEX Europe EUR-11 CNRM-ALADIN 6.3 L91 CNRM-CERFACS-CNRM-CM5: EUC12v63-2.02. Reference : Daniel M., Lemonsu A., Déqué M., Somot S., Alias A., Masson V. (2018) Benefits of explicit urban parametrization in regional climate modelling to study climate and city interactions. Climate Dynamics, 1-20, doi:10.1007/s00382-018-4289-x" ;
#	:project_id = "DRIAS-EUROCORDEX-2019" ;
#	:experiment = "Historical" ;
# -----------------------------------------------------------------------------------------------------------
# -----------------------------------------------------------------------------------------------------------
# Conditions d'utilisation :
# http://www.drias-climat.fr/accompagnement/conditionsEDC
# -----------------------------------------------------------------------------------------------------------
Date Tmin Tmax Tmoy
19510101 -4.52 -1.27 -2.97
19510102 -5.87 -0.12 -2.44
19510103 -4.92 -0.86 -3.88
19510104 -5.57 -2.41 -4.16
19510105 -8.01 -3.77 -5.81
19510106 -10.33 -3.85 -6.87
19510107 -9.27 -2.77 -5.26
19510108 -7.75 -2.34 -5.66
19510109 -1.74 0.49 -0.66
19510110 0.96 3.21 2.36
19510111 2.12 3.47 2.50
19510112 2.66 4.98 4.11
19510113 1.50 3.83 2.98
19510114 1.42 4.48 3.33
19510115 3.90 6.72 5.02
19510116 3.91 10.59 6.35
19510117 0.58 11.07 7.21
19510118 -0.01 9.59 6.11
19510119 3.11 10.10 7.10
19510120 7.51 10.61 9.51
19510121 4.22 6.95 5.96
19510122 3.42 9.36 6.95
19510123 7.32 12.59 9.58
19510124 5.75 10.24 7.98
19510125 2.88 8.66 6.01
19510126 4.89 7.01 5.81
19510127 1.44 4.55 2.92
19510128 -2.09 2.79 0.39
19510129 -4.00 0.32 -1.29
19510130 -4.10 0.98 -2.01
19510131 -4.39 4.84 -0.73
19510201 -2.55 0.64 -1.23
19510202 -3.24 1.31 -1.36
19510203 -4.27 3.05 -1.25
19510204 -3.35 3.87 -0.39
19510205 -2.23 7.95 2.88
19510206 -1.43 3.88 0.32
19510207 -2.22 3.18 0.60
19510208 -3.52 7.88 0.81
19510209 0.13 3.51 2.36
19510210 0.77 8.56 4.75
19510211 2.78 9.29 5.11
19510212 1.06 3.58 2.43
19510213 1.30 2.99 2.00
19510214 0.34 3.32 2.23
19510215 0.03 4.08 1.91
19510216 2.48 9.76 5.96
19510217 4.62 10.58 7.20
19510218 5.93 8.57 7.16
19510219 2.06 7.24 5.06
19510220 1.31 5.38 3.33
19510221 2.57 8.20 5.24
19510222 5.94 9.77 8.03
19510223 5.94 9.03 7.58
19510224 3.76 5.61 5.00
19510225 0.15 7.99 4.39
19510226 -0.65 10.01 4.64
19510227 5.24 9.55 7.06
19510228 3.01 12.10 8.39
19510301 7.62 17.09 13.19
19510302 7.66 14.93 11.34
19510303 2.88 11.44 8.67
19510304 2.70 7.56 4.61
19510305 2.91 7.38 5.73
19510306 3.67 5.47 4.61
19510307 3.46 6.69 5.06
19510308 3.22 7.17 5.08
19510309 4.83 10.04 7.54
19510310 3.78 6.64 5.61
19510311 1.98 7.99 5.16
19510312 0.24 7.32 3.10
19510313 -1.17 10.26 3.18
19510314 0.33 7.16 3.41
19510315 0.59 10.38 4.06
19510316 5.03 6.95 6.11
19510317 2.47 5.73 4.65
19510318 4.84 8.78 6.60
19510319 3.89 6.06 4.97
19510320 0.91 10.56 5.25
19510321 6.17 7.36 6.91
19510322 5.47 15.08 10.67
19510323 6.08 19.35 12.60
19510324 5.63 7.48 6.60
19510325 4.21 7.27 5.98
19510326 2.29 8.63 5.36
19510327 3.40 8.56 6.03
19510328 1.35 7.92 4.68
