# -----------------------------------------------------------------------------------------------------------
# Origine : DRIAS-CLIMAT - http://www.drias-climat.fr/commande  (produit par 'nc2txt_drias2020 1.2 du 12.07.2021')
# Date d'extraction : 17/04/2024 10:10:54 UTC
# -----------------------------------------------------------------------------------------------------------
# Production : eurocordex2020
# Modele : CNRM-ALADIN63 - CNRM-CERFACS-CNRM-CM5 (RCM - GCM)
# Scenario : periode de reference
# Donnees CORRIGEES
# -----------------------------------------------------------------------------------------------------------
# Periode : 01/01/1951 - 31/12/2005
# -----------------------------------------------------------------------------------------------------------
# Parametre 1 : Temperature minimale journaliere a 2 m
# Mnemonique 1 : tasminAdjust
# Unite origine 1 : K
# Unite restituee 1 : C
# Valeur du parametre manquant 1 : -999.99
# Parametre 2 : Temperature maximale journaliere a 2 m
# Mnemonique 2 : tasmaxAdjust
# Unite origine 2 : K
# Unite restituee 2 : C
# Valeur du parametre manquant 2 : -999.99
# Parametre 3 : Temperature moyenne a 2 m
# Mnemonique 3 : tasAdjust
# Unite origine 3 : K
# Unite restituee 3 : C
# Valeur du parametre manquant 3 : -999.99
# -----------------------------------------------------------------------------------------------------------
# Point de grille SAFRAN
# Numero = 2361
# Latitude = 42.707100 degres (WGS84)
# Longitude = 2.872980 degres (Ouest negatif)
# E = 644000 m (Lambert II Etendu)
# N = 1745000 m
# altitude = 43 m
# -----------------------------------------------------------------------------------------------------------
# Format de la ligne :
#   "Date  tasminAdjust tasmaxAdjust tasAdjust"
# avec :
#   - Date : Date du jour sous la forme 'AAAAMMJJ'
#   - tasminAdjust : Temperature minimale journaliere a 2 m [C]
#   - tasmaxAdjust : Temperature maximale journaliere a 2 m [C]
#   - tasAdjust : Temperature moyenne a 2 m [C]
# -----------------------------------------------------------------------------------------------------------
# Informations complementaires extraites de l'entete du fichier Netcdf original :
#	:creation_date = "2018-10-19T08:42:38Z" ;
#	:institute_id = "CNRM" ;
#	:institution = "CNRM (Centre National de Recherches Meteorologiques, Toulouse 31057, France)" ;
#	:model_id = "CNRM-ALADIN63" ;
#	:experiment_id = "historical" ;
#	:driving_experiment_name = "historical" ;
#	:references = "http://www.umr-cnrm.fr/spip.php?article125&lang=en" ;
#	:comment = "CORDEX Europe EUR-11 CNRM-ALADIN 6.3 L91 CNRM-CERFACS-CNRM-CM5: EUC12v63-2.02. Reference : Daniel M., Lemonsu A., Déqué M., Somot S., Alias A., Masson V. (2018) Benefits of explicit urban parametrization in regional climate modelling to study climate and city interactions. Climate Dynamics, 1-20, doi:10.1007/s00382-018-4289-x" ;
#	:project_id = "DRIAS-EUROCORDEX-2019" ;
#	:experiment = "Historical" ;
# -----------------------------------------------------------------------------------------------------------
# -----------------------------------------------------------------------------------------------------------
# Conditions d'utilisation :
# http://www.drias-climat.fr/accompagnement/conditionsEDC
# -----------------------------------------------------------------------------------------------------------
Date Tmin Tmax Tmoy
19510101 2.47 5.19 3.68
19510102 0.98 3.43 2.71
19510103 -1.45 6.45 1.32
19510104 -0.89 7.50 3.50
19510105 -1.80 6.68 1.99
19510106 -0.73 7.28 1.91
19510107 -1.56 8.45 2.53
19510108 -0.86 5.70 2.44
19510109 1.33 8.30 3.96
19510110 4.91 12.82 8.01
19510111 5.40 10.61 8.97
19510112 6.05 10.49 8.05
19510113 7.31 10.74 8.96
19510114 7.37 10.33 8.44
19510115 5.25 13.58 8.99
19510116 10.54 12.03 11.48
19510117 8.25 17.04 12.51
19510118 8.17 15.86 10.95
19510119 7.83 13.77 11.12
19510120 7.00 16.93 12.70
19510121 6.82 14.42 11.06
19510122 6.17 18.96 11.80
19510123 8.75 14.64 11.29
19510124 6.38 13.52 10.99
19510125 5.91 11.43 6.96
19510126 5.88 13.32 8.45
19510127 6.05 11.48 8.16
19510128 5.17 9.76 7.46
19510129 0.86 8.97 5.44
19510130 -1.28 9.36 4.82
19510131 0.47 8.54 5.62
19510201 0.41 11.70 6.12
19510202 4.51 13.11 8.66
19510203 1.48 11.37 4.67
19510204 1.54 11.83 7.79
19510205 3.61 12.63 6.75
19510206 0.12 11.91 6.28
19510207 1.95 11.71 5.89
19510208 -0.52 11.96 4.04
19510209 -0.37 12.82 5.98
19510210 1.13 14.60 6.93
19510211 6.37 14.24 11.02
19510212 4.21 12.58 7.13
19510213 5.22 9.73 7.37
19510214 5.06 12.21 9.10
19510215 7.70 13.11 9.88
19510216 8.81 16.38 11.92
19510217 8.39 17.11 10.83
19510218 9.82 13.97 13.19
19510219 10.47 10.85 10.74
19510220 8.51 11.51 9.49
19510221 7.64 12.46 10.45
19510222 6.04 18.21 10.81
19510223 7.38 16.98 13.32
19510224 10.36 12.83 11.77
19510225 5.34 13.61 8.45
19510226 7.95 17.97 12.43
19510227 8.58 16.90 12.67
19510228 5.49 16.38 10.27
19510301 5.54 18.89 11.95
19510302 7.72 12.17 10.10
19510303 6.14 15.58 11.67
19510304 6.68 11.37 8.55
19510305 6.82 11.36 8.95
19510306 6.03 10.65 8.37
19510307 3.01 12.70 8.68
19510308 5.68 11.82 9.07
19510309 8.21 17.79 13.56
19510310 8.53 15.73 12.06
19510311 6.84 10.52 8.51
19510312 7.53 11.79 9.22
19510313 3.26 13.29 9.20
19510314 5.97 12.16 8.90
19510315 7.30 14.96 10.36
19510316 4.67 15.64 11.22
19510317 4.38 17.83 10.97
19510318 9.86 17.28 13.83
19510319 10.99 20.35 15.94
19510320 10.53 17.02 13.19
19510321 8.12 19.03 13.27
19510322 10.02 21.71 16.16
19510323 10.24 23.50 16.19
19510324 10.77 16.35 12.61
19510325 7.08 12.90 10.34
19510326 6.82 14.29 10.67
19510327 4.91 15.66 9.46
19510328 8.50 16.32 11.78
19510329 7.24 19.04 12.57
19510330 10.82 17.13 13.69
