EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-01-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TX   : Maximum temperature in 0.1 &#176;C
30-34 Q_TX : quality code for TX (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LUXEMBOURG AIRPORT, LUXEMBOURG (STAID: 203)
Blended and updated with sources:634 906590 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TX, Q_TX
   203,   634,19470101,    7,    0
   203,   634,19470102,    0,    0
   203,   634,19470103,   16,    0
   203,   634,19470104,  -16,    0
   203,   634,19470105,  -40,    0
   203,   634,19470106,  -83,    0
   203,   634,19470107,  -70,    0
   203,   634,19470108,  -15,    0
   203,   634,19470109,   25,    0
   203,   634,19470110,   26,    0
   203,   634,19470111,   33,    0
   203,   634,19470112,   55,    0
   203,   634,19470113,   74,    0
   203,   634,19470114,   72,    0
   203,   634,19470115,   80,    0
   203,   634,19470116,   98,    0
   203,   634,19470117,   38,    0
   203,   634,19470118,   32,    0
   203,   634,19470119,   44,    0
   203,   634,19470120,   -4,    0
   203,   634,19470121,    6,    0
   203,   634,19470122,  -14,    0
   203,   634,19470123,  -34,    0
   203,   634,19470124,  -45,    0
   203,   634,19470125,  -55,    0
   203,   634,19470126,  -70,    0
   203,   634,19470127,  -80,    0
   203,   634,19470128,  -92,    0
   203,   634,19470129,  -78,    0
   203,   634,19470130,  -72,    0
   203,   634,19470131,  -20,    0
   203,   634,19470201,  -13,    0
   203,   634,19470202,  -24,    0
   203,   634,19470203,    1,    0
   203,   634,19470204,   -1,    0
   203,   634,19470205,  -39,    0
   203,   634,19470206,  -48,    0
   203,   634,19470207,  -58,    0
   203,   634,19470208,  -28,    0
   203,   634,19470209,   45,    0
   203,   634,19470210,   15,    0
   203,   634,19470211,  -20,    0
   203,   634,19470212,   -6,    0
   203,   634,19470213,   30,    0
   203,   634,19470214,  -19,    0
   203,   634,19470215,  -52,    0
   203,   634,19470216,  -60,    0
   203,   634,19470217,  -35,    0
   203,   634,19470218,  -32,    0
   203,   634,19470219,  -48,    0
   203,   634,19470220,  -45,    0
   203,   634,19470221,   44,    0
   203,   634,19470222,   44,    0
   203,   634,19470223,  -44,    0
   203,   634,19470224,  -44,    0
   203,   634,19470225,  -22,    0
   203,   634,19470226,    6,    0
   203,   634,19470227,   -4,    0
   203,   634,19470228,    6,    0
   203,   634,19470301,  -30,    0
   203,   634,19470302,  -11,    0
   203,   634,19470303,    3,    0
   203,   634,19470304,   13,    0
   203,   634,19470305,   50,    0
   203,   634,19470306,   83,    0
   203,   634,19470307,   34,    0
   203,   634,19470308,   32,    0
   203,   634,19470309,   55,    0
   203,   634,19470310,   47,    0
   203,   634,19470311,   82,    0
   203,   634,19470312,   -1,    0
   203,   634,19470313,   95,    0
   203,   634,19470314,  100,    0
   203,   634,19470315,   14,    0
   203,   634,19470316,  110,    0
   203,   634,19470317,  110,    0
   203,   634,19470318,  104,    0
   203,   634,19470319,  106,    0
   203,   634,19470320,   72,    0
   203,   634,19470321,  111,    0
   203,   634,19470322,   96,    0
   203,   634,19470323,  122,    0
   203,   634,19470324,   98,    0
   203,   634,19470325,   76,    0
   203,   634,19470326,   71,    0
   203,   634,19470327,   84,    0
   203,   634,19470328,  162,    0
   203,   634,19470329,  136,    0
   203,   634,19470330,  115,    0
   203,   634,19470331,  107,    0
   203,   634,19470401,  113,    0
   203,   634,19470402,   67,    0
   203,   634,19470403,  102,    0
   203,   634,19470404,   74,    0
   203,   634,19470405,   67,    0
   203,   634,19470406,  106,    0
   203,   634,19470407,  132,    0
   203,   634,19470408,  150,    0
   203,   634,19470409,   60,    0
   203,   634,19470410,   92,    0
   203,   634,19470411,  109,    0
   203,   634,19470412,  145,    0
   203,   634,19470413,  186,    0
   203,   634,19470414,  202,    0
   203,   634,19470415,  193,    0
   203,   634,19470416,  215,    0
   203,   634,19470417,  224,    0
   203,   634,19470418,  186,    0
   203,   634,19470419,  187,    0
   203,   634,19470420,  178,    0
   203,   634,19470421,  142,    0
   203,   634,19470422,  210,    0
   203,   634,19470423,  129,    0
   203,   634,19470424,  134,    0
   203,   634,19470425,  187,    0
   203,   634,19470426,  160,    0
   203,   634,19470427,  207,    0
   203,   634,19470428,  125,    0
   203,   634,19470429,  140,    0
   203,   634,19470430,  104,    0
   203,   634,19470501,  100,    0
   203,   634,19470502,  122,    0
   203,   634,19470503,  163,    0
   203,   634,19470504,  130,    0
   203,   634,19470505,  145,    0
   203,   634,19470506,  142,    0
   203,   634,19470507,  200,    0
   203,   634,19470508,  230,    0
   203,   634,19470509,  252,    0
   203,   634,19470510,  219,    0
   203,   634,19470511,  205,    0
   203,   634,19470512,  237,    0
   203,   634,19470513,  244,    0
   203,   634,19470514,  238,    0
   203,   634,19470515,  142,    0
   203,   634,19470516,  135,    0
   203,   634,19470517,  116,    0
   203,   634,19470518,  146,    0
   203,   634,19470519,  165,    0
   203,   634,19470520,  164,    0
   203,   634,19470521,  189,    0
   203,   634,19470522,  200,    0
   203,   634,19470523,  194,    0
   203,   634,19470524,  192,    0
   203,   634,19470525,  228,    0
   203,   634,19470526,  253,    0
   203,   634,19470527,  240,    0
   203,   634,19470528,  228,    0
   203,   634,19470529,  241,    0
   203,   634,19470530,  252,    0
   203,   634,19470531,  278,    0
   203,   634,19470601,  280,    0
   203,   634,19470602,  282,    0
   203,   634,19470603,  296,    0
   203,   634,19470604,  262,    0
   203,   634,19470605,  169,    0
   203,   634,19470606,  143,    0
   203,   634,19470607,  130,    0
   203,   634,19470608,  156,    0
   203,   634,19470609,  148,    0
   203,   634,19470610,  162,    0
   203,   634,19470611,  190,    0
   203,   634,19470612,  189,    0
   203,   634,19470613,  217,    0
   203,   634,19470614,  196,    0
   203,   634,19470615,  155,    0
   203,   634,19470616,  174,    0
   203,   634,19470617,  220,    0
   203,   634,19470618,  240,    0
   203,   634,19470619,  191,    0
   203,   634,19470620,  210,    0
   203,   634,19470621,  205,    0
   203,   634,19470622,  182,    0
   203,   634,19470623,  177,    0
   203,   634,19470624,  240,    0
   203,   634,19470625,  295,    0
   203,   634,19470626,  324,    0
   203,   634,19470627,  343,    0
   203,   634,19470628,  334,    0
   203,   634,19470629,  287,    0
   203,   634,19470630,  240,    0
   203,   634,19470701,  197,    0
   203,   634,19470702,  219,    0
   203,   634,19470703,  249,    0
   203,   634,19470704,  290,    0
   203,   634,19470705,  184,    0
   203,   634,19470706,  194,    0
   203,   634,19470707,  252,    0
   203,   634,19470708,  190,    0
   203,   634,19470709,  148,    0
   203,   634,19470710,  137,    0
   203,   634,19470711,  181,    0
   203,   634,19470712,  181,    0
   203,   634,19470713,  224,    0
   203,   634,19470714,  249,    0
   203,   634,19470715,  266,    0
   203,   634,19470716,  267,    0
   203,   634,19470717,  235,    0
   203,   634,19470718,  231,    0
   203,   634,19470719,  225,    0
   203,   634,19470720,  173,    0
   203,   634,19470721,  226,    0
   203,   634,19470722,  278,    0
   203,   634,19470723,  300,    0
   203,   634,19470724,  313,    0
   203,   634,19470725,  317,    0
   203,   634,19470726,  312,    0
   203,   634,19470727,  270,    0
   203,   634,19470728,  330,    0
   203,   634,19470729,  326,    0
   203,   634,19470730,  292,    0
   203,   634,19470731,  284,    0
   203,   634,19470801,  273,    0
   203,   634,19470802,  303,    0
   203,   634,19470803,  274,    0
   203,   634,19470804,  303,    0
   203,   634,19470805,  184,    0
   203,   634,19470806,  183,    0
   203,   634,19470807,  174,    0
   203,   634,19470808,  173,    0
   203,   634,19470809,  221,    0
   203,   634,19470810,  245,    0
   203,   634,19470811,  265,    0
   203,   634,19470812,  259,    0
   203,   634,19470813,  268,    0
   203,   634,19470814,  287,    0
   203,   634,19470815,  301,    0
   203,   634,19470816,  315,    0
   203,   634,19470817,  312,    0
   203,   634,19470818,  314,    0
   203,   634,19470819,  309,    0
   203,   634,19470820,  307,    0
   203,   634,19470821,  216,    0
   203,   634,19470822,  218,    0
   203,   634,19470823,  237,    0
   203,   634,19470824,  241,    0
   203,   634,19470825,  240,    0
   203,   634,19470826,  235,    0
   203,   634,19470827,  246,    0
   203,   634,19470828,  271,    0
   203,   634,19470829,  230,    0
   203,   634,19470830,  211,    0
   203,   634,19470831,  214,    0
   203,   634,19470901,  228,    0
   203,   634,19470902,  232,    0
   203,   634,19470903,  234,    0
   203,   634,19470904,  241,    0
   203,   634,19470905,  247,    0
   203,   634,19470906,  246,    0
   203,   634,19470907,  217,    0
   203,   634,19470908,  212,    0
   203,   634,19470909,  199,    0
   203,   634,19470910,  219,    0
   203,   634,19470911,  283,    0
   203,   634,19470912,  284,    0
   203,   634,19470913,  306,    0
   203,   634,19470914,  282,    0
   203,   634,19470915,  298,    0
   203,   634,19470916,  297,    0
   203,   634,19470917,  236,    0
   203,   634,19470918,  293,    0
   203,   634,19470919,  308,    0
   203,   634,19470920,  252,    0
   203,   634,19470921,  184,    0
   203,   634,19470922,  170,    0
   203,   634,19470923,  108,    0
   203,   634,19470924,  107,    0
   203,   634,19470925,  109,    0
   203,   634,19470926,  224,    0
   203,   634,19470927,  150,    0
   203,   634,19470928,  217,    0
   203,   634,19470929,  147,    0
   203,   634,19470930,  135,    0
   203,   634,19471001,  145,    0
   203,   634,19471002,  168,    0
   203,   634,19471003,  145,    0
   203,   634,19471004,  180,    0
   203,   634,19471005,  205,    0
   203,   634,19471006,  216,    0
   203,   634,19471007,  222,    0
   203,   634,19471008,  240,    0
   203,   634,19471009,  192,    0
   203,   634,19471010,  176,    0
   203,   634,19471011,  181,    0
   203,   634,19471012,  205,    0
   203,   634,19471013,  197,    0
   203,   634,19471014,  189,    0
   203,   634,19471015,  142,    0
   203,   634,19471016,  116,    0
   203,   634,19471017,  122,    0
   203,   634,19471018,   97,    0
   203,   634,19471019,  109,    0
   203,   634,19471020,  117,    0
   203,   634,19471021,  143,    0
   203,   634,19471022,  159,    0
   203,   634,19471023,  120,    0
   203,   634,19471024,   87,    0
   203,   634,19471025,   95,    0
   203,   634,19471026,   48,    0
   203,   634,19471027,   55,    0
   203,   634,19471028,   66,    0
   203,   634,19471029,   93,    0
   203,   634,19471030,  108,    0
   203,   634,19471031,   94,    0
   203,   634,19471101,  113,    0
   203,   634,19471102,  140,    0
   203,   634,19471103,  112,    0
   203,   634,19471104,   78,    0
   203,   634,19471105,  112,    0
   203,   634,19471106,   87,    0
   203,   634,19471107,  100,    0
   203,   634,19471108,  101,    0
   203,   634,19471109,   95,    0
   203,   634,19471110,  115,    0
   203,   634,19471111,  120,    0
   203,   634,19471112,  106,    0
   203,   634,19471113,  110,    0
   203,   634,19471114,   61,    0
   203,   634,19471115,   66,    0
   203,   634,19471116,   41,    0
   203,   634,19471117,   19,    0
   203,   634,19471118,   -1,    0
   203,   634,19471119,   56,    0
   203,   634,19471120,   96,    0
   203,   634,19471121,  120,    0
   203,   634,19471122,  128,    0
   203,   634,19471123,  126,    0
   203,   634,19471124,  100,    0
   203,   634,19471125,   30,    0
   203,   634,19471126,   16,    0
   203,   634,19471127,   14,    0
   203,   634,19471128,   -9,    0
   203,   634,19471129,   10,    0
   203,   634,19471130,    0,    0
   203,   634,19471201,    0,    0
   203,   634,19471202,    2,    0
   203,   634,19471203,    1,    0
   203,   634,19471204,   24,    0
   203,   634,19471205,   46,    0
