EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-01-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TX   : Maximum temperature in 0.1 &#176;C
30-34 Q_TX : quality code for TX (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ARSDORF_1, LUXEMBOURG (STAID: 280)
Blended and updated with sources:121002 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TX, Q_TX
   280,121002,20070901,-9999,    9
   280,121002,20070902,-9999,    9
   280,121002,20070903,-9999,    9
   280,121002,20070904,-9999,    9
   280,121002,20070905,-9999,    9
   280,121002,20070906,-9999,    9
   280,121002,20070907,-9999,    9
   280,121002,20070908,-9999,    9
   280,121002,20070909,-9999,    9
   280,121002,20070910,-9999,    9
   280,121002,20070911,-9999,    9
   280,121002,20070912,-9999,    9
   280,121002,20070913,-9999,    9
   280,121002,20070914,-9999,    9
   280,121002,20070915,-9999,    9
   280,121002,20070916,-9999,    9
   280,121002,20070917,-9999,    9
   280,121002,20070918,-9999,    9
   280,121002,20070919,-9999,    9
   280,121002,20070920,-9999,    9
   280,121002,20070921,-9999,    9
   280,121002,20070922,-9999,    9
   280,121002,20070923,-9999,    9
   280,121002,20070924,-9999,    9
   280,121002,20070925,  155,    0
   280,121002,20070926,  123,    0
   280,121002,20070927,   98,    0
   280,121002,20070928,  115,    0
   280,121002,20070929,  118,    0
   280,121002,20070930,  174,    0
   280,121002,20071001,  194,    0
   280,121002,20071002,  213,    0
   280,121002,20071003,  182,    0
   280,121002,20071004,-9999,    9
   280,121002,20071005,-9999,    9
   280,121002,20071006,-9999,    9
   280,121002,20071007,-9999,    9
   280,121002,20071008,-9999,    9
   280,121002,20071009,  135,    0
   280,121002,20071010,  135,    0
   280,121002,20071011,  163,    0
   280,121002,20071012,  131,    0
   280,121002,20071013,  154,    0
   280,121002,20071014,  171,    0
   280,121002,20071015,  188,    0
   280,121002,20071016,  172,    0
   280,121002,20071017,  132,    0
   280,121002,20071018,  110,    0
   280,121002,20071019,   84,    0
   280,121002,20071020,   87,    0
   280,121002,20071021,   65,    0
   280,121002,20071022,   73,    0
   280,121002,20071023,   96,    0
   280,121002,20071024,   65,    0
   280,121002,20071025,   99,    0
   280,121002,20071026,   74,    0
   280,121002,20071027,   87,    0
