EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-01-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TX   : Maximum temperature in 0.1 &#176;C
30-34 Q_TX : quality code for TX (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KOERICH_1, LUXEMBOURG (STAID: 287)
Blended and updated with sources:121152 121292 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TX, Q_TX
   287,121292,20010201,-9999,    9
   287,121292,20010202,-9999,    9
   287,121292,20010203,-9999,    9
   287,121292,20010204,-9999,    9
   287,121292,20010205,-9999,    9
   287,121292,20010206,-9999,    9
   287,121292,20010207,-9999,    9
   287,121292,20010208,-9999,    9
   287,121292,20010209,-9999,    9
   287,121292,20010210,-9999,    9
   287,121292,20010211,-9999,    9
   287,121292,20010212,-9999,    9
   287,121292,20010213,-9999,    9
   287,121292,20010214,-9999,    9
   287,121292,20010215,-9999,    9
   287,121292,20010216,-9999,    9
   287,121292,20010217,-9999,    9
   287,121292,20010218,-9999,    9
   287,121292,20010219,-9999,    9
   287,121292,20010220,-9999,    9
   287,121292,20010221,-9999,    9
   287,121292,20010222,-9999,    9
   287,121292,20010223,   59,    0
   287,121292,20010224,   30,    0
   287,121292,20010225,   39,    0
   287,121292,20010226,   -4,    1
   287,121292,20010227,   47,    0
   287,121292,20010228,   53,    0
   287,121292,20010301,   46,    0
   287,121292,20010302,   46,    0
   287,121292,20010303,   50,    0
   287,121292,20010304,   59,    0
   287,121292,20010305,   57,    0
   287,121292,20010306,   96,    0
   287,121292,20010307,   71,    0
   287,121292,20010308,  108,    0
   287,121292,20010309,   96,    0
   287,121292,20010310,  118,    0
   287,121292,20010311,  133,    0
   287,121292,20010312,  129,    0
   287,121292,20010313,   90,    0
   287,121292,20010314,   77,    0
   287,121292,20010315,  126,    0
   287,121292,20010316,  145,    0
   287,121292,20010317,  141,    0
   287,121292,20010318,   99,    0
   287,121292,20010319,   63,    0
   287,121292,20010320,   43,    0
   287,121292,20010321,   74,    0
   287,121292,20010322,  119,    0
   287,121292,20010323,  141,    0
   287,121292,20010324,  139,    0
   287,121292,20010325,  103,    0
   287,121292,20010326,-9999,    9
