EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-01-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TX   : Maximum temperature in 0.1 &#176;C
30-34 Q_TX : quality code for TX (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station REIMS-PRUNAY, FRANCE (STAID: 739)
Blended and updated with sources:4051 907072 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TX, Q_TX
   739,  4051,20120501,-9999,    9
   739,  4051,20120502,-9999,    9
   739,  4051,20120503,-9999,    9
   739,  4051,20120504,-9999,    9
   739,  4051,20120505,-9999,    9
   739,  4051,20120506,-9999,    9
   739,  4051,20120507,-9999,    9
   739,  4051,20120508,  183,    0
   739,  4051,20120509,  220,    0
   739,  4051,20120510,  283,    0
   739,  4051,20120511,  216,    0
   739,  4051,20120512,  153,    0
   739,  4051,20120513,  151,    0
   739,  4051,20120514,  194,    0
   739,  4051,20120515,  136,    0
   739,  4051,20120516,  141,    0
   739,  4051,20120517,  164,    0
   739,  4051,20120518,  182,    0
   739,  4051,20120519,  213,    0
   739,  4051,20120520,  224,    0
   739,  4051,20120521,  143,    0
   739,  4051,20120522,  156,    0
   739,  4051,20120523,  242,    0
   739,  4051,20120524,  280,    0
   739,  4051,20120525,  248,    0
   739,  4051,20120526,  252,    0
   739,  4051,20120527,  274,    0
   739,  4051,20120528,  263,    0
   739,  4051,20120529,  255,    0
   739,  4051,20120530,  244,    0
   739,  4051,20120531,  225,    0
   739,  4051,20120601,  212,    0
   739,  4051,20120602,  247,    0
   739,  4051,20120603,  186,    0
   739,  4051,20120604,  173,    0
   739,  4051,20120605,  169,    0
   739,  4051,20120606,  214,    0
   739,  4051,20120607,  231,    0
   739,  4051,20120608,  208,    0
   739,  4051,20120609,  189,    0
   739,  4051,20120610,  187,    0
   739,  4051,20120611,  194,    0
   739,  4051,20120612,  194,    0
   739,  4051,20120613,  141,    0
   739,  4051,20120614,  207,    0
   739,  4051,20120615,  226,    0
   739,  4051,20120616,  169,    0
   739,  4051,20120617,  208,    0
   739,  4051,20120618,  205,    0
   739,  4051,20120619,  207,    0
   739,  4051,20120620,  239,    0
   739,  4051,20120621,  239,    0
   739,  4051,20120622,  215,    0
   739,  4051,20120623,  214,    0
   739,  4051,20120624,  172,    0
   739,  4051,20120625,  209,    0
   739,  4051,20120626,  222,    0
   739,  4051,20120627,  250,    0
   739,  4051,20120628,  298,    0
   739,  4051,20120629,  219,    0
   739,  4051,20120630,  250,    0
   739,  4051,20120701,  214,    0
   739,  4051,20120702,  230,    0
   739,  4051,20120703,  243,    0
   739,  4051,20120704,  273,    0
   739,  4051,20120705,  256,    0
   739,  4051,20120706,  216,    0
   739,  4051,20120707,  249,    0
   739,  4051,20120708,  202,    0
   739,  4051,20120709,  230,    0
   739,  4051,20120710,  213,    0
   739,  4051,20120711,  192,    0
   739,  4051,20120712,  189,    0
   739,  4051,20120713,  184,    0
   739,  4051,20120714,  212,    0
   739,  4051,20120715,  192,    0
   739,  4051,20120716,  207,    0
   739,  4051,20120717,  235,    0
   739,  4051,20120718,  265,    0
   739,  4051,20120719,  216,    0
   739,  4051,20120720,  200,    0
   739,  4051,20120721,  193,    0
   739,  4051,20120722,  228,    0
   739,  4051,20120723,  253,    0
   739,  4051,20120724,  283,    0
   739,  4051,20120725,  303,    0
   739,  4051,20120726,  319,    0
   739,  4051,20120727,  300,    0
   739,  4051,20120728,  252,    0
   739,  4051,20120729,  212,    0
   739,  4051,20120730,  198,    0
   739,  4051,20120731,  246,    0
   739,  4051,20120801,  308,    0
   739,  4051,20120802,  242,    0
   739,  4051,20120803,  247,    0
   739,  4051,20120804,  250,    0
   739,  4051,20120805,  245,    0
   739,  4051,20120806,  221,    0
   739,  4051,20120807,  215,    0
   739,  4051,20120808,  249,    0
   739,  4051,20120809,  250,    0
   739,  4051,20120810,  245,    0
   739,  4051,20120811,  253,    0
   739,  4051,20120812,  267,    0
   739,  4051,20120813,  266,    0
   739,  4051,20120814,  260,    0
   739,  4051,20120815,  301,    0
   739,  4051,20120816,  253,    0
   739,  4051,20120817,  300,    0
   739,  4051,20120818,  362,    0
   739,  4051,20120819,  367,    0
   739,  4051,20120820,  276,    0
   739,  4051,20120821,  303,    0
   739,  4051,20120822,  238,    0
   739,  4051,20120823,  245,    0
   739,  4051,20120824,  251,    0
   739,  4051,20120825,  242,    0
   739,  4051,20120826,  230,    0
   739,  4051,20120827,  260,    0
   739,  4051,20120828,  256,    0
   739,  4051,20120829,  279,    0
   739,  4051,20120830,  227,    0
   739,  4051,20120831,  191,    0
   739,  4051,20120901,  201,    0
   739,  4051,20120902,  225,    0
   739,  4051,20120903,  227,    0
   739,  4051,20120904,  263,    0
   739,  4051,20120905,  236,    0
   739,  4051,20120906,  218,    0
   739,  4051,20120907,  252,    0
   739,  4051,20120908,  277,    0
   739,  4051,20120909,  301,    0
   739,  4051,20120910,  276,    0
   739,  4051,20120911,  217,    0
   739,  4051,20120912,  172,    0
   739,  4051,20120913,  175,    0
   739,  4051,20120914,  180,    0
   739,  4051,20120915,  207,    0
   739,  4051,20120916,  233,    0
   739,  4051,20120917,  222,    0
   739,  4051,20120918,  201,    0
   739,  4051,20120919,  175,    0
   739,  4051,20120920,  179,    0
   739,  4051,20120921,  197,    0
   739,  4051,20120922,  168,    0
   739,  4051,20120923,  209,    0
   739,  4051,20120924,  197,    0
   739,  4051,20120925,  156,    0
   739,  4051,20120926,  139,    0
   739,  4051,20120927,  162,    0
   739,  4051,20120928,  193,    0
   739,  4051,20120929,  178,    0
   739,  4051,20120930,  176,    0
   739,  4051,20121001,  187,    0
   739,  4051,20121002,  176,    0
   739,  4051,20121003,  176,    0
   739,  4051,20121004,  163,    0
   739,  4051,20121005,  215,    0
   739,  4051,20121006,  170,    0
   739,  4051,20121007,  157,    0
   739,  4051,20121008,  161,    0
   739,  4051,20121009,  141,    0
   739,  4051,20121010,  165,    0
   739,  4051,20121011,  171,    0
   739,  4051,20121012,  157,    0
   739,  4051,20121013,  141,    0
   739,  4051,20121014,   90,    0
   739,  4051,20121015,  144,    0
   739,  4051,20121016,  142,    0
   739,  4051,20121017,  152,    0
   739,  4051,20121018,  195,    0
   739,  4051,20121019,  219,    0
   739,  4051,20121020,  194,    0
   739,  4051,20121021,  239,    0
   739,  4051,20121022,  217,    0
   739,  4051,20121023,  172,    0
   739,  4051,20121024,  143,    0
   739,  4051,20121025,  159,    0
   739,  4051,20121026,  114,    0
   739,  4051,20121027,   74,    0
   739,  4051,20121028,   83,    0
   739,  4051,20121029,   96,    0
   739,  4051,20121030,  104,    0
   739,  4051,20121031,  123,    0
   739,  4051,20121101,  120,    0
   739,  4051,20121102,   94,    0
   739,  4051,20121103,  130,    0
   739,  4051,20121104,  122,    0
   739,  4051,20121105,  110,    0
   739,  4051,20121106,   99,    0
   739,  4051,20121107,  106,    0
   739,  4051,20121108,  105,    0
   739,  4051,20121109,  106,    0
   739,  4051,20121110,  127,    0
   739,  4051,20121111,   80,    0
   739,  4051,20121112,   81,    0
   739,  4051,20121113,   94,    0
   739,  4051,20121114,   77,    0
   739,  4051,20121115,   43,    0
   739,  4051,20121116,   58,    0
   739,  4051,20121117,   97,    0
   739,  4051,20121118,   97,    0
   739,  4051,20121119,  130,    0
   739,  4051,20121120,   56,    0
   739,  4051,20121121,  105,    0
   739,  4051,20121122,   71,    0
   739,  4051,20121123,  105,    0
   739,  4051,20121124,  149,    0
   739,  4051,20121125,  119,    0
   739,  4051,20121126,  121,    0
   739,  4051,20121127,   92,    0
   739,  4051,20121128,   82,    0
   739,  4051,20121129,   61,    0
   739,  4051,20121130,   41,    0
   739,  4051,20121201,   28,    0
   739,  4051,20121202,   50,    0
   739,  4051,20121203,   98,    0
   739,  4051,20121204,   68,    0
   739,  4051,20121205,   43,    0
   739,  4051,20121206,   36,    0
   739,  4051,20121207,   27,    0
   739,  4051,20121208,   18,    0
   739,  4051,20121209,   63,    0
   739,  4051,20121210,   57,    0
   739,  4051,20121211,   13,    0
   739,  4051,20121212,    5,    0
   739,  4051,20121213,   41,    0
   739,  4051,20121214,  108,    0
   739,  4051,20121215,  114,    0
   739,  4051,20121216,  102,    0
   739,  4051,20121217,   99,    0
   739,  4051,20121218,   80,    0
   739,  4051,20121219,   73,    0
   739,  4051,20121220,   91,    0
   739,  4051,20121221,   99,    0
   739,  4051,20121222,  140,    0
   739,  4051,20121223,  141,    0
   739,  4051,20121224,  131,    0
   739,  4051,20121225,  111,    0
   739,  4051,20121226,  103,    0
   739,  4051,20121227,  118,    0
