EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-01-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TX   : Maximum temperature in 0.1 &#176;C
30-34 Q_TX : quality code for TX (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NIEL-BIJ-ST.-TRUIDEN_P, BELGIUM (STAID: 20754)
Blended and updated with sources:118290 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TX, Q_TX
 20754,118290,20201001,  160,    0
 20754,118290,20201002,  171,    0
 20754,118290,20201003,  139,    0
 20754,118290,20201004,  148,    0
 20754,118290,20201005,-9999,    9
 20754,118290,20201006,  154,    0
 20754,118290,20201007,  154,    0
 20754,118290,20201008,  180,    0
 20754,118290,20201009,  182,    0
 20754,118290,20201010,  134,    0
 20754,118290,20201011,  142,    0
 20754,118290,20201012,  152,    0
 20754,118290,20201013,  126,    0
 20754,118290,20201014,  118,    0
 20754,118290,20201015,  114,    0
 20754,118290,20201016,  114,    0
 20754,118290,20201017,  116,    0
 20754,118290,20201018,  124,    0
 20754,118290,20201019,  152,    0
 20754,118290,20201020,  159,    0
 20754,118290,20201021,  213,    0
 20754,118290,20201022,  193,    0
 20754,118290,20201023,  173,    0
 20754,118290,20201024,  153,    0
 20754,118290,20201025,-9999,    9
 20754,118290,20201026,  137,    0
 20754,118290,20201027,  118,    0
 20754,118290,20201028,  143,    0
 20754,118290,20201029,  138,    0
 20754,118290,20201030,  157,    0
 20754,118290,20201031,  165,    0
 20754,118290,20201101,  176,    0
 20754,118290,20201102,  201,    0
 20754,118290,20201103,  124,    0
 20754,118290,20201104,  130,    0
 20754,118290,20201105,  115,    0
 20754,118290,20201106,  124,    0
 20754,118290,20201107,  175,    0
 20754,118290,20201108,  171,    0
 20754,118290,20201109,  192,    0
 20754,118290,20201110,  175,    0
 20754,118290,20201111,  145,    0
 20754,118290,20201112,  136,    0
 20754,118290,20201113,  143,    0
 20754,118290,20201114,  161,    0
 20754,118290,20201115,  165,    0
 20754,118290,20201116,  121,    0
 20754,118290,20201117,  126,    0
 20754,118290,20201118,  157,    0
 20754,118290,20201119,  140,    0
 20754,118290,20201120,  103,    0
 20754,118290,20201121,  105,    0
 20754,118290,20201122,   96,    0
 20754,118290,20201123,  112,    0
 20754,118290,20201124,  115,    0
 20754,118290,20201125,  103,    0
 20754,118290,20201126,  126,    0
 20754,118290,20201127,   93,    0
 20754,118290,20201128,  115,    0
 20754,118290,20201129,   35,    0
 20754,118290,20201130,   48,    0
 20754,118290,20201201,   86,    0
 20754,118290,20201202,   71,    0
 20754,118290,20201203,   61,    0
 20754,118290,20201204,   76,    0
 20754,118290,20201205,   55,    0
 20754,118290,20201206,   26,    0
 20754,118290,20201207,   57,    0
 20754,118290,20201208,   32,    0
 20754,118290,20201209,   30,    0
 20754,118290,20201210,   48,    0
 20754,118290,20201211,   69,    0
 20754,118290,20201212,   94,    0
 20754,118290,20201213,   81,    0
 20754,118290,20201214,  109,    0
 20754,118290,20201215,  105,    0
 20754,118290,20201216,  111,    0
 20754,118290,20201217,  115,    0
 20754,118290,20201218,  115,    0
 20754,118290,20201219,  120,    0
 20754,118290,20201220,  122,    0
 20754,118290,20201221,  125,    0
 20754,118290,20201222,  142,    0
 20754,118290,20201223,  124,    0
 20754,118290,20201224,   93,    0
 20754,118290,20201225,   63,    0
 20754,118290,20201226,   54,    0
 20754,118290,20201227,   60,    0
 20754,118290,20201228,   52,    0
 20754,118290,20201229,   51,    0
 20754,118290,20201230,   51,    0
 20754,118290,20201231,   38,    0
 20754,118290,20210101,   40,    0
 20754,118290,20210102,   28,    0
 20754,118290,20210103,   32,    0
 20754,118290,20210104,   26,    0
 20754,118290,20210105,   27,    0
 20754,118290,20210106,   32,    0
 20754,118290,20210107,   37,    0
 20754,118290,20210108,   29,    0
 20754,118290,20210109,    2,    0
 20754,118290,20210110,   35,    0
 20754,118290,20210111,   54,    0
 20754,118290,20210112,   78,    0
 20754,118290,20210113,   57,    0
 20754,118290,20210114,   39,    0
 20754,118290,20210115,   12,    0
 20754,118290,20210116,   12,    0
 20754,118290,20210117,   64,    0
 20754,118290,20210118,   65,    0
 20754,118290,20210119,   77,    0
 20754,118290,20210120,  115,    0
 20754,118290,20210121,  121,    0
 20754,118290,20210122,   91,    0
 20754,118290,20210123,   59,    0
 20754,118290,20210124,   29,    0
 20754,118290,20210125,   31,    0
 20754,118290,20210126,   54,    0
 20754,118290,20210127,   53,    0
 20754,118290,20210128,  110,    0
 20754,118290,20210129,  107,    0
 20754,118290,20210130,   79,    0
 20754,118290,20210131,   32,    0
 20754,118290,20210201,-9999,    9
 20754,118290,20210202,   57,    1
 20754,118290,20210203,  120,    0
 20754,118290,20210204,  126,    0
 20754,118290,20210205,  109,    0
 20754,118290,20210206,  109,    0
 20754,118290,20210207,   83,    0
 20754,118290,20210208,   22,    0
 20754,118290,20210209,  -23,    0
 20754,118290,20210210,  -26,    0
 20754,118290,20210211,  -20,    0
 20754,118290,20210212,    0,    0
 20754,118290,20210213,  -14,    0
 20754,118290,20210214,   21,    0
 20754,118290,20210215,   67,    0
 20754,118290,20210216,   71,    1
 20754,118290,20210217,  129,    0
 20754,118290,20210218,  121,    0
 20754,118290,20210219,  122,    0
 20754,118290,20210220,  112,    1
 20754,118290,20210221,  167,    0
 20754,118290,20210222,  184,    0
 20754,118290,20210223,  176,    0
 20754,118290,20210224,  187,    0
 20754,118290,20210225,  193,    0
 20754,118290,20210226,  196,    0
 20754,118290,20210227,  111,    0
 20754,118290,20210228,   85,    0
 20754,118290,20210301,  126,    0
 20754,118290,20210302,  187,    0
 20754,118290,20210303,  175,    0
 20754,118290,20210304,   83,    0
 20754,118290,20210305,   63,    0
 20754,118290,20210306,   74,    0
 20754,118290,20210307,   69,    0
 20754,118290,20210308,   97,    0
 20754,118290,20210309,   87,    0
 20754,118290,20210310,  107,    0
 20754,118290,20210311,  134,    0
 20754,118290,20210312,   96,    0
 20754,118290,20210313,  104,    0
 20754,118290,20210314,   97,    0
 20754,118290,20210315,   94,    0
 20754,118290,20210316,   63,    0
 20754,118290,20210317,   67,    0
 20754,118290,20210318,   76,    0
 20754,118290,20210319,   84,    0
 20754,118290,20210320,   99,    0
 20754,118290,20210321,   86,    0
 20754,118290,20210322,   89,    0
 20754,118290,20210323,  131,    0
 20754,118290,20210324,  167,    0
 20754,118290,20210325,  119,    0
 20754,118290,20210326,  142,    0
 20754,118290,20210327,  111,    0
 20754,118290,20210328,-9999,    9
 20754,118290,20210329,  208,    0
 20754,118290,20210330,  235,    0
 20754,118290,20210331,  251,    0
 20754,118290,20210401,  221,    0
 20754,118290,20210402,  109,    0
 20754,118290,20210403,  123,    0
 20754,118290,20210404,  108,    0
 20754,118290,20210405,   75,    0
 20754,118290,20210406,   43,    0
 20754,118290,20210407,   64,    0
 20754,118290,20210408,   92,    0
 20754,118290,20210409,  143,    0
