EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-01-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TX   : Maximum temperature in 0.1 &#176;C
30-34 Q_TX : quality code for TX (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station WAREGEM_P, BELGIUM (STAID: 20764)
Blended and updated with sources:118281 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TX, Q_TX
 20764,118281,20201001,  160,    0
 20764,118281,20201002,  149,    0
 20764,118281,20201003,  150,    0
 20764,118281,20201004,  147,    0
 20764,118281,20201005,  163,    0
 20764,118281,20201006,  176,    0
 20764,118281,20201007,  166,    0
 20764,118281,20201008,  171,    0
 20764,118281,20201009,  159,    0
 20764,118281,20201010,  147,    0
 20764,118281,20201011,  136,    0
 20764,118281,20201012,  154,    0
 20764,118281,20201013,  110,    0
 20764,118281,20201014,  119,    0
 20764,118281,20201015,  115,    0
 20764,118281,20201016,  117,    0
 20764,118281,20201017,  129,    0
 20764,118281,20201018,  140,    0
 20764,118281,20201019,  148,    0
 20764,118281,20201020,  156,    0
 20764,118281,20201021,  208,    0
 20764,118281,20201022,  167,    0
 20764,118281,20201023,  177,    0
 20764,118281,20201024,  163,    0
 20764,118281,20201025,-9999,    9
 20764,118281,20201026,  131,    0
 20764,118281,20201027,  116,    0
 20764,118281,20201028,  134,    0
 20764,118281,20201029,  139,    0
 20764,118281,20201030,  162,    0
 20764,118281,20201031,  162,    0
 20764,118281,20201101,  180,    0
 20764,118281,20201102,  187,    0
 20764,118281,20201103,  124,    0
 20764,118281,20201104,  127,    0
 20764,118281,20201105,  112,    0
 20764,118281,20201106,  117,    0
 20764,118281,20201107,  156,    0
 20764,118281,20201108,  181,    0
 20764,118281,20201109,  175,    0
 20764,118281,20201110,  128,    0
 20764,118281,20201111,  133,    0
 20764,118281,20201112,  134,    0
 20764,118281,20201113,  136,    0
 20764,118281,20201114,  148,    0
 20764,118281,20201115,  141,    0
 20764,118281,20201116,  133,    0
 20764,118281,20201117,  132,    0
 20764,118281,20201118,  152,    0
 20764,118281,20201119,  113,    0
 20764,118281,20201120,   93,    0
 20764,118281,20201121,  104,    0
 20764,118281,20201122,  107,    0
 20764,118281,20201123,  106,    0
 20764,118281,20201124,  111,    0
 20764,118281,20201125,   95,    0
 20764,118281,20201126,   98,    0
 20764,118281,20201127,   83,    0
 20764,118281,20201128,  102,    0
 20764,118281,20201129,   33,    0
 20764,118281,20201130,   83,    0
 20764,118281,20201201,  105,    0
 20764,118281,20201202,   69,    0
 20764,118281,20201203,   68,    0
 20764,118281,20201204,   72,    0
 20764,118281,20201205,   56,    0
 20764,118281,20201206,   40,    0
 20764,118281,20201207,   18,    0
 20764,118281,20201208,   55,    0
 20764,118281,20201209,   35,    0
 20764,118281,20201210,   63,    0
 20764,118281,20201211,   77,    0
 20764,118281,20201212,   89,    0
 20764,118281,20201213,   77,    0
 20764,118281,20201214,  117,    0
 20764,118281,20201215,  125,    0
 20764,118281,20201216,  108,    0
 20764,118281,20201217,  111,    0
 20764,118281,20201218,  113,    0
 20764,118281,20201219,  107,    0
 20764,118281,20201220,  101,    0
 20764,118281,20201221,  131,    0
 20764,118281,20201222,  134,    0
 20764,118281,20201223,  130,    0
 20764,118281,20201224,   91,    0
 20764,118281,20201225,   66,    0
 20764,118281,20201226,   57,    0
 20764,118281,20201227,   68,    0
 20764,118281,20201228,   58,    0
 20764,118281,20201229,   46,    0
 20764,118281,20201230,   60,    0
 20764,118281,20201231,   45,    0
 20764,118281,20210101,   58,    0
 20764,118281,20210102,   50,    0
 20764,118281,20210103,   38,    0
 20764,118281,20210104,   30,    0
 20764,118281,20210105,   27,    0
 20764,118281,20210106,   31,    0
 20764,118281,20210107,   35,    0
 20764,118281,20210108,   54,    0
 20764,118281,20210109,   36,    0
 20764,118281,20210110,   45,    0
 20764,118281,20210111,   76,    0
 20764,118281,20210112,   83,    0
 20764,118281,20210113,   53,    0
 20764,118281,20210114,   30,    0
 20764,118281,20210115,   21,    0
 20764,118281,20210116,    5,    0
 20764,118281,20210117,   63,    0
 20764,118281,20210118,   62,    0
 20764,118281,20210119,   98,    0
 20764,118281,20210120,  107,    0
 20764,118281,20210121,  109,    0
 20764,118281,20210122,   75,    0
 20764,118281,20210123,   42,    0
 20764,118281,20210124,   26,    0
 20764,118281,20210125,   63,    0
 20764,118281,20210126,   58,    0
 20764,118281,20210127,   72,    0
 20764,118281,20210128,  119,    0
 20764,118281,20210129,  106,    0
 20764,118281,20210130,   82,    0
 20764,118281,20210131,   30,    0
 20764,118281,20210201,-9999,    9
 20764,118281,20210202,   47,    1
 20764,118281,20210203,  121,    0
 20764,118281,20210204,  117,    0
 20764,118281,20210205,   81,    0
 20764,118281,20210206,  106,    0
 20764,118281,20210207,   90,    0
 20764,118281,20210208,    1,    0
 20764,118281,20210209,  -39,    0
 20764,118281,20210210,  -29,    0
 20764,118281,20210211,  -17,    0
 20764,118281,20210212,    0,    0
 20764,118281,20210213,  -20,    0
 20764,118281,20210214,    4,    0
 20764,118281,20210215,   33,    1
 20764,118281,20210216,   57,    1
 20764,118281,20210217,  109,    0
 20764,118281,20210218,  129,    0
 20764,118281,20210219,  117,    0
 20764,118281,20210220,  108,    1
 20764,118281,20210221,  170,    0
 20764,118281,20210222,  171,    0
 20764,118281,20210223,  159,    0
 20764,118281,20210224,  170,    0
 20764,118281,20210225,  187,    0
 20764,118281,20210226,  171,    0
 20764,118281,20210227,  110,    0
 20764,118281,20210228,   64,    0
 20764,118281,20210301,  103,    0
 20764,118281,20210302,  148,    0
 20764,118281,20210303,  167,    0
 20764,118281,20210304,   58,    0
 20764,118281,20210305,   65,    0
 20764,118281,20210306,   73,    0
 20764,118281,20210307,   68,    0
 20764,118281,20210308,   94,    0
 20764,118281,20210309,   84,    0
 20764,118281,20210310,  103,    0
 20764,118281,20210311,  128,    0
 20764,118281,20210312,   95,    0
 20764,118281,20210313,  105,    0
 20764,118281,20210314,  104,    0
 20764,118281,20210315,  100,    0
 20764,118281,20210316,   75,    0
 20764,118281,20210317,   71,    0
 20764,118281,20210318,   84,    0
 20764,118281,20210319,   89,    0
 20764,118281,20210320,  104,    0
 20764,118281,20210321,   83,    0
 20764,118281,20210322,   98,    0
 20764,118281,20210323,  135,    0
 20764,118281,20210324,  164,    0
 20764,118281,20210325,  146,    0
 20764,118281,20210326,  139,    0
 20764,118281,20210327,  113,    0
 20764,118281,20210328,-9999,    9
 20764,118281,20210329,  209,    0
 20764,118281,20210330,  248,    0
 20764,118281,20210331,  254,    0
 20764,118281,20210401,  170,    0
 20764,118281,20210402,   92,    0
 20764,118281,20210403,  104,    0
 20764,118281,20210404,  101,    0
 20764,118281,20210405,   73,    0
 20764,118281,20210406,   68,    0
 20764,118281,20210407,   82,    0
 20764,118281,20210408,  116,    0
 20764,118281,20210409,  151,    0
 20764,118281,20210410,   87,    0
 20764,118281,20210411,   88,    0
 20764,118281,20210412,   84,    0
 20764,118281,20210413,  107,    0
 20764,118281,20210414,   96,    0
 20764,118281,20210415,  102,    0
 20764,118281,20210416,  103,    0
 20764,118281,20210417,  119,    0
 20764,118281,20210418,  136,    0
 20764,118281,20210419,  153,    0
 20764,118281,20210420,  182,    0
 20764,118281,20210421,  147,    0
 20764,118281,20210422,  130,    0
 20764,118281,20210423,  158,    0
 20764,118281,20210424,  147,    0
 20764,118281,20210425,  122,    0
 20764,118281,20210426,  146,    0
 20764,118281,20210427,  188,    0
 20764,118281,20210428,  174,    0
 20764,118281,20210429,  115,    0
 20764,118281,20210430,  123,    0
 20764,118281,20210501,  138,    0
 20764,118281,20210502,  134,    0
 20764,118281,20210503,  161,    0
 20764,118281,20210504,  140,    0
 20764,118281,20210505,  130,    0
 20764,118281,20210506,  126,    0
 20764,118281,20210507,  148,    0
 20764,118281,20210508,  197,    0
 20764,118281,20210509,  261,    0
 20764,118281,20210510,  203,    0
 20764,118281,20210511,  212,    0
 20764,118281,20210512,  190,    0
 20764,118281,20210513,  167,    0
 20764,118281,20210514,  166,    0
 20764,118281,20210515,  155,    0
 20764,118281,20210516,  178,    0
 20764,118281,20210517,  156,    0
 20764,118281,20210518,  178,    0
 20764,118281,20210519,  163,    0
 20764,118281,20210520,  157,    0
 20764,118281,20210521,  167,    0
 20764,118281,20210522,  126,    0
 20764,118281,20210523,  160,    0
 20764,118281,20210524,  177,    0
 20764,118281,20210525,  145,    0
 20764,118281,20210526,  165,    0
 20764,118281,20210527,  176,    0
 20764,118281,20210528,  191,    0
 20764,118281,20210529,  212,    0
 20764,118281,20210530,  222,    0
 20764,118281,20210531,  243,    0
 20764,118281,20210601,  270,    0
 20764,118281,20210602,  309,    0
 20764,118281,20210603,  282,    0
 20764,118281,20210604,  244,    0
 20764,118281,20210605,  159,    0
 20764,118281,20210606,  233,    0
 20764,118281,20210607,  262,    0
 20764,118281,20210608,  264,    0
 20764,118281,20210609,  278,    0
 20764,118281,20210610,  277,    0
 20764,118281,20210611,  267,    0
 20764,118281,20210612,  250,    0
 20764,118281,20210613,  271,    0
 20764,118281,20210614,  306,    0
 20764,118281,20210615,  257,    0
 20764,118281,20210616,  324,    0
 20764,118281,20210617,  299,    0
 20764,118281,20210618,  296,    0
 20764,118281,20210619,  201,    0
 20764,118281,20210620,  253,    0
 20764,118281,20210621,  164,    0
 20764,118281,20210622,  146,    0
 20764,118281,20210623,  166,    0
 20764,118281,20210624,  202,    0
 20764,118281,20210625,  182,    0
 20764,118281,20210626,  245,    0
 20764,118281,20210627,  259,    0
 20764,118281,20210628,  239,    0
 20764,118281,20210629,  219,    0
 20764,118281,20210630,  177,    0
 20764,118281,20210701,  205,    0
 20764,118281,20210702,  257,    0
 20764,118281,20210703,  252,    0
 20764,118281,20210704,  229,    0
 20764,118281,20210705,  219,    0
 20764,118281,20210706,  205,    0
 20764,118281,20210707,  231,    0
 20764,118281,20210708,  240,    0
 20764,118281,20210709,  228,    0
 20764,118281,20210710,  214,    0
