EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-01-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TX   : Maximum temperature in 0.1 &#176;C
30-34 Q_TX : quality code for TX (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LIEDEKERKE_P, BELGIUM (STAID: 20777)
Blended and updated with sources:118287 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TX, Q_TX
 20777,118287,20201001,  185,    0
 20777,118287,20201002,  163,    0
 20777,118287,20201003,  164,    0
 20777,118287,20201004,  173,    0
 20777,118287,20201005,  187,    0
 20777,118287,20201006,  187,    0
 20777,118287,20201007,  176,    0
 20777,118287,20201008,  181,    0
 20777,118287,20201009,  171,    0
 20777,118287,20201010,  155,    0
 20777,118287,20201011,  153,    0
 20777,118287,20201012,  175,    0
 20777,118287,20201013,  122,    0
 20777,118287,20201014,  133,    0
 20777,118287,20201015,  148,    0
 20777,118287,20201016,  130,    0
 20777,118287,20201017,  147,    0
 20777,118287,20201018,  146,    0
 20777,118287,20201019,  177,    0
 20777,118287,20201020,  165,    0
 20777,118287,20201021,  227,    0
 20777,118287,20201022,  193,    0
 20777,118287,20201023,  210,    0
 20777,118287,20201024,  172,    0
 20777,118287,20201025,-9999,    9
 20777,118287,20201026,  156,    0
 20777,118287,20201027,  134,    0
 20777,118287,20201028,  155,    0
 20777,118287,20201029,  143,    0
 20777,118287,20201030,  168,    0
 20777,118287,20201031,  196,    0
 20777,118287,20201101,  190,    0
 20777,118287,20201102,  208,    0
 20777,118287,20201103,  143,    0
 20777,118287,20201104,  149,    0
 20777,118287,20201105,  148,    0
 20777,118287,20201106,  157,    0
 20777,118287,20201107,  196,    0
 20777,118287,20201108,  212,    0
 20777,118287,20201109,  169,    0
 20777,118287,20201110,  143,    0
 20777,118287,20201111,  157,    0
 20777,118287,20201112,  140,    0
 20777,118287,20201113,  148,    0
 20777,118287,20201114,  173,    0
 20777,118287,20201115,  157,    0
 20777,118287,20201116,  131,    0
 20777,118287,20201117,  144,    0
 20777,118287,20201118,  185,    0
 20777,118287,20201119,  138,    0
 20777,118287,20201120,  109,    0
 20777,118287,20201121,  115,    0
 20777,118287,20201122,  107,    0
 20777,118287,20201123,  130,    0
 20777,118287,20201124,  136,    0
 20777,118287,20201125,  121,    0
 20777,118287,20201126,  136,    0
 20777,118287,20201127,   93,    0
 20777,118287,20201128,  149,    0
 20777,118287,20201129,   44,    0
 20777,118287,20201130,   67,    0
 20777,118287,20201201,  111,    0
 20777,118287,20201202,   82,    0
 20777,118287,20201203,   73,    0
 20777,118287,20201204,   87,    0
 20777,118287,20201205,   89,    0
 20777,118287,20201206,   44,    0
 20777,118287,20201207,   32,    0
 20777,118287,20201208,   82,    0
 20777,118287,20201209,   41,    0
 20777,118287,20201210,   83,    0
 20777,118287,20201211,   80,    0
 20777,118287,20201212,   98,    0
 20777,118287,20201213,   91,    0
 20777,118287,20201214,  124,    0
 20777,118287,20201215,  123,    0
 20777,118287,20201216,  124,    0
 20777,118287,20201217,  119,    0
 20777,118287,20201218,  135,    0
 20777,118287,20201219,  117,    0
 20777,118287,20201220,  119,    0
 20777,118287,20201221,  139,    0
 20777,118287,20201222,  143,    0
 20777,118287,20201223,  132,    0
 20777,118287,20201224,   99,    0
 20777,118287,20201225,   75,    0
 20777,118287,20201226,   63,    0
 20777,118287,20201227,   71,    0
 20777,118287,20201228,   68,    0
 20777,118287,20201229,   58,    0
 20777,118287,20201230,   69,    0
 20777,118287,20201231,   54,    0
 20777,118287,20210101,   69,    0
 20777,118287,20210102,   49,    0
 20777,118287,20210103,   49,    0
 20777,118287,20210104,   37,    0
 20777,118287,20210105,   37,    0
 20777,118287,20210106,   44,    0
 20777,118287,20210107,   54,    0
 20777,118287,20210108,   54,    0
 20777,118287,20210109,   69,    0
 20777,118287,20210110,    7,    0
 20777,118287,20210111,   63,    0
 20777,118287,20210112,   89,    0
 20777,118287,20210113,   51,    0
 20777,118287,20210114,   40,    0
 20777,118287,20210115,   33,    0
 20777,118287,20210116,   16,    0
 20777,118287,20210117,   75,    0
 20777,118287,20210118,   66,    0
 20777,118287,20210119,   91,    0
 20777,118287,20210120,  112,    0
 20777,118287,20210121,  120,    0
 20777,118287,20210122,   81,    0
 20777,118287,20210123,   67,    0
 20777,118287,20210124,   37,    0
 20777,118287,20210125,   73,    0
 20777,118287,20210126,   82,    0
 20777,118287,20210127,   67,    0
 20777,118287,20210128,  122,    0
 20777,118287,20210129,  121,    0
 20777,118287,20210130,   87,    0
 20777,118287,20210131,   36,    0
 20777,118287,20210201,-9999,    9
 20777,118287,20210202,   52,    1
 20777,118287,20210203,  128,    0
 20777,118287,20210204,  145,    0
 20777,118287,20210205,  118,    0
 20777,118287,20210206,  116,    0
 20777,118287,20210207,  100,    0
 20777,118287,20210208,    7,    0
 20777,118287,20210209,  -31,    0
 20777,118287,20210210,   20,    0
 20777,118287,20210211,   21,    0
 20777,118287,20210212,   40,    0
 20777,118287,20210213,   19,    0
 20777,118287,20210214,   47,    0
 20777,118287,20210215,   82,    0
 20777,118287,20210216,   66,    1
 20777,118287,20210217,  140,    0
 20777,118287,20210218,  143,    0
 20777,118287,20210219,  150,    0
 20777,118287,20210220,  124,    1
 20777,118287,20210221,  197,    0
 20777,118287,20210222,  210,    0
 20777,118287,20210223,  177,    0
 20777,118287,20210224,  200,    0
 20777,118287,20210225,  217,    0
 20777,118287,20210226,  191,    0
 20777,118287,20210227,  133,    0
 20777,118287,20210228,   76,    0
 20777,118287,20210301,  137,    0
 20777,118287,20210302,  199,    0
 20777,118287,20210303,  178,    0
 20777,118287,20210304,   67,    0
 20777,118287,20210305,  100,    0
 20777,118287,20210306,  110,    0
 20777,118287,20210307,   98,    0
 20777,118287,20210308,  127,    0
 20777,118287,20210309,   91,    0
 20777,118287,20210310,  121,    0
 20777,118287,20210311,  149,    0
 20777,118287,20210312,  102,    0
 20777,118287,20210313,  116,    0
 20777,118287,20210314,  112,    0
 20777,118287,20210315,  108,    0
 20777,118287,20210316,   72,    0
 20777,118287,20210317,   89,    0
 20777,118287,20210318,   87,    0
 20777,118287,20210319,  126,    0
 20777,118287,20210320,  124,    0
 20777,118287,20210321,  100,    0
 20777,118287,20210322,  102,    0
 20777,118287,20210323,  155,    0
 20777,118287,20210324,  187,    0
 20777,118287,20210325,  159,    0
 20777,118287,20210326,  147,    0
 20777,118287,20210327,  133,    0
 20777,118287,20210328,-9999,    9
 20777,118287,20210329,  225,    0
 20777,118287,20210330,  271,    0
 20777,118287,20210331,  266,    0
 20777,118287,20210401,  217,    0
 20777,118287,20210402,  120,    0
 20777,118287,20210403,  135,    0
 20777,118287,20210404,  109,    0
 20777,118287,20210405,   79,    0
 20777,118287,20210406,   80,    0
 20777,118287,20210407,   84,    0
 20777,118287,20210408,  124,    0
 20777,118287,20210409,  165,    0
 20777,118287,20210410,  101,    0
 20777,118287,20210411,   99,    0
 20777,118287,20210412,   95,    0
 20777,118287,20210413,  134,    0
 20777,118287,20210414,  134,    0
 20777,118287,20210415,  116,    0
 20777,118287,20210416,  143,    0
 20777,118287,20210417,  150,    0
 20777,118287,20210418,  165,    0
 20777,118287,20210419,  174,    0
 20777,118287,20210420,  211,    0
 20777,118287,20210421,  183,    0
 20777,118287,20210422,  167,    0
 20777,118287,20210423,  186,    0
 20777,118287,20210424,  179,    0
 20777,118287,20210425,  160,    0
 20777,118287,20210426,  180,    0
 20777,118287,20210427,  208,    0
 20777,118287,20210428,  224,    0
 20777,118287,20210429,  124,    0
 20777,118287,20210430,  140,    0
 20777,118287,20210501,  151,    0
 20777,118287,20210502,  136,    0
 20777,118287,20210503,  168,    0
 20777,118287,20210504,  157,    0
 20777,118287,20210505,  136,    0
 20777,118287,20210506,  143,    0
 20777,118287,20210507,  155,    0
 20777,118287,20210508,  220,    0
 20777,118287,20210509,  282,    0
 20777,118287,20210510,  229,    0
 20777,118287,20210511,  228,    0
 20777,118287,20210512,  207,    0
 20777,118287,20210513,  190,    0
 20777,118287,20210514,  197,    0
 20777,118287,20210515,  170,    0
 20777,118287,20210516,  189,    0
 20777,118287,20210517,  164,    0
 20777,118287,20210518,  189,    0
 20777,118287,20210519,  178,    0
 20777,118287,20210520,  167,    0
 20777,118287,20210521,  190,    0
 20777,118287,20210522,  140,    0
 20777,118287,20210523,  185,    0
 20777,118287,20210524,  191,    0
 20777,118287,20210525,  157,    0
 20777,118287,20210526,  168,    0
 20777,118287,20210527,  175,    0
 20777,118287,20210528,  220,    0
 20777,118287,20210529,  239,    0
 20777,118287,20210530,  257,    0
 20777,118287,20210531,  271,    0
 20777,118287,20210601,  291,    0
 20777,118287,20210602,  322,    0
 20777,118287,20210603,  277,    0
 20777,118287,20210604,  280,    0
 20777,118287,20210605,  178,    0
 20777,118287,20210606,  246,    0
 20777,118287,20210607,  271,    0
 20777,118287,20210608,  292,    0
 20777,118287,20210609,  280,    0
 20777,118287,20210610,  286,    0
 20777,118287,20210611,  283,    0
 20777,118287,20210612,  238,    0
 20777,118287,20210613,  286,    0
 20777,118287,20210614,  312,    0
 20777,118287,20210615,  285,    0
 20777,118287,20210616,  333,    0
 20777,118287,20210617,  315,    0
 20777,118287,20210618,  333,    0
 20777,118287,20210619,  222,    0
 20777,118287,20210620,  272,    0
 20777,118287,20210621,  194,    0
 20777,118287,20210622,  168,    0
 20777,118287,20210623,  190,    0
 20777,118287,20210624,  203,    0
 20777,118287,20210625,  205,    0
 20777,118287,20210626,  262,    0
 20777,118287,20210627,  288,    0
 20777,118287,20210628,  256,    0
 20777,118287,20210629,  246,    0
 20777,118287,20210630,  167,    0
 20777,118287,20210701,  203,    0
 20777,118287,20210702,  273,    0
 20777,118287,20210703,  276,    0
 20777,118287,20210704,  246,    0
 20777,118287,20210705,  239,    0
 20777,118287,20210706,  224,    0
 20777,118287,20210707,  267,    0
 20777,118287,20210708,  258,    0
 20777,118287,20210709,  282,    0
 20777,118287,20210710,  255,    0
 20777,118287,20210711,  224,    0
 20777,118287,20210712,  264,    0
 20777,118287,20210713,  231,    0
 20777,118287,20210714,  177,    0
 20777,118287,20210715,  182,    0
 20777,118287,20210716,  195,    0
 20777,118287,20210717,  297,    0
 20777,118287,20210718,  303,    0
 20777,118287,20210719,  304,    0
 20777,118287,20210720,  304,    0
 20777,118287,20210721,  315,    0
 20777,118287,20210722,  283,    0
 20777,118287,20210723,  311,    0
 20777,118287,20210724,  310,    0
 20777,118287,20210725,  322,    0
 20777,118287,20210726,  239,    0
 20777,118287,20210727,  222,    0
 20777,118287,20210728,  251,    0
 20777,118287,20210729,  257,    0
 20777,118287,20210730,  270,    0
 20777,118287,20210731,  252,    0
 20777,118287,20210801,  200,    0
 20777,118287,20210802,  206,    0
 20777,118287,20210803,  243,    0
 20777,118287,20210804,  274,    0
 20777,118287,20210805,  299,    0
 20777,118287,20210806,  240,    0
 20777,118287,20210807,  257,    0
 20777,118287,20210808,  198,    0
 20777,118287,20210809,  219,    0
 20777,118287,20210810,  217,    0
 20777,118287,20210811,  241,    0
 20777,118287,20210812,  248,    0
 20777,118287,20210813,  286,    0
 20777,118287,20210814,  295,    0
 20777,118287,20210815,  322,    0
 20777,118287,20210816,  200,    0
 20777,118287,20210817,  159,    0
 20777,118287,20210818,  203,    0
 20777,118287,20210819,  231,    0
 20777,118287,20210820,  276,    0
 20777,118287,20210821,  301,    0
 20777,118287,20210822,  209,    0
 20777,118287,20210823,  199,    0
 20777,118287,20210824,  261,    0
 20777,118287,20210825,  267,    0
 20777,118287,20210826,  200,    0
 20777,118287,20210827,  236,    0
 20777,118287,20210828,  236,    0
 20777,118287,20210829,  195,    0
 20777,118287,20210830,  218,    0
 20777,118287,20210831,  255,    0
 20777,118287,20210901,  253,    0
 20777,118287,20210902,  273,    0
 20777,118287,20210903,  310,    0
 20777,118287,20210904,  255,    0
 20777,118287,20210905,  321,    0
 20777,118287,20210906,  318,    0
 20777,118287,20210907,  335,    0
 20777,118287,20210908,  334,    0
 20777,118287,20210909,  312,    0
 20777,118287,20210910,  248,    0
 20777,118287,20210911,  199,    0
 20777,118287,20210912,  223,    0
 20777,118287,20210913,  258,    0
 20777,118287,20210914,  257,    0
 20777,118287,20210915,  232,    0
 20777,118287,20210916,  260,    0
 20777,118287,20210917,  286,    0
 20777,118287,20210918,  289,    0
 20777,118287,20210919,  271,    0
 20777,118287,20210920,  234,    0
 20777,118287,20210921,  232,    0
 20777,118287,20210922,  252,    0
