EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-01-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TX   : Maximum temperature in 0.1 &#176;C
30-34 Q_TX : quality code for TX (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ZARREN_P, BELGIUM (STAID: 20787)
Blended and updated with sources:118296 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TX, Q_TX
 20787,118296,20201001,  156,    0
 20787,118296,20201002,  143,    0
 20787,118296,20201003,  156,    0
 20787,118296,20201004,  147,    0
 20787,118296,20201005,  177,    0
 20787,118296,20201006,  173,    0
 20787,118296,20201007,  152,    0
 20787,118296,20201008,  172,    0
 20787,118296,20201009,  160,    0
 20787,118296,20201010,  130,    0
 20787,118296,20201011,  141,    0
 20787,118296,20201012,  147,    0
 20787,118296,20201013,  102,    0
 20787,118296,20201014,  126,    0
 20787,118296,20201015,  137,    0
 20787,118296,20201016,  126,    0
 20787,118296,20201017,  131,    0
 20787,118296,20201018,  139,    0
 20787,118296,20201019,  147,    0
 20787,118296,20201020,  152,    0
 20787,118296,20201021,  198,    0
 20787,118296,20201022,  178,    0
 20787,118296,20201023,  178,    0
 20787,118296,20201024,  163,    0
 20787,118296,20201025,-9999,    9
 20787,118296,20201026,  123,    0
 20787,118296,20201027,  123,    0
 20787,118296,20201028,  128,    0
 20787,118296,20201029,  140,    0
 20787,118296,20201030,  162,    0
 20787,118296,20201031,  159,    0
 20787,118296,20201101,  185,    0
 20787,118296,20201102,  180,    0
 20787,118296,20201103,  118,    0
 20787,118296,20201104,  126,    0
 20787,118296,20201105,  142,    0
 20787,118296,20201106,  119,    0
 20787,118296,20201107,  149,    0
 20787,118296,20201108,  177,    0
