EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-01-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TX   : Maximum temperature in 0.1 &#176;C
30-34 Q_TX : quality code for TX (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HERENTALS_P, BELGIUM (STAID: 20794)
Blended and updated with sources:118284 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TX, Q_TX
 20794,118284,20201001,  155,    0
 20794,118284,20201002,  151,    0
 20794,118284,20201003,  152,    0
 20794,118284,20201004,  147,    0
 20794,118284,20201005,  154,    0
 20794,118284,20201006,  177,    0
 20794,118284,20201007,  155,    0
 20794,118284,20201008,  171,    0
 20794,118284,20201009,  161,    0
 20794,118284,20201010,  130,    0
 20794,118284,20201011,  154,    0
 20794,118284,20201012,  160,    0
 20794,118284,20201013,  136,    0
 20794,118284,20201014,  123,    0
 20794,118284,20201015,  132,    0
 20794,118284,20201016,  121,    0
 20794,118284,20201017,  153,    0
 20794,118284,20201018,  126,    0
 20794,118284,20201019,  152,    0
 20794,118284,20201020,  157,    0
 20794,118284,20201021,  208,    0
 20794,118284,20201022,  168,    0
 20794,118284,20201023,  182,    0
 20794,118284,20201024,  160,    0
 20794,118284,20201025,-9999,    9
 20794,118284,20201026,  134,    0
 20794,118284,20201027,  119,    0
 20794,118284,20201028,  141,    0
 20794,118284,20201029,  128,    0
 20794,118284,20201030,  160,    0
 20794,118284,20201031,  168,    0
 20794,118284,20201101,  180,    0
 20794,118284,20201102,  200,    0
 20794,118284,20201103,  129,    0
 20794,118284,20201104,  161,    0
 20794,118284,20201105,  142,    0
 20794,118284,20201106,  150,    0
 20794,118284,20201107,  190,    0
 20794,118284,20201108,  173,    0
 20794,118284,20201109,  181,    0
 20794,118284,20201110,  168,    0
 20794,118284,20201111,  131,    0
 20794,118284,20201112,  139,    0
 20794,118284,20201113,  138,    0
 20794,118284,20201114,  165,    0
 20794,118284,20201115,  159,    0
 20794,118284,20201116,  125,    0
 20794,118284,20201117,  130,    0
 20794,118284,20201118,  171,    0
 20794,118284,20201119,  143,    0
 20794,118284,20201120,   96,    0
 20794,118284,20201121,  103,    0
 20794,118284,20201122,   99,    0
 20794,118284,20201123,  117,    0
 20794,118284,20201124,  123,    0
 20794,118284,20201125,  111,    0
 20794,118284,20201126,  130,    0
 20794,118284,20201127,   80,    0
 20794,118284,20201128,  110,    0
 20794,118284,20201129,   40,    0
 20794,118284,20201130,   60,    0
 20794,118284,20201201,   96,    0
 20794,118284,20201202,   73,    0
 20794,118284,20201203,   60,    0
 20794,118284,20201204,   78,    0
 20794,118284,20201205,   52,    0
 20794,118284,20201206,   25,    0
 20794,118284,20201207,   35,    0
 20794,118284,20201208,   56,    0
 20794,118284,20201209,   32,    0
 20794,118284,20201210,   56,    0
 20794,118284,20201211,   59,    0
 20794,118284,20201212,   87,    0
 20794,118284,20201213,   79,    0
 20794,118284,20201214,  114,    0
 20794,118284,20201215,  102,    0
 20794,118284,20201216,  106,    0
 20794,118284,20201217,  112,    0
 20794,118284,20201218,  122,    0
 20794,118284,20201219,  119,    0
 20794,118284,20201220,  107,    0
 20794,118284,20201221,  128,    0
 20794,118284,20201222,  140,    0
 20794,118284,20201223,  121,    0
 20794,118284,20201224,  100,    0
 20794,118284,20201225,   75,    0
 20794,118284,20201226,   55,    0
 20794,118284,20201227,   53,    0
 20794,118284,20201228,   45,    0
 20794,118284,20201229,   48,    0
 20794,118284,20201230,   52,    0
 20794,118284,20201231,   39,    0
 20794,118284,20210101,   63,    0
 20794,118284,20210102,   40,    0
 20794,118284,20210103,   33,    0
 20794,118284,20210104,   31,    0
 20794,118284,20210105,   27,    0
 20794,118284,20210106,   31,    0
 20794,118284,20210107,   42,    0
 20794,118284,20210108,   39,    0
 20794,118284,20210109,   -1,    0
 20794,118284,20210110,   58,    0
 20794,118284,20210111,   57,    0
 20794,118284,20210112,   79,    0
 20794,118284,20210113,   65,    0
 20794,118284,20210114,   37,    0
 20794,118284,20210115,   19,    0
 20794,118284,20210116,   15,    0
 20794,118284,20210117,   70,    0
 20794,118284,20210118,   63,    0
 20794,118284,20210119,   87,    0
 20794,118284,20210120,  116,    0
 20794,118284,20210121,  125,    0
 20794,118284,20210122,   86,    0
 20794,118284,20210123,   53,    0
 20794,118284,20210124,   36,    0
 20794,118284,20210125,   56,    0
 20794,118284,20210126,   68,    0
 20794,118284,20210127,   58,    0
 20794,118284,20210128,  106,    0
 20794,118284,20210129,  115,    0
 20794,118284,20210130,   68,    0
 20794,118284,20210131,   34,    0
 20794,118284,20210201,-9999,    9
 20794,118284,20210202,   40,    1
 20794,118284,20210203,  103,    0
 20794,118284,20210204,  103,    0
 20794,118284,20210205,  105,    0
 20794,118284,20210206,  124,    0
 20794,118284,20210207,   72,    0
 20794,118284,20210208,    0,    0
 20794,118284,20210209,    0,    0
 20794,118284,20210210,  -15,    0
 20794,118284,20210211,-9999,    9
 20794,118284,20210212,-9999,    9
 20794,118284,20210213,  -13,    0
 20794,118284,20210214,    8,    0
 20794,118284,20210215,   74,    0
 20794,118284,20210216,   52,    1
 20794,118284,20210217,  139,    0
 20794,118284,20210218,  122,    0
 20794,118284,20210219,  126,    0
 20794,118284,20210220,  112,    1
 20794,118284,20210221,  177,    0
 20794,118284,20210222,  187,    0
 20794,118284,20210223,  174,    0
 20794,118284,20210224,  185,    0
 20794,118284,20210225,  195,    0
 20794,118284,20210226,  175,    0
 20794,118284,20210227,  120,    0
 20794,118284,20210228,   82,    0
 20794,118284,20210301,  106,    0
 20794,118284,20210302,  177,    0
 20794,118284,20210303,  170,    0
 20794,118284,20210304,   68,    0
 20794,118284,20210305,   68,    0
 20794,118284,20210306,   82,    0
 20794,118284,20210307,   82,    0
 20794,118284,20210308,  115,    0
 20794,118284,20210309,   96,    0
 20794,118284,20210310,  105,    0
 20794,118284,20210311,  132,    0
 20794,118284,20210312,   91,    0
 20794,118284,20210313,  104,    0
 20794,118284,20210314,   98,    0
 20794,118284,20210315,   89,    0
 20794,118284,20210316,   68,    0
 20794,118284,20210317,   85,    0
 20794,118284,20210318,   73,    0
 20794,118284,20210319,   94,    0
 20794,118284,20210320,  114,    0
 20794,118284,20210321,   82,    0
 20794,118284,20210322,   90,    0
 20794,118284,20210323,  141,    0
 20794,118284,20210324,  170,    0
 20794,118284,20210325,  128,    0
 20794,118284,20210326,  132,    0
 20794,118284,20210327,  114,    0
 20794,118284,20210328,-9999,    9
 20794,118284,20210329,  209,    0
 20794,118284,20210330,  247,    0
 20794,118284,20210331,  259,    0
 20794,118284,20210401,  201,    0
 20794,118284,20210402,  100,    0
 20794,118284,20210403,  123,    0
 20794,118284,20210404,   96,    0
 20794,118284,20210405,   67,    0
 20794,118284,20210406,   46,    0
 20794,118284,20210407,   57,    0
 20794,118284,20210408,   98,    0
 20794,118284,20210409,  146,    0
 20794,118284,20210410,   85,    0
 20794,118284,20210411,   91,    0
 20794,118284,20210412,  100,    0
 20794,118284,20210413,  120,    0
 20794,118284,20210414,  108,    0
 20794,118284,20210415,  100,    0
 20794,118284,20210416,  128,    0
 20794,118284,20210417,  137,    0
 20794,118284,20210418,  162,    0
 20794,118284,20210419,  145,    0
 20794,118284,20210420,  194,    0
 20794,118284,20210421,  164,    0
 20794,118284,20210422,  147,    0
 20794,118284,20210423,  160,    0
 20794,118284,20210424,  147,    0
 20794,118284,20210425,  129,    0
 20794,118284,20210426,  148,    0
 20794,118284,20210427,  183,    0
 20794,118284,20210428,  219,    0
 20794,118284,20210429,  128,    0
 20794,118284,20210430,  126,    0
 20794,118284,20210501,  139,    0
 20794,118284,20210502,  129,    0
 20794,118284,20210503,  148,    0
 20794,118284,20210504,  133,    0
