EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-01-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TX   : Maximum temperature in 0.1 &#176;C
30-34 Q_TX : quality code for TX (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station OVERPELT_P, BELGIUM (STAID: 20795)
Blended and updated with sources:118293 906479 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TX, Q_TX
 20795,118293,20201001,  158,    0
 20795,118293,20201002,  156,    0
 20795,118293,20201003,  153,    0
 20795,118293,20201004,  142,    0
 20795,118293,20201005,  148,    0
 20795,118293,20201006,  167,    0
 20795,118293,20201007,  150,    0
 20795,118293,20201008,  169,    0
 20795,118293,20201009,  163,    0
 20795,118293,20201010,  125,    0
 20795,118293,20201011,  139,    0
 20795,118293,20201012,  144,    0
 20795,118293,20201013,  124,    0
 20795,118293,20201014,  121,    0
 20795,118293,20201015,  111,    0
 20795,118293,20201016,  119,    0
 20795,118293,20201017,  123,    0
 20795,118293,20201018,  133,    0
 20795,118293,20201019,  139,    0
 20795,118293,20201020,  153,    0
 20795,118293,20201021,  204,    0
 20795,118293,20201022,  177,    0
 20795,118293,20201023,  176,    0
 20795,118293,20201024,  157,    0
 20795,906479,20201025,  126,    1
 20795,118293,20201026,  123,    0
 20795,118293,20201027,  117,    0
 20795,118293,20201028,  136,    0
 20795,118293,20201029,  124,    0
 20795,118293,20201030,  158,    0
 20795,118293,20201031,  172,    0
 20795,118293,20201101,  175,    0
 20795,118293,20201102,  198,    0
 20795,118293,20201103,  122,    0
 20795,118293,20201104,  120,    0
 20795,118293,20201105,  131,    0
 20795,118293,20201106,  124,    0
 20795,118293,20201107,  158,    0
 20795,118293,20201108,  136,    0
 20795,118293,20201109,  183,    0
 20795,118293,20201110,  174,    0
 20795,118293,20201111,  153,    0
 20795,118293,20201112,  131,    0
 20795,118293,20201113,  141,    0
 20795,118293,20201114,  161,    0
 20795,118293,20201115,  164,    0
 20795,118293,20201116,  126,    0
 20795,118293,20201117,  132,    0
 20795,118293,20201118,  165,    0
 20795,118293,20201119,  142,    0
 20795,118293,20201120,   82,    0
 20795,118293,20201121,  100,    0
 20795,118293,20201122,   96,    0
 20795,118293,20201123,  106,    0
 20795,118293,20201124,  120,    0
 20795,118293,20201125,  112,    0
 20795,118293,20201126,  115,    0
 20795,118293,20201127,   85,    0
 20795,118293,20201128,   84,    0
 20795,118293,20201129,   38,    0
 20795,118293,20201130,   52,    0
 20795,118293,20201201,   92,    0
 20795,118293,20201202,   69,    0
 20795,118293,20201203,   61,    0
 20795,118293,20201204,   79,    0
 20795,118293,20201205,   61,    0
 20795,118293,20201206,   28,    0
 20795,118293,20201207,   36,    0
 20795,118293,20201208,   45,    0
 20795,118293,20201209,   30,    0
 20795,118293,20201210,   29,    0
 20795,118293,20201211,   45,    0
 20795,118293,20201212,   88,    0
 20795,118293,20201213,   88,    0
 20795,118293,20201214,  114,    0
 20795,118293,20201215,  100,    0
 20795,118293,20201216,  103,    0
 20795,118293,20201217,  109,    0
 20795,118293,20201218,  117,    0
 20795,118293,20201219,  123,    0
 20795,118293,20201220,  113,    0
 20795,118293,20201221,  118,    0
 20795,118293,20201222,  139,    0
 20795,118293,20201223,  122,    0
 20795,118293,20201224,   97,    0
 20795,118293,20201225,   65,    0
 20795,118293,20201226,   52,    0
 20795,118293,20201227,   62,    0
 20795,118293,20201228,   53,    0
 20795,118293,20201229,   44,    0
 20795,118293,20201230,   52,    0
 20795,118293,20201231,   34,    0
 20795,118293,20210101,   41,    0
 20795,118293,20210102,   32,    0
 20795,118293,20210103,   33,    0
 20795,118293,20210104,   30,    0
 20795,118293,20210105,   27,    0
 20795,118293,20210106,   32,    0
 20795,118293,20210107,   28,    0
 20795,118293,20210108,   37,    0
 20795,118293,20210109,    5,    0
 20795,118293,20210110,   46,    0
 20795,118293,20210111,   56,    0
 20795,118293,20210112,   80,    0
 20795,118293,20210113,   54,    0
 20795,118293,20210114,   41,    0
 20795,118293,20210115,   16,    0
 20795,118293,20210116,   17,    0
 20795,118293,20210117,   66,    0
 20795,118293,20210118,   63,    0
 20795,118293,20210119,   93,    0
 20795,118293,20210120,  111,    0
 20795,118293,20210121,  126,    0
 20795,118293,20210122,   91,    0
 20795,118293,20210123,   59,    0
 20795,118293,20210124,   38,    0
 20795,118293,20210125,   43,    0
 20795,118293,20210126,   66,    0
 20795,118293,20210127,   56,    0
 20795,118293,20210128,  107,    0
 20795,118293,20210129,  116,    0
 20795,118293,20210130,   68,    0
 20795,118293,20210131,   27,    0
 20795,906479,20210201,   46,    0
 20795,906479,20210202,  106,    0
 20795,118293,20210203,  106,    0
 20795,118293,20210204,  121,    0
 20795,118293,20210205,  100,    0
 20795,118293,20210206,  113,    0
 20795,118293,20210207,   70,    0
 20795,118293,20210208,   -1,    0
 20795,118293,20210209,  -44,    0
 20795,118293,20210210,   -3,    0
 20795,118293,20210211,   -5,    0
 20795,118293,20210212,   13,    0
 20795,118293,20210213,  -18,    0
 20795,118293,20210214,    5,    0
 20795,118293,20210215,   60,    0
 20795,906479,20210216,  134,    0
 20795,118293,20210217,  134,    0
 20795,118293,20210218,  119,    0
 20795,118293,20210219,  129,    0
 20795,906479,20210220,  181,    0
 20795,118293,20210221,  181,    0
 20795,118293,20210222,  189,    0
 20795,118293,20210223,  176,    0
 20795,118293,20210224,  186,    0
 20795,118293,20210225,  193,    0
 20795,118293,20210226,  182,    0
 20795,118293,20210227,  113,    0
 20795,118293,20210228,   94,    0
 20795,118293,20210301,   99,    0
 20795,118293,20210302,  160,    0
 20795,118293,20210303,  170,    0
 20795,118293,20210304,   76,    0
 20795,118293,20210305,   63,    0
 20795,118293,20210306,   71,    0
 20795,118293,20210307,   69,    0
 20795,118293,20210308,  101,    0
 20795,118293,20210309,   84,    0
 20795,118293,20210310,  106,    0
 20795,118293,20210311,  134,    0
 20795,118293,20210312,   90,    0
 20795,118293,20210313,  105,    0
 20795,118293,20210314,   90,    0
 20795,118293,20210315,   89,    0
 20795,118293,20210316,   65,    0
 20795,118293,20210317,   72,    0
 20795,118293,20210318,   66,    0
 20795,118293,20210319,   86,    0
 20795,118293,20210320,   95,    0
 20795,118293,20210321,   81,    0
 20795,118293,20210322,   84,    0
 20795,118293,20210323,  135,    0
 20795,118293,20210324,  163,    0
 20795,118293,20210325,  123,    0
 20795,118293,20210326,  136,    0
 20795,118293,20210327,  111,    0
 20795,906479,20210328,  154,    0
 20795,118293,20210329,  215,    0
 20795,118293,20210330,  235,    0
 20795,118293,20210331,  255,    0
 20795,118293,20210401,  194,    0
 20795,118293,20210402,   96,    0
 20795,118293,20210403,  121,    0
 20795,118293,20210404,   97,    0
 20795,118293,20210405,   68,    0
 20795,118293,20210406,   39,    0
 20795,118293,20210407,   59,    0
 20795,118293,20210408,   94,    0
 20795,118293,20210409,  135,    0
 20795,118293,20210410,   85,    0
 20795,118293,20210411,   72,    0
 20795,118293,20210412,   81,    0
 20795,118293,20210413,  105,    0
 20795,118293,20210414,   97,    0
 20795,118293,20210415,   99,    0
 20795,118293,20210416,  125,    0
 20795,118293,20210417,  131,    0
 20795,118293,20210418,  154,    0
 20795,118293,20210419,  115,    0
 20795,118293,20210420,  182,    0
 20795,118293,20210421,  167,    0
 20795,118293,20210422,  132,    0
 20795,118293,20210423,  147,    0
 20795,118293,20210424,  142,    0
 20795,118293,20210425,  121,    0
 20795,118293,20210426,  142,    0
 20795,118293,20210427,  161,    0
 20795,118293,20210428,  203,    0
 20795,118293,20210429,  123,    0
 20795,118293,20210430,  121,    0
 20795,118293,20210501,  129,    0
 20795,118293,20210502,  120,    0
 20795,118293,20210503,  150,    0
 20795,118293,20210504,  133,    0
 20795,118293,20210505,  112,    0
 20795,118293,20210506,  119,    0
 20795,118293,20210507,  133,    0
 20795,118293,20210508,  185,    0
 20795,118293,20210509,  264,    0
 20795,118293,20210510,  208,    0
 20795,118293,20210511,  179,    0
 20795,118293,20210512,  175,    0
 20795,118293,20210513,  195,    0
 20795,118293,20210514,  175,    0
 20795,118293,20210515,  146,    0
 20795,118293,20210516,  161,    0
 20795,118293,20210517,  148,    0
 20795,118293,20210518,  170,    0
 20795,118293,20210519,  147,    0
 20795,118293,20210520,  161,    0
 20795,118293,20210521,  175,    0
 20795,118293,20210522,  116,    0
 20795,118293,20210523,  155,    0
 20795,118293,20210524,  158,    0
 20795,118293,20210525,  128,    0
 20795,118293,20210526,  145,    0
 20795,118293,20210527,  130,    0
 20795,118293,20210528,  185,    0
 20795,118293,20210529,  203,    0
 20795,118293,20210530,  220,    0
 20795,118293,20210531,  234,    0
 20795,118293,20210601,  252,    0
 20795,118293,20210602,  287,    0
 20795,118293,20210603,  267,    0
 20795,118293,20210604,  267,    0
 20795,118293,20210605,  176,    0
 20795,118293,20210606,  215,    0
 20795,118293,20210607,  233,    0
 20795,118293,20210608,  254,    0
 20795,118293,20210609,  265,    0
 20795,118293,20210610,  273,    0
 20795,118293,20210611,  268,    0
 20795,118293,20210612,  226,    0
 20795,118293,20210613,  244,    0
 20795,118293,20210614,  293,    0
 20795,118293,20210615,  251,    0
 20795,118293,20210616,  304,    0
 20795,118293,20210617,  309,    0
 20795,118293,20210618,  318,    0
 20795,118293,20210619,  254,    0
 20795,118293,20210620,  258,    0
 20795,118293,20210621,  194,    0
 20795,118293,20210622,  157,    0
 20795,118293,20210623,  173,    0
 20795,118293,20210624,  193,    0
 20795,118293,20210625,  208,    0
 20795,118293,20210626,  265,    0
 20795,118293,20210627,  268,    0
 20795,118293,20210628,  241,    0
 20795,118293,20210629,  249,    0
 20795,118293,20210630,  165,    0
 20795,118293,20210701,  160,    0
 20795,118293,20210702,  237,    0
 20795,118293,20210703,  244,    0
 20795,118293,20210704,  228,    0
 20795,118293,20210705,  197,    0
 20795,118293,20210706,  210,    0
 20795,118293,20210707,  231,    0
 20795,118293,20210708,  229,    0
 20795,118293,20210709,  227,    0
 20795,118293,20210710,  234,    0
 20795,118293,20210711,  240,    0
 20795,118293,20210712,  240,    0
 20795,118293,20210713,  210,    0
 20795,118293,20210714,  186,    0
 20795,118293,20210715,  183,    0
 20795,118293,20210716,  206,    0
 20795,118293,20210717,  259,    0
 20795,118293,20210718,  272,    0
 20795,118293,20210719,  241,    0
 20795,118293,20210720,  235,    0
 20795,118293,20210721,  248,    0
 20795,118293,20210722,  250,    0
 20795,118293,20210723,  244,    0
 20795,118293,20210724,  202,    0
 20795,118293,20210725,  258,    0
 20795,118293,20210726,  240,    0
 20795,118293,20210727,  232,    0
 20795,118293,20210728,  215,    0
 20795,118293,20210729,  219,    0
 20795,118293,20210730,  237,    0
