EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-01-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TX   : Maximum temperature in 0.1 &#176;C
30-34 Q_TX : quality code for TX (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MELSELE_ME, BELGIUM (STAID: 21788)
Blended and updated with sources:118278 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TX, Q_TX
 21788,118278,20201001,  159,    0
 21788,118278,20201002,  151,    0
 21788,118278,20201003,  150,    0
 21788,118278,20201004,  148,    0
 21788,118278,20201005,  149,    0
 21788,118278,20201006,  164,    0
 21788,118278,20201007,  151,    0
 21788,118278,20201008,  174,    0
 21788,118278,20201009,  159,    0
 21788,118278,20201010,  133,    0
 21788,118278,20201011,  145,    0
 21788,118278,20201012,  155,    0
 21788,118278,20201013,  123,    0
 21788,118278,20201014,  125,    0
 21788,118278,20201015,  121,    0
 21788,118278,20201016,  118,    0
 21788,118278,20201017,  127,    0
 21788,118278,20201018,  141,    0
 21788,118278,20201019,  148,    0
 21788,118278,20201020,  155,    0
 21788,118278,20201021,  210,    0
 21788,118278,20201022,  178,    0
 21788,118278,20201023,  180,    0
 21788,118278,20201024,  159,    0
 21788,118278,20201025,-9999,    9
 21788,118278,20201026,  134,    0
 21788,118278,20201027,  121,    0
 21788,118278,20201028,  133,    0
 21788,118278,20201029,  135,    0
 21788,118278,20201030,  164,    0
 21788,118278,20201031,  163,    0
 21788,118278,20201101,  180,    0
 21788,118278,20201102,  193,    0
 21788,118278,20201103,  130,    0
 21788,118278,20201104,  130,    0
 21788,118278,20201105,  130,    0
 21788,118278,20201106,  130,    0
 21788,118278,20201107,  149,    0
 21788,118278,20201108,  159,    0
 21788,118278,20201109,  153,    0
 21788,118278,20201110,  159,    0
 21788,118278,20201111,  134,    0
 21788,118278,20201112,  133,    0
 21788,118278,20201113,  135,    0
 21788,118278,20201114,  151,    0
 21788,118278,20201115,  151,    0
 21788,118278,20201116,  118,    0
 21788,118278,20201117,  130,    0
 21788,118278,20201118,  163,    0
 21788,118278,20201119,  111,    0
 21788,118278,20201120,   97,    0
 21788,118278,20201121,  104,    0
 21788,118278,20201122,  101,    0
 21788,118278,20201123,  115,    0
 21788,118278,20201124,  117,    0
 21788,118278,20201125,  103,    0
 21788,118278,20201126,  111,    0
 21788,118278,20201127,   85,    0
 21788,118278,20201128,  119,    0
 21788,118278,20201129,   37,    0
 21788,118278,20201130,   86,    0
 21788,118278,20201201,  101,    0
 21788,118278,20201202,   74,    0
 21788,118278,20201203,   61,    0
 21788,118278,20201204,   80,    0
 21788,118278,20201205,   61,    0
 21788,118278,20201206,   36,    0
 21788,118278,20201207,   27,    0
 21788,118278,20201208,   71,    0
 21788,118278,20201209,   35,    0
 21788,118278,20201210,   54,    0
 21788,118278,20201211,   70,    0
 21788,118278,20201212,   94,    0
 21788,118278,20201213,   82,    0
 21788,118278,20201214,  117,    0
 21788,118278,20201215,  112,    0
 21788,118278,20201216,  106,    0
 21788,118278,20201217,  111,    0
