EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-01-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TX   : Maximum temperature in 0.1 &#176;C
30-34 Q_TX : quality code for TX (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BETTENDORF, LUXEMBOURG (STAID: 22465)
Blended and updated with sources:121032 121102 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TX, Q_TX
 22465,121102,20040901,-9999,    9
 22465,121102,20040902,-9999,    9
 22465,121102,20040903,-9999,    9
 22465,121102,20040904,-9999,    9
 22465,121102,20040905,-9999,    9
 22465,121102,20040906,-9999,    9
 22465,121102,20040907,-9999,    9
 22465,121102,20040908,-9999,    9
 22465,121102,20040909,-9999,    9
 22465,121102,20040910,-9999,    9
 22465,121102,20040911,-9999,    9
 22465,121102,20040912,-9999,    9
 22465,121102,20040913,-9999,    9
 22465,121102,20040914,-9999,    9
 22465,121102,20040915,-9999,    9
 22465,121102,20040916,-9999,    9
 22465,121102,20040917,-9999,    9
 22465,121102,20040918,  240,    0
 22465,121102,20040919,  207,    0
 22465,121102,20040920,  171,    0
 22465,121102,20040921,  174,    0
 22465,121102,20040922,  160,    0
 22465,121102,20040923,  180,    0
 22465,121102,20040924,  145,    0
 22465,121102,20040925,  145,    0
 22465,121102,20040926,  175,    0
 22465,121102,20040927,  162,    0
 22465,121102,20040928,  195,    0
 22465,121102,20040929,  187,    0
 22465,121102,20040930,  172,    0
 22465,121102,20041001,  192,    0
 22465,121102,20041002,  174,    0
 22465,121102,20041003,  184,    0
 22465,121102,20041004,  235,    0
 22465,121102,20041005,  221,    0
 22465,121102,20041006,  147,    0
 22465,121102,20041007,  157,    0
