EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-01-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TX   : Maximum temperature in 0.1 &#176;C
30-34 Q_TX : quality code for TX (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CLEMENCY, LUXEMBOURG (STAID: 22467)
Blended and updated with sources:121052 121162 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TX, Q_TX
 22467,121162,20050301,-9999,    9
 22467,121162,20050302,-9999,    9
 22467,121162,20050303,   49,    0
 22467,121162,20050304,    7,    0
 22467,121162,20050305,   27,    0
 22467,121162,20050306,   62,    0
 22467,121162,20050307,   52,    0
 22467,121162,20050308,   40,    0
 22467,121162,20050309,   47,    0
 22467,121162,20050310,   68,    0
 22467,121162,20050311,   52,    0
 22467,121162,20050312,   55,    0
 22467,121162,20050313,   79,    0
 22467,121162,20050314,   92,    0
 22467,121162,20050315,  143,    0
 22467,121162,20050316,  211,    0
 22467,121162,20050317,  174,    0
 22467,121162,20050318,  169,    0
 22467,121162,20050319,  199,    0
 22467,121162,20050320,  162,    0
 22467,121162,20050321,  182,    0
 22467,121162,20050322,  167,    0
 22467,121162,20050323,  187,    0
 22467,121162,20050324,  172,    0
 22467,121162,20050325,  185,    0
 22467,121162,20050326,  180,    0
 22467,121162,20050327,  138,    0
 22467,121162,20050328,  167,    0
 22467,121162,20050329,  181,    0
 22467,121162,20050330,  126,    0
 22467,121162,20050331,  151,    0
 22467,121162,20050401,  179,    0
 22467,121162,20050402,  189,    0
 22467,121162,20050403,  209,    0
 22467,121162,20050404,  196,    0
 22467,121162,20050405,  153,    0
 22467,121162,20050406,  154,    0
 22467,121162,20050407,  131,    0
 22467,121162,20050408,   99,    0
 22467,121162,20050409,   90,    0
 22467,121162,20050410,  129,    0
 22467,121162,20050411,  172,    0
 22467,121162,20050412,  181,    0
 22467,121162,20050413,  164,    0
 22467,121162,20050414,  167,    0
 22467,121162,20050415,  128,    0
 22467,121162,20050416,  145,    0
 22467,121162,20050417,  187,    0
 22467,121162,20050418,  158,    0
 22467,121162,20050419,  116,    0
 22467,121162,20050420,  113,    0
 22467,121162,20050421,  151,    0
 22467,121162,20050422,  173,    0
 22467,121162,20050423,  159,    0
 22467,121162,20050424,  170,    0
 22467,121162,20050425,  122,    0
 22467,121162,20050426,  156,    0
 22467,121162,20050427,  170,    0
 22467,121162,20050428,  193,    0
 22467,121162,20050429,  242,    0
 22467,121162,20050430,  266,    0
 22467,121162,20050501,  286,    0
 22467,121162,20050502,  256,    0
 22467,121162,20050503,  215,    0
 22467,121162,20050504,  153,    0
 22467,121162,20050505,  168,    0
 22467,121162,20050506,  168,    0
 22467,121162,20050507,  144,    0
 22467,121162,20050508,  142,    0
 22467,121162,20050509,  162,    0
 22467,121162,20050510,  153,    0
 22467,121162,20050511,  151,    0
 22467,121162,20050512,  181,    0
 22467,121162,20050513,  154,    0
 22467,121162,20050514,  129,    0
 22467,121162,20050515,  185,    0
 22467,121162,20050516,  198,    0
 22467,121162,20050517,  137,    0
 22467,121162,20050518,  172,    0
 22467,121162,20050519,  196,    0
 22467,121162,20050520,  240,    0
 22467,121162,20050521,  184,    0
 22467,121162,20050522,  167,    0
 22467,121162,20050523,  190,    0
 22467,121162,20050524,  198,    0
 22467,121162,20050525,  266,    0
 22467,121162,20050526,  303,    0
 22467,121162,20050527,  320,    0
 22467,121162,20050528,  312,    0
 22467,121162,20050529,  308,    0
 22467,121162,20050530,  151,    0
 22467,121162,20050531,  196,    0
 22467,121162,20050601,  225,    0
 22467,121162,20050602,  230,    0
 22467,121162,20050603,  276,    0
 22467,121162,20050604,  185,    0
 22467,121162,20050605,  173,    0
 22467,121162,20050606,  173,    0
 22467,121162,20050607,  159,    0
 22467,121162,20050608,  191,    0
 22467,121162,20050609,  207,    0
 22467,121162,20050610,  215,    0
 22467,121162,20050611,  184,    0
 22467,121162,20050612,  200,    0
 22467,121162,20050613,  220,    0
 22467,121162,20050614,  220,    0
 22467,121162,20050615,  251,    0
 22467,121162,20050616,  254,    0
 22467,121162,20050617,  254,    0
 22467,121162,20050618,  300,    0
 22467,121162,20050619,  312,    0
 22467,121162,20050620,  328,    0
 22467,121162,20050621,  336,    0
 22467,121162,20050622,  303,    0
 22467,121162,20050623,  331,    0
 22467,121162,20050624,  341,    0
 22467,121162,20050625,  292,    0
 22467,121162,20050626,  289,    0
 22467,121162,20050627,  328,    0
 22467,121162,20050628,  334,    0
 22467,121162,20050629,  303,    0
 22467,121162,20050630,  254,    0
 22467,121162,20050701,  224,    0
 22467,121162,20050702,  214,    0
 22467,121162,20050703,  275,    0
 22467,121162,20050704,  235,    0
 22467,121162,20050705,  204,    0
 22467,121162,20050706,  195,    0
 22467,121162,20050707,  144,    0
 22467,121162,20050708,  195,    0
 22467,121162,20050709,  239,    0
 22467,121162,20050710,  269,    0
 22467,121162,20050711,  284,    0
 22467,121162,20050712,  295,    0
 22467,121162,20050713,  317,    0
 22467,121162,20050714,  327,    0
 22467,121162,20050715,  322,    0
 22467,121162,20050716,  310,    0
 22467,121162,20050717,  295,    0
 22467,121162,20050718,  320,    0
 22467,121162,20050719,  214,    0
 22467,121162,20050720,  205,    0
 22467,121162,20050721,  218,    0
 22467,121162,20050722,  246,    0
 22467,121162,20050723,  248,    0
 22467,121162,20050724,  206,    0
 22467,121162,20050725,  240,    0
