EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-01-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TX   : Maximum temperature in 0.1 &#176;C
30-34 Q_TX : quality code for TX (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station DAHL, LUXEMBOURG (STAID: 22468)
Blended and updated with sources:121062 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TX, Q_TX
 22468,121062,20080601,-9999,    9
 22468,121062,20080602,-9999,    9
 22468,121062,20080603,-9999,    9
 22468,121062,20080604,-9999,    9
 22468,121062,20080605,-9999,    9
 22468,121062,20080606,-9999,    9
 22468,121062,20080607,-9999,    9
 22468,121062,20080608,-9999,    9
 22468,121062,20080609,-9999,    9
 22468,121062,20080610,-9999,    9
 22468,121062,20080611,-9999,    9
 22468,121062,20080612,-9999,    9
 22468,121062,20080613,-9999,    9
 22468,121062,20080614,-9999,    9
 22468,121062,20080615,-9999,    9
 22468,121062,20080616,-9999,    9
 22468,121062,20080617,-9999,    9
 22468,121062,20080618,-9999,    9
 22468,121062,20080619,-9999,    9
 22468,121062,20080620,-9999,    9
 22468,121062,20080621,-9999,    9
 22468,121062,20080622,-9999,    9
 22468,121062,20080623,-9999,    9
 22468,121062,20080624,-9999,    9
 22468,121062,20080625,-9999,    9
 22468,121062,20080626,-9999,    9
 22468,121062,20080627,-9999,    9
 22468,121062,20080628,  220,    0
 22468,121062,20080629,-9999,    9
 22468,121062,20080630,-9999,    9
 22468,121062,20080701,-9999,    9
 22468,121062,20080702,-9999,    9
 22468,121062,20080703,  184,    0
 22468,121062,20080704,  207,    0
 22468,121062,20080705,  233,    0
 22468,121062,20080706,  199,    0
 22468,121062,20080707,  170,    0
 22468,121062,20080708,  159,    0
 22468,121062,20080709,  178,    0
 22468,121062,20080710,  250,    0
 22468,121062,20080711,  183,    0
 22468,121062,20080712,  190,    0
 22468,121062,20080713,  182,    0
 22468,121062,20080714,  209,    0
 22468,121062,20080715,  240,    0
 22468,121062,20080716,  213,    0
 22468,121062,20080717,  182,    0
 22468,121062,20080718,  196,    0
 22468,121062,20080719,  220,    0
 22468,121062,20080720,  181,    0
 22468,121062,20080721,  160,    0
 22468,121062,20080722,  192,    0
 22468,121062,20080723,  223,    0
 22468,121062,20080724,  244,    0
 22468,121062,20080725,  279,    0
 22468,121062,20080726,  276,    0
 22468,121062,20080727,  292,    0
 22468,121062,20080728,  277,    0
 22468,121062,20080729,  246,    0
 22468,121062,20080730,  278,    0
 22468,121062,20080731,  292,    0
 22468,121062,20080801,  221,    0
 22468,121062,20080802,  211,    0
 22468,121062,20080803,  232,    0
 22468,121062,20080804,  215,    0
 22468,121062,20080805,  221,    0
 22468,121062,20080806,  281,    0
 22468,121062,20080807,  247,    0
 22468,121062,20080808,  198,    0
 22468,121062,20080809,  214,    0
 22468,121062,20080810,  188,    0
 22468,121062,20080811,-9999,    9
 22468,121062,20080812,  215,    0
 22468,121062,20080813,  196,    0
 22468,121062,20080814,  203,    0
 22468,121062,20080815,  201,    0
 22468,121062,20080816,  220,    0
 22468,121062,20080817,  223,    0
 22468,121062,20080818,  232,    0
 22468,121062,20080819,  203,    0
 22468,121062,20080820,  176,    0
 22468,121062,20080821,  214,    0
 22468,121062,20080822,  162,    0
 22468,121062,20080823,  173,    0
 22468,121062,20080824,  191,    0
 22468,121062,20080825,  192,    0
 22468,121062,20080826,  203,    0
 22468,121062,20080827,  188,    0
 22468,121062,20080828,  179,    0
 22468,121062,20080829,  206,    0
 22468,121062,20080830,  249,    0
 22468,121062,20080831,  270,    0
 22468,121062,20080901,  186,    0
 22468,121062,20080902,  217,    0
 22468,121062,20080903,  144,    0
 22468,121062,20080904,  160,    0
 22468,121062,20080905,  165,    0
 22468,121062,20080906,  170,    0
 22468,121062,20080907,  149,    0
 22468,121062,20080908,  187,    0
 22468,121062,20080909,  230,    0
 22468,121062,20080910,  230,    0
 22468,121062,20080911,  216,    0
 22468,121062,20080912,  153,    0
 22468,121062,20080913,  116,    0
 22468,121062,20080914,  140,    0
 22468,121062,20080915,  123,    0
 22468,121062,20080916,  129,    0
 22468,121062,20080917,  123,    0
 22468,121062,20080918,  124,    0
 22468,121062,20080919,  153,    0
 22468,121062,20080920,  145,    0
 22468,121062,20080921,  137,    0
 22468,121062,20080922,  142,    0
 22468,121062,20080923,  135,    0
 22468,121062,20080924,  133,    0
 22468,121062,20080925,  143,    0
 22468,121062,20080926,  146,    0
 22468,121062,20080927,  165,    0
 22468,121062,20080928,  183,    0
 22468,121062,20080929,  149,    0
 22468,121062,20080930,  100,    0
 22468,121062,20081001,  124,    0
 22468,121062,20081002,  114,    0
 22468,121062,20081003,   73,    0
 22468,121062,20081004,  102,    0
 22468,121062,20081005,  127,    0
 22468,121062,20081006,  143,    0
 22468,121062,20081007,  142,    0
 22468,121062,20081008,  134,    0
 22468,121062,20081009,  134,    0
 22468,121062,20081010,  150,    0
 22468,121062,20081011,  126,    0
 22468,121062,20081012,  150,    0
 22468,121062,20081013,  190,    0
 22468,121062,20081014,  144,    0
 22468,121062,20081015,  129,    0
 22468,121062,20081016,  112,    0
 22468,121062,20081017,  109,    0
 22468,121062,20081018,  120,    0
 22468,121062,20081019,  131,    0
 22468,121062,20081020,  162,    0
 22468,121062,20081021,  136,    0
 22468,121062,20081022,   88,    0
 22468,121062,20081023,   84,    0
 22468,121062,20081024,  109,    0
 22468,121062,20081025,  124,    0
 22468,121062,20081026,  123,    0
 22468,121062,20081027,  102,    0
 22468,121062,20081028,   63,    0
 22468,121062,20081029,   63,    0
 22468,121062,20081030,   35,    0
 22468,121062,20081031,   64,    0
 22468,121062,20081101,   81,    0
 22468,121062,20081102,  112,    0
 22468,121062,20081103,  105,    0
 22468,121062,20081104,  150,    0
 22468,121062,20081105,   96,    0
 22468,121062,20081106,  112,    0
 22468,121062,20081107,   98,    0
 22468,121062,20081108,   93,    0
 22468,121062,20081109,   98,    0
 22468,121062,20081110,  123,    0
 22468,121062,20081111,  122,    0
 22468,121062,20081112,   74,    0
 22468,121062,20081113,   78,    0
 22468,121062,20081114,   63,    0
 22468,121062,20081115,   85,    0
 22468,121062,20081116,  104,    0
 22468,121062,20081117,   51,    0
 22468,121062,20081118,   60,    0
 22468,121062,20081119,   77,    0
 22468,121062,20081120,   82,    0
 22468,121062,20081121,   65,    0
 22468,121062,20081122,    1,    0
 22468,121062,20081123,    4,    0
 22468,121062,20081124,   21,    0
 22468,121062,20081125,   13,    0
 22468,121062,20081126,    8,    0
 22468,121062,20081127,    4,    0
 22468,121062,20081128,  -17,    0
 22468,121062,20081129,   -1,    0
 22468,121062,20081130,   19,    0
 22468,121062,20081201,   28,    0
 22468,121062,20081202,   15,    0
 22468,121062,20081203,-9999,    9
 22468,121062,20081204,   35,    0
 22468,121062,20081205,   35,    0
 22468,121062,20081206,   32,    0
 22468,121062,20081207,   46,    0
 22468,121062,20081208,   22,    0
 22468,121062,20081209,    1,    0
 22468,121062,20081210,    8,    0
 22468,121062,20081211,    2,    0
 22468,121062,20081212,   -4,    0
 22468,121062,20081213,  -16,    0
 22468,121062,20081214,   26,    0
 22468,121062,20081215,   49,    0
 22468,121062,20081216,  -11,    0
 22468,121062,20081217,    4,    0
 22468,121062,20081218,   13,    0
 22468,121062,20081219,   51,    0
 22468,121062,20081220,   80,    0
 22468,121062,20081221,   79,    0
 22468,121062,20081222,   75,    0
 22468,121062,20081223,   58,    0
 22468,121062,20081224,   39,    0
 22468,121062,20081225,   36,    0
 22468,121062,20081226,    4,    0
 22468,121062,20081227,  -18,    0
 22468,121062,20081228,  -15,    0
 22468,121062,20081229,  -17,    0
 22468,121062,20081230,   11,    0
 22468,121062,20081231,   29,    0
 22468,121062,20090101,   10,    0
 22468,121062,20090102,  -11,    0
 22468,121062,20090103,  -20,    0
 22468,121062,20090104,  -20,    0
 22468,121062,20090105,  -10,    0
 22468,121062,20090106,  -52,    0
 22468,121062,20090107,  -25,    0
 22468,121062,20090108,  -25,    0
 22468,121062,20090109,  -24,    0
 22468,121062,20090110,   -6,    0
 22468,121062,20090111,   14,    0
 22468,121062,20090112,   11,    0
 22468,121062,20090113,   43,    0
 22468,121062,20090114,   22,    0
 22468,121062,20090115,   27,    0
 22468,121062,20090116,    2,    0
 22468,121062,20090117,   38,    0
 22468,121062,20090118,   37,    0
 22468,121062,20090119,   70,    0
 22468,121062,20090120,   24,    0
 22468,121062,20090121,   10,    0
 22468,121062,20090122,   10,    0
 22468,121062,20090123,   57,    0
 22468,121062,20090124,   13,    0
 22468,121062,20090125,   -5,    0
 22468,121062,20090126,   21,    0
 22468,121062,20090127,   17,    0
 22468,121062,20090128,   19,    0
 22468,121062,20090129,    8,    0
 22468,121062,20090130,   19,    0
 22468,121062,20090131,  -23,    0
 22468,121062,20090201,  -21,    0
 22468,121062,20090202,   21,    0
 22468,121062,20090203,   27,    0
 22468,121062,20090204,    8,    0
 22468,121062,20090205,   54,    0
 22468,121062,20090206,   56,    0
 22468,121062,20090207,   36,    0
 22468,121062,20090208,    5,    0
 22468,121062,20090209,   34,    0
 22468,121062,20090210,   55,    0
 22468,121062,20090211,   25,    0
 22468,121062,20090212,   12,    0
 22468,121062,20090213,   11,    0
 22468,121062,20090214,   11,    0
 22468,121062,20090215,   15,    0
 22468,121062,20090216,   35,    0
 22468,121062,20090217,   49,    0
 22468,121062,20090218,   16,    0
 22468,121062,20090219,   26,    0
 22468,121062,20090220,   43,    0
 22468,121062,20090221,   42,    0
 22468,121062,20090222,   53,    0
 22468,121062,20090223,   39,    0
 22468,121062,20090224,   39,    0
 22468,121062,20090225,   67,    0
 22468,121062,20090226,   58,    0
 22468,121062,20090227,   53,    0
 22468,121062,20090228,  109,    0
 22468,121062,20090301,   99,    0
 22468,121062,20090302,   76,    0
 22468,121062,20090303,   75,    0
 22468,121062,20090304,   40,    0
 22468,121062,20090305,   25,    0
 22468,121062,20090306,   37,    0
 22468,121062,20090307,   82,    0
 22468,121062,20090308,   72,    0
 22468,121062,20090309,   64,    0
 22468,121062,20090310,   54,    0
 22468,121062,20090311,   73,    0
 22468,121062,20090312,   63,    0
 22468,121062,20090313,  103,    0
 22468,121062,20090314,  129,    0
 22468,121062,20090315,   96,    0
 22468,121062,20090316,  117,    0
 22468,121062,20090317,  121,    0
 22468,121062,20090318,  123,    0
 22468,121062,20090319,   99,    0
 22468,121062,20090320,   65,    0
 22468,121062,20090321,  104,    0
 22468,121062,20090322,   81,    0
 22468,121062,20090323,   77,    0
 22468,121062,20090324,   63,    0
 22468,121062,20090325,   35,    0
 22468,121062,20090326,   61,    0
 22468,121062,20090327,   74,    0
 22468,121062,20090328,   77,    0
 22468,121062,20090329,   79,    0
 22468,121062,20090330,  101,    0
 22468,121062,20090331,  124,    0
 22468,121062,20090401,  147,    0
 22468,121062,20090402,  180,    0
 22468,121062,20090403,  199,    0
 22468,121062,20090404,  165,    0
 22468,121062,20090405,  153,    0
 22468,121062,20090406,  184,    0
 22468,121062,20090407,  151,    0
 22468,121062,20090408,  129,    0
 22468,121062,20090409,  170,    0
 22468,121062,20090410,  217,    0
 22468,121062,20090411,  200,    0
 22468,121062,20090412,  200,    0
 22468,121062,20090413,  206,    0
 22468,121062,20090414,  215,    0
 22468,121062,20090415,  226,    0
 22468,121062,20090416,  139,    0
 22468,121062,20090417,   81,    0
 22468,121062,20090418,  107,    0
 22468,121062,20090419,  165,    0
 22468,121062,20090420,  189,    0
