EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-01-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TX   : Maximum temperature in 0.1 &#176;C
30-34 Q_TX : quality code for TX (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ECHTERNACH, LUXEMBOURG (STAID: 22469)
Blended and updated with sources:121072 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TX, Q_TX
 22469,121072,20000701,  279,    0
 22469,121072,20000702,  277,    0
 22469,121072,20000703,  241,    0
 22469,121072,20000704,  186,    0
 22469,121072,20000705,  202,    0
 22469,121072,20000706,  247,    0
 22469,121072,20000707,  207,    0
 22469,121072,20000708,  171,    0
 22469,121072,20000709,  148,    0
 22469,121072,20000710,  183,    0
 22469,121072,20000711,  144,    0
 22469,121072,20000712,  169,    0
 22469,121072,20000713,  141,    0
 22469,121072,20000714,  170,    0
 22469,121072,20000715,  175,    0
 22469,121072,20000716,  163,    0
 22469,121072,20000717,  194,    0
 22469,121072,20000718,  215,    0
 22469,121072,20000719,  201,    0
 22469,121072,20000720,  234,    0
 22469,121072,20000721,  243,    0
 22469,121072,20000722,  229,    0
 22469,121072,20000723,  251,    0
 22469,121072,20000724,  233,    0
 22469,121072,20000725,  213,    0
 22469,121072,20000726,  174,    0
 22469,121072,20000727,  205,    0
 22469,121072,20000728,  221,    0
 22469,121072,20000729,  212,    0
 22469,121072,20000730,  233,    0
 22469,121072,20000731,  264,    0
 22469,121072,20000801,  279,    0
 22469,121072,20000802,  225,    0
 22469,121072,20000803,  235,    0
 22469,121072,20000804,  240,    0
 22469,121072,20000805,  244,    0
 22469,121072,20000806,  247,    0
 22469,121072,20000807,  239,    0
 22469,121072,20000808,  236,    0
 22469,121072,20000809,  261,    0
 22469,121072,20000810,  267,    0
 22469,121072,20000811,  270,    0
 22469,121072,20000812,  294,    0
 22469,121072,20000813,  306,    0
 22469,121072,20000814,  300,    0
 22469,121072,20000815,  265,    0
 22469,121072,20000816,  267,    0
 22469,121072,20000817,  260,    0
 22469,121072,20000818,  265,    0
 22469,121072,20000819,  239,    0
 22469,121072,20000820,  207,    0
 22469,121072,20000821,  215,    0
 22469,121072,20000822,  232,    0
 22469,121072,20000823,  249,    0
 22469,121072,20000824,  280,    0
 22469,121072,20000825,  269,    0
 22469,121072,20000826,  280,    0
 22469,121072,20000827,  232,    0
 22469,121072,20000828,  201,    0
 22469,121072,20000829,  228,    0
 22469,121072,20000830,  228,    0
 22469,121072,20000831,  238,    0
 22469,121072,20000901,  181,    0
 22469,121072,20000902,  176,    0
 22469,121072,20000903,  172,    0
 22469,121072,20000904,  165,    0
 22469,121072,20000905,  192,    0
 22469,121072,20000906,  143,    0
 22469,121072,20000907,  176,    0
 22469,121072,20000908,  200,    0
 22469,121072,20000909,  212,    0
 22469,121072,20000910,  260,    0
 22469,121072,20000911,  272,    0
 22469,121072,20000912,  247,    0
 22469,121072,20000913,  215,    0
 22469,121072,20000914,  213,    0
 22469,121072,20000915,  229,    0
 22469,121072,20000916,  177,    0
 22469,121072,20000917,  147,    0
 22469,121072,20000918,  191,    0
 22469,121072,20000919,  228,    0
 22469,121072,20000920,  148,    0
 22469,121072,20000921,  201,    0
 22469,121072,20000922,  206,    0
 22469,121072,20000923,  187,    0
 22469,121072,20000924,  209,    0
 22469,121072,20000925,  210,    0
 22469,121072,20000926,  218,    0
 22469,121072,20000927,  192,    0
 22469,121072,20000928,  176,    0
 22469,121072,20000929,  239,    0
 22469,121072,20000930,  153,    0
 22469,121072,20001001,  183,    0
 22469,121072,20001002,  152,    0
