EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-01-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TX   : Maximum temperature in 0.1 &#176;C
30-34 Q_TX : quality code for TX (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ESCHDORF, LUXEMBOURG (STAID: 22471)
Blended and updated with sources:121092 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TX, Q_TX
 22471,121092,20070501,-9999,    9
 22471,121092,20070502,-9999,    9
 22471,121092,20070503,-9999,    9
 22471,121092,20070504,-9999,    9
 22471,121092,20070505,-9999,    9
 22471,121092,20070506,-9999,    9
 22471,121092,20070507,-9999,    9
 22471,121092,20070508,  143,    0
 22471,121092,20070509,  130,    0
 22471,121092,20070510,  184,    0
 22471,121092,20070511,  143,    0
 22471,121092,20070512,  160,    0
 22471,121092,20070513,  206,    0
 22471,121092,20070514,  138,    0
 22471,121092,20070515,  136,    0
 22471,121092,20070516,  132,    0
 22471,121092,20070517,  121,    0
 22471,121092,20070518,  174,    0
 22471,121092,20070519,  170,    0
 22471,121092,20070520,  221,    0
 22471,121092,20070521,  242,    0
 22471,121092,20070522,  240,    0
 22471,121092,20070523,  200,    0
 22471,121092,20070524,  264,    0
 22471,121092,20070525,  262,    0
 22471,121092,20070526,  237,    0
 22471,121092,20070527,  144,    0
 22471,121092,20070528,  110,    0
 22471,121092,20070529,  113,    0
 22471,121092,20070530,  161,    0
 22471,121092,20070531,  180,    0
 22471,121092,20070601,  131,    0
 22471,121092,20070602,  210,    0
 22471,121092,20070603,  201,    0
 22471,121092,20070604,  201,    0
 22471,121092,20070605,  229,    0
 22471,121092,20070606,  240,    0
 22471,121092,20070607,  265,    0
 22471,121092,20070608,  273,    0
 22471,121092,20070609,  226,    0
 22471,121092,20070610,  240,    0
 22471,121092,20070611,  256,    0
 22471,121092,20070612,  215,    0
 22471,121092,20070613,  226,    0
 22471,121092,20070614,  218,    0
 22471,121092,20070615,  189,    0
 22471,121092,20070616,  167,    0
 22471,121092,20070617,  223,    0
 22471,121092,20070618,  225,    0
 22471,121092,20070619,  259,    0
 22471,121092,20070620,  223,    0
 22471,121092,20070621,  188,    0
 22471,121092,20070622,  164,    0
 22471,121092,20070623,  172,    0
 22471,121092,20070624,  200,    0
 22471,121092,20070625,  161,    0
 22471,121092,20070626,  127,    0
 22471,121092,20070627,  143,    0
 22471,121092,20070628,  164,    0
 22471,121092,20070629,  157,    0
 22471,121092,20070630,  187,    0
 22471,121092,20070701,  210,    0
 22471,121092,20070702,  187,    0
 22471,121092,20070703,  126,    0
 22471,121092,20070704,  159,    0
 22471,121092,20070705,  167,    0
 22471,121092,20070706,  184,    0
 22471,121092,20070707,  195,    0
 22471,121092,20070708,  203,    0
 22471,121092,20070709,-9999,    9
 22471,121092,20070710,-9999,    9
 22471,121092,20070711,  155,    0
 22471,121092,20070712,  197,    0
 22471,121092,20070713,  243,    0
 22471,121092,20070714,  274,    0
 22471,121092,20070715,  293,    0
 22471,121092,20070716,  281,    0
 22471,121092,20070717,  222,    0
 22471,121092,20070718,  238,    0
 22471,121092,20070719,-9999,    9
 22471,121092,20070720,  219,    0
 22471,121092,20070721,  210,    0
 22471,121092,20070722,  190,    0
 22471,121092,20070723,  159,    0
 22471,121092,20070724,  180,    0
 22471,121092,20070725,  217,    0
 22471,121092,20070726,-9999,    9
 22471,121092,20070727,-9999,    9
 22471,121092,20070728,-9999,    9
 22471,121092,20070729,-9999,    9
 22471,121092,20070730,-9999,    9
 22471,121092,20070731,  168,    0
 22471,121092,20070801,  218,    0
 22471,121092,20070802,  195,    0
 22471,121092,20070803,  204,    0
 22471,121092,20070804,  242,    0
 22471,121092,20070805,  275,    0
 22471,121092,20070806,  286,    0
 22471,121092,20070807,  181,    0
 22471,121092,20070808,  151,    0
 22471,121092,20070809,  138,    0
 22471,121092,20070810,  187,    0
 22471,121092,20070811,  194,    0
 22471,121092,20070812,  223,    0
 22471,121092,20070813,  208,    0
 22471,121092,20070814,  223,    0
 22471,121092,20070815,  199,    0
 22471,121092,20070816,  184,    0
 22471,121092,20070817,  184,    0
 22471,121092,20070818,  195,    0
 22471,121092,20070819,  193,    0
 22471,121092,20070820,  135,    0
 22471,121092,20070821,  174,    0
 22471,121092,20070822,  137,    0
 22471,121092,20070823,  170,    0
 22471,121092,20070824,  222,    0
 22471,121092,20070825,  254,    0
 22471,121092,20070826,  232,    0
 22471,121092,20070827,  192,    0
 22471,121092,20070828,  170,    0
 22471,121092,20070829,  171,    0
 22471,121092,20070830,  168,    0
 22471,121092,20070831,  201,    0
 22471,121092,20070901,  186,    0
 22471,121092,20070902,  181,    0
 22471,121092,20070903,  151,    0
 22471,121092,20070904,  127,    0
 22471,121092,20070905,  130,    0
 22471,121092,20070906,  171,    0
 22471,121092,20070907,  143,    0
 22471,121092,20070908,  163,    0
 22471,121092,20070909,  145,    0
 22471,121092,20070910,  151,    0
 22471,121092,20070911,  135,    0
 22471,121092,20070912,  149,    0
 22471,121092,20070913,  183,    0
 22471,121092,20070914,  201,    0
 22471,121092,20070915,  185,    0
 22471,121092,20070916,  203,    0
 22471,121092,20070917,-9999,    9
 22471,121092,20070918,  116,    0
 22471,121092,20070919,  134,    0
 22471,121092,20070920,-9999,    9
 22471,121092,20070921,  184,    0
 22471,121092,20070922,  216,    0
 22471,121092,20070923,  210,    0
 22471,121092,20070924,  181,    0
 22471,121092,20070925,  146,    0
 22471,121092,20070926,  112,    0
 22471,121092,20070927,   90,    0
 22471,121092,20070928,  102,    0
 22471,121092,20070929,  113,    0
 22471,121092,20070930,  166,    0
 22471,121092,20071001,  172,    0
 22471,121092,20071002,  201,    0
 22471,121092,20071003,  170,    0
 22471,121092,20071004,  197,    0
 22471,121092,20071005,  166,    0
 22471,121092,20071006,  151,    0
 22471,121092,20071007,  159,    0
 22471,121092,20071008,  168,    0
 22471,121092,20071009,  131,    0
 22471,121092,20071010,  134,    0
 22471,121092,20071011,  154,    0
 22471,121092,20071012,  122,    0
 22471,121092,20071013,  143,    0
 22471,121092,20071014,  157,    0
 22471,121092,20071015,  176,    0
 22471,121092,20071016,  160,    0
 22471,121092,20071017,  124,    0
 22471,121092,20071018,  101,    0
 22471,121092,20071019,   73,    0
 22471,121092,20071020,   80,    0
 22471,121092,20071021,   57,    0
 22471,121092,20071022,   58,    0
 22471,121092,20071023,   88,    0
 22471,121092,20071024,   58,    0
 22471,121092,20071025,   87,    0
 22471,121092,20071026,   63,    0
 22471,121092,20071027,   74,    0
 22471,121092,20071028,   58,    0
 22471,121092,20071029,   69,    0
 22471,121092,20071030,   85,    0
 22471,121092,20071031,   96,    0
 22471,121092,20071101,   88,    0
 22471,121092,20071102,  111,    0
 22471,121092,20071103,  106,    0
 22471,121092,20071104,   87,    0
 22471,121092,20071105,   70,    0
 22471,121092,20071106,   66,    0
 22471,121092,20071107,   76,    0
 22471,121092,20071108,   78,    0
 22471,121092,20071109,   40,    0
 22471,121092,20071110,   80,    0
 22471,121092,20071111,   77,    0
 22471,121092,20071112,   46,    0
 22471,121092,20071113,   30,    0
 22471,121092,20071114,   32,    0
 22471,121092,20071115,   -1,    1
 22471,121092,20071116,   19,    0
 22471,121092,20071117,   34,    0
 22471,121092,20071118,   35,    0
 22471,121092,20071119,   19,    0
 22471,121092,20071120,   69,    0
 22471,121092,20071121,   80,    0
 22471,121092,20071122,   80,    0
 22471,121092,20071123,   74,    0
 22471,121092,20071124,   30,    0
 22471,121092,20071125,   46,    0
 22471,121092,20071126,   33,    0
 22471,121092,20071127,   41,    0
 22471,121092,20071128,   35,    0
 22471,121092,20071129,   29,    0
 22471,121092,20071130,   50,    0
