EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-01-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TX   : Maximum temperature in 0.1 &#176;C
30-34 Q_TX : quality code for TX (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ETTELBRUCK, LUXEMBOURG (STAID: 22472)
Blended and updated with sources:121022 121032 121102 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TX, Q_TX
 22472,121102,20040901,-9999,    9
 22472,121102,20040902,-9999,    9
 22472,121102,20040903,-9999,    9
 22472,121102,20040904,-9999,    9
 22472,121102,20040905,-9999,    9
 22472,121102,20040906,-9999,    9
 22472,121102,20040907,-9999,    9
 22472,121102,20040908,-9999,    9
 22472,121102,20040909,-9999,    9
 22472,121102,20040910,-9999,    9
 22472,121102,20040911,-9999,    9
 22472,121102,20040912,-9999,    9
 22472,121102,20040913,-9999,    9
 22472,121102,20040914,-9999,    9
 22472,121102,20040915,-9999,    9
 22472,121102,20040916,-9999,    9
 22472,121102,20040917,-9999,    9
 22472,121102,20040918,  240,    0
 22472,121102,20040919,  207,    0
 22472,121102,20040920,  171,    0
 22472,121102,20040921,  174,    0
 22472,121102,20040922,  160,    0
 22472,121102,20040923,  180,    0
 22472,121102,20040924,  145,    0
 22472,121102,20040925,  145,    0
 22472,121102,20040926,  175,    0
 22472,121102,20040927,  162,    0
 22472,121102,20040928,  195,    0
 22472,121102,20040929,  187,    0
 22472,121102,20040930,  172,    0
 22472,121102,20041001,  192,    0
 22472,121102,20041002,  174,    0
 22472,121102,20041003,  184,    0
 22472,121102,20041004,  235,    0
 22472,121102,20041005,  221,    0
 22472,121102,20041006,  147,    0
 22472,121102,20041007,  157,    0
 22472,121102,20041008,  124,    0
 22472,121102,20041009,  148,    0
 22472,121102,20041010,  131,    0
 22472,121102,20041011,  126,    0
 22472,121102,20041012,  130,    0
 22472,121102,20041013,  154,    0
 22472,121102,20041014,  139,    0
 22472,121102,20041015,  109,    0
 22472,121102,20041016,   87,    0
 22472,121102,20041017,   87,    0
 22472,121102,20041018,  122,    0
 22472,121102,20041019,  118,    0
 22472,121102,20041020,  178,    0
 22472,121102,20041021,  159,    0
 22472,121102,20041022,  169,    0
 22472,121102,20041023,  201,    0
 22472,121102,20041024,  211,    0
 22472,121102,20041025,  172,    0
 22472,121102,20041026,  120,    0
 22472,121102,20041027,  120,    0
 22472,121102,20041028,  138,    0
 22472,121102,20041029,  146,    0
 22472,121102,20041030,  120,    0
 22472,121102,20041031,  122,    0
 22472,121102,20041101,  112,    0
 22472,121102,20041102,  115,    0
 22472,121102,20041103,  126,    0
 22472,121102,20041104,  146,    0
 22472,121102,20041105,  113,    0
 22472,121102,20041106,   93,    0
 22472,121102,20041107,  105,    0
 22472,121102,20041108,   88,    0
 22472,121102,20041109,   72,    0
 22472,121102,20041110,   34,    0
 22472,121102,20041111,   49,    0
 22472,121102,20041112,   55,    0
 22472,121102,20041113,   82,    0
 22472,121102,20041114,   70,    0
 22472,121102,20041115,   34,    0
 22472,121102,20041116,   76,    0
 22472,121102,20041117,  109,    0
 22472,121102,20041118,   96,    0
 22472,121102,20041119,   90,    0
 22472,121102,20041120,   54,    0
 22472,121102,20041121,   20,    0
 22472,121102,20041122,  110,    0
 22472,121102,20041123,  118,    0
 22472,121102,20041124,   52,    0
 22472,121102,20041125,   44,    0
 22472,121102,20041126,   60,    0
 22472,121102,20041127,   98,    0
 22472,121102,20041128,   82,    0
 22472,121102,20041129,   86,    0
 22472,121102,20041130,   80,    0
 22472,121102,20041201,   48,    0
 22472,121102,20041202,   58,    0
 22472,121102,20041203,   58,    0
 22472,121102,20041204,   11,    0
 22472,121102,20041205,   19,    0
 22472,121102,20041206,   61,    0
 22472,121102,20041207,   47,    0
 22472,121102,20041208,   57,    0
 22472,121102,20041209,   52,    0
 22472,121102,20041210,   29,    0
 22472,121102,20041211,  -11,    1
 22472,121102,20041212,  -13,    1
 22472,121102,20041213,  -14,    1
 22472,121102,20041214,  -12,    1
 22472,121102,20041215,   -7,    1
 22472,121102,20041216,   30,    0
 22472,121102,20041217,   55,    0
 22472,121102,20041218,   49,    0
 22472,121102,20041219,   35,    0
 22472,121102,20041220,   15,    0
 22472,121102,20041221,-9999,    9
 22472,121102,20041222,   15,    0
 22472,121102,20041223,   74,    0
 22472,121102,20041224,   91,    0
 22472,121102,20041225,   86,    0
 22472,121102,20041226,   42,    0
 22472,121102,20041227,   50,    0
 22472,121102,20041228,   27,    0
 22472,121102,20041229,   44,    0
 22472,121102,20041230,   44,    0
 22472,121102,20041231,   74,    0
 22472,121102,20050101,   99,    0
 22472,121102,20050102,  101,    0
 22472,121102,20050103,   58,    0
 22472,121102,20050104,   60,    0
 22472,121102,20050105,   73,    0
 22472,121102,20050106,   90,    0
 22472,121102,20050107,  100,    0
 22472,121102,20050108,   93,    0
 22472,121102,20050109,   92,    0
 22472,121102,20050110,  134,    0
 22472,121102,20050111,   91,    0
 22472,121102,20050112,   90,    0
 22472,121102,20050113,   74,    0
 22472,121102,20050114,    4,    0
 22472,121102,20050115,   24,    0
 22472,121102,20050116,   18,    0
 22472,121102,20050117,   43,    0
 22472,121102,20050118,   68,    0
 22472,121102,20050119,   55,    0
 22472,121102,20050120,  101,    0
 22472,121102,20050121,   98,    0
 22472,121102,20050122,   63,    0
 22472,121102,20050123,   50,    0
 22472,121102,20050124,   22,    0
 22472,121102,20050125,   16,    0
 22472,121102,20050126,    0,    0
 22472,121102,20050127,   -1,    1
 22472,121102,20050128,   20,    0
 22472,121102,20050129,    2,    0
 22472,121102,20050130,    7,    0
 22472,121102,20050131,   71,    0
 22472,121102,20050201,   72,    0
 22472,121102,20050202,   62,    0
 22472,121102,20050203,   71,    0
 22472,121102,20050204,   74,    0
 22472,121102,20050205,   41,    0
 22472,121102,20050206,   55,    0
 22472,121102,20050207,   29,    0
 22472,121102,20050208,   44,    0
 22472,121102,20050209,   52,    0
 22472,121102,20050210,   73,    0
 22472,121102,20050211,   92,    0
 22472,121102,20050212,  119,    0
 22472,121102,20050213,   48,    0
 22472,121102,20050214,   52,    0
 22472,121102,20050215,   30,    0
 22472,121102,20050216,   13,    0
 22472,121102,20050217,   22,    0
 22472,121102,20050218,   15,    0
 22472,121102,20050219,   69,    0
 22472,121102,20050220,   49,    0
 22472,121102,20050221,   21,    0
 22472,121102,20050222,   -1,    1
 22472,121102,20050223,    4,    0
 22472,121102,20050224,   -1,    1
 22472,121102,20050225,   30,    0
 22472,121102,20050226,   38,    0
 22472,121102,20050227,    0,    0
 22472,121102,20050228,-9999,    9
 22472,121102,20050301,  -11,    1
 22472,121102,20050302,   25,    0
 22472,121102,20050303,   35,    0
 22472,121102,20050304,   16,    0
 22472,121102,20050305,   21,    0
 22472,121102,20050306,    5,    0
 22472,121102,20050307,   52,    0
 22472,121102,20050308,   51,    0
 22472,121102,20050309,   59,    0
 22472,121102,20050310,   77,    0
 22472,121102,20050311,   54,    0
 22472,121102,20050312,   53,    0
 22472,121102,20050313,   80,    0
 22472,121102,20050314,   93,    0
 22472,121102,20050315,  136,    0
 22472,121102,20050316,  206,    0
 22472,121102,20050317,  178,    0
 22472,121102,20050318,  187,    0
 22472,121102,20050319,  188,    0
 22472,121102,20050320,  149,    0
 22472,121102,20050321,  184,    0
 22472,121102,20050322,  171,    0
 22472,121102,20050323,  188,    0
 22472,121102,20050324,  172,    0
 22472,121102,20050325,  177,    0
 22472,121102,20050326,  184,    0
 22472,121102,20050327,  140,    0
 22472,121102,20050328,  174,    0
 22472,121102,20050329,  171,    0
 22472,121102,20050330,  132,    0
 22472,121102,20050331,  149,    0
 22472,121102,20050401,  172,    0
 22472,121102,20050402,  193,    0
 22472,121102,20050403,  204,    0
 22472,121102,20050404,  204,    0
 22472,121102,20050405,  148,    0
 22472,121102,20050406,  157,    0
 22472,121102,20050407,  138,    0
 22472,121102,20050408,  101,    0
 22472,121102,20050409,   92,    0
 22472,121102,20050410,  117,    0
 22472,121102,20050411,  159,    0
 22472,121102,20050412,  170,    0
 22472,121102,20050413,  173,    0
 22472,121102,20050414,  172,    0
 22472,121102,20050415,  141,    0
 22472,121102,20050416,  140,    0
