EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-01-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TX   : Maximum temperature in 0.1 &#176;C
30-34 Q_TX : quality code for TX (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FOUHREN, LUXEMBOURG (STAID: 22473)
Blended and updated with sources:121112 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TX, Q_TX
 22473,121112,20090801,-9999,    9
 22473,121112,20090802,-9999,    9
 22473,121112,20090803,-9999,    9
 22473,121112,20090804,-9999,    9
 22473,121112,20090805,-9999,    9
 22473,121112,20090806,-9999,    9
 22473,121112,20090807,-9999,    9
 22473,121112,20090808,-9999,    9
 22473,121112,20090809,-9999,    9
 22473,121112,20090810,-9999,    9
 22473,121112,20090811,-9999,    9
 22473,121112,20090812,-9999,    9
 22473,121112,20090813,-9999,    9
 22473,121112,20090814,-9999,    9
 22473,121112,20090815,-9999,    9
 22473,121112,20090816,-9999,    9
 22473,121112,20090817,-9999,    9
 22473,121112,20090818,  256,    0
 22473,121112,20090819,  303,    0
 22473,121112,20090820,  331,    0
 22473,121112,20090821,  222,    0
 22473,121112,20090822,  239,    0
 22473,121112,20090823,  246,    0
 22473,121112,20090824,  286,    0
 22473,121112,20090825,  222,    0
 22473,121112,20090826,  250,    0
 22473,121112,20090827,  270,    0
 22473,121112,20090828,  213,    0
 22473,121112,20090829,  196,    0
 22473,121112,20090830,  215,    0
 22473,121112,20090831,  260,    0
 22473,121112,20090901,  240,    0
 22473,121112,20090902,  189,    0
 22473,121112,20090903,  187,    0
 22473,121112,20090904,  155,    0
 22473,121112,20090905,  168,    0
 22473,121112,20090906,  171,    0
 22473,121112,20090907,  232,    0
 22473,121112,20090908,  269,    0
 22473,121112,20090909,  270,    0
 22473,121112,20090910,  170,    0
 22473,121112,20090911,  192,    0
 22473,121112,20090912,  193,    0
 22473,121112,20090913,  156,    0
 22473,121112,20090914,  148,    0
 22473,121112,20090915,  174,    0
 22473,121112,20090916,  179,    0
 22473,121112,20090917,  197,    0
 22473,121112,20090918,  220,    0
 22473,121112,20090919,  240,    0
 22473,121112,20090920,  243,    0
 22473,121112,20090921,  232,    0
 22473,121112,20090922,  231,    0
 22473,121112,20090923,  232,    0
 22473,121112,20090924,  203,    0
 22473,121112,20090925,  197,    0
 22473,121112,20090926,  207,    0
 22473,121112,20090927,  221,    0
 22473,121112,20090928,  206,    0
 22473,121112,20090929,  182,    0
 22473,121112,20090930,  182,    0
 22473,121112,20091001,  167,    0
 22473,121112,20091002,  144,    0
 22473,121112,20091003,  136,    0
 22473,121112,20091004,  139,    0
 22473,121112,20091005,  127,    0
 22473,121112,20091006,  170,    0
 22473,121112,20091007,  212,    0
 22473,121112,20091008,  171,    0
 22473,121112,20091009,  148,    0
 22473,121112,20091010,  174,    0
 22473,121112,20091011,  126,    0
 22473,121112,20091012,  137,    0
 22473,121112,20091013,  134,    0
 22473,121112,20091014,   86,    0
 22473,121112,20091015,   98,    0
 22473,121112,20091016,  118,    0
 22473,121112,20091017,  106,    0
 22473,121112,20091018,  101,    0
 22473,121112,20091019,  100,    0
 22473,121112,20091020,  128,    0
 22473,121112,20091021,  180,    0
 22473,121112,20091022,  106,    0
 22473,121112,20091023,  108,    0
 22473,121112,20091024,  111,    0
 22473,121112,20091025,  142,    0
 22473,121112,20091026,  139,    0
 22473,121112,20091027,  151,    0
 22473,121112,20091028,  138,    0
 22473,121112,20091029,  110,    0
 22473,121112,20091030,  124,    0
 22473,121112,20091031,  124,    0
 22473,121112,20091101,  124,    0
 22473,121112,20091102,  123,    0
 22473,121112,20091103,   99,    0
 22473,121112,20091104,   99,    0
 22473,121112,20091105,   77,    0
 22473,121112,20091106,   76,    0
 22473,121112,20091107,   89,    0
 22473,121112,20091108,   90,    0
 22473,121112,20091109,   66,    0
 22473,121112,20091110,   68,    0
 22473,121112,20091111,   51,    0
 22473,121112,20091112,   79,    0
 22473,121112,20091113,  142,    0
 22473,121112,20091114,  138,    0
 22473,121112,20091115,  120,    0
 22473,121112,20091116,  130,    0
 22473,121112,20091117,  112,    0
 22473,121112,20091118,   95,    0
 22473,121112,20091119,  110,    0
 22473,121112,20091120,  135,    0
 22473,121112,20091121,  128,    0
 22473,121112,20091122,  112,    0
 22473,121112,20091123,  105,    0
 22473,121112,20091124,  112,    0
 22473,121112,20091125,  109,    0
 22473,121112,20091126,   85,    0
 22473,121112,20091127,   81,    0
 22473,121112,20091128,   84,    0
 22473,121112,20091129,  102,    0
 22473,121112,20091130,   59,    0
 22473,121112,20091201,   49,    0
 22473,121112,20091202,   55,    0
 22473,121112,20091203,   87,    0
 22473,121112,20091204,   39,    0
 22473,121112,20091205,   80,    0
 22473,121112,20091206,   95,    0
 22473,121112,20091207,   86,    0
 22473,121112,20091208,   84,    0
 22473,121112,20091209,   66,    0
 22473,121112,20091210,   99,    0
 22473,121112,20091211,   68,    0
 22473,121112,20091212,   33,    0
 22473,121112,20091213,   17,    0
 22473,121112,20091214,  -24,    1
 22473,121112,20091215,  -11,    1
