EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-01-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TX   : Maximum temperature in 0.1 &#176;C
30-34 Q_TX : quality code for TX (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GODBRANGE, LUXEMBOURG (STAID: 22474)
Blended and updated with sources:121122 121302 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TX, Q_TX
 22474,121122,20040701,-9999,    9
 22474,121122,20040702,-9999,    9
 22474,121122,20040703,  185,    0
 22474,121122,20040704,  177,    0
 22474,121122,20040705,  231,    0
 22474,121122,20040706,  229,    0
 22474,121122,20040707,  227,    0
 22474,121122,20040708,  202,    0
 22474,121122,20040709,  135,    0
 22474,121122,20040710,  190,    0
 22474,121122,20040711,  173,    0
 22474,121122,20040712,  176,    0
 22474,121122,20040713,  174,    0
 22474,121122,20040714,  220,    0
 22474,121122,20040715,  217,    0
 22474,121122,20040716,  253,    0
 22474,121122,20040717,  292,    0
 22474,121122,20040718,  223,    0
 22474,121122,20040719,  251,    0
 22474,121122,20040720,  246,    0
 22474,121122,20040721,  273,    0
 22474,121122,20040722,  277,    0
 22474,121122,20040723,  301,    0
 22474,121122,20040724,  245,    0
 22474,121122,20040725,  231,    0
 22474,121122,20040726,  214,    0
 22474,121122,20040727,  236,    0
 22474,121122,20040728,  240,    0
 22474,121122,20040729,-9999,    9
 22474,121122,20040730,-9999,    9
 22474,121122,20040731,-9999,    9
 22474,121122,20040801,-9999,    9
 22474,121122,20040802,-9999,    9
 22474,121122,20040803,-9999,    9
 22474,121122,20040804,-9999,    9
 22474,121122,20040805,-9999,    9
 22474,121122,20040806,-9999,    9
 22474,121122,20040807,-9999,    9
 22474,121122,20040808,-9999,    9
 22474,121122,20040809,-9999,    9
 22474,121122,20040810,-9999,    9
 22474,121122,20040811,-9999,    9
 22474,121122,20040812,-9999,    9
 22474,121122,20040813,-9999,    9
 22474,121122,20040814,-9999,    9
 22474,121122,20040815,-9999,    9
 22474,121122,20040816,-9999,    9
 22474,121122,20040817,-9999,    9
 22474,121122,20040818,-9999,    9
 22474,121122,20040819,-9999,    9
 22474,121122,20040820,-9999,    9
 22474,121122,20040821,-9999,    9
 22474,121122,20040822,-9999,    9
 22474,121122,20040823,-9999,    9
 22474,121122,20040824,-9999,    9
 22474,121122,20040825,-9999,    9
 22474,121122,20040826,-9999,    9
 22474,121122,20040827,-9999,    9
 22474,121122,20040828,-9999,    9
 22474,121122,20040829,-9999,    9
 22474,121122,20040830,-9999,    9
 22474,121122,20040831,-9999,    9
 22474,121122,20040901,-9999,    9
 22474,121122,20040902,-9999,    9
 22474,121122,20040903,-9999,    9
 22474,121122,20040904,-9999,    9
 22474,121122,20040905,-9999,    9
 22474,121122,20040906,-9999,    9
 22474,121122,20040907,-9999,    9
 22474,121122,20040908,-9999,    9
 22474,121122,20040909,-9999,    9
 22474,121122,20040910,-9999,    9
 22474,121122,20040911,-9999,    9
 22474,121122,20040912,-9999,    9
 22474,121122,20040913,-9999,    9
 22474,121122,20040914,-9999,    9
 22474,121122,20040915,-9999,    9
 22474,121122,20040916,-9999,    9
 22474,121122,20040917,-9999,    9
 22474,121122,20040918,-9999,    9
 22474,121122,20040919,-9999,    9
 22474,121122,20040920,-9999,    9
 22474,121122,20040921,-9999,    9
 22474,121122,20040922,-9999,    9
 22474,121122,20040923,-9999,    9
 22474,121122,20040924,-9999,    9
 22474,121122,20040925,-9999,    9
 22474,121122,20040926,-9999,    9
 22474,121122,20040927,-9999,    9
 22474,121122,20040928,-9999,    9
 22474,121122,20040929,  185,    0
 22474,121122,20040930,  156,    0
 22474,121122,20041001,  179,    0
 22474,121122,20041002,-9999,    9
 22474,121122,20041003,-9999,    9
 22474,121122,20041004,-9999,    9
 22474,121122,20041005,-9999,    9
 22474,121122,20041006,-9999,    9
 22474,121122,20041007,-9999,    9
 22474,121122,20041008,-9999,    9
 22474,121122,20041009,-9999,    9
 22474,121122,20041010,-9999,    9
 22474,121122,20041011,-9999,    9
 22474,121122,20041012,-9999,    9
 22474,121122,20041013,-9999,    9
 22474,121122,20041014,-9999,    9
 22474,121122,20041015,-9999,    9
 22474,121122,20041016,-9999,    9
 22474,121122,20041017,-9999,    9
 22474,121122,20041018,-9999,    9
 22474,121122,20041019,-9999,    9
 22474,121122,20041020,-9999,    9
 22474,121122,20041021,  160,    0
 22474,121122,20041022,-9999,    9
 22474,121122,20041023,-9999,    9
 22474,121122,20041024,-9999,    9
 22474,121122,20041025,-9999,    9
 22474,121122,20041026,-9999,    9
 22474,121122,20041027,-9999,    9
 22474,121122,20041028,-9999,    9
 22474,121122,20041029,-9999,    9
 22474,121122,20041030,-9999,    9
 22474,121122,20041031,-9999,    9
 22474,121122,20041101,-9999,    9
 22474,121122,20041102,-9999,    9
 22474,121122,20041103,-9999,    9
 22474,121122,20041104,-9999,    9
 22474,121122,20041105,  103,    0
 22474,121122,20041106,   71,    0
 22474,121122,20041107,   84,    0
 22474,121122,20041108,-9999,    9
 22474,121122,20041109,   43,    0
 22474,121122,20041110,   21,    0
 22474,121122,20041111,   29,    0
 22474,121122,20041112,   39,    0
 22474,121122,20041113,   67,    0
 22474,121122,20041114,   57,    0
 22474,121122,20041115,   27,    0
 22474,121122,20041116,   60,    0
 22474,121122,20041117,   91,    0
 22474,121122,20041118,   76,    0
 22474,121122,20041119,   79,    0
 22474,121122,20041120,   35,    0
 22474,121122,20041121,   50,    0
 22474,121122,20041122,   96,    0
 22474,121122,20041123,  105,    0
 22474,121122,20041124,   32,    0
 22474,121122,20041125,   39,    0
 22474,121122,20041126,   49,    0
 22474,121122,20041127,-9999,    9
 22474,121122,20041128,   67,    0
 22474,121122,20041129,   69,    0
 22474,121122,20041130,   56,    0
 22474,121122,20041201,   38,    0
 22474,121122,20041202,   51,    0
 22474,121122,20041203,   37,    0
 22474,121122,20041204,    7,    0
 22474,121122,20041205,   11,    0
 22474,121122,20041206,   44,    0
 22474,121122,20041207,   24,    0
 22474,121122,20041208,   44,    0
 22474,121122,20041209,   43,    0
 22474,121122,20041210,   43,    0
 22474,121122,20041211,  -29,    1
 22474,121122,20041212,  -31,    1
 22474,121122,20041213,  -32,    1
 22474,121122,20041214,  -25,    1
 22474,121122,20041215,  -25,    1
 22474,121122,20041216,   44,    0
 22474,121122,20041217,   46,    0
 22474,121122,20041218,   35,    0
 22474,121122,20041219,   58,    0
 22474,121122,20041220,   -1,    1
 22474,121122,20041221,  -39,    1
 22474,121122,20041222,    5,    0
 22474,121122,20041223,   66,    0
 22474,121122,20041224,   82,    0
 22474,121122,20041225,   74,    0
 22474,121122,20041226,   40,    0
 22474,121122,20041227,   21,    0
 22474,121122,20041228,   10,    0
 22474,121122,20041229,   30,    0
 22474,121122,20041230,   27,    0
 22474,121122,20041231,   69,    0
 22474,121122,20050101,   90,    0
 22474,121122,20050102,   90,    0
 22474,121122,20050103,   46,    0
 22474,121122,20050104,   46,    0
 22474,121122,20050105,   67,    0
 22474,121122,20050106,   78,    0
 22474,121122,20050107,   87,    0
 22474,121122,20050108,   89,    0
 22474,121122,20050109,   79,    0
 22474,121122,20050110,  118,    0
 22474,121122,20050111,   81,    0
 22474,121122,20050112,   81,    0
 22474,121122,20050113,   57,    0
 22474,121122,20050114,   -3,    1
 22474,121122,20050115,   12,    0
 22474,121122,20050116,    6,    0
 22474,121122,20050117,   36,    0
 22474,121122,20050118,   57,    0
 22474,121122,20050119,   46,    0
 22474,121122,20050120,-9999,    9
 22474,121122,20050121,   80,    0
 22474,121122,20050122,   53,    0
 22474,121122,20050123,   35,    0
 22474,121122,20050124,    3,    0
 22474,121122,20050125,   -3,    1
 22474,121122,20050126,  -14,    1
 22474,121122,20050127,  -18,    1
 22474,121122,20050128,   -1,    1
 22474,121122,20050129,  -12,    1
 22474,121122,20050130,   -7,    1
 22474,121122,20050131,   50,    0
 22474,121122,20050201,   52,    0
 22474,121122,20050202,   46,    0
 22474,121122,20050203,   52,    0
 22474,121122,20050204,   59,    0
 22474,121122,20050205,   24,    0
 22474,121122,20050206,   46,    0
 22474,121122,20050207,   11,    0
 22474,121122,20050208,   31,    0
 22474,121122,20050209,   79,    0
 22474,121122,20050210,   62,    0
 22474,121122,20050211,   80,    0
 22474,121122,20050212,  105,    0
 22474,121122,20050213,   32,    0
 22474,121122,20050214,   41,    0
 22474,121122,20050215,   13,    0
 22474,121122,20050216,   -3,    1
 22474,121122,20050217,   -4,    1
 22474,121122,20050218,    4,    0
 22474,121122,20050219,   29,    0
 22474,121122,20050220,   32,    0
 22474,121122,20050221,   32,    0
 22474,121122,20050222,   18,    0
 22474,121122,20050223,   -2,    1
 22474,121122,20050224,  -19,    1
 22474,121122,20050225,   16,    0
 22474,121122,20050226,   26,    0
 22474,121122,20050227,   16,    0
 22474,121122,20050228,  -25,    1
 22474,121122,20050301,  -26,    1
 22474,121122,20050302,    5,    0
 22474,121122,20050303,   26,    0
 22474,121122,20050304,   -2,    1
 22474,121122,20050305,    8,    0
 22474,121122,20050306,  -12,    1
 22474,121122,20050307,   33,    0
 22474,121122,20050308,   32,    0
 22474,121122,20050309,   40,    0
 22474,121122,20050310,   63,    0
 22474,121122,20050311,   43,    0
 22474,121122,20050312,   40,    0
 22474,121122,20050313,   60,    0
 22474,121122,20050314,   79,    0
 22474,121122,20050315,  127,    0
 22474,121122,20050316,  196,    0
 22474,121122,20050317,  163,    0
 22474,121122,20050318,  174,    0
 22474,121122,20050319,  175,    0
 22474,121122,20050320,  140,    0
 22474,121122,20050321,  170,    0
 22474,121122,20050322,  159,    0
 22474,121122,20050323,  174,    0
 22474,121122,20050324,  157,    0
 22474,121122,20050325,  169,    0
 22474,121122,20050326,  172,    0
 22474,121122,20050327,  126,    0
 22474,121122,20050328,  149,    0
 22474,121122,20050329,  168,    0
 22474,121122,20050330,  124,    0
 22474,121122,20050331,  129,    0
 22474,121122,20050401,  153,    0
 22474,121122,20050402,  172,    0
 22474,121122,20050403,  197,    0
 22474,121122,20050404,  187,    0
 22474,121122,20050405,  137,    0
 22474,121122,20050406,  143,    0
 22474,121122,20050407,-9999,    9
 22474,121122,20050408,   72,    0
 22474,121122,20050409,   69,    0
 22474,121122,20050410,  113,    0
 22474,121122,20050411,  140,    0
 22474,121122,20050412,  160,    0
 22474,121122,20050413,  159,    0
 22474,121122,20050414,  148,    0
 22474,121122,20050415,  124,    0
 22474,121122,20050416,  138,    0
 22474,121122,20050417,  171,    0
 22474,121122,20050418,  156,    0
 22474,121122,20050419,  112,    0
 22474,121122,20050420,  101,    0
 22474,121122,20050421,  126,    0
 22474,121122,20050422,  157,    0
 22474,121122,20050423,  134,    0
 22474,121122,20050424,  162,    0
 22474,121122,20050425,  118,    0
 22474,121122,20050426,  146,    0
 22474,121122,20050427,  157,    0
 22474,121122,20050428,  170,    0
 22474,121122,20050429,  229,    0
 22474,121122,20050430,  247,    0
 22474,121122,20050501,  262,    0
 22474,121122,20050502,  244,    0
 22474,121122,20050503,  206,    0
 22474,121122,20050504,  148,    0
 22474,121122,20050505,  154,    0
 22474,121122,20050506,  152,    0
 22474,121122,20050507,  129,    0
 22474,121122,20050508,  128,    0
 22474,121122,20050509,  138,    0
 22474,121122,20050510,  137,    0
 22474,121122,20050511,  129,    0
 22474,121122,20050512,  157,    0
 22474,121122,20050513,  140,    0
 22474,121122,20050514,  124,    0
 22474,121122,20050515,  161,    0
 22474,121122,20050516,  184,    0
 22474,121122,20050517,  116,    0
 22474,121122,20050518,  142,    0
 22474,121122,20050519,  178,    0
 22474,121122,20050520,  232,    0
 22474,121122,20050521,  170,    0
 22474,121122,20050522,  168,    0
 22474,121122,20050523,  180,    0
 22474,121122,20050524,  196,    0
 22474,121122,20050525,  251,    0
 22474,121122,20050526,  289,    0
 22474,121122,20050527,  303,    0
 22474,121122,20050528,  308,    0
 22474,121122,20050529,  281,    0
 22474,121122,20050530,  146,    0
 22474,121122,20050531,  179,    0
 22474,121122,20050601,  198,    0
 22474,121122,20050602,  225,    0
 22474,121122,20050603,  266,    0
 22474,121122,20050604,  181,    0
 22474,121122,20050605,  171,    0
 22474,121122,20050606,  172,    0
 22474,121122,20050607,  137,    0
 22474,121122,20050608,  173,    0
 22474,121122,20050609,  181,    0
 22474,121122,20050610,  201,    0
 22474,121122,20050611,  154,    0
 22474,121122,20050612,  179,    0
 22474,121122,20050613,  201,    0
 22474,121122,20050614,  201,    0
 22474,121122,20050615,  240,    0
 22474,121122,20050616,  239,    0
 22474,121122,20050617,  257,    0
 22474,121122,20050618,  273,    0
 22474,121122,20050619,  288,    0
 22474,121122,20050620,  317,    0
 22474,121122,20050621,  323,    0
 22474,121122,20050622,  278,    0
 22474,121122,20050623,  304,    0
 22474,121122,20050624,  323,    0
 22474,121122,20050625,  274,    0
 22474,121122,20050626,  259,    0
 22474,121122,20050627,  305,    0
 22474,121122,20050628,  317,    0
 22474,121122,20050629,  300,    0
 22474,121122,20050630,  244,    0
 22474,121122,20050701,  218,    0
 22474,121122,20050702,  198,    0
 22474,121122,20050703,  262,    0
 22474,121122,20050704,  235,    0
 22474,121122,20050705,  193,    0
 22474,121122,20050706,  185,    0
 22474,121122,20050707,  151,    0
 22474,121122,20050708,  168,    0
 22474,121122,20050709,  217,    0
 22474,121122,20050710,  250,    0
 22474,121122,20050711,  263,    0
 22474,121122,20050712,  271,    0
