EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-01-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TX   : Maximum temperature in 0.1 &#176;C
30-34 Q_TX : quality code for TX (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GREVENMACHER, LUXEMBOURG (STAID: 22475)
Blended and updated with sources:121132 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TX, Q_TX
 22475,121132,20040601,-9999,    9
 22475,121132,20040602,-9999,    9
 22475,121132,20040603,  218,    0
 22475,121132,20040604,  154,    0
 22475,121132,20040605,  183,    0
 22475,121132,20040606,  236,    0
 22475,121132,20040607,  283,    0
 22475,121132,20040608,  314,    0
 22475,121132,20040609,  322,    0
 22475,121132,20040610,  303,    0
 22475,121132,20040611,  240,    0
 22475,121132,20040612,  198,    0
 22475,121132,20040613,  194,    0
 22475,121132,20040614,  250,    0
 22475,121132,20040615,  278,    0
 22475,121132,20040616,  217,    0
 22475,121132,20040617,  259,    0
 22475,121132,20040618,  195,    0
 22475,121132,20040619,  176,    0
 22475,121132,20040620,  210,    0
 22475,121132,20040621,  201,    0
 22475,121132,20040622,  218,    0
 22475,121132,20040623,  226,    0
 22475,121132,20040624,  183,    0
 22475,121132,20040625,  199,    0
 22475,121132,20040626,  238,    0
 22475,121132,20040627,  280,    0
 22475,121132,20040628,  242,    0
 22475,121132,20040629,  247,    0
 22475,121132,20040630,  267,    0
 22475,121132,20040701,  211,    0
 22475,121132,20040702,  203,    0
