EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-01-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TX   : Maximum temperature in 0.1 &#176;C
30-34 Q_TX : quality code for TX (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HOSINGEN, LUXEMBOURG (STAID: 22476)
Blended and updated with sources:121142 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TX, Q_TX
 22476,121142,20121101,-9999,    9
 22476,121142,20121102,-9999,    9
 22476,121142,20121103,-9999,    9
 22476,121142,20121104,-9999,    9
 22476,121142,20121105,-9999,    9
 22476,121142,20121106,-9999,    9
 22476,121142,20121107,-9999,    9
 22476,121142,20121108,   55,    0
 22476,121142,20121109,   72,    0
 22476,121142,20121110,   92,    0
 22476,121142,20121111,   78,    0
 22476,121142,20121112,   69,    0
 22476,121142,20121113,   54,    0
 22476,121142,20121114,-9999,    9
 22476,121142,20121115,-9999,    9
 22476,121142,20121116,-9999,    9
 22476,121142,20121117,-9999,    9
 22476,121142,20121118,-9999,    9
 22476,121142,20121119,   73,    0
 22476,121142,20121120,   45,    0
 22476,121142,20121121,   58,    0
 22476,121142,20121122,   47,    0
 22476,121142,20121123,   63,    0
 22476,121142,20121124,   85,    0
 22476,121142,20121125,  108,    0
 22476,121142,20121126,   73,    0
 22476,121142,20121127,   58,    0
 22476,121142,20121128,   41,    0
 22476,121142,20121129,   25,    0
 22476,121142,20121130,   27,    0
 22476,121142,20121201,   -9,    0
 22476,121142,20121202,   -4,    0
 22476,121142,20121203,   20,    0
 22476,121142,20121204,   14,    0
 22476,121142,20121205,    1,    0
 22476,121142,20121206,  -16,    0
 22476,121142,20121207,  -21,    0
 22476,121142,20121208,  -23,    0
 22476,121142,20121209,   12,    0
 22476,121142,20121210,    8,    0
 22476,121142,20121211,  -17,    0
 22476,121142,20121212,  -16,    0
 22476,121142,20121213,   -6,    0
 22476,121142,20121214,   62,    0
 22476,121142,20121215,   60,    0
 22476,121142,20121216,   49,    0
 22476,121142,20121217,   45,    0
 22476,121142,20121218,   35,    0
 22476,121142,20121219,   28,    0
 22476,121142,20121220,   10,    0
 22476,121142,20121221,   53,    0
 22476,121142,20121222,   91,    0
 22476,121142,20121223,   97,    0
 22476,121142,20121224,   95,    0
 22476,121142,20121225,   84,    0
 22476,121142,20121226,   55,    0
 22476,121142,20121227,   59,    0
 22476,121142,20121228,   56,    0
 22476,121142,20121229,   82,    0
 22476,121142,20121230,   59,    0
 22476,121142,20121231,   59,    0
 22476,121142,20130101,   47,    0
 22476,121142,20130102,   26,    0
 22476,121142,20130103,   70,    0
 22476,121142,20130104,   73,    0
 22476,121142,20130105,   52,    0
 22476,121142,20130106,   59,    0
 22476,121142,20130107,   53,    0
 22476,121142,20130108,   32,    0
 22476,121142,20130109,   15,    0
 22476,121142,20130110,   29,    0
 22476,121142,20130111,    2,    0
 22476,121142,20130112,  -27,    0
 22476,121142,20130113,  -25,    0
 22476,121142,20130114,  -44,    0
 22476,121142,20130115,  -28,    0
 22476,121142,20130116,  -59,    0
 22476,121142,20130117,  -42,    0
 22476,121142,20130118,  -38,    0
 22476,121142,20130119,  -47,    0
 22476,121142,20130120,  -31,    0
 22476,121142,20130121,  -24,    0
 22476,121142,20130122,  -16,    0
 22476,121142,20130123,  -23,    0
 22476,121142,20130124,  -37,    0
 22476,121142,20130125,  -53,    0
 22476,121142,20130126,  -30,    0
 22476,121142,20130127,    7,    0
 22476,121142,20130128,   21,    0
 22476,121142,20130129,   77,    0
 22476,121142,20130130,   94,    0
 22476,121142,20130131,   56,    0
 22476,121142,20130201,   44,    0
 22476,121142,20130202,   14,    0
 22476,121142,20130203,    3,    0
 22476,121142,20130204,   64,    0
 22476,121142,20130205,   25,    0
 22476,121142,20130206,   -2,    0
 22476,121142,20130207,   -1,    0
 22476,121142,20130208,   -7,    0
 22476,121142,20130209,    0,    0
 22476,121142,20130210,  -36,    0
 22476,121142,20130211,  -27,    0
 22476,121142,20130212,  -41,    0
 22476,121142,20130213,    5,    0
 22476,121142,20130214,  -33,    0
 22476,121142,20130215,   20,    0
 22476,121142,20130216,   34,    0
 22476,121142,20130217,   53,    0
 22476,121142,20130218,   48,    0
 22476,121142,20130219,   19,    0
 22476,121142,20130220,    1,    0
 22476,121142,20130221,  -23,    0
 22476,121142,20130222,  -42,    0
 22476,121142,20130223,  -46,    0
 22476,121142,20130224,  -14,    0
 22476,121142,20130225,   -1,    0
 22476,121142,20130226,   21,    0
 22476,121142,20130227,    5,    0
 22476,121142,20130228,   10,    0
 22476,121142,20130301,    9,    0
 22476,121142,20130302,   22,    0
 22476,121142,20130303,   27,    0
 22476,121142,20130304,   99,    0
 22476,121142,20130305,  137,    0
 22476,121142,20130306,  153,    0
 22476,121142,20130307,  118,    0
 22476,121142,20130308,  119,    0
 22476,121142,20130309,  110,    0
 22476,121142,20130310,   40,    0
 22476,121142,20130311,  -26,    0
 22476,121142,20130312,  -45,    0
 22476,121142,20130313,   -3,    0
 22476,121142,20130314,    2,    0
 22476,121142,20130315,   21,    0
 22476,121142,20130316,   35,    0
 22476,121142,20130317,   34,    0
 22476,121142,20130318,   75,    0
 22476,121142,20130319,   40,    0
 22476,121142,20130320,   42,    0
 22476,121142,20130321,    6,    0
 22476,121142,20130322,   53,    0
 22476,121142,20130323,   -5,    0
 22476,121142,20130324,  -13,    0
 22476,121142,20130325,   15,    0
 22476,121142,20130326,    7,    0
 22476,121142,20130327,   24,    0
 22476,121142,20130328,   12,    0
 22476,121142,20130329,   -5,    0
 22476,121142,20130330,   14,    0
 22476,121142,20130331,   11,    0
 22476,121142,20130401,   40,    0
 22476,121142,20130402,   56,    0
 22476,121142,20130403,   26,    0
 22476,121142,20130404,   70,    0
 22476,121142,20130405,   10,    0
 22476,121142,20130406,   27,    0
 22476,121142,20130407,   85,    0
 22476,121142,20130408,   63,    0
 22476,121142,20130409,   66,    0
 22476,121142,20130410,   70,    0
 22476,121142,20130411,  122,    0
 22476,121142,20130412,   97,    0
 22476,121142,20130413,  113,    0
 22476,121142,20130414,  210,    0
 22476,121142,20130415,  183,    0
 22476,121142,20130416,  168,    0
 22476,121142,20130417,  208,    0
 22476,121142,20130418,  150,    0
 22476,121142,20130419,  117,    0
 22476,121142,20130420,   98,    0
 22476,121142,20130421,   98,    0
 22476,121142,20130422,  150,    0
 22476,121142,20130423,  140,    0
 22476,121142,20130424,  200,    0
 22476,121142,20130425,  225,    0
 22476,121142,20130426,  144,    0
 22476,121142,20130427,   62,    0
 22476,121142,20130428,   60,    0
 22476,121142,20130429,  125,    0
 22476,121142,20130430,  100,    0
 22476,121142,20130501,  130,    0
 22476,121142,20130502,  193,    0
 22476,121142,20130503,  162,    0
 22476,121142,20130504,  184,    0
 22476,121142,20130505,  190,    0
 22476,121142,20130506,  215,    0
 22476,121142,20130507,  136,    0
 22476,121142,20130508,  177,    0
 22476,121142,20130509,  152,    0
 22476,121142,20130510,  121,    0
 22476,121142,20130511,  135,    0
 22476,121142,20130512,   95,    0
 22476,121142,20130513,  119,    0
 22476,121142,20130514,  127,    0
 22476,121142,20130515,  132,    0
 22476,121142,20130516,  124,    0
 22476,121142,20130517,   84,    0
 22476,121142,20130518,  168,    0
 22476,121142,20130519,  145,    0
 22476,121142,20130520,  103,    0
 22476,121142,20130521,  127,    0
 22476,121142,20130522,   79,    0
 22476,121142,20130523,   73,    0
 22476,121142,20130524,  101,    0
 22476,121142,20130525,  114,    0
 22476,121142,20130526,   85,    0
 22476,121142,20130527,  173,    0
 22476,121142,20130528,  204,    0
 22476,121142,20130529,   91,    0
 22476,121142,20130530,  125,    0
 22476,121142,20130531,  158,    0
 22476,121142,20130601,  132,    0
 22476,121142,20130602,  148,    0
 22476,121142,20130603,  137,    0
 22476,121142,20130604,  182,    0
 22476,121142,20130605,  221,    0
 22476,121142,20130606,  238,    0
 22476,121142,20130607,  250,    0
 22476,121142,20130608,  236,    0
 22476,121142,20130609,  141,    0
 22476,121142,20130610,  142,    0
 22476,121142,20130611,  195,    0
 22476,121142,20130612,  185,    0
 22476,121142,20130613,  213,    0
 22476,121142,20130614,  162,    0
 22476,121142,20130615,  174,    0
 22476,121142,20130616,  207,    0
 22476,121142,20130617,  279,    0
 22476,121142,20130618,  306,    0
 22476,121142,20130619,  290,    0
 22476,121142,20130620,  233,    0
 22476,121142,20130621,  160,    0
 22476,121142,20130622,  174,    0
 22476,121142,20130623,  136,    0
 22476,121142,20130624,  135,    0
 22476,121142,20130625,  149,    0
 22476,121142,20130626,  133,    0
 22476,121142,20130627,  140,    0
 22476,121142,20130628,  141,    0
 22476,121142,20130629,  152,    0
 22476,121142,20130630,  184,    0
 22476,121142,20130701,  227,    0
 22476,121142,20130702,  232,    0
 22476,121142,20130703,  176,    0
 22476,121142,20130704,  212,    0
 22476,121142,20130705,  216,    0
 22476,121142,20130706,  246,    0
 22476,121142,20130707,  250,    0
 22476,121142,20130708,  247,    0
 22476,121142,20130709,  253,    0
 22476,121142,20130710,  232,    0
 22476,121142,20130711,  191,    0
 22476,121142,20130712,  219,    0
 22476,121142,20130713,  203,    0
 22476,121142,20130714,  238,    0
 22476,121142,20130715,  245,    0
 22476,121142,20130716,  258,    0
 22476,121142,20130717,  251,    0
 22476,121142,20130718,  266,    0
 22476,121142,20130719,  264,    0
 22476,121142,20130720,  259,    0
 22476,121142,20130721,  295,    0
 22476,121142,20130722,  302,    0
 22476,121142,20130723,  288,    0
 22476,121142,20130724,  241,    0
 22476,121142,20130725,  266,    0
 22476,121142,20130726,  257,    0
 22476,121142,20130727,  290,    0
 22476,121142,20130728,  193,    0
 22476,121142,20130729,  212,    0
 22476,121142,20130730,  199,    0
 22476,121142,20130731,  223,    0
 22476,121142,20130801,  291,    0
 22476,121142,20130802,  313,    0
 22476,121142,20130803,  236,    0
 22476,121142,20130804,  251,    0
 22476,121142,20130805,  283,    0
 22476,121142,20130806,  228,    0
 22476,121142,20130807,  207,    0
 22476,121142,20130808,  188,    0
 22476,121142,20130809,  215,    0
 22476,121142,20130810,  199,    0
 22476,121142,20130811,  204,    0
 22476,121142,20130812,  189,    0
 22476,121142,20130813,  183,    0
 22476,121142,20130814,  199,    0
 22476,121142,20130815,  224,    0
 22476,121142,20130816,  258,    0
 22476,121142,20130817,  233,    0
 22476,121142,20130818,  200,    0
 22476,121142,20130819,  205,    0
 22476,121142,20130820,  187,    0
 22476,121142,20130821,  224,    0
 22476,121142,20130822,  235,    0
 22476,121142,20130823,  236,    0
 22476,121142,20130824,  186,    0
 22476,121142,20130825,  178,    0
 22476,121142,20130826,  158,    0
 22476,121142,20130827,  200,    0
 22476,121142,20130828,  219,    0
 22476,121142,20130829,  227,    0
 22476,121142,20130830,  226,    0
 22476,121142,20130831,  193,    0
 22476,121142,20130901,  156,    0
 22476,121142,20130902,  189,    0
 22476,121142,20130903,  247,    0
 22476,121142,20130904,  267,    0
 22476,121142,20130905,  281,    0
 22476,121142,20130906,  269,    0
 22476,121142,20130907,  174,    0
 22476,121142,20130908,  151,    0
 22476,121142,20130909,  157,    0
 22476,121142,20130910,  139,    0
 22476,121142,20130911,  157,    0
 22476,121142,20130912,  125,    0
 22476,121142,20130913,  162,    0
 22476,121142,20130914,  148,    0
 22476,121142,20130915,  157,    0
 22476,121142,20130916,  135,    0
 22476,121142,20130917,   98,    0
 22476,121142,20130918,  121,    0
 22476,121142,20130919,  133,    0
 22476,121142,20130920,  150,    0
 22476,121142,20130921,  164,    0
 22476,121142,20130922,  160,    0
 22476,121142,20130923,  189,    0
 22476,121142,20130924,  202,    0
 22476,121142,20130925,  185,    0
 22476,121142,20130926,  177,    0
 22476,121142,20130927,  173,    0
 22476,121142,20130928,  177,    0
 22476,121142,20130929,  150,    0
 22476,121142,20130930,  143,    0
 22476,121142,20131001,  151,    0
 22476,121142,20131002,  138,    0
 22476,121142,20131003,  147,    0
 22476,121142,20131004,  159,    0
 22476,121142,20131005,  145,    0
 22476,121142,20131006,  138,    0
 22476,121142,20131007,  151,    0
 22476,121142,20131008,  137,    0
 22476,121142,20131009,  136,    0
 22476,121142,20131010,   92,    0
 22476,121142,20131011,   58,    0
 22476,121142,20131012,   95,    0
 22476,121142,20131013,   68,    0
 22476,121142,20131014,  107,    0
 22476,121142,20131015,   99,    0
 22476,121142,20131016,  104,    0
 22476,121142,20131017,  109,    0
 22476,121142,20131018,  114,    0
 22476,121142,20131019,  159,    0
 22476,121142,20131020,  140,    0
 22476,121142,20131021,  159,    0
 22476,121142,20131022,  200,    0
 22476,121142,20131023,  158,    0
 22476,121142,20131024,  150,    0
 22476,121142,20131025,  160,    0
 22476,121142,20131026,  152,    0
 22476,121142,20131027,  141,    0
 22476,121142,20131028,  129,    0
 22476,121142,20131029,  108,    0
 22476,121142,20131030,  100,    0
 22476,121142,20131031,   90,    0
 22476,121142,20131101,   68,    0
 22476,121142,20131102,  124,    0
 22476,121142,20131103,   99,    0
 22476,121142,20131104,   94,    0
 22476,121142,20131105,   67,    0
 22476,121142,20131106,  109,    0
 22476,121142,20131107,  114,    0
 22476,121142,20131108,  100,    0
 22476,121142,20131109,   75,    0
 22476,121142,20131110,   51,    0
 22476,121142,20131111,   52,    0
 22476,121142,20131112,   52,    0
 22476,121142,20131113,   78,    0
 22476,121142,20131114,   26,    0
 22476,121142,20131115,   54,    0
 22476,121142,20131116,   21,    0
 22476,121142,20131117,   23,    0
 22476,121142,20131118,   27,    0
 22476,121142,20131119,   42,    0
 22476,121142,20131120,   38,    0
 22476,121142,20131121,    8,    0
 22476,121142,20131122,   10,    0
 22476,121142,20131123,   28,    0
 22476,121142,20131124,   43,    0
 22476,121142,20131125,   21,    0
 22476,121142,20131126,    5,    0
 22476,121142,20131127,   15,    0
 22476,121142,20131128,   42,    0
 22476,121142,20131129,   43,    0
 22476,121142,20131130,   41,    0
 22476,121142,20131201,   45,    0
 22476,121142,20131202,   53,    0
 22476,121142,20131203,   38,    0
 22476,121142,20131204,   29,    0
 22476,121142,20131205,   27,    0
 22476,121142,20131206,   10,    0
 22476,121142,20131207,   27,    0
 22476,121142,20131208,   43,    0
 22476,121142,20131209,   64,    0
 22476,121142,20131210,   93,    0
 22476,121142,20131211,   21,    0
 22476,121142,20131212,    7,    0
 22476,121142,20131213,   -7,    0
 22476,121142,20131214,   43,    0
 22476,121142,20131215,   70,    0
 22476,121142,20131216,   66,    0
 22476,121142,20131217,   74,    0
 22476,121142,20131218,   50,    0
 22476,121142,20131219,   64,    0
 22476,121142,20131220,   45,    0
 22476,121142,20131221,   24,    0
 22476,121142,20131222,   60,    0
 22476,121142,20131223,   71,    0
 22476,121142,20131224,   84,    0
 22476,121142,20131225,   77,    0
 22476,121142,20131226,   41,    0
 22476,121142,20131227,   72,    0
 22476,121142,20131228,   79,    0
 22476,121142,20131229,   34,    0
 22476,121142,20131230,   30,    0
 22476,121142,20131231,   42,    0
 22476,121142,20140101,   53,    0
 22476,121142,20140102,   64,    0
 22476,121142,20140103,   84,    0
 22476,121142,20140104,   60,    0
 22476,121142,20140105,   43,    0
 22476,121142,20140106,   80,    0
 22476,121142,20140107,  104,    0
 22476,121142,20140108,   92,    0
 22476,121142,20140109,   75,    0
 22476,121142,20140110,   45,    0
 22476,121142,20140111,   67,    0
 22476,121142,20140112,    5,    0
 22476,121142,20140113,   48,    0
 22476,121142,20140114,   39,    0
 22476,121142,20140115,   25,    0
 22476,121142,20140116,   44,    0
 22476,121142,20140117,   64,    0
 22476,121142,20140118,   64,    0
 22476,121142,20140119,   37,    0
 22476,121142,20140120,   42,    0
 22476,121142,20140121,   32,    0
 22476,121142,20140122,   -2,    0
 22476,121142,20140123,   11,    0
 22476,121142,20140124,   15,    0
 22476,121142,20140125,   15,    0
 22476,121142,20140126,   36,    0
 22476,121142,20140127,   33,    0
 22476,121142,20140128,   15,    0
 22476,121142,20140129,    7,    0
 22476,121142,20140130,   22,    0
 22476,121142,20140131,   51,    0
 22476,121142,20140201,   34,    0
 22476,121142,20140202,   36,    0
 22476,121142,20140203,   18,    0
 22476,121142,20140204,   56,    0
 22476,121142,20140205,   37,    0
 22476,121142,20140206,   60,    0
 22476,121142,20140207,   85,    0
 22476,121142,20140208,   37,    0
 22476,121142,20140209,   37,    0
 22476,121142,20140210,   24,    0
 22476,121142,20140211,   48,    0
 22476,121142,20140212,   44,    0
 22476,121142,20140213,   32,    0
 22476,121142,20140214,   54,    0
 22476,121142,20140215,   81,    0
 22476,121142,20140216,   60,    0
 22476,121142,20140217,   66,    0
 22476,121142,20140218,   47,    0
 22476,121142,20140219,   56,    0
 22476,121142,20140220,   64,    0
 22476,121142,20140221,   64,    0
 22476,121142,20140222,   25,    0
 22476,121142,20140223,   59,    0
 22476,121142,20140224,  113,    0
 22476,121142,20140225,   70,    0
 22476,121142,20140226,   78,    0
 22476,121142,20140227,   50,    0
 22476,121142,20140228,   40,    0
 22476,121142,20140301,   37,    0
 22476,121142,20140302,   55,    0
 22476,121142,20140303,   62,    0
 22476,121142,20140304,   87,    0
 22476,121142,20140305,   84,    0
 22476,121142,20140306,  110,    0
 22476,121142,20140307,  119,    0
 22476,121142,20140308,  141,    0
 22476,121142,20140309,  186,    0
 22476,121142,20140310,  178,    0
 22476,121142,20140311,  167,    0
 22476,121142,20140312,  165,    0
 22476,121142,20140313,  184,    0
 22476,121142,20140314,  169,    0
 22476,121142,20140315,   68,    0
 22476,121142,20140316,  119,    0
 22476,121142,20140317,  133,    0
 22476,121142,20140318,   87,    0
 22476,121142,20140319,  130,    0
 22476,121142,20140320,  176,    0
 22476,121142,20140321,  111,    0
 22476,121142,20140322,   99,    0
 22476,121142,20140323,   65,    0
 22476,121142,20140324,   57,    0
 22476,121142,20140325,   89,    0
 22476,121142,20140326,   70,    0
 22476,121142,20140327,  119,    0
 22476,121142,20140328,  160,    0
 22476,121142,20140329,  171,    0
 22476,121142,20140330,  181,    0
 22476,121142,20140331,  202,    0
 22476,121142,20140401,  184,    0
 22476,121142,20140402,  188,    0
 22476,121142,20140403,  203,    0
 22476,121142,20140404,  163,    0
 22476,121142,20140405,  144,    0
 22476,121142,20140406,  142,    0
 22476,121142,20140407,  192,    0
