EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-01-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TX   : Maximum temperature in 0.1 &#176;C
30-34 Q_TX : quality code for TX (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station OBERCORN, LUXEMBOURG (STAID: 22479)
Blended and updated with sources:121182 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TX, Q_TX
 22479,121182,20000701,  275,    0
 22479,121182,20000702,  285,    0
 22479,121182,20000703,  249,    0
 22479,121182,20000704,  159,    0
 22479,121182,20000705,  199,    0
 22479,121182,20000706,  257,    0
 22479,121182,20000707,  193,    0
 22479,121182,20000708,  171,    0
 22479,121182,20000709,  135,    0
 22479,121182,20000710,  173,    0
 22479,121182,20000711,  131,    0
 22479,121182,20000712,  159,    0
 22479,121182,20000713,  136,    0
 22479,121182,20000714,  167,    0
 22479,121182,20000715,  167,    0
 22479,121182,20000716,  170,    0
 22479,121182,20000717,  204,    0
 22479,121182,20000718,  215,    0
 22479,121182,20000719,  195,    0
 22479,121182,20000720,  244,    0
 22479,121182,20000721,  246,    0
 22479,121182,20000722,  235,    0
 22479,121182,20000723,  254,    0
 22479,121182,20000724,  222,    0
 22479,121182,20000725,  210,    0
 22479,121182,20000726,  186,    0
 22479,121182,20000727,  204,    0
 22479,121182,20000728,  207,    0
 22479,121182,20000729,  207,    0
 22479,121182,20000730,  228,    0
 22479,121182,20000731,  269,    0
 22479,121182,20000801,  288,    0
 22479,121182,20000802,  216,    0
 22479,121182,20000803,  221,    0
 22479,121182,20000804,  225,    0
 22479,121182,20000805,  245,    0
 22479,121182,20000806,  238,    0
 22479,121182,20000807,  238,    0
 22479,121182,20000808,  227,    0
 22479,121182,20000809,  261,    0
 22479,121182,20000810,  247,    0
 22479,121182,20000811,  278,    0
 22479,121182,20000812,  292,    0
 22479,121182,20000813,  302,    0
 22479,121182,20000814,  280,    0
 22479,121182,20000815,  252,    0
 22479,121182,20000816,  261,    0
 22479,121182,20000817,  242,    0
 22479,121182,20000818,  280,    0
 22479,121182,20000819,  232,    0
 22479,121182,20000820,  211,    0
 22479,121182,20000821,  206,    0
 22479,121182,20000822,  240,    0
 22479,121182,20000823,  251,    0
 22479,121182,20000824,  283,    0
 22479,121182,20000825,  266,    0
 22479,121182,20000826,  291,    0
 22479,121182,20000827,  216,    0
 22479,121182,20000828,  215,    0
 22479,121182,20000829,  223,    0
 22479,121182,20000830,  221,    0
 22479,121182,20000831,  241,    0
 22479,121182,20000901,  179,    0
 22479,121182,20000902,  153,    0
 22479,121182,20000903,  178,    0
 22479,121182,20000904,  181,    0
 22479,121182,20000905,  185,    0
 22479,121182,20000906,  131,    0
 22479,121182,20000907,  172,    0
 22479,121182,20000908,  202,    0
 22479,121182,20000909,  201,    0
 22479,121182,20000910,  259,    0
 22479,121182,20000911,  277,    0
 22479,121182,20000912,  268,    0
 22479,121182,20000913,  190,    0
 22479,121182,20000914,  226,    0
 22479,121182,20000915,  233,    0
 22479,121182,20000916,  185,    0
 22479,121182,20000917,  141,    0
 22479,121182,20000918,  199,    0
 22479,121182,20000919,  225,    0
 22479,121182,20000920,  146,    0
 22479,121182,20000921,  179,    0
 22479,121182,20000922,  187,    0
 22479,121182,20000923,  192,    0
 22479,121182,20000924,-9999,    9
 22479,121182,20000925,  214,    0
 22479,121182,20000926,  240,    0
 22479,121182,20000927,  192,    0
 22479,121182,20000928,  177,    0
 22479,121182,20000929,  236,    0
 22479,121182,20000930,  130,    0
 22479,121182,20001001,  176,    0
 22479,121182,20001002,  136,    0
 22479,121182,20001003,  157,    0
 22479,121182,20001004,  183,    0
 22479,121182,20001005,  169,    0
 22479,121182,20001006,  125,    0
 22479,121182,20001007,  136,    0
 22479,121182,20001008,  101,    0
 22479,121182,20001009,  119,    0
 22479,121182,20001010,   91,    0
 22479,121182,20001011,  123,    0
 22479,121182,20001012,-9999,    9
 22479,121182,20001013,-9999,    9
 22479,121182,20001014,-9999,    9
 22479,121182,20001015,-9999,    9
 22479,121182,20001016,-9999,    9
 22479,121182,20001017,-9999,    9
 22479,121182,20001018,  112,    0
 22479,121182,20001019,  151,    0
 22479,121182,20001020,  157,    0
 22479,121182,20001021,  184,    0
 22479,121182,20001022,  213,    0
 22479,121182,20001023,  189,    0
 22479,121182,20001024,  127,    0
 22479,121182,20001025,  121,    0
 22479,121182,20001026,  111,    0
 22479,121182,20001027,  106,    0
 22479,121182,20001028,  141,    0
 22479,121182,20001029,  116,    0
 22479,121182,20001030,  113,    0
 22479,121182,20001031,   82,    0
 22479,121182,20001101,   90,    0
 22479,121182,20001102,  132,    0
 22479,121182,20001103,   76,    0
 22479,121182,20001104,   64,    0
 22479,121182,20001105,   89,    0
 22479,121182,20001106,   98,    0
 22479,121182,20001107,   73,    0
 22479,121182,20001108,   58,    0
 22479,121182,20001109,   80,    0
 22479,121182,20001110,   78,    0
 22479,121182,20001111,-9999,    9
 22479,121182,20001112,  103,    0
 22479,121182,20001113,   85,    0
 22479,121182,20001114,   70,    0
 22479,121182,20001115,   75,    0
 22479,121182,20001116,   95,    0
 22479,121182,20001117,   47,    0
 22479,121182,20001118,   44,    0
 22479,121182,20001119,   66,    0
 22479,121182,20001120,   53,    0
 22479,121182,20001121,   62,    0
 22479,121182,20001122,   83,    0
 22479,121182,20001123,   96,    0
 22479,121182,20001124,   58,    0
 22479,121182,20001125,   77,    0
 22479,121182,20001126,   61,    0
 22479,121182,20001127,   65,    0
 22479,121182,20001128,  116,    0
 22479,121182,20001129,-9999,    9
 22479,121182,20001130,  126,    0
 22479,121182,20001201,  121,    0
 22479,121182,20001202,  122,    0
 22479,121182,20001203,   87,    0
 22479,121182,20001204,   79,    0
 22479,121182,20001205,  117,    0
 22479,121182,20001206,   95,    0
 22479,121182,20001207,  109,    0
 22479,121182,20001208,  125,    0
