EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-01-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TX   : Maximum temperature in 0.1 &#176;C
30-34 Q_TX : quality code for TX (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station REMERCHEN, LUXEMBOURG (STAID: 22481)
Blended and updated with sources:27238 121202 121212 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TX, Q_TX
 22481, 27238,19510101,   30,    0
 22481, 27238,19510102,   35,    0
 22481, 27238,19510103,   26,    0
 22481, 27238,19510104,   26,    0
 22481, 27238,19510105,   76,    0
 22481, 27238,19510106,  105,    0
 22481, 27238,19510107,   72,    0
 22481, 27238,19510108,   62,    0
 22481, 27238,19510109,   74,    0
 22481, 27238,19510110,   76,    0
 22481, 27238,19510111,  100,    0
 22481, 27238,19510112,   98,    0
 22481, 27238,19510113,   50,    0
 22481, 27238,19510114,   70,    0
 22481, 27238,19510115,   92,    0
 22481, 27238,19510116,   60,    0
 22481, 27238,19510117,   70,    0
 22481, 27238,19510118,   87,    0
 22481, 27238,19510119,   55,    0
 22481, 27238,19510120,   95,    0
 22481, 27238,19510121,   85,    0
 22481, 27238,19510122,   72,    0
 22481, 27238,19510123,   72,    0
 22481, 27238,19510124,   70,    0
 22481, 27238,19510125,   55,    0
 22481, 27238,19510126,   45,    0
 22481, 27238,19510127,   43,    0
 22481, 27238,19510128,   48,    0
 22481, 27238,19510129,   45,    0
 22481, 27238,19510130,   30,    0
 22481, 27238,19510131,   28,    0
 22481, 27238,19510201,   50,    0
 22481, 27238,19510202,   44,    0
 22481, 27238,19510203,   47,    0
 22481, 27238,19510204,   85,    0
 22481, 27238,19510205,   72,    0
