EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-01-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TX   : Maximum temperature in 0.1 &#176;C
30-34 Q_TX : quality code for TX (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station REMICH, LUXEMBOURG (STAID: 22482)
Blended and updated with sources:121212 121262 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TX, Q_TX
 22482,121212,20030101,-9999,    9
 22482,121212,20030102,  141,    0
 22482,121212,20030103,   96,    0
 22482,121212,20030104,   69,    0
 22482,121212,20030105,    7,    0
 22482,121212,20030106,    5,    0
 22482,121212,20030107,  -31,    0
 22482,121212,20030108,  -48,    0
 22482,121212,20030109,  -26,    0
 22482,121212,20030110,  -31,    0
 22482,121212,20030111,    8,    0
 22482,121212,20030112,    4,    0
 22482,121212,20030113,   15,    0
 22482,121212,20030114,   27,    0
 22482,121212,20030115,   40,    0
 22482,121212,20030116,   47,    0
 22482,121212,20030117,   15,    0
 22482,121212,20030118,   29,    0
 22482,121212,20030119,   71,    0
 22482,121212,20030120,  104,    0
 22482,121212,20030121,   84,    0
 22482,121212,20030122,   82,    0
 22482,121212,20030123,   71,    0
 22482,121212,20030124,   57,    0
 22482,121212,20030125,   50,    0
 22482,121212,20030126,   35,    0
 22482,121212,20030127,   97,    0
 22482,121212,20030128,  104,    0
 22482,121212,20030129,   46,    0
 22482,121212,20030130,   21,    0
 22482,121212,20030131,   -9,    0
 22482,121212,20030201,   -7,    0
 22482,121212,20030202,   45,    0
 22482,121212,20030203,   55,    0
 22482,121212,20030204,   36,    0
 22482,121212,20030205,   46,    0
 22482,121212,20030206,   56,    0
 22482,121212,20030207,   15,    0
 22482,121212,20030208,   41,    0
 22482,121212,20030209,   50,    0
 22482,121212,20030210,   16,    0
 22482,121212,20030211,-9999,    9
 22482,121212,20030212,-9999,    9
 22482,121212,20030213,   39,    0
 22482,121212,20030214,-9999,    9
 22482,121212,20030215,   57,    0
 22482,121212,20030216,   37,    0
 22482,121212,20030217,   35,    0
 22482,121212,20030218,   59,    0
 22482,121212,20030219,   75,    0
 22482,121212,20030220,   85,    0
 22482,121212,20030221,   99,    0
 22482,121212,20030222,  102,    0
 22482,121212,20030223,  130,    0
 22482,121212,20030224,-9999,    9
 22482,121212,20030225,  151,    0
 22482,121212,20030226,  168,    0
 22482,121212,20030227,  162,    0
 22482,121212,20030228,  125,    0
 22482,121212,20030301,  105,    0
 22482,121212,20030302,  102,    0
 22482,121212,20030303,   99,    0
 22482,121212,20030304,  106,    0
 22482,121212,20030305,  137,    0
 22482,121212,20030306,  101,    0
 22482,121212,20030307,   98,    0
 22482,121212,20030308,  114,    0
 22482,121212,20030309,  160,    0
 22482,121212,20030310,  181,    0
 22482,121212,20030311,  174,    0
 22482,121212,20030312,  138,    0
 22482,121212,20030313,  124,    0
 22482,121212,20030314,  118,    0
 22482,121212,20030315,  113,    0
 22482,121212,20030316,  149,    0
 22482,121212,20030317,  175,    0
 22482,121212,20030318,-9999,    9
 22482,121212,20030319,  172,    0
 22482,121212,20030320,  149,    0
 22482,121212,20030321,  143,    0
 22482,121212,20030322,  166,    0
 22482,121212,20030323,  188,    0
 22482,121212,20030324,  214,    0
 22482,121212,20030325,  230,    0
 22482,121212,20030326,  214,    0
 22482,121212,20030327,  214,    0
 22482,121212,20030328,  209,    0
 22482,121212,20030329,  220,    0
 22482,121212,20030330,  221,    0
 22482,121212,20030331,  163,    0
 22482,121212,20030401,  182,    0
