EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-01-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TX   : Maximum temperature in 0.1 &#176;C
30-34 Q_TX : quality code for TX (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ROESER, LUXEMBOURG (STAID: 22484)
Blended and updated with sources:121232 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TX, Q_TX
 22484,121232,20050101,-9999,    9
 22484,121232,20050102,   99,    0
 22484,121232,20050103,   51,    0
 22484,121232,20050104,   59,    0
 22484,121232,20050105,   79,    0
 22484,121232,20050106,   92,    0
 22484,121232,20050107,   96,    0
 22484,121232,20050108,  104,    0
 22484,121232,20050109,   87,    0
 22484,121232,20050110,  124,    0
 22484,121232,20050111,   93,    0
 22484,121232,20050112,   93,    0
 22484,121232,20050113,   58,    0
 22484,121232,20050114,   22,    0
 22484,121232,20050115,   38,    0
 22484,121232,20050116,  -15,    1
 22484,121232,20050117,   48,    0
 22484,121232,20050118,   72,    0
 22484,121232,20050119,   52,    0
 22484,121232,20050120,   97,    0
 22484,121232,20050121,   89,    0
 22484,121232,20050122,   62,    0
 22484,121232,20050123,   51,    0
 22484,121232,20050124,   21,    0
 22484,121232,20050125,    9,    0
 22484,121232,20050126,   -1,    1
 22484,121232,20050127,   -8,    1
 22484,121232,20050128,    6,    0
 22484,121232,20050129,    2,    0
 22484,121232,20050130,   -1,    1
 22484,121232,20050131,   52,    0
 22484,121232,20050201,   64,    0
 22484,121232,20050202,   59,    0
 22484,121232,20050203,   66,    0
 22484,121232,20050204,   77,    0
 22484,121232,20050205,   47,    0
 22484,121232,20050206,   64,    0
 22484,121232,20050207,   13,    0
 22484,121232,20050208,   38,    0
 22484,121232,20050209,   31,    0
 22484,121232,20050210,   70,    0
 22484,121232,20050211,   88,    0
 22484,121232,20050212,  115,    0
 22484,121232,20050213,   46,    0
 22484,121232,20050214,   50,    0
 22484,121232,20050215,   30,    0
 22484,121232,20050216,   10,    0
 22484,121232,20050217,   16,    0
 22484,121232,20050218,    8,    0
 22484,121232,20050219,   66,    0
 22484,121232,20050220,   29,    0
 22484,121232,20050221,   33,    0
 22484,121232,20050222,   -7,    1
 22484,121232,20050223,   17,    0
 22484,121232,20050224,   -3,    1
 22484,121232,20050225,   33,    0
 22484,121232,20050226,   54,    0
 22484,121232,20050227,   -3,    1
 22484,121232,20050228,  -15,    1
 22484,121232,20050301,  -23,    1
 22484,121232,20050302,   21,    0
 22484,121232,20050303,   40,    0
 22484,121232,20050304,   19,    0
 22484,121232,20050305,   32,    0
 22484,121232,20050306,   10,    0
 22484,121232,20050307,   53,    0
 22484,121232,20050308,   38,    0
 22484,121232,20050309,   49,    0
 22484,121232,20050310,   75,    0
 22484,121232,20050311,   53,    0
 22484,121232,20050312,   54,    0
 22484,121232,20050313,   74,    0
 22484,121232,20050314,   92,    0
 22484,121232,20050315,  136,    0
 22484,121232,20050316,  204,    0
 22484,121232,20050317,  165,    0
 22484,121232,20050318,  166,    0
 22484,121232,20050319,  203,    0
 22484,121232,20050320,  154,    0
 22484,121232,20050321,  181,    0
 22484,121232,20050322,  167,    0
 22484,121232,20050323,  189,    0
 22484,121232,20050324,  163,    0
 22484,121232,20050325,  170,    0
 22484,121232,20050326,  174,    0
 22484,121232,20050327,  143,    0
 22484,121232,20050328,  162,    0
 22484,121232,20050329,  173,    0
 22484,121232,20050330,  136,    0
 22484,121232,20050331,  157,    0
 22484,121232,20050401,  173,    0
 22484,121232,20050402,  195,    0
 22484,121232,20050403,  209,    0
 22484,121232,20050404,  186,    0
 22484,121232,20050405,  149,    0
 22484,121232,20050406,  154,    0
 22484,121232,20050407,  128,    0
 22484,121232,20050408,   93,    0
 22484,121232,20050409,   86,    0
 22484,121232,20050410,  124,    0
 22484,121232,20050411,  157,    0
 22484,121232,20050412,-9999,    9
 22484,121232,20050413,-9999,    9
 22484,121232,20050414,  162,    0
 22484,121232,20050415,  127,    0
 22484,121232,20050416,  153,    0
 22484,121232,20050417,  176,    0
 22484,121232,20050418,  159,    0
 22484,121232,20050419,  134,    0
 22484,121232,20050420,  120,    0
 22484,121232,20050421,  143,    0
 22484,121232,20050422,  182,    0
 22484,121232,20050423,  154,    0
 22484,121232,20050424,  174,    0
 22484,121232,20050425,  118,    0
 22484,121232,20050426,  154,    0
 22484,121232,20050427,  162,    0
 22484,121232,20050428,  191,    0
 22484,121232,20050429,  240,    0
 22484,121232,20050430,  259,    0
 22484,121232,20050501,  283,    0
 22484,121232,20050502,  245,    0
 22484,121232,20050503,  204,    0
 22484,121232,20050504,  156,    0
 22484,121232,20050505,  167,    0
 22484,121232,20050506,  166,    0
 22484,121232,20050507,  138,    0
 22484,121232,20050508,  131,    0
 22484,121232,20050509,  148,    0
 22484,121232,20050510,  147,    0
 22484,121232,20050511,  147,    0
 22484,121232,20050512,  181,    0
 22484,121232,20050513,  176,    0
 22484,121232,20050514,  143,    0
 22484,121232,20050515,  176,    0
 22484,121232,20050516,  187,    0
 22484,121232,20050517,  136,    0
 22484,121232,20050518,  167,    0
 22484,121232,20050519,  196,    0
 22484,121232,20050520,  232,    0
 22484,121232,20050521,  172,    0
 22484,121232,20050522,  174,    0
 22484,121232,20050523,  179,    0
 22484,121232,20050524,  198,    0
 22484,121232,20050525,  270,    0
 22484,121232,20050526,  298,    0
 22484,121232,20050527,  322,    0
 22484,121232,20050528,  308,    0
 22484,121232,20050529,  311,    0
 22484,121232,20050530,  163,    0
 22484,121232,20050531,  189,    0
 22484,121232,20050601,  229,    0
 22484,121232,20050602,  234,    0
 22484,121232,20050603,  277,    0
 22484,121232,20050604,  182,    0
 22484,121232,20050605,  164,    0
 22484,121232,20050606,  178,    0
 22484,121232,20050607,  155,    0
 22484,121232,20050608,  184,    0
 22484,121232,20050609,  203,    0
 22484,121232,20050610,  215,    0
 22484,121232,20050611,  175,    0
 22484,121232,20050612,  201,    0
 22484,121232,20050613,  205,    0
 22484,121232,20050614,  218,    0
 22484,121232,20050615,  251,    0
 22484,121232,20050616,  247,    0
 22484,121232,20050617,  262,    0
 22484,121232,20050618,  297,    0
 22484,121232,20050619,  317,    0
 22484,121232,20050620,  342,    0
 22484,121232,20050621,  339,    0
 22484,121232,20050622,  313,    0
 22484,121232,20050623,  333,    0
 22484,121232,20050624,  337,    0
 22484,121232,20050625,  287,    0
 22484,121232,20050626,  297,    0
 22484,121232,20050627,  331,    0
 22484,121232,20050628,  344,    0
 22484,121232,20050629,  306,    0
 22484,121232,20050630,  249,    0
 22484,121232,20050701,  217,    0
 22484,121232,20050702,  211,    0
 22484,121232,20050703,  286,    0
 22484,121232,20050704,  247,    0
 22484,121232,20050705,  201,    0
 22484,121232,20050706,  190,    0
 22484,121232,20050707,  152,    0
 22484,121232,20050708,  181,    0
 22484,121232,20050709,  245,    0
 22484,121232,20050710,  273,    0
 22484,121232,20050711,  287,    0
 22484,121232,20050712,  287,    0
 22484,121232,20050713,  316,    0
 22484,121232,20050714,  335,    0
 22484,121232,20050715,  313,    0
 22484,121232,20050716,  294,    0
 22484,121232,20050717,  305,    0
 22484,121232,20050718,  303,    0
 22484,121232,20050719,  215,    0
 22484,121232,20050720,  205,    0
 22484,121232,20050721,  214,    0
 22484,121232,20050722,  226,    0
 22484,121232,20050723,  245,    0
 22484,121232,20050724,  207,    0
 22484,121232,20050725,  240,    0
 22484,121232,20050726,  249,    0
 22484,121232,20050727,  327,    0
 22484,121232,20050728,  331,    0
 22484,121232,20050729,  288,    0
 22484,121232,20050730,  236,    0
 22484,121232,20050731,  220,    0
 22484,121232,20050801,  229,    0
 22484,121232,20050802,  245,    0
 22484,121232,20050803,  247,    0
 22484,121232,20050804,  241,    0
 22484,121232,20050805,  209,    0
 22484,121232,20050806,  190,    0
 22484,121232,20050807,  195,    0
 22484,121232,20050808,  180,    0
 22484,121232,20050809,  225,    0
 22484,121232,20050810,  229,    0
 22484,121232,20050811,  231,    0
 22484,121232,20050812,  228,    0
 22484,121232,20050813,  225,    0
 22484,121232,20050814,  186,    0
 22484,121232,20050815,  173,    0
 22484,121232,20050816,  244,    0
 22484,121232,20050817,  267,    0
 22484,121232,20050818,  292,    0
 22484,121232,20050819,  217,    0
 22484,121232,20050820,  216,    0
 22484,121232,20050821,  225,    0
 22484,121232,20050822,  223,    0
 22484,121232,20050823,  225,    0
 22484,121232,20050824,  220,    0
 22484,121232,20050825,  176,    0
 22484,121232,20050826,  201,    0
 22484,121232,20050827,  217,    0
 22484,121232,20050828,  257,    0
 22484,121232,20050829,  295,    0
 22484,121232,20050830,  305,    0
 22484,121232,20050831,  320,    0
