EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-01-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TX   : Maximum temperature in 0.1 &#176;C
30-34 Q_TX : quality code for TX (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ROODT, LUXEMBOURG (STAID: 22485)
Blended and updated with sources:121242 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TX, Q_TX
 22485,121242,20100901,-9999,    9
 22485,121242,20100902,-9999,    9
 22485,121242,20100903,-9999,    9
 22485,121242,20100904,-9999,    9
 22485,121242,20100905,-9999,    9
 22485,121242,20100906,-9999,    9
 22485,121242,20100907,-9999,    9
 22485,121242,20100908,-9999,    9
 22485,121242,20100909,-9999,    9
 22485,121242,20100910,-9999,    9
 22485,121242,20100911,-9999,    9
 22485,121242,20100912,-9999,    9
 22485,121242,20100913,-9999,    9
 22485,121242,20100914,-9999,    9
 22485,121242,20100915,-9999,    9
 22485,121242,20100916,-9999,    9
 22485,121242,20100917,-9999,    9
 22485,121242,20100918,-9999,    9
 22485,121242,20100919,-9999,    9
 22485,121242,20100920,-9999,    9
 22485,121242,20100921,-9999,    9
 22485,121242,20100922,-9999,    9
 22485,121242,20100923,  237,    0
 22485,121242,20100924,  134,    0
 22485,121242,20100925,  131,    0
 22485,121242,20100926,   96,    0
 22485,121242,20100927,   98,    0
 22485,121242,20100928,   98,    0
 22485,121242,20100929,  131,    0
 22485,121242,20100930,  133,    0
 22485,121242,20101001,  146,    0
 22485,121242,20101002,  141,    0
 22485,121242,20101003,  219,    0
 22485,121242,20101004,  200,    0
 22485,121242,20101005,  168,    0
 22485,121242,20101006,  213,    0
 22485,121242,20101007,  207,    0
 22485,121242,20101008,  182,    0
 22485,121242,20101009,  192,    0
 22485,121242,20101010,  182,    0
 22485,121242,20101011,  189,    0
 22485,121242,20101012,  193,    0
 22485,121242,20101013,  146,    0
 22485,121242,20101014,  146,    0
 22485,121242,20101015,   93,    0
 22485,121242,20101016,   99,    0
 22485,121242,20101017,   75,    0
 22485,121242,20101018,   79,    0
 22485,121242,20101019,  106,    0
 22485,121242,20101020,   83,    0
 22485,121242,20101021,   82,    0
 22485,121242,20101022,   74,    0
 22485,121242,20101023,   60,    0
 22485,121242,20101024,  104,    0
 22485,121242,20101025,   92,    0
 22485,121242,20101026,  107,    0
 22485,121242,20101027,  102,    0
 22485,121242,20101028,   71,    0
 22485,121242,20101029,  130,    0
 22485,121242,20101030,  112,    0
 22485,121242,20101031,  151,    0
 22485,121242,20101101,  147,    0
 22485,121242,20101102,  114,    0
 22485,121242,20101103,  117,    0
 22485,121242,20101104,  143,    0
 22485,121242,20101105,  116,    0
 22485,121242,20101106,  105,    0
 22485,121242,20101107,   64,    0
 22485,121242,20101108,   40,    0
 22485,121242,20101109,   65,    0
 22485,121242,20101110,   64,    0
 22485,121242,20101111,  103,    0
 22485,121242,20101112,  118,    0
 22485,121242,20101113,  119,    0
 22485,121242,20101114,  131,    0
 22485,121242,20101115,   81,    0
 22485,121242,20101116,   68,    0
 22485,121242,20101117,   34,    0
 22485,121242,20101118,   38,    0
 22485,121242,20101119,   56,    0
 22485,121242,20101120,   57,    0
 22485,121242,20101121,   31,    0
 22485,121242,20101122,   27,    0
 22485,121242,20101123,   37,    0
 22485,121242,20101124,   34,    0
 22485,121242,20101125,   11,    0
 22485,121242,20101126,   17,    0
 22485,121242,20101127,    1,    0
 22485,121242,20101128,  -14,    0
 22485,121242,20101129,  -10,    0
 22485,121242,20101130,  -16,    0
 22485,121242,20101201,  -44,    0
 22485,121242,20101202,  -42,    0
 22485,121242,20101203,   -5,    0
 22485,121242,20101204,  -20,    0
 22485,121242,20101205,    8,    0
 22485,121242,20101206,   -3,    0
 22485,121242,20101207,    5,    0
 22485,121242,20101208,    7,    0
 22485,121242,20101209,    8,    0
 22485,121242,20101210,   11,    0
 22485,121242,20101211,   17,    0
 22485,121242,20101212,   25,    0
 22485,121242,20101213,  -20,    0
 22485,121242,20101214,  -26,    0
 22485,121242,20101215,   -8,    0
 22485,121242,20101216,   -6,    0
 22485,121242,20101217,  -24,    0
 22485,121242,20101218,  -38,    0
 22485,121242,20101219,   20,    0
 22485,121242,20101220,   -6,    0
 22485,121242,20101221,   20,    0
 22485,121242,20101222,   33,    0
 22485,121242,20101223,   18,    0
 22485,121242,20101224,  -15,    0
 22485,121242,20101225,  -62,    0
 22485,121242,20101226,  -21,    0
 22485,121242,20101227,  -30,    0
 22485,121242,20101228,  -12,    0
 22485,121242,20101229,    5,    0
 22485,121242,20101230,    6,    0
 22485,121242,20101231,    4,    0
 22485,121242,20110101,   10,    0
 22485,121242,20110102,    9,    0
 22485,121242,20110103,    7,    0
 22485,121242,20110104,  -24,    0
 22485,121242,20110105,    8,    0
 22485,121242,20110106,   77,    0
 22485,121242,20110107,   75,    1
 22485,121242,20110108,  103,    0
 22485,121242,20110109,   76,    0
 22485,121242,20110110,   -8,    1
 22485,121242,20110111,   35,    0
 22485,121242,20110112,   79,    0
 22485,121242,20110113,   94,    1
 22485,121242,20110114,   84,    1
 22485,121242,20110115,   59,    1
 22485,121242,20110116,   74,    0
 22485,121242,20110117,   51,    0
 22485,121242,20110118,   60,    1
 22485,121242,20110119,   13,    1
 22485,121242,20110120,   -4,    1
 22485,121242,20110121,  -23,    1
 22485,121242,20110122,  -14,    1
 22485,121242,20110123,    8,    1
 22485,121242,20110124,   20,    1
 22485,121242,20110125,   11,    1
 22485,121242,20110126,    5,    1
 22485,121242,20110127,   -9,    1
 22485,121242,20110128,  -29,    1
 22485,121242,20110129,    1,    0
 22485,121242,20110130,   15,    0
 22485,121242,20110131,   20,    0
 22485,121242,20110201,  -47,    0
 22485,121242,20110202,  -14,    0
