EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-01-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TX   : Maximum temperature in 0.1 &#176;C
30-34 Q_TX : quality code for TX (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SCHIMPACH, LUXEMBOURG (STAID: 22486)
Blended and updated with sources:121252 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TX, Q_TX
 22486,121252,20000701,  263,    0
 22486,121252,20000702,  274,    0
 22486,121252,20000703,  237,    0
 22486,121252,20000704,  181,    0
 22486,121252,20000705,  197,    0
 22486,121252,20000706,  232,    0
 22486,121252,20000707,  200,    0
 22486,121252,20000708,  153,    0
 22486,121252,20000709,  143,    0
 22486,121252,20000710,  169,    0
 22486,121252,20000711,  126,    0
 22486,121252,20000712,  160,    0
 22486,121252,20000713,  145,    0
 22486,121252,20000714,  151,    0
 22486,121252,20000715,  157,    0
 22486,121252,20000716,  170,    0
 22486,121252,20000717,  177,    0
 22486,121252,20000718,  205,    0
 22486,121252,20000719,  190,    0
 22486,121252,20000720,  231,    0
 22486,121252,20000721,  232,    0
 22486,121252,20000722,  231,    0
 22486,121252,20000723,  246,    0
 22486,121252,20000724,  224,    0
 22486,121252,20000725,  212,    0
 22486,121252,20000726,  187,    0
 22486,121252,20000727,  202,    0
 22486,121252,20000728,  222,    0
 22486,121252,20000729,  196,    0
 22486,121252,20000730,  222,    0
 22486,121252,20000731,  256,    0
 22486,121252,20000801,  277,    0
 22486,121252,20000802,  221,    0
 22486,121252,20000803,  220,    0
 22486,121252,20000804,  226,    0
 22486,121252,20000805,  231,    0
 22486,121252,20000806,  229,    0
 22486,121252,20000807,  236,    0
 22486,121252,20000808,  234,    0
 22486,121252,20000809,  258,    0
 22486,121252,20000810,  253,    0
 22486,121252,20000811,  268,    0
 22486,121252,20000812,  285,    0
 22486,121252,20000813,  299,    0
 22486,121252,20000814,  283,    0
 22486,121252,20000815,  247,    0
 22486,121252,20000816,  253,    0
 22486,121252,20000817,  242,    0
 22486,121252,20000818,  246,    0
 22486,121252,20000819,  241,    0
 22486,121252,20000820,  198,    0
 22486,121252,20000821,  203,    0
 22486,121252,20000822,  226,    0
 22486,121252,20000823,  247,    0
 22486,121252,20000824,  285,    0
 22486,121252,20000825,  272,    0
 22486,121252,20000826,  273,    0
 22486,121252,20000827,  225,    0
 22486,121252,20000828,  207,    0
 22486,121252,20000829,  217,    0
 22486,121252,20000830,  221,    0
 22486,121252,20000831,  239,    0
 22486,121252,20000901,  184,    0
 22486,121252,20000902,  178,    0
 22486,121252,20000903,  168,    0
 22486,121252,20000904,  155,    0
 22486,121252,20000905,  188,    0
 22486,121252,20000906,  139,    0
 22486,121252,20000907,  171,    0
 22486,121252,20000908,  206,    0
 22486,121252,20000909,  211,    0
 22486,121252,20000910,  265,    0
 22486,121252,20000911,  261,    0
 22486,121252,20000912,  257,    0
 22486,121252,20000913,  211,    0
 22486,121252,20000914,  222,    0
 22486,121252,20000915,  222,    0
 22486,121252,20000916,  176,    0
 22486,121252,20000917,  143,    0
 22486,121252,20000918,  188,    0
 22486,121252,20000919,  219,    0
 22486,121252,20000920,-9999,    9
 22486,121252,20000921,-9999,    9
 22486,121252,20000922,-9999,    9
 22486,121252,20000923,-9999,    9
 22486,121252,20000924,-9999,    9
 22486,121252,20000925,-9999,    9
 22486,121252,20000926,-9999,    9
 22486,121252,20000927,  196,    0
 22486,121252,20000928,  176,    0
 22486,121252,20000929,  230,    0
 22486,121252,20000930,  149,    0
 22486,121252,20001001,  156,    0
 22486,121252,20001002,  149,    0
 22486,121252,20001003,  143,    0
 22486,121252,20001004,  150,    0
 22486,121252,20001005,  153,    0
 22486,121252,20001006,  176,    0
 22486,121252,20001007,-9999,    9
 22486,121252,20001008,   95,    0
 22486,121252,20001009,  124,    0
 22486,121252,20001010,   97,    0
 22486,121252,20001011,  119,    0
