EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-01-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TX   : Maximum temperature in 0.1 &#176;C
30-34 Q_TX : quality code for TX (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station STEINSEL, LUXEMBOURG (STAID: 22488)
Blended and updated with sources:121272 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TX, Q_TX
 22488,121272,20060401,  163,    0
 22488,121272,20060402,  140,    0
 22488,121272,20060403,  112,    0
 22488,121272,20060404,  108,    0
 22488,121272,20060405,   99,    0
 22488,121272,20060406,-9999,    9
 22488,121272,20060407,  145,    0
 22488,121272,20060408,  147,    0
 22488,121272,20060409,  125,    0
 22488,121272,20060410,  110,    0
 22488,121272,20060411,  109,    0
 22488,121272,20060412,  142,    0
 22488,121272,20060413,  104,    0
 22488,121272,20060414,  129,    0
 22488,121272,20060415,  162,    0
 22488,121272,20060416,  145,    0
 22488,121272,20060417,  155,    0
 22488,121272,20060418,  158,    0
 22488,121272,20060419,  174,    0
 22488,121272,20060420,  187,    0
 22488,121272,20060421,  238,    0
 22488,121272,20060422,  209,    0
 22488,121272,20060423,  209,    0
 22488,121272,20060424,  239,    0
 22488,121272,20060425,  221,    0
 22488,121272,20060426,  174,    0
 22488,121272,20060427,  161,    0
 22488,121272,20060428,  175,    0
 22488,121272,20060429,  134,    0
 22488,121272,20060430,   71,    0
 22488,121272,20060501,  123,    0
 22488,121272,20060502,  219,    0
 22488,121272,20060503,  258,    0
 22488,121272,20060504,  268,    0
 22488,121272,20060505,  272,    0
 22488,121272,20060506,  248,    0
 22488,121272,20060507,  248,    0
 22488,121272,20060508,  174,    0
 22488,121272,20060509,  209,    0
