EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-01-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TX   : Maximum temperature in 0.1 &#176;C
30-34 Q_TX : quality code for TX (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station TRINTANGE, LUXEMBOURG (STAID: 22489)
Blended and updated with sources:121282 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TX, Q_TX
 22489,121282,20091001,-9999,    9
 22489,121282,20091002,-9999,    9
 22489,121282,20091003,-9999,    9
 22489,121282,20091004,-9999,    9
 22489,121282,20091005,-9999,    9
 22489,121282,20091006,-9999,    9
 22489,121282,20091007,-9999,    9
 22489,121282,20091008,-9999,    9
 22489,121282,20091009,-9999,    9
 22489,121282,20091010,-9999,    9
 22489,121282,20091011,-9999,    9
 22489,121282,20091012,-9999,    9
 22489,121282,20091013,-9999,    9
 22489,121282,20091014,-9999,    9
 22489,121282,20091015,-9999,    9
 22489,121282,20091016,-9999,    9
 22489,121282,20091017,-9999,    9
 22489,121282,20091018,-9999,    9
 22489,121282,20091019,-9999,    9
 22489,121282,20091020,-9999,    9
 22489,121282,20091021,-9999,    9
 22489,121282,20091022,-9999,    9
 22489,121282,20091023,-9999,    9
 22489,121282,20091024,-9999,    9
 22489,121282,20091025,-9999,    9
 22489,121282,20091026,-9999,    9
 22489,121282,20091027,-9999,    9
 22489,121282,20091028,  139,    0
 22489,121282,20091029,  126,    0
 22489,121282,20091030,  134,    0
 22489,121282,20091031,  129,    0
 22489,121282,20091101,  135,    0
 22489,121282,20091102,  135,    0
 22489,121282,20091103,  108,    0
 22489,121282,20091104,  113,    0
 22489,121282,20091105,   94,    0
 22489,121282,20091106,   94,    0
 22489,121282,20091107,   95,    0
 22489,121282,20091108,   93,    0
 22489,121282,20091109,   76,    0
 22489,121282,20091110,   80,    0
 22489,121282,20091111,   58,    0
 22489,121282,20091112,   92,    0
 22489,121282,20091113,  138,    0
 22489,121282,20091114,  151,    0
 22489,121282,20091115,  131,    0
 22489,121282,20091116,  146,    0
 22489,121282,20091117,  129,    0
 22489,121282,20091118,  119,    0
 22489,121282,20091119,  113,    0
 22489,121282,20091120,  158,    0
 22489,121282,20091121,  146,    0
 22489,121282,20091122,  126,    0
 22489,121282,20091123,  116,    0
 22489,121282,20091124,  127,    0
 22489,121282,20091125,  133,    0
 22489,121282,20091126,  102,    0
 22489,121282,20091127,   96,    0
 22489,121282,20091128,   98,    0
 22489,121282,20091129,  124,    0
 22489,121282,20091130,   65,    0
 22489,121282,20091201,   67,    0
 22489,121282,20091202,   59,    0
 22489,121282,20091203,   92,    0
 22489,121282,20091204,   53,    0
 22489,121282,20091205,   80,    0
 22489,121282,20091206,  103,    0
 22489,121282,20091207,   95,    0
 22489,121282,20091208,   94,    0
 22489,121282,20091209,   76,    0
 22489,121282,20091210,  115,    0
 22489,121282,20091211,   85,    0
 22489,121282,20091212,   40,    0
 22489,121282,20091213,   29,    0
 22489,121282,20091214,   -6,    1
 22489,121282,20091215,    0,    0
 22489,121282,20091216,    2,    0
 22489,121282,20091217,   -8,    1
 22489,121282,20091218,   -6,    1
 22489,121282,20091219,  -41,    1
 22489,121282,20091220,  -28,    1
 22489,121282,20091221,   13,    0
 22489,121282,20091222,   62,    0
 22489,121282,20091223,   19,    0
 22489,121282,20091224,   32,    0
 22489,121282,20091225,   86,    0
 22489,121282,20091226,   47,    0
 22489,121282,20091227,   40,    0
 22489,121282,20091228,   35,    0
 22489,121282,20091229,  106,    0
 22489,121282,20091230,  103,    0
 22489,121282,20091231,   86,    0
 22489,121282,20100101,   25,    0
 22489,121282,20100102,   15,    0
 22489,121282,20100103,    8,    0
 22489,121282,20100104,  -25,    1
 22489,121282,20100105,   -9,    1
 22489,121282,20100106,  -36,    1
 22489,121282,20100107,  -17,    1
 22489,121282,20100108,  -29,    1
 22489,121282,20100109,  -21,    1
 22489,121282,20100110,   -9,    1
 22489,121282,20100111,   -1,    1
 22489,121282,20100112,   -4,    1
 22489,121282,20100113,   10,    0
 22489,121282,20100114,   59,    0
 22489,121282,20100115,   18,    0
 22489,121282,20100116,   32,    0
 22489,121282,20100117,   78,    0
 22489,121282,20100118,   32,    0
 22489,121282,20100119,   22,    0
 22489,121282,20100120,   41,    0
 22489,121282,20100121,   26,    0
 22489,121282,20100122,   38,    0
 22489,121282,20100123,   16,    0
 22489,121282,20100124,   15,    0
 22489,121282,20100125,   24,    0
 22489,121282,20100126,   -3,    1
 22489,121282,20100127,   -5,    1
 22489,121282,20100128,   28,    0
 22489,121282,20100129,   16,    0
 22489,121282,20100130,   10,    0
 22489,121282,20100131,   16,    0
 22489,121282,20100201,   30,    0
 22489,121282,20100202,   48,    0
 22489,121282,20100203,   55,    0
 22489,121282,20100204,   85,    0
 22489,121282,20100205,   71,    0
 22489,121282,20100206,   62,    0
 22489,121282,20100207,   49,    0
 22489,121282,20100208,   32,    0
 22489,121282,20100209,  -17,    1
 22489,121282,20100210,  -14,    1
 22489,121282,20100211,  -21,    1
 22489,121282,20100212,    4,    0
 22489,121282,20100213,  -15,    1
 22489,121282,20100214,   -1,    1
 22489,121282,20100215,    2,    0
 22489,121282,20100216,   43,    0
 22489,121282,20100217,   16,    0
 22489,121282,20100218,   84,    0
 22489,121282,20100219,   68,    0
 22489,121282,20100220,   41,    0
 22489,121282,20100221,   61,    0
 22489,121282,20100222,-9999,    9
 22489,121282,20100223,  104,    0
 22489,121282,20100224,  133,    0
 22489,121282,20100225,  110,    0
 22489,121282,20100226,   91,    0
 22489,121282,20100227,  134,    0
 22489,121282,20100228,  129,    0
 22489,121282,20100301,  101,    0
 22489,121282,20100302,  100,    0
 22489,121282,20100303,   85,    0
 22489,121282,20100304,   72,    0
 22489,121282,20100305,   62,    0
 22489,121282,20100306,   19,    0
 22489,121282,20100307,   32,    0
 22489,121282,20100308,   49,    0
 22489,121282,20100309,   32,    0
 22489,121282,20100310,   78,    0
 22489,121282,20100311,   63,    0
 22489,121282,20100312,   43,    0
 22489,121282,20100313,   71,    0
 22489,121282,20100314,   62,    0
 22489,121282,20100315,  107,    0
 22489,121282,20100316,  118,    0
 22489,121282,20100317,  149,    0
 22489,121282,20100318,  172,    0
 22489,121282,20100319,  190,    0
 22489,121282,20100320,  134,    0
 22489,121282,20100321,  126,    0
 22489,121282,20100322,  145,    0
 22489,121282,20100323,  164,    0
 22489,121282,20100324,  196,    0
 22489,121282,20100325,  191,    0
 22489,121282,20100326,  118,    0
 22489,121282,20100327,   91,    0
 22489,121282,20100328,  108,    0
 22489,121282,20100329,  156,    0
 22489,121282,20100330,  124,    0
 22489,121282,20100331,  116,    0
 22489,121282,20100401,   90,    0
 22489,121282,20100402,  115,    0
 22489,121282,20100403,   84,    0
 22489,121282,20100404,   93,    0
 22489,121282,20100405,  127,    0
 22489,121282,20100406,  189,    0
 22489,121282,20100407,  199,    0
 22489,121282,20100408,  132,    0
 22489,121282,20100409,  165,    0
 22489,121282,20100410,  156,    0
 22489,121282,20100411,  104,    0
 22489,121282,20100412,  112,    0
 22489,121282,20100413,  128,    0
 22489,121282,20100414,  164,    0
 22489,121282,20100415,  136,    0
 22489,121282,20100416,  146,    0
 22489,121282,20100417,  192,    0
 22489,121282,20100418,  218,    0
 22489,121282,20100419,  206,    0
 22489,121282,20100420,  191,    0
 22489,121282,20100421,  143,    0
 22489,121282,20100422,  157,    0
 22489,121282,20100423,  203,    0
 22489,121282,20100424,  237,    0
 22489,121282,20100425,  246,    0
 22489,121282,20100426,  192,    0
 22489,121282,20100427,  206,    0
 22489,121282,20100428,  236,    0
 22489,121282,20100429,  253,    0
 22489,121282,20100430,  190,    0
 22489,121282,20100501,  156,    0
 22489,121282,20100502,  156,    0
 22489,121282,20100503,  132,    0
 22489,121282,20100504,  104,    0
 22489,121282,20100505,  146,    0
 22489,121282,20100506,   73,    0
 22489,121282,20100507,  103,    0
 22489,121282,20100508,  161,    0
 22489,121282,20100509,  171,    0
 22489,121282,20100510,  171,    0
 22489,121282,20100511,  128,    0
 22489,121282,20100512,   90,    0
 22489,121282,20100513,   98,    0
 22489,121282,20100514,  102,    0
 22489,121282,20100515,  152,    0
 22489,121282,20100516,  172,    0
 22489,121282,20100517,  160,    0
 22489,121282,20100518,  161,    0
 22489,121282,20100519,  152,    0
 22489,121282,20100520,  214,    0
 22489,121282,20100521,  239,    0
 22489,121282,20100522,  253,    0
