EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-01-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TX   : Maximum temperature in 0.1 &#176;C
30-34 Q_TX : quality code for TX (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station USELDANGE, LUXEMBOURG (STAID: 22490)
Blended and updated with sources:121152 121292 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TX, Q_TX
 22490,121292,20010201,-9999,    9
 22490,121292,20010202,-9999,    9
 22490,121292,20010203,-9999,    9
 22490,121292,20010204,-9999,    9
 22490,121292,20010205,-9999,    9
 22490,121292,20010206,-9999,    9
 22490,121292,20010207,-9999,    9
 22490,121292,20010208,-9999,    9
 22490,121292,20010209,-9999,    9
 22490,121292,20010210,-9999,    9
 22490,121292,20010211,-9999,    9
 22490,121292,20010212,-9999,    9
 22490,121292,20010213,-9999,    9
 22490,121292,20010214,-9999,    9
 22490,121292,20010215,-9999,    9
 22490,121292,20010216,-9999,    9
 22490,121292,20010217,-9999,    9
 22490,121292,20010218,-9999,    9
 22490,121292,20010219,-9999,    9
 22490,121292,20010220,-9999,    9
 22490,121292,20010221,-9999,    9
 22490,121292,20010222,-9999,    9
 22490,121292,20010223,   59,    0
 22490,121292,20010224,   30,    0
 22490,121292,20010225,   39,    0
 22490,121292,20010226,   -4,    1
 22490,121292,20010227,   47,    0
 22490,121292,20010228,   53,    0
 22490,121292,20010301,   46,    0
 22490,121292,20010302,   46,    0
 22490,121292,20010303,   50,    0
 22490,121292,20010304,   59,    0
 22490,121292,20010305,   57,    0
 22490,121292,20010306,   96,    0
 22490,121292,20010307,   71,    0
 22490,121292,20010308,  108,    0
 22490,121292,20010309,   96,    0
 22490,121292,20010310,  118,    0
 22490,121292,20010311,  133,    0
 22490,121292,20010312,  129,    0
 22490,121292,20010313,   90,    0
 22490,121292,20010314,   77,    0
 22490,121292,20010315,  126,    0
 22490,121292,20010316,  145,    0
 22490,121292,20010317,  141,    0
 22490,121292,20010318,   99,    0
 22490,121292,20010319,   63,    0
 22490,121292,20010320,   43,    0
 22490,121292,20010321,   74,    0
 22490,121292,20010322,  119,    0
 22490,121292,20010323,  141,    0
 22490,121292,20010324,  139,    0
 22490,121292,20010325,  103,    0
 22490,121292,20010326,-9999,    9
 22490,121292,20010327,   85,    0
 22490,121292,20010328,  120,    0
 22490,121292,20010329,   99,    0
 22490,121292,20010330,   98,    0
 22490,121292,20010331,  133,    0
 22490,121292,20010401,  175,    0
 22490,121292,20010402,  199,    0
 22490,121292,20010403,  136,    0
 22490,121292,20010404,-9999,    9
 22490,121292,20010405,   96,    0
 22490,121292,20010406,  117,    0
 22490,121292,20010407,  112,    0
 22490,121292,20010408,  110,    0
 22490,121292,20010409,  103,    0
 22490,121292,20010410,  111,    0
 22490,121292,20010411,  137,    0
 22490,121292,20010412,   93,    0
 22490,121292,20010413,   61,    0
 22490,121292,20010414,   73,    0
 22490,121292,20010415,-9999,    9
 22490,121292,20010416,  100,    0
 22490,121292,20010417,   96,    0
 22490,121292,20010418,   76,    0
 22490,121292,20010419,   59,    0
 22490,121292,20010420,   85,    0
 22490,121292,20010421,   99,    0
 22490,121292,20010422,  106,    0
 22490,121292,20010423,  130,    0
 22490,121292,20010424,  157,    0
 22490,121292,20010425,  113,    0
 22490,121292,20010426,  132,    0
 22490,121292,20010427,  137,    0
 22490,121292,20010428,  107,    0
 22490,121292,20010429,  149,    0
 22490,121292,20010430,  211,    0
 22490,121292,20010501,  181,    0
 22490,121292,20010502,  258,    0
 22490,121292,20010503,  173,    0
 22490,121292,20010504,  175,    0
 22490,121292,20010505,  117,    0
 22490,121292,20010506,  121,    0
 22490,121292,20010507,  124,    0
 22490,121292,20010508,  171,    0
 22490,121292,20010509,  231,    0
 22490,121292,20010510,  251,    0
 22490,121292,20010511,  254,    0
 22490,121292,20010512,  252,    0
 22490,121292,20010513,  253,    0
 22490,121292,20010514,  220,    0
 22490,121292,20010515,  188,    0
 22490,121292,20010516,  182,    0
 22490,121292,20010517,  158,    0
 22490,121292,20010518,  117,    0
 22490,121292,20010519,  174,    0
 22490,121292,20010520,  215,    0
 22490,121292,20010521,  229,    0
 22490,121292,20010522,  202,    0
 22490,121292,20010523,  246,    0
 22490,121292,20010524,  284,    0
 22490,121292,20010525,  275,    0
 22490,121292,20010526,  263,    0
 22490,121292,20010527,  230,    0
 22490,121292,20010528,  257,    0
 22490,121292,20010529,  256,    0
 22490,121292,20010530,  257,    0
 22490,121292,20010531,  215,    0
 22490,121292,20010601,  179,    0
 22490,121292,20010602,  140,    0
 22490,121292,20010603,  138,    0
 22490,121292,20010604,  150,    0
 22490,121292,20010605,  209,    0
 22490,121292,20010606,  194,    0
 22490,121292,20010607,  180,    0
 22490,121292,20010608,  138,    0
 22490,121292,20010609,  181,    0
 22490,121292,20010610,  180,    0
 22490,121292,20010611,  173,    0
 22490,121292,20010612,  211,    0
 22490,121292,20010613,  235,    0
 22490,121292,20010614,  232,    0
 22490,121292,20010615,  228,    0
 22490,121292,20010616,  197,    0
 22490,121292,20010617,  177,    0
 22490,121292,20010618,  163,    0
 22490,121292,20010619,  197,    0
 22490,121292,20010620,  224,    0
 22490,121292,20010621,  243,    0
 22490,121292,20010622,  195,    0
 22490,121292,20010623,  238,    0
 22490,121292,20010624,  285,    0
 22490,121292,20010625,  311,    0
 22490,121292,20010626,  309,    0
 22490,121292,20010627,  240,    0
 22490,121292,20010628,  228,    0
 22490,121292,20010629,  268,    0
 22490,121292,20010630,-9999,    9
 22490,121292,20010701,  252,    0
 22490,121292,20010702,  262,    0
 22490,121292,20010703,  271,    0
 22490,121292,20010704,  295,    0
 22490,121292,20010705,  312,    0
 22490,121292,20010706,  299,    0
 22490,121292,20010707,  200,    0
 22490,121292,20010708,  193,    0
 22490,121292,20010709,  309,    0
 22490,121292,20010710,  253,    0
 22490,121292,20010711,  201,    0
 22490,121292,20010712,  196,    0
 22490,121292,20010713,  183,    0
 22490,121292,20010714,  215,    0
 22490,121292,20010715,  200,    0
 22490,121292,20010716,  201,    0
 22490,121292,20010717,  222,    0
 22490,121292,20010718,  186,    0
 22490,121292,20010719,  190,    0
 22490,121292,20010720,  156,    0
 22490,121292,20010721,  224,    0
 22490,121292,20010722,  291,    0
 22490,121292,20010723,  293,    0
 22490,121292,20010724,  302,    0
 22490,121292,20010725,  321,    0
 22490,121292,20010726,  308,    0
 22490,121292,20010727,  319,    0
 22490,121292,20010728,  313,    0
 22490,121292,20010729,  299,    0
 22490,121292,20010730,  302,    0
 22490,121292,20010731,  301,    0
 22490,121292,20010801,  278,    0
 22490,121292,20010802,  289,    0
 22490,121292,20010803,  247,    0
 22490,121292,20010804,  218,    0
 22490,121292,20010805,  222,    0
 22490,121292,20010806,  208,    0
 22490,121292,20010807,  214,    0
 22490,121292,20010808,  207,    0
 22490,121292,20010809,-9999,    9
 22490,121292,20010810,  201,    0
 22490,121292,20010811,  212,    0
 22490,121292,20010812,  237,    0
 22490,121292,20010813,  263,    0
 22490,121292,20010814,  308,    0
 22490,121292,20010815,-9999,    9
 22490,121292,20010816,-9999,    9
 22490,121292,20010817,-9999,    9
 22490,121292,20010818,-9999,    9
 22490,121292,20010819,-9999,    9
 22490,121292,20010820,-9999,    9
 22490,121292,20010821,  273,    0
 22490,121292,20010822,  295,    0
 22490,121292,20010823,  292,    0
 22490,121292,20010824,  317,    0
 22490,121292,20010825,  331,    0
 22490,121292,20010826,  334,    0
 22490,121292,20010827,  236,    0
 22490,121292,20010828,  246,    0
 22490,121292,20010829,  252,    0
 22490,121292,20010830,  197,    0
 22490,121292,20010831,  179,    0
 22490,121292,20010901,  208,    0
 22490,121292,20010902,  174,    0
 22490,121292,20010903,  192,    0
 22490,121292,20010904,  142,    0
 22490,121292,20010905,  158,    0
 22490,121292,20010906,  137,    0
 22490,121292,20010907,  157,    0
 22490,121292,20010908,  166,    0
 22490,121292,20010909,  126,    0
 22490,121292,20010910,  142,    0
 22490,121292,20010911,  143,    0
 22490,121292,20010912,  161,    0
 22490,121292,20010913,  154,    0
 22490,121292,20010914,  174,    0
 22490,121292,20010915,  128,    0
 22490,121292,20010916,  139,    0
 22490,121292,20010917,  146,    0
 22490,121292,20010918,  117,    0
 22490,121292,20010919,  121,    0
 22490,121292,20010920,  152,    0
 22490,121292,20010921,  164,    0
 22490,121292,20010922,  181,    0
 22490,121292,20010923,  185,    0
 22490,121292,20010924,  185,    0
 22490,121292,20010925,  155,    0
 22490,121292,20010926,  166,    0
 22490,121292,20010927,  175,    0
 22490,121292,20010928,  199,    0
 22490,121292,20010929,  158,    0
 22490,121292,20010930,  188,    0
 22490,121292,20011001,  180,    0
 22490,121292,20011002,  244,    0
 22490,121292,20011003,  189,    0
 22490,121292,20011004,  153,    0
 22490,121292,20011005,  181,    0
 22490,121292,20011006,  210,    0
 22490,121292,20011007,  177,    0
 22490,121292,20011008,  154,    0
 22490,121292,20011009,  153,    0
 22490,121292,20011010,  175,    0
 22490,121292,20011011,  178,    0
 22490,121292,20011012,  204,    0
 22490,121292,20011013,  227,    0
 22490,121292,20011014,  170,    0
 22490,121292,20011015,  198,    0
 22490,121292,20011016,  191,    0
 22490,121292,20011017,  153,    0
 22490,121292,20011018,  188,    0
 22490,121292,20011019,  210,    0
 22490,121292,20011020,  153,    0
 22490,121292,20011021,  138,    0
 22490,121292,20011022,  149,    0
 22490,121292,20011023,  121,    0
 22490,121292,20011024,  130,    0
 22490,121292,20011025,  146,    0
 22490,121292,20011026,  156,    0
 22490,121292,20011027,  131,    0
 22490,121292,20011028,  159,    0
 22490,121292,20011029,  134,    0
 22490,121292,20011030,  174,    0
 22490,121292,20011031,  146,    0
 22490,121292,20011101,  127,    0
 22490,121292,20011102,  140,    0
 22490,121292,20011103,-9999,    9
 22490,121292,20011104,  131,    0
 22490,121292,20011105,  131,    0
 22490,121292,20011106,   83,    0
 22490,121292,20011107,  116,    0
 22490,121292,20011108,  101,    0
 22490,121292,20011109,-9999,    9
 22490,121292,20011110,   39,    0
 22490,121292,20011111,   82,    0
 22490,121292,20011112,   74,    0
 22490,121292,20011113,   70,    0
 22490,121292,20011114,   62,    0
 22490,121292,20011115,   60,    0
 22490,121292,20011116,   53,    0
 22490,121292,20011117,   77,    0
 22490,121292,20011118,-9999,    9
 22490,121292,20011119,   47,    0
 22490,121292,20011120,   61,    0
 22490,121292,20011121,   61,    0
 22490,121292,20011122,   62,    0
 22490,121292,20011123,-9999,    9
 22490,121292,20011124,   36,    0
 22490,121292,20011125,   81,    0
 22490,121292,20011126,   76,    0
 22490,121292,20011127,   73,    0
 22490,121292,20011128,   73,    0
 22490,121292,20011129,-9999,    9
 22490,121292,20011130,  112,    0
 22490,121292,20011201,  113,    0
 22490,121292,20011202,   91,    0
 22490,121292,20011203,   87,    0
 22490,121292,20011204,   83,    0
 22490,121292,20011205,  105,    0
 22490,121292,20011206,   88,    0
 22490,121292,20011207,-9999,    9
 22490,121292,20011208,   41,    0
 22490,121292,20011209,   31,    0
 22490,121292,20011210,   53,    0
 22490,121292,20011211,   64,    0
 22490,121292,20011212,   36,    0
 22490,121292,20011213,   29,    0
 22490,121292,20011214,  -25,    1
 22490,121292,20011215,   12,    0
 22490,121292,20011216,   12,    0
 22490,121292,20011217,-9999,    9
 22490,121292,20011218,-9999,    9
 22490,121292,20011219,-9999,    9
 22490,121292,20011220,   23,    0
 22490,121292,20011221,   -2,    1
 22490,121292,20011222,    8,    0
 22490,121292,20011223,  -12,    1
 22490,121292,20011224,    9,    0
 22490,121292,20011225,   21,    0
 22490,121292,20011226,    6,    0
 22490,121292,20011227,   21,    0
 22490,121292,20011228,   57,    0
 22490,121292,20011229,   12,    0
 22490,121292,20011230,  -10,    1
 22490,121292,20011231,  -19,    1
 22490,121292,20020101,  -59,    1
 22490,121292,20020102,  -76,    1
 22490,121292,20020103,  -28,    1
 22490,121292,20020104,  -38,    1
 22490,121292,20020105,  -50,    1
 22490,121292,20020106,-9999,    9
 22490,121292,20020107,   21,    0
 22490,121292,20020108,   13,    0
 22490,121292,20020109,  -47,    1
 22490,121292,20020110,  -54,    1
 22490,121292,20020111,  -17,    1
 22490,121292,20020112,    1,    0
 22490,121292,20020113,  -12,    1
 22490,121292,20020114,  -29,    1
 22490,121292,20020115,  -17,    1
 22490,121292,20020116,    9,    0
 22490,121292,20020117,    5,    0
 22490,121292,20020118,    7,    0
 22490,121292,20020119,   38,    0
 22490,121292,20020120,   66,    0
 22490,121292,20020121,   72,    0
 22490,121292,20020122,   83,    0
 22490,121292,20020123,   68,    0
 22490,121292,20020124,   88,    0
 22490,121292,20020125,   66,    0
 22490,121292,20020126,  108,    0
 22490,121292,20020127,  122,    0
 22490,121292,20020128,  123,    0
 22490,121292,20020129,   97,    0
 22490,121292,20020130,  125,    0
 22490,121292,20020131,  103,    0
 22490,121292,20020201,   94,    0
 22490,121292,20020202,  158,    0
 22490,121292,20020203,  148,    0
 22490,121292,20020204,  107,    0
 22490,121292,20020205,  119,    0
 22490,121292,20020206,   72,    0
 22490,121292,20020207,   60,    0
 22490,121292,20020208,   90,    0
 22490,121292,20020209,   98,    0
 22490,121292,20020210,   82,    0
 22490,121292,20020211,   95,    0
 22490,121292,20020212,  117,    0
 22490,121292,20020213,  113,    0
 22490,121292,20020214,   58,    0
 22490,121292,20020215,   84,    0
 22490,121292,20020216,   88,    0
 22490,121292,20020217,   85,    0
 22490,121292,20020218,   26,    0
 22490,121292,20020219,   59,    0
 22490,121292,20020220,   82,    0
 22490,121292,20020221,   48,    0
 22490,121292,20020222,   80,    0
 22490,121292,20020223,   48,    0
 22490,121292,20020224,   37,    0
 22490,121292,20020225,   93,    0
 22490,121292,20020226,  124,    0
 22490,121292,20020227,   83,    0
 22490,121292,20020228,   71,    0
 22490,121292,20020301,   91,    0
 22490,121292,20020302,   40,    0
 22490,121292,20020303,   75,    0
 22490,121292,20020304,  106,    0
 22490,121292,20020305,  116,    0
 22490,121292,20020306,   63,    0
 22490,121292,20020307,  129,    0
 22490,121292,20020308,  137,    0
 22490,121292,20020309,   92,    0
 22490,121292,20020310,   99,    0
 22490,121292,20020311,  147,    0
 22490,121292,20020312,  161,    0
 22490,121292,20020313,  186,    0
 22490,121292,20020314,   44,    0
 22490,121292,20020315,  100,    0
 22490,121292,20020316,  157,    0
 22490,121292,20020317,  151,    0
 22490,121292,20020318,  134,    0
 22490,121292,20020319,   97,    0
 22490,121292,20020320,  130,    0
