EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-01-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TX   : Maximum temperature in 0.1 &#176;C
30-34 Q_TX : quality code for TX (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HOLLER, LUXEMBOURG (STAID: 24854)
Blended and updated with sources:121012 121042 136703 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TX, Q_TX
 24854,136703,20050401,-9999,    9
 24854,136703,20050402,-9999,    9
 24854,136703,20050403,-9999,    9
 24854,136703,20050404,-9999,    9
 24854,136703,20050405,-9999,    9
 24854,136703,20050406,  123,    0
 24854,136703,20050407,  109,    0
 24854,136703,20050408,   74,    0
 24854,136703,20050409,   69,    0
 24854,136703,20050410,   89,    0
 24854,136703,20050411,  132,    0
 24854,136703,20050412,  155,    0
 24854,136703,20050413,  145,    0
 24854,136703,20050414,  136,    0
 24854,136703,20050415,  127,    0
 24854,136703,20050416,   99,    0
 24854,136703,20050417,  149,    0
 24854,136703,20050418,  137,    0
 24854,136703,20050419,  104,    0
 24854,136703,20050420,   93,    0
 24854,136703,20050421,  137,    0
 24854,136703,20050422,  162,    0
 24854,136703,20050423,  146,    0
 24854,136703,20050424,  166,    0
 24854,136703,20050425,  155,    0
 24854,136703,20050426,  145,    0
 24854,136703,20050427,  152,    0
 24854,136703,20050428,  155,    0
 24854,136703,20050429,  203,    0
 24854,136703,20050430,  232,    0
 24854,136703,20050501,  267,    0
 24854,136703,20050502,  226,    0
 24854,136703,20050503,  174,    0
 24854,136703,20050504,  127,    0
 24854,136703,20050505,  145,    0
 24854,136703,20050506,  137,    0
 24854,136703,20050507,  114,    0
 24854,136703,20050508,  110,    0
 24854,136703,20050509,  117,    0
 24854,136703,20050510,  129,    0
 24854,136703,20050511,  124,    0
 24854,136703,20050512,  151,    0
 24854,136703,20050513,  129,    0
 24854,136703,20050514,  113,    0
 24854,136703,20050515,  118,    0
 24854,136703,20050516,  181,    0
 24854,136703,20050517,   99,    0
 24854,136703,20050518,  139,    0
 24854,136703,20050519,  168,    0
 24854,136703,20050520,  220,    0
 24854,136703,20050521,  170,    0
 24854,136703,20050522,  156,    0
 24854,136703,20050523,  169,    0
 24854,136703,20050524,  168,    0
 24854,136703,20050525,  249,    0
 24854,136703,20050526,  278,    0
 24854,136703,20050527,  292,    0
 24854,136703,20050528,  298,    0
 24854,136703,20050529,  283,    0
 24854,136703,20050530,  142,    0
 24854,136703,20050531,  167,    0
 24854,136703,20050601,  198,    0
 24854,136703,20050602,  208,    0
 24854,136703,20050603,  249,    0
 24854,136703,20050604,  157,    0
 24854,136703,20050605,  164,    0
 24854,136703,20050606,  182,    0
 24854,136703,20050607,  136,    0
 24854,136703,20050608,  171,    0
 24854,136703,20050609,  190,    0
 24854,136703,20050610,  196,    0
 24854,136703,20050611,  148,    0
 24854,136703,20050612,  171,    0
 24854,136703,20050613,  194,    0
 24854,136703,20050614,  220,    0
 24854,136703,20050615,  233,    0
 24854,136703,20050616,  230,    0
 24854,136703,20050617,  220,    0
 24854,136703,20050618,  290,    0
 24854,136703,20050619,  289,    0
 24854,136703,20050620,  314,    0
 24854,136703,20050621,  309,    0
 24854,136703,20050622,  282,    0
 24854,136703,20050623,  316,    0
 24854,136703,20050624,  317,    0
 24854,136703,20050625,  268,    0
 24854,136703,20050626,  240,    0
 24854,136703,20050627,  303,    0
 24854,136703,20050628,  308,    0
 24854,136703,20050629,  298,    0
