EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-01-2024
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TX   : Maximum temperature in 0.1 &#176;C
30-34 Q_TX : quality code for TX (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LUXEMBOURG_A, LUXEMBOURG (STAID: 24855)
Blended and updated with sources:121162 121172 121192 121282 136713 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TX, Q_TX
 24855,121172,20000601,-9999,    9
 24855,121172,20000602,-9999,    9
 24855,121172,20000603,-9999,    9
 24855,121172,20000604,-9999,    9
 24855,121172,20000605,-9999,    9
 24855,121172,20000606,-9999,    9
 24855,121172,20000607,-9999,    9
 24855,121172,20000608,-9999,    9
 24855,121172,20000609,-9999,    9
 24855,121172,20000610,-9999,    9
 24855,121172,20000611,-9999,    9
 24855,121172,20000612,-9999,    9
 24855,121172,20000613,-9999,    9
 24855,121172,20000614,-9999,    9
 24855,121172,20000615,-9999,    9
 24855,121172,20000616,-9999,    9
 24855,121172,20000617,-9999,    9
 24855,121172,20000618,-9999,    9
 24855,121172,20000619,-9999,    9
 24855,121172,20000620,-9999,    9
 24855,121172,20000621,-9999,    9
 24855,121172,20000622,-9999,    9
 24855,121172,20000623,-9999,    9
 24855,121172,20000624,-9999,    9
 24855,121172,20000625,-9999,    9
 24855,121172,20000626,-9999,    9
 24855,121172,20000627,-9999,    9
 24855,121172,20000628,  237,    0
 24855,121172,20000629,-9999,    9
 24855,121172,20000630,-9999,    9
 24855,121172,20000701,  276,    0
 24855,121172,20000702,  276,    0
 24855,121172,20000703,-9999,    9
 24855,121172,20000704,  178,    0
 24855,121172,20000705,  213,    0
 24855,121172,20000706,  263,    0
 24855,121172,20000707,-9999,    9
 24855,121172,20000708,  180,    0
 24855,121172,20000709,  159,    0
 24855,121172,20000710,  192,    0
 24855,121172,20000711,  146,    0
 24855,121172,20000712,  186,    0
 24855,121172,20000713,  158,    0
 24855,121172,20000714,  172,    0
 24855,121172,20000715,  178,    0
 24855,121172,20000716,  169,    0
 24855,121172,20000717,  197,    0
 24855,121172,20000718,  231,    0
 24855,121172,20000719,  209,    0
 24855,121172,20000720,  249,    0
 24855,121172,20000721,  252,    0
 24855,121172,20000722,  242,    0
 24855,121172,20000723,  256,    0
 24855,121172,20000724,  244,    0
 24855,121172,20000725,  219,    0
 24855,121172,20000726,  206,    0
 24855,121172,20000727,  224,    0
 24855,121172,20000728,  224,    0
 24855,121172,20000729,  225,    0
 24855,121172,20000730,  238,    0
 24855,121172,20000731,  266,    0
 24855,121172,20000801,  288,    0
 24855,121172,20000802,  230,    0
 24855,121172,20000803,-9999,    9
 24855,121172,20000804,-9999,    9
 24855,121172,20000805,-9999,    9
 24855,121172,20000806,-9999,    9
 24855,121172,20000807,-9999,    9
 24855,121172,20000808,-9999,    9
 24855,121172,20000809,  267,    0
 24855,121172,20000810,  268,    0
 24855,121172,20000811,  282,    0
 24855,121172,20000812,  303,    0
 24855,121172,20000813,  311,    0
 24855,121172,20000814,  294,    0
 24855,121172,20000815,  267,    0
 24855,121172,20000816,  270,    0
 24855,121172,20000817,  255,    0
 24855,121172,20000818,  265,    0
 24855,121172,20000819,  251,    0
 24855,121172,20000820,  231,    0
 24855,121172,20000821,-9999,    9
 24855,121172,20000822,  233,    0
 24855,121172,20000823,  252,    0
 24855,121172,20000824,  283,    0
 24855,121172,20000825,  274,    0
 24855,121172,20000826,  294,    0
 24855,121172,20000827,  237,    0
 24855,121172,20000828,  225,    0
 24855,121172,20000829,  238,    0
 24855,121172,20000830,  234,    0
 24855,121172,20000831,  247,    0
 24855,121172,20000901,  197,    0
 24855,121172,20000902,  162,    0
 24855,121172,20000903,  192,    0
 24855,121172,20000904,  180,    0
 24855,121172,20000905,  200,    0
 24855,121172,20000906,  154,    0
 24855,121172,20000907,  190,    0
 24855,121172,20000908,  207,    0
 24855,121172,20000909,  217,    0
 24855,121172,20000910,  267,    0
 24855,121172,20000911,  273,    0
 24855,121172,20000912,  258,    0
 24855,121172,20000913,  213,    0
 24855,121172,20000914,  223,    0
 24855,121172,20000915,  238,    0
 24855,121172,20000916,  201,    0
 24855,121172,20000917,  160,    0
 24855,121172,20000918,  201,    0
 24855,121172,20000919,  239,    0
 24855,121172,20000920,  162,    0
 24855,121172,20000921,  202,    0
 24855,121172,20000922,  205,    0
 24855,121172,20000923,  204,    0
 24855,121172,20000924,  222,    0
 24855,121172,20000925,  218,    0
 24855,121172,20000926,  235,    0
 24855,121172,20000927,  205,    0
 24855,121172,20000928,  192,    0
 24855,121172,20000929,  251,    0
 24855,121172,20000930,  155,    0
 24855,121172,20001001,  186,    0
 24855,121172,20001002,  148,    0
 24855,121172,20001003,  158,    0
 24855,121172,20001004,  190,    0
 24855,121172,20001005,  179,    0
 24855,121172,20001006,  146,    0
 24855,121172,20001007,  129,    0
 24855,121172,20001008,  118,    0
 24855,121172,20001009,  130,    0
 24855,121172,20001010,  117,    0
 24855,121172,20001011,  141,    0
 24855,121172,20001012,  153,    0
 24855,121172,20001013,  136,    0
 24855,121172,20001014,  184,    0
 24855,121172,20001015,  151,    0
 24855,121172,20001016,  169,    0
 24855,121172,20001017,  148,    0
 24855,121172,20001018,  125,    0
 24855,121172,20001019,  170,    0
 24855,121172,20001020,  164,    0
 24855,121172,20001021,  182,    0
 24855,121172,20001022,  193,    0
 24855,121172,20001023,  180,    0
 24855,121172,20001024,  142,    0
 24855,121172,20001025,  147,    0
 24855,121172,20001026,  132,    0
 24855,121172,20001027,  128,    0
 24855,121172,20001028,  148,    0
 24855,121172,20001029,  140,    0
 24855,121172,20001030,  136,    0
 24855,121172,20001031,  106,    0
 24855,121172,20001101,  115,    0
 24855,121172,20001102,  142,    0
 24855,121172,20001103,   93,    0
 24855,121172,20001104,   86,    0
 24855,121172,20001105,  103,    0
 24855,121172,20001106,  119,    0
 24855,121172,20001107,   98,    0
 24855,121172,20001108,   84,    0
 24855,121172,20001109,   99,    0
 24855,121172,20001110,   92,    0
 24855,121172,20001111,  103,    0
 24855,121172,20001112,  127,    0
 24855,121172,20001113,  107,    0
 24855,121172,20001114,   89,    0
 24855,121172,20001115,   93,    0
 24855,121172,20001116,  107,    0
 24855,121172,20001117,   71,    0
 24855,121172,20001118,   67,    0
 24855,121172,20001119,   84,    0
 24855,121172,20001120,   76,    0
 24855,121172,20001121,   73,    0
 24855,121172,20001122,   95,    0
 24855,121172,20001123,  112,    0
 24855,121172,20001124,   80,    0
 24855,121172,20001125,   85,    0
 24855,121172,20001126,   83,    0
 24855,121172,20001127,   82,    0
 24855,121172,20001128,  141,    0
 24855,121172,20001129,  147,    0
 24855,121172,20001130,  131,    0
 24855,121172,20001201,  146,    0
 24855,121172,20001202,  133,    0
 24855,121172,20001203,  111,    0
 24855,121172,20001204,   83,    0
 24855,121172,20001205,  131,    0
 24855,121172,20001206,  114,    0
 24855,121172,20001207,  118,    0
